custom_id,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,data_source,n_players,n_rounds,n_turns,initial_total_welfare,optimal_total_welfare,optimal_total_surplus,final_total_welfare,final_total_surplus,final_surplus_ratio,final_group_surplus_ratio_after_turn,mean_trade_ratio,mean_acceptance_rate,mean_proposer_net_surplus,mean_player_final_surplus
chip_bargain__chip2_cohort_06_m8ag8i_game_1,chip2__cohort_06_m8ag8i__game_1,chip2__cohort_06_m8ag8i__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 06-m8ag8i,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,34.0,42.33333333333333,8.333333333333329,36.3,2.299999999999997,0.2759999999999998,0.2759999999999998,1.130952380952381,0.6666666666666666,-0.3111111111111111,0.7666666666666657
chip_bargain__chip2_cohort_07_m8ag8i_game_1,chip2__cohort_07_m8ag8i__game_1,chip2__cohort_07_m8ag8i__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 07-m8ag8i,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,26.0,39.0,13.0,33.5,7.5,0.5769230769230769,0.5769230769230769,1.077777777777778,0.5555555555555556,1.2111111111111112,2.5
chip_bargain__chip2_cohort_08_m8ag8i_game_1,chip2__cohort_08_m8ag8i__game_1,chip2__cohort_08_m8ag8i__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 08-m8ag8i,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,28.0,32.599999999999994,4.599999999999994,31.6,3.6000000000000014,0.7826086956521752,0.7826086956521752,0.8827601410934744,0.4444444444444444,0.8111111111111111,1.2000000000000004
chip_bargain__chip2_cohort_09_m8ag8i_game_1,chip2__cohort_09_m8ag8i__game_1,chip2__cohort_09_m8ag8i__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 09-m8ag8i,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,21.0,24.0,3.0,21.6,0.6000000000000014,0.20000000000000048,0.20000000000000048,1.0396825396825398,0.2222222222222222,1.3555555555555556,0.20000000000000048
chip_bargain__chip2_cohort_11_m8agmu_game_1,chip2__cohort_11_m8agmu__game_1,chip2__cohort_11_m8agmu__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 11-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,28.0,35.599999999999994,7.599999999999994,33.0,5.0,0.6578947368421058,0.6578947368421058,0.887962962962963,0.4444444444444444,1.011111111111111,1.6666666666666667
chip_bargain__chip2_cohort_12_m8agmu_game_1,chip2__cohort_12_m8agmu__game_1,chip2__cohort_12_m8agmu__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 12-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,37.0,37.714285714285715,0.7142857142857153,36.4,-0.6000000000000014,-0.8400000000000007,-0.8400000000000007,0.9497354497354498,0.4444444444444444,0.922222222222222,-0.20000000000000048
chip_bargain__chip2_cohort_13_m8agmu_game_1,chip2__cohort_13_m8agmu__game_1,chip2__cohort_13_m8agmu__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 13-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,30.0,34.8,4.799999999999997,33.599999999999994,3.5999999999999943,0.7499999999999992,0.7499999999999992,0.7481481481481481,0.3333333333333333,0.6999999999999998,1.1999999999999982
chip_bargain__chip2_cohort_14_m8agmu_game_1,chip2__cohort_14_m8agmu__game_1,chip2__cohort_14_m8agmu__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 14-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,28.0,29.25,1.25,28.0,0.0,0.0,0.0,1.4166666666666667,0.5555555555555556,0.31111111111111106,0.0
chip_bargain__chip2_cohort_15_m8agmu_game_1,chip2__cohort_15_m8agmu__game_1,chip2__cohort_15_m8agmu__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 15-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,34.0,42.33333333333333,8.333333333333329,39.8,5.799999999999997,0.6960000000000001,0.6960000000000001,0.834640522875817,0.4444444444444444,1.7777777777777777,1.9333333333333325
chip_bargain__chip2_cohort_16_m8agzl_game_1,chip2__cohort_16_m8agzl__game_1,chip2__cohort_16_m8agzl__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 16-m8agzl,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,30.0,33.0,3.0,33.0,3.0,1.0,1.0,0.7654320987654322,0.2222222222222222,0.3666666666666666,1.0
chip_bargain__chip2_cohort_17_m8agzl_game_1,chip2__cohort_17_m8agzl__game_1,chip2__cohort_17_m8agzl__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 17-m8agzl,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,32.0,39.0,7.0,37.6,5.600000000000001,0.8000000000000002,0.8000000000000002,0.6863756613756613,0.1111111111111111,2.2666666666666666,1.8666666666666671
chip_bargain__chip2_cohort_18_m8agzl_game_1,chip2__cohort_18_m8agzl__game_1,chip2__cohort_18_m8agzl__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 18-m8agzl,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,40.0,43.888888888888886,3.8888888888888857,43.3,3.299999999999997,0.8485714285714285,0.8485714285714285,1.0055555555555555,0.3333333333333333,1.2222222222222223,1.099999999999999
chip_bargain__chip2_cohort_19_m8agzl_game_1,chip2__cohort_19_m8agzl__game_1,chip2__cohort_19_m8agzl__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 19-m8agzl,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,27.0,36.0,9.0,35.099999999999994,8.099999999999994,0.8999999999999994,0.8999999999999994,1.262169312169312,0.2222222222222222,-0.3999999999999999,2.699999999999998
chip_bargain__chip2_cohort_20_m8agzl_game_1,chip2__cohort_20_m8agzl__game_1,chip2__cohort_20_m8agzl__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 20-m8agzl,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,29.0,38.400000000000006,9.400000000000006,36.0,7.0,0.7446808510638293,0.7446808510638293,0.8425925925925926,0.3333333333333333,0.8111111111111111,2.3333333333333335
chip_bargain__chip2_cohort_01_m7xia7_game_2_alt_profile,chip2__cohort_01_m7xia7__game_2_alt_profile,chip2__cohort_01_m7xia7__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 01-m7xia7,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p2 (n=20),human_gold,3,3,9,33.0,38.8,5.799999999999997,37.3,4.299999999999997,0.7413793103448275,0.7413793103448275,1.037037037037037,1.0,0.14444444444444443,1.4333333333333325
chip_bargain__chip2_cohort_01_m8aexq_game_2_alt_profile,chip2__cohort_01_m8aexq__game_2_alt_profile,chip2__cohort_01_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 01-m8aexq,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,27.0,27.0,0.0,27.0,0.0,,,0.7287037037037036,0.3333333333333333,0.7999999999999999,0.0
chip_bargain__chip2_cohort_02_m7xiz2_game_2_alt_profile,chip2__cohort_02_m7xiz2__game_2_alt_profile,chip2__cohort_02_m7xiz2__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p2 (n=20),human_gold,3,3,9,31.0,43.5,12.5,40.2,9.200000000000003,0.7360000000000002,0.7360000000000002,1.130952380952381,0.5555555555555556,0.5666666666666667,3.0666666666666678
chip_bargain__chip2_cohort_02_m8aexq_game_2_alt_profile,chip2__cohort_02_m8aexq__game_2_alt_profile,chip2__cohort_02_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 02-m8aexq,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,39.0,40.75,1.75,39.0,0.0,0.0,0.0,0.5444444444444445,0.0,0.5777777777777778,0.0
chip_bargain__chip2_cohort_03_m8aexq_game_2_alt_profile,chip2__cohort_03_m8aexq__game_2_alt_profile,chip2__cohort_03_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 03-m8aexq,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,24.0,27.0,3.0,25.4,1.3999999999999986,0.4666666666666662,0.4666666666666662,0.9373015873015872,0.1111111111111111,0.6333333333333333,0.4666666666666662
chip_bargain__chip2_cohort_04_m7xjm0_game_2_alt_profile,chip2__cohort_04_m7xjm0__game_2_alt_profile,chip2__cohort_04_m7xjm0__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 04-m7xjm0,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p2 (n=20),human_gold,3,3,9,26.0,29.75,3.75,26.9,0.8999999999999986,0.23999999999999963,0.23999999999999963,0.7537037037037037,0.2222222222222222,0.9888888888888887,0.29999999999999954
chip_bargain__chip2_cohort_04_m8aexq_game_2_alt_profile,chip2__cohort_04_m8aexq__game_2_alt_profile,chip2__cohort_04_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 04-m8aexq,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,26.0,30.0,4.0,28.0,2.0,0.5,0.5,0.6574074074074074,0.3333333333333333,0.7444444444444445,0.6666666666666666
chip_bargain__chip2_cohort_05_m7xjzy_game_2_alt_profile,chip2__cohort_05_m7xjzy__game_2_alt_profile,chip2__cohort_05_m7xjzy__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p2 (n=20),human_gold,3,3,9,30.0,38.333333333333336,8.333333333333336,36.6,6.600000000000001,0.7919999999999999,0.7919999999999999,0.8592592592592592,0.4444444444444444,1.6666666666666667,2.2000000000000006
chip_bargain__chip2_cohort_05_m8aexq_game_2_alt_profile,chip2__cohort_05_m8aexq__game_2_alt_profile,chip2__cohort_05_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 05-m8aexq,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,26.0,39.0,13.0,35.2,9.200000000000003,0.707692307692308,0.707692307692308,1.0793650793650795,0.4444444444444444,1.3333333333333333,3.0666666666666678
chip_bargain__chip2_cohort_06_m7xk99_game_2_alt_profile,chip2__cohort_06_m7xk99__game_2_alt_profile,chip2__cohort_06_m7xk99__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 06-m7xk99,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p2 (n=20),human_gold,3,3,9,34.0,43.285714285714285,9.285714285714285,41.6,7.600000000000001,0.8184615384615387,0.8184615384615387,0.6370370370370371,0.4444444444444444,1.3666666666666667,2.5333333333333337
chip_bargain__chip2_cohort_06_m8ag8i_game_2_alt_profile,chip2__cohort_06_m8ag8i__game_2_alt_profile,chip2__cohort_06_m8ag8i__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 06-m8ag8i,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,28.0,33.0,5.0,33.0,5.0,1.0,1.0,0.6833333333333333,0.3333333333333333,1.4555555555555555,1.6666666666666667
chip_bargain__chip2_cohort_07_m8ag8i_game_2_alt_profile,chip2__cohort_07_m8ag8i__game_2_alt_profile,chip2__cohort_07_m8ag8i__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 07-m8ag8i,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,34.0,42.0,8.0,42.0,8.0,1.0,1.0,0.8574074074074074,0.4444444444444444,1.1,2.6666666666666665
chip_bargain__chip2_cohort_08_m8ag8i_game_2_alt_profile,chip2__cohort_08_m8ag8i__game_2_alt_profile,chip2__cohort_08_m8ag8i__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 08-m8ag8i,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,30.0,35.5,5.5,34.5,4.5,0.8181818181818182,0.8181818181818182,0.714337822671156,0.3333333333333333,1.3555555555555554,1.5
chip_bargain__chip2_cohort_09_m8ag8i_game_2_alt_profile,chip2__cohort_09_m8ag8i__game_2_alt_profile,chip2__cohort_09_m8ag8i__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 09-m8ag8i,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,36.0,43.5,7.5,40.1,4.100000000000001,0.5466666666666669,0.5466666666666669,0.7490780824114157,0.4444444444444444,1.5888888888888888,1.3666666666666671
chip_bargain__chip2_cohort_11_m8agmu_game_2_alt_profile,chip2__cohort_11_m8agmu__game_2_alt_profile,chip2__cohort_11_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 11-m8agmu,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,28.0,42.0,14.0,30.8,2.8000000000000007,0.20000000000000004,0.20000000000000004,1.0648148148148147,0.8888888888888888,0.2222222222222222,0.9333333333333336
chip_bargain__chip2_cohort_12_m8agmu_game_2_alt_profile,chip2__cohort_12_m8agmu__game_2_alt_profile,chip2__cohort_12_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 12-m8agmu,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,30.0,41.2,11.200000000000003,35.2,5.200000000000003,0.4642857142857144,0.4642857142857144,0.7259259259259259,0.6666666666666666,0.055555555555555566,1.7333333333333343
chip_bargain__chip2_cohort_13_m8agmu_game_2_alt_profile,chip2__cohort_13_m8agmu__game_2_alt_profile,chip2__cohort_13_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 13-m8agmu,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,36.0,41.125,5.125,40.5,4.5,0.8780487804878049,0.8780487804878049,0.9595238095238096,0.2222222222222222,0.8888888888888888,1.5
chip_bargain__chip2_cohort_14_m8agmu_game_2_alt_profile,chip2__cohort_14_m8agmu__game_2_alt_profile,chip2__cohort_14_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 14-m8agmu,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,33.0,41.5,8.5,40.6,7.600000000000001,0.8941176470588237,0.8941176470588237,0.7537037037037035,0.5555555555555556,1.5444444444444443,2.5333333333333337
chip_bargain__chip2_cohort_15_m8agmu_game_2_alt_profile,chip2__cohort_15_m8agmu__game_2_alt_profile,chip2__cohort_15_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 15-m8agmu,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,27.0,39.0,12.0,33.6,6.600000000000001,0.5500000000000002,0.5500000000000002,0.8571428571428571,0.2222222222222222,2.188888888888889,2.2000000000000006
chip_bargain__chip2_cohort_16_m8agzl_game_2_alt_profile,chip2__cohort_16_m8agzl__game_2_alt_profile,chip2__cohort_16_m8agzl__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 16-m8agzl,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,30.0,35.5,5.5,34.8,4.799999999999997,0.8727272727272722,0.8727272727272722,0.8518518518518517,0.2222222222222222,0.43333333333333335,1.599999999999999
chip_bargain__chip2_cohort_17_m8agzl_game_2_alt_profile,chip2__cohort_17_m8agzl__game_2_alt_profile,chip2__cohort_17_m8agzl__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 17-m8agzl,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,34.0,42.33333333333333,8.333333333333329,39.4,5.399999999999999,0.6480000000000002,0.6480000000000002,0.8756613756613757,0.4444444444444444,1.1555555555555554,1.7999999999999996
chip_bargain__chip2_cohort_18_m8agzl_game_2_alt_profile,chip2__cohort_18_m8agzl__game_2_alt_profile,chip2__cohort_18_m8agzl__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 18-m8agzl,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,24.0,27.0,3.0,27.0,3.0,1.0,1.0,1.2037037037037037,0.2222222222222222,0.5888888888888888,1.0
chip_bargain__chip2_cohort_19_m8agzl_game_2_alt_profile,chip2__cohort_19_m8agzl__game_2_alt_profile,chip2__cohort_19_m8agzl__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 19-m8agzl,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,40.0,43.888888888888886,3.8888888888888857,42.9,2.8999999999999986,0.745714285714286,0.745714285714286,0.9777777777777776,0.3333333333333333,1.488888888888889,0.9666666666666662
chip_bargain__chip2_cohort_20_m8agzl_game_2_alt_profile,chip2__cohort_20_m8agzl__game_2_alt_profile,chip2__cohort_20_m8agzl__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 20-m8agzl,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,human_gold,3,3,9,38.0,40.875,2.875,41.0,3.0,1.0434782608695652,1.0434782608695652,0.8564814814814815,0.3333333333333333,0.4444444444444444,1.0
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,3,3,9,41.0,60.85714285714286,19.85714285714286,51.0,10.0,0.5035971223021581,0.5035971223021581,1.0,0.3333333333333333,1.677777777777778,3.3333333333333335
chip_bargain__chip3_cohort_02_m8aiq8_game_1,chip3__cohort_02_m8aiq8__game_1,chip3__cohort_02_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 02-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,3,3,9,61.0,66.0,5.0,62.4,1.3999999999999986,0.2799999999999997,0.2799999999999997,1.2962962962962963,0.4444444444444444,1.2555555555555555,0.4666666666666662
chip_bargain__chip3_cohort_03_m8aiq8_game_1,chip3__cohort_03_m8aiq8__game_1,chip3__cohort_03_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 03-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,3,3,9,49.0,58.66666666666667,9.666666666666671,56.6,7.600000000000001,0.7862068965517239,0.7862068965517239,0.7567901234567902,0.4444444444444444,1.7333333333333332,2.5333333333333337
chip_bargain__chip3_cohort_04_m8aiq8_game_1,chip3__cohort_04_m8aiq8__game_1,chip3__cohort_04_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 04-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,3,3,9,47.0,72.0,25.0,69.3,22.299999999999997,0.8919999999999999,0.8919999999999999,1.1082010582010584,1.0,1.4777777777777776,7.433333333333333
chip_bargain__chip3_cohort_05_m8aiq8_game_1,chip3__cohort_05_m8aiq8__game_1,chip3__cohort_05_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 05-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,3,3,9,50.0,69.0,19.0,61.0,11.0,0.5789473684210527,0.5789473684210527,1.0,0.2222222222222222,2.2666666666666666,3.6666666666666665
chip_bargain__chip3_cohort_06_m8ak4g_game_1,chip3__cohort_06_m8ak4g__game_1,chip3__cohort_06_m8ak4g__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 06-m8ak4g,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,3,3,9,59.0,69.0,10.0,66.6,7.599999999999994,0.7599999999999995,0.7599999999999995,0.6925925925925926,0.2222222222222222,1.4666666666666666,2.5333333333333314
chip_bargain__chip3_cohort_07_m8ak4j_game_1,chip3__cohort_07_m8ak4j__game_1,chip3__cohort_07_m8ak4j__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 07-m8ak4j,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,3,3,9,62.0,74.33333333333333,12.333333333333329,70.5,8.5,0.6891891891891895,0.6891891891891895,0.8328042328042327,0.4444444444444444,2.4000000000000004,2.8333333333333335
chip_bargain__chip3_g11_m5wp7b_game_1,chip3__g11_m5wp7b__game_1,chip3__g11_m5wp7b__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,g11-m5wp7b,First negotiation game-negotiation1,GAME_1,🔵 3p1 (N= 54),human_gold,3,3,9,55.0,71.875,16.875,64.3,9.299999999999997,0.551111111111111,0.551111111111111,0.9052910052910055,0.7777777777777778,1.211111111111111,3.099999999999999
