n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID,ValInstr,UncIntr,ValUnc,3Qway
19,18,5,1,412,1,1,4,54b9acd9fdf99b34ce2578f9,412,18,7416,7416
20,69,6,1,468,1,1,4,54b9acd9fdf99b34ce2578f9,468,69,32292,32292
21,3,3,0,-437,1,1,4,54b9acd9fdf99b34ce2578f9,-437,3,-1311,-1311
22,22,5,0,-444,1,1,4,54b9acd9fdf99b34ce2578f9,-444,22,-9768,-9768
24,81,6,0,-496,1,1,4,54b9acd9fdf99b34ce2578f9,-496,81,-40176,-40176
25,92,6,0,-497,1,1,4,54b9acd9fdf99b34ce2578f9,-497,92,-45724,-45724
27,73,6,0,-451,1,1,4,54b9acd9fdf99b34ce2578f9,-451,73,-32923,-32923
28,75,6,1,492,1,1,4,54b9acd9fdf99b34ce2578f9,492,75,36900,36900
29,92,6,1,452,1,1,4,54b9acd9fdf99b34ce2578f9,452,92,41584,41584
30,64,5,0,-423,1,1,4,54b9acd9fdf99b34ce2578f9,-423,64,-27072,-27072
32,33,5,0,-494,1,1,4,54b9acd9fdf99b34ce2578f9,-494,33,-16302,-16302
33,39,5,1,407,1,1,4,54b9acd9fdf99b34ce2578f9,407,39,15873,15873
34,10,4,1,469,1,1,4,54b9acd9fdf99b34ce2578f9,469,10,4690,4690
35,7,3,1,438,1,1,4,54b9acd9fdf99b34ce2578f9,438,7,3066,3066
36,52,4,1,479,1,1,4,54b9acd9fdf99b34ce2578f9,479,52,24908,24908
37,70,6,0,-449,1,1,4,54b9acd9fdf99b34ce2578f9,-449,70,-31430,-31430
38,89,6,1,443,1,1,4,54b9acd9fdf99b34ce2578f9,443,89,39427,39427
40,48,4,1,443,1,1,4,54b9acd9fdf99b34ce2578f9,443,48,21264,21264
41,46,4,1,445,1,1,4,54b9acd9fdf99b34ce2578f9,445,46,20470,20470
42,43,4,1,415,1,1,4,54b9acd9fdf99b34ce2578f9,415,43,17845,17845
43,19,4,0,-439,1,1,4,54b9acd9fdf99b34ce2578f9,-439,19,-8341,-8341
44,26,4,0,-453,1,1,4,54b9acd9fdf99b34ce2578f9,-453,26,-11778,-11778
46,81,6,0,-477,1,1,4,54b9acd9fdf99b34ce2578f9,-477,81,-38637,-38637
47,97,6,1,457,1,1,4,54b9acd9fdf99b34ce2578f9,457,97,44329,44329
48,21,4,1,434,1,1,4,54b9acd9fdf99b34ce2578f9,434,21,9114,9114
1,31,6,1,433,0,1,4,558e734efdf99b3a5619b5d5,0,0,13423,0
2,54,6,1,425,0,1,4,558e734efdf99b3a5619b5d5,0,0,22950,0
3,17,6,0,-403,0,1,4,558e734efdf99b3a5619b5d5,0,0,-6851,0
4,95,6,0,-479,0,1,4,558e734efdf99b3a5619b5d5,0,0,-45505,0
5,9,6,1,449,0,1,4,558e734efdf99b3a5619b5d5,0,0,4041,0
7,66,6,0,-442,0,1,4,558e734efdf99b3a5619b5d5,0,0,-29172,0
8,40,6,0,-403,0,1,4,558e734efdf99b3a5619b5d5,0,0,-16120,0
9,49,6,0,-420,0,1,4,558e734efdf99b3a5619b5d5,0,0,-20580,0
11,57,6,1,429,0,1,4,558e734efdf99b3a5619b5d5,0,0,24453,0
12,98,6,0,-407,0,1,4,558e734efdf99b3a5619b5d5,0,0,-39886,0
13,53,6,0,-403,0,1,4,558e734efdf99b3a5619b5d5,0,0,-21359,0
14,67,6,1,420,0,1,4,558e734efdf99b3a5619b5d5,0,0,28140,0
15,81,6,0,-452,0,1,4,558e734efdf99b3a5619b5d5,0,0,-36612,0
17,55,6,1,468,0,1,4,558e734efdf99b3a5619b5d5,0,0,25740,0
18,77,6,1,460,0,1,4,558e734efdf99b3a5619b5d5,0,0,35420,0
19,39,6,0,-412,0,1,4,558e734efdf99b3a5619b5d5,0,0,-16068,0
20,46,6,0,-475,0,1,4,558e734efdf99b3a5619b5d5,0,0,-21850,0
21,8,6,0,-483,0,1,4,558e734efdf99b3a5619b5d5,0,0,-3864,0
22,51,6,1,413,0,1,4,558e734efdf99b3a5619b5d5,0,0,21063,0
24,5,6,1,409,0,1,4,558e734efdf99b3a5619b5d5,0,0,2045,0
25,76,6,0,-403,0,1,4,558e734efdf99b3a5619b5d5,0,0,-30628,0
27,65,6,1,449,0,1,4,558e734efdf99b3a5619b5d5,0,0,29185,0
28,60,6,1,455,0,1,4,558e734efdf99b3a5619b5d5,0,0,27300,0
29,32,6,1,458,0,1,4,558e734efdf99b3a5619b5d5,0,0,14656,0
30,53,6,1,455,0,1,4,558e734efdf99b3a5619b5d5,0,0,24115,0
32,50,6,0,-419,0,1,4,558e734efdf99b3a5619b5d5,0,0,-20950,0
33,50,6,0,-449,0,1,4,558e734efdf99b3a5619b5d5,0,0,-22450,0
34,48,6,0,-445,0,1,4,558e734efdf99b3a5619b5d5,0,0,-21360,0
35,7,6,0,-436,0,1,4,558e734efdf99b3a5619b5d5,0,0,-3052,0
36,67,6,1,469,0,1,4,558e734efdf99b3a5619b5d5,0,0,31423,0
37,62,6,0,-425,0,1,4,558e734efdf99b3a5619b5d5,0,0,-26350,0
38,73,6,1,414,0,1,4,558e734efdf99b3a5619b5d5,0,0,30222,0
40,79,6,0,-483,0,1,4,558e734efdf99b3a5619b5d5,0,0,-38157,0
41,63,6,0,-427,0,1,4,558e734efdf99b3a5619b5d5,0,0,-26901,0
42,72,6,0,-445,0,1,4,558e734efdf99b3a5619b5d5,0,0,-32040,0
43,61,6,0,-477,0,1,4,558e734efdf99b3a5619b5d5,0,0,-29097,0
44,99,6,0,-475,0,1,4,558e734efdf99b3a5619b5d5,0,0,-47025,0
46,43,6,0,-427,0,1,4,558e734efdf99b3a5619b5d5,0,0,-18361,0
47,29,6,1,443,0,1,4,558e734efdf99b3a5619b5d5,0,0,12847,0
48,83,6,0,-450,0,1,4,558e734efdf99b3a5619b5d5,0,0,-37350,0
1,86,6,1,411,1,1,4,558e734efdf99b3a5619b5d5,411,86,35346,35346
2,75,6,1,401,1,1,4,558e734efdf99b3a5619b5d5,401,75,30075,30075
3,75,6,1,485,1,1,4,558e734efdf99b3a5619b5d5,485,75,36375,36375
4,40,6,0,-465,1,1,4,558e734efdf99b3a5619b5d5,-465,40,-18600,-18600
5,41,6,0,-500,1,1,4,558e734efdf99b3a5619b5d5,-500,41,-20500,-20500
7,20,6,1,402,1,1,4,558e734efdf99b3a5619b5d5,402,20,8040,8040
8,46,6,1,473,1,1,4,558e734efdf99b3a5619b5d5,473,46,21758,21758
9,78,6,0,-444,1,1,4,558e734efdf99b3a5619b5d5,-444,78,-34632,-34632
11,28,6,1,478,1,1,4,558e734efdf99b3a5619b5d5,478,28,13384,13384
12,60,6,1,498,1,1,4,558e734efdf99b3a5619b5d5,498,60,29880,29880
13,52,6,0,-486,1,1,4,558e734efdf99b3a5619b5d5,-486,52,-25272,-25272
14,18,6,1,412,1,1,4,558e734efdf99b3a5619b5d5,412,18,7416,7416
15,21,6,1,464,1,1,4,558e734efdf99b3a5619b5d5,464,21,9744,9744
17,40,6,0,-477,1,1,4,558e734efdf99b3a5619b5d5,-477,40,-19080,-19080
18,20,6,0,-482,1,1,4,558e734efdf99b3a5619b5d5,-482,20,-9640,-9640
19,11,6,0,-412,1,1,4,558e734efdf99b3a5619b5d5,-412,11,-4532,-4532
20,79,6,0,-463,1,1,4,558e734efdf99b3a5619b5d5,-463,79,-36577,-36577
21,94,6,0,-487,1,1,4,558e734efdf99b3a5619b5d5,-487,94,-45778,-45778
22,72,6,1,467,1,1,4,558e734efdf99b3a5619b5d5,467,72,33624,33624
24,89,6,0,-438,1,1,4,558e734efdf99b3a5619b5d5,-438,89,-38982,-38982
25,74,6,1,431,1,1,4,558e734efdf99b3a5619b5d5,431,74,31894,31894
27,62,6,1,432,1,1,4,558e734efdf99b3a5619b5d5,432,62,26784,26784
28,84,6,1,463,1,1,4,558e734efdf99b3a5619b5d5,463,84,38892,38892
29,39,6,1,448,1,1,4,558e734efdf99b3a5619b5d5,448,39,17472,17472
30,93,6,1,463,1,1,4,558e734efdf99b3a5619b5d5,463,93,43059,43059
32,33,6,1,433,1,1,4,558e734efdf99b3a5619b5d5,433,33,14289,14289
33,23,6,0,-448,1,1,4,558e734efdf99b3a5619b5d5,-448,23,-10304,-10304
34,59,6,0,-429,1,1,4,558e734efdf99b3a5619b5d5,-429,59,-25311,-25311
35,15,6,0,-428,1,1,4,558e734efdf99b3a5619b5d5,-428,15,-6420,-6420
36,62,6,0,-428,1,1,4,558e734efdf99b3a5619b5d5,-428,62,-26536,-26536
37,90,6,0,-452,1,1,4,558e734efdf99b3a5619b5d5,-452,90,-40680,-40680
38,89,6,1,436,1,1,4,558e734efdf99b3a5619b5d5,436,89,38804,38804
40,85,6,0,-402,1,1,4,558e734efdf99b3a5619b5d5,-402,85,-34170,-34170
41,66,6,0,-479,1,1,4,558e734efdf99b3a5619b5d5,-479,66,-31614,-31614
42,32,6,0,-479,1,1,4,558e734efdf99b3a5619b5d5,-479,32,-15328,-15328
43,64,6,1,472,1,1,4,558e734efdf99b3a5619b5d5,472,64,30208,30208
44,24,6,1,491,1,1,4,558e734efdf99b3a5619b5d5,491,24,11784,11784
46,58,6,0,-425,1,1,4,558e734efdf99b3a5619b5d5,-425,58,-24650,-24650
47,69,6,1,476,1,1,4,558e734efdf99b3a5619b5d5,476,69,32844,32844
48,99,6,0,-402,1,1,4,558e734efdf99b3a5619b5d5,-402,99,-39798,-39798
1,42,6,0,-500,0,1,4,562a00dac8ffc20012513fbe,0,0,-21000,0
2,96,6,1,449,0,1,4,562a00dac8ffc20012513fbe,0,0,43104,0
3,54,6,0,-400,0,1,4,562a00dac8ffc20012513fbe,0,0,-21600,0
4,37,6,0,-401,0,1,4,562a00dac8ffc20012513fbe,0,0,-14837,0
5,69,6,1,404,0,1,4,562a00dac8ffc20012513fbe,0,0,27876,0
7,39,5,1,409,0,1,4,562a00dac8ffc20012513fbe,0,0,15951,0
8,94,6,1,481,0,1,4,562a00dac8ffc20012513fbe,0,0,45214,0
9,33,5,1,408,0,1,4,562a00dac8ffc20012513fbe,0,0,13464,0
11,19,6,0,-454,0,1,4,562a00dac8ffc20012513fbe,0,0,-8626,0
12,75,6,1,401,0,1,4,562a00dac8ffc20012513fbe,0,0,30075,0
13,65,4,1,453,0,1,4,562a00dac8ffc20012513fbe,0,0,29445,0
14,64,4,0,-410,0,1,4,562a00dac8ffc20012513fbe,0,0,-26240,0
15,67,6,1,409,0,1,4,562a00dac8ffc20012513fbe,0,0,27403,0
17,48,6,1,444,0,1,4,562a00dac8ffc20012513fbe,0,0,21312,0
18,65,4,1,428,0,1,4,562a00dac8ffc20012513fbe,0,0,27820,0
19,9,5,0,-411,0,1,4,562a00dac8ffc20012513fbe,0,0,-3699,0
20,97,6,1,479,0,1,4,562a00dac8ffc20012513fbe,0,0,46463,0
21,45,4,0,-420,0,1,4,562a00dac8ffc20012513fbe,0,0,-18900,0
22,17,4,0,-475,0,1,4,562a00dac8ffc20012513fbe,0,0,-8075,0
24,27,3,0,-459,0,1,4,562a00dac8ffc20012513fbe,0,0,-12393,0
25,30,6,1,489,0,1,4,562a00dac8ffc20012513fbe,0,0,14670,0
27,75,5,0,-421,0,1,4,562a00dac8ffc20012513fbe,0,0,-31575,0
28,86,6,0,-500,0,1,4,562a00dac8ffc20012513fbe,0,0,-43000,0
29,73,6,1,442,0,1,4,562a00dac8ffc20012513fbe,0,0,32266,0
30,67,5,1,425,0,1,4,562a00dac8ffc20012513fbe,0,0,28475,0
32,58,5,0,-440,0,1,4,562a00dac8ffc20012513fbe,0,0,-25520,0
33,86,6,1,458,0,1,4,562a00dac8ffc20012513fbe,0,0,39388,0
34,31,5,1,459,0,1,4,562a00dac8ffc20012513fbe,0,0,14229,0
35,95,6,1,470,0,1,4,562a00dac8ffc20012513fbe,0,0,44650,0
36,94,3,1,490,0,1,4,562a00dac8ffc20012513fbe,0,0,46060,0
37,90,3,1,419,0,1,4,562a00dac8ffc20012513fbe,0,0,37710,0
38,43,6,0,-445,0,1,4,562a00dac8ffc20012513fbe,0,0,-19135,0
40,59,5,0,-485,0,1,4,562a00dac8ffc20012513fbe,0,0,-28615,0
41,18,3,0,-496,0,1,4,562a00dac8ffc20012513fbe,0,0,-8928,0
42,12,3,0,-477,0,1,4,562a00dac8ffc20012513fbe,0,0,-5724,0
43,12,5,1,480,0,1,4,562a00dac8ffc20012513fbe,0,0,5760,0
44,21,5,1,416,0,1,4,562a00dac8ffc20012513fbe,0,0,8736,0
46,92,6,0,-457,0,1,4,562a00dac8ffc20012513fbe,0,0,-42044,0
47,24,3,0,-431,0,1,4,562a00dac8ffc20012513fbe,0,0,-10344,0
48,69,5,0,-446,0,1,4,562a00dac8ffc20012513fbe,0,0,-30774,0
1,5,6,0,-429,1,1,4,562a00dac8ffc20012513fbe,-429,5,-2145,-2145
2,16,6,1,455,1,1,4,562a00dac8ffc20012513fbe,455,16,7280,7280
3,14,6,1,488,1,1,4,562a00dac8ffc20012513fbe,488,14,6832,6832
4,60,6,0,-437,1,1,4,562a00dac8ffc20012513fbe,-437,60,-26220,-26220
5,16,6,1,491,1,1,4,562a00dac8ffc20012513fbe,491,16,7856,7856
7,57,6,0,-424,1,1,4,562a00dac8ffc20012513fbe,-424,57,-24168,-24168
8,94,6,1,491,1,1,4,562a00dac8ffc20012513fbe,491,94,46154,46154
9,8,6,0,-443,1,1,4,562a00dac8ffc20012513fbe,-443,8,-3544,-3544
11,13,6,1,432,1,1,4,562a00dac8ffc20012513fbe,432,13,5616,5616
12,82,6,0,-457,1,1,4,562a00dac8ffc20012513fbe,-457,82,-37474,-37474
13,29,6,1,476,1,1,4,562a00dac8ffc20012513fbe,476,29,13804,13804
14,12,6,0,-496,1,1,4,562a00dac8ffc20012513fbe,-496,12,-5952,-5952
15,1,6,1,485,1,1,4,562a00dac8ffc20012513fbe,485,1,485,485
17,72,6,1,488,1,1,4,562a00dac8ffc20012513fbe,488,72,35136,35136
18,13,6,1,417,1,1,4,562a00dac8ffc20012513fbe,417,13,5421,5421
19,42,6,1,467,1,1,4,562a00dac8ffc20012513fbe,467,42,19614,19614
20,63,6,1,408,1,1,4,562a00dac8ffc20012513fbe,408,63,25704,25704
21,48,6,1,472,1,1,4,562a00dac8ffc20012513fbe,472,48,22656,22656
22,64,6,0,-474,1,1,4,562a00dac8ffc20012513fbe,-474,64,-30336,-30336
24,79,6,1,450,1,1,4,562a00dac8ffc20012513fbe,450,79,35550,35550
25,90,6,1,401,1,1,4,562a00dac8ffc20012513fbe,401,90,36090,36090
27,54,6,1,414,1,1,4,562a00dac8ffc20012513fbe,414,54,22356,22356
28,11,6,0,-489,1,1,4,562a00dac8ffc20012513fbe,-489,11,-5379,-5379
29,97,6,0,-416,1,1,4,562a00dac8ffc20012513fbe,-416,97,-40352,-40352
30,90,6,1,463,1,1,4,562a00dac8ffc20012513fbe,463,90,41670,41670
32,17,6,0,-452,1,1,4,562a00dac8ffc20012513fbe,-452,17,-7684,-7684
33,27,6,0,-458,1,1,4,562a00dac8ffc20012513fbe,-458,27,-12366,-12366
34,65,6,0,-404,1,1,4,562a00dac8ffc20012513fbe,-404,65,-26260,-26260
35,80,6,0,-475,1,1,4,562a00dac8ffc20012513fbe,-475,80,-38000,-38000
36,34,6,0,-439,1,1,4,562a00dac8ffc20012513fbe,-439,34,-14926,-14926
37,49,6,1,411,1,1,4,562a00dac8ffc20012513fbe,411,49,20139,20139
38,75,6,0,-425,1,1,4,562a00dac8ffc20012513fbe,-425,75,-31875,-31875
40,74,6,0,-431,1,1,4,562a00dac8ffc20012513fbe,-431,74,-31894,-31894
41,86,6,0,-415,1,1,4,562a00dac8ffc20012513fbe,-415,86,-35690,-35690
42,93,6,1,434,1,1,4,562a00dac8ffc20012513fbe,434,93,40362,40362
43,54,6,0,-500,1,1,4,562a00dac8ffc20012513fbe,-500,54,-27000,-27000
44,88,6,1,414,1,1,4,562a00dac8ffc20012513fbe,414,88,36432,36432
46,57,6,0,-437,1,1,4,562a00dac8ffc20012513fbe,-437,57,-24909,-24909
47,48,6,1,494,1,1,4,562a00dac8ffc20012513fbe,494,48,23712,23712
48,24,6,1,422,1,1,4,562a00dac8ffc20012513fbe,422,24,10128,10128
1,97,4,1,410,0,1,4,563e35190980220011572d9a,0,0,39770,0
2,82,2,1,481,0,1,4,563e35190980220011572d9a,0,0,39442,0
3,86,3,1,500,0,1,4,563e35190980220011572d9a,0,0,43000,0
4,78,5,0,-400,0,1,4,563e35190980220011572d9a,0,0,-31200,0
5,59,3,0,-403,0,1,4,563e35190980220011572d9a,0,0,-23777,0
7,48,5,0,-492,0,1,4,563e35190980220011572d9a,0,0,-23616,0
8,67,3,1,497,0,1,4,563e35190980220011572d9a,0,0,33299,0
9,72,2,0,-411,0,1,4,563e35190980220011572d9a,0,0,-29592,0
11,78,5,1,457,0,1,4,563e35190980220011572d9a,0,0,35646,0
12,41,4,1,486,0,1,4,563e35190980220011572d9a,0,0,19926,0
13,52,4,0,-490,0,1,4,563e35190980220011572d9a,0,0,-25480,0
14,16,5,1,458,0,1,4,563e35190980220011572d9a,0,0,7328,0
15,1,1,0,-435,0,1,4,563e35190980220011572d9a,0,0,-435,0
17,82,4,0,-403,0,1,4,563e35190980220011572d9a,0,0,-33046,0
18,11,1,0,-464,0,1,4,563e35190980220011572d9a,0,0,-5104,0
19,93,1,0,-423,0,1,4,563e35190980220011572d9a,0,0,-39339,0
20,12,4,0,-455,0,1,4,563e35190980220011572d9a,0,0,-5460,0
21,47,5,1,470,0,1,4,563e35190980220011572d9a,0,0,22090,0
22,33,6,1,414,0,1,4,563e35190980220011572d9a,0,0,13662,0
24,59,5,1,484,0,1,4,563e35190980220011572d9a,0,0,28556,0
25,80,2,1,406,0,1,4,563e35190980220011572d9a,0,0,32480,0
27,96,4,0,-441,0,1,4,563e35190980220011572d9a,0,0,-42336,0
28,85,5,0,-415,0,1,4,563e35190980220011572d9a,0,0,-35275,0
29,70,4,1,463,0,1,4,563e35190980220011572d9a,0,0,32410,0
30,52,4,1,454,0,1,4,563e35190980220011572d9a,0,0,23608,0
32,91,1,0,-420,0,1,4,563e35190980220011572d9a,0,0,-38220,0
33,21,4,1,474,0,1,4,563e35190980220011572d9a,0,0,9954,0
34,23,5,0,-457,0,1,4,563e35190980220011572d9a,0,0,-10511,0
35,88,1,1,450,0,1,4,563e35190980220011572d9a,0,0,39600,0
36,79,2,0,-449,0,1,4,563e35190980220011572d9a,0,0,-35471,0
37,3,5,0,-449,0,1,4,563e35190980220011572d9a,0,0,-1347,0
38,5,2,0,-495,0,1,4,563e35190980220011572d9a,0,0,-2475,0
40,54,2,0,-489,0,1,4,563e35190980220011572d9a,0,0,-26406,0
41,1,5,1,435,0,1,4,563e35190980220011572d9a,0,0,435,0
42,59,4,1,495,0,1,4,563e35190980220011572d9a,0,0,29205,0
43,27,2,0,-466,0,1,4,563e35190980220011572d9a,0,0,-12582,0
44,35,4,1,442,0,1,4,563e35190980220011572d9a,0,0,15470,0
46,40,1,0,-421,0,1,4,563e35190980220011572d9a,0,0,-16840,0
47,60,2,1,488,0,1,4,563e35190980220011572d9a,0,0,29280,0
48,92,2,0,-458,0,1,4,563e35190980220011572d9a,0,0,-42136,0
1,6,5,0,-498,1,1,4,563e35190980220011572d9a,-498,6,-2988,-2988
2,37,6,1,498,1,1,4,563e35190980220011572d9a,498,37,18426,18426
3,28,6,0,-441,1,1,4,563e35190980220011572d9a,-441,28,-12348,-12348
4,8,6,1,471,1,1,4,563e35190980220011572d9a,471,8,3768,3768
5,48,6,0,-464,1,1,4,563e35190980220011572d9a,-464,48,-22272,-22272
7,47,6,0,-443,1,1,4,563e35190980220011572d9a,-443,47,-20821,-20821
8,14,6,0,-462,1,1,4,563e35190980220011572d9a,-462,14,-6468,-6468
9,51,5,0,-500,1,1,4,563e35190980220011572d9a,-500,51,-25500,-25500
11,82,6,1,425,1,1,4,563e35190980220011572d9a,425,82,34850,34850
12,25,6,1,447,1,1,4,563e35190980220011572d9a,447,25,11175,11175
13,12,6,1,446,1,1,4,563e35190980220011572d9a,446,12,5352,5352
14,17,6,0,-405,1,1,4,563e35190980220011572d9a,-405,17,-6885,-6885
15,90,5,1,459,1,1,4,563e35190980220011572d9a,459,90,41310,41310
17,51,4,1,470,1,1,4,563e35190980220011572d9a,470,51,23970,23970
18,73,5,0,-443,1,1,4,563e35190980220011572d9a,-443,73,-32339,-32339
19,74,5,0,-470,1,1,4,563e35190980220011572d9a,-470,74,-34780,-34780
20,76,3,0,-483,1,1,4,563e35190980220011572d9a,-483,76,-36708,-36708
21,77,6,0,-500,1,1,4,563e35190980220011572d9a,-500,77,-38500,-38500
22,76,6,1,432,1,1,4,563e35190980220011572d9a,432,76,32832,32832
24,92,3,1,426,1,1,4,563e35190980220011572d9a,426,92,39192,39192
25,53,5,0,-422,1,1,4,563e35190980220011572d9a,-422,53,-22366,-22366
27,10,6,0,-443,1,1,4,563e35190980220011572d9a,-443,10,-4430,-4430
28,63,5,1,405,1,1,4,563e35190980220011572d9a,405,63,25515,25515
29,81,5,1,401,1,1,4,563e35190980220011572d9a,401,81,32481,32481
30,88,5,0,-438,1,1,4,563e35190980220011572d9a,-438,88,-38544,-38544
32,94,5,0,-486,1,1,4,563e35190980220011572d9a,-486,94,-45684,-45684
33,89,5,1,427,1,1,4,563e35190980220011572d9a,427,89,38003,38003
34,19,4,0,-432,1,1,4,563e35190980220011572d9a,-432,19,-8208,-8208
35,75,5,0,-441,1,1,4,563e35190980220011572d9a,-441,75,-33075,-33075
36,34,5,1,491,1,1,4,563e35190980220011572d9a,491,34,16694,16694
37,38,5,1,435,1,1,4,563e35190980220011572d9a,435,38,16530,16530
38,89,5,0,-470,1,1,4,563e35190980220011572d9a,-470,89,-41830,-41830
40,21,5,0,-451,1,1,4,563e35190980220011572d9a,-451,21,-9471,-9471
41,92,5,0,-444,1,1,4,563e35190980220011572d9a,-444,92,-40848,-40848
42,53,5,0,-434,1,1,4,563e35190980220011572d9a,-434,53,-23002,-23002
43,42,4,0,-499,1,1,4,563e35190980220011572d9a,-499,42,-20958,-20958
44,43,5,0,-442,1,1,4,563e35190980220011572d9a,-442,43,-19006,-19006
46,19,3,1,496,1,1,4,563e35190980220011572d9a,496,19,9424,9424
47,42,3,1,402,1,1,4,563e35190980220011572d9a,402,42,16884,16884
48,20,4,0,-420,1,1,4,563e35190980220011572d9a,-420,20,-8400,-8400
1,98,6,0,-412,0,1,4,56504ecf1b3cda000f544e92,0,0,-40376,0
2,22,2,0,-487,0,1,4,56504ecf1b3cda000f544e92,0,0,-10714,0
