n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,Task1Seek,check,ID,SeekFirst1,Predicted_MC,Old1,ValInstr,UncIntr,ValUnc,3w
15,89,0,0,442,0,2,4,5658000ca9872d0011e1ba26,0,-449,0,0,0,39338,0
17,78,1,0,-454,0,2,4,5658000ca9872d0011e1ba26,0,-454,0,0,0,-35412,0
18,91,0,0,-486,0,2,4,5658000ca9872d0011e1ba26,0,-455,0,0,0,-44226,0
19,7,6,0,-432,0,2,4,5658000ca9872d0011e1ba26,0,-432,0,0,0,-3024,0
20,62,1,1,430,0,2,4,5658000ca9872d0011e1ba26,0,430,0,0,0,26660,0
21,52,2,0,-407,0,2,4,5658000ca9872d0011e1ba26,0,-407,0,0,0,-21164,0
22,19,5,0,-420,0,2,4,5658000ca9872d0011e1ba26,0,-420,0,0,0,-7980,0
24,1,6,0,-442,0,2,4,5658000ca9872d0011e1ba26,0,-442,0,0,0,-442,0
25,52,2,0,-462,0,2,4,5658000ca9872d0011e1ba26,0,-462,0,0,0,-24024,0
27,14,6,1,488,0,2,4,5658000ca9872d0011e1ba26,0,488,0,0,0,6832,0
28,18,6,1,401,0,2,4,5658000ca9872d0011e1ba26,0,401,0,0,0,7218,0
29,59,2,0,-450,0,2,4,5658000ca9872d0011e1ba26,0,-496,0,0,0,-26550,0
30,33,4,0,422,0,2,4,5658000ca9872d0011e1ba26,0,-460,0,0,0,13926,0
32,76,1,1,464,0,2,4,5658000ca9872d0011e1ba26,0,464,0,0,0,35264,0
33,98,0,0,443,0,2,4,5658000ca9872d0011e1ba26,0,-456,0,0,0,43414,0
34,49,3,1,474,0,2,4,5658000ca9872d0011e1ba26,0,474,0,0,0,23226,0
35,57,2,1,487,0,2,4,5658000ca9872d0011e1ba26,0,487,0,0,0,27759,0
36,3,6,1,444,0,2,4,5658000ca9872d0011e1ba26,0,444,0,0,0,1332,0
37,41,4,0,-480,0,2,4,5658000ca9872d0011e1ba26,0,-480,0,0,0,-19680,0
38,36,2,1,-403,0,2,4,5658000ca9872d0011e1ba26,0,437,0,0,0,-14508,0
40,10,6,0,-424,0,2,4,5658000ca9872d0011e1ba26,0,-424,0,0,0,-4240,0
41,31,5,0,-468,0,2,4,5658000ca9872d0011e1ba26,0,-468,0,0,0,-14508,0
42,55,3,1,-456,0,2,4,5658000ca9872d0011e1ba26,0,423,0,0,0,-25080,0
43,8,6,0,-459,0,2,4,5658000ca9872d0011e1ba26,0,-459,0,0,0,-3672,0
44,15,6,0,-429,0,2,4,5658000ca9872d0011e1ba26,0,-429,0,0,0,-6435,0
46,40,4,0,488,0,2,4,5658000ca9872d0011e1ba26,0,-403,0,0,0,19520,0
47,27,5,0,-427,0,2,4,5658000ca9872d0011e1ba26,0,-427,0,0,0,-11529,0
48,28,5,1,492,0,2,4,5658000ca9872d0011e1ba26,0,492,0,0,0,13776,0
1,83,1,0,472,1,2,4,5658000ca9872d0011e1ba26,0,-438,0,472,83,39176,39176
2,44,4,0,-400,1,2,4,5658000ca9872d0011e1ba26,0,-400,0,-400,44,-17600,-17600
3,74,3,0,-478,1,2,4,5658000ca9872d0011e1ba26,0,-478,0,-478,74,-35372,-35372
4,15,6,1,439,1,2,4,5658000ca9872d0011e1ba26,0,439,0,439,15,6585,6585
5,33,5,0,-474,1,2,4,5658000ca9872d0011e1ba26,0,-407,0,-474,33,-15642,-15642
7,55,3,1,401,1,2,4,5658000ca9872d0011e1ba26,0,401,0,401,55,22055,22055
8,42,4,0,-429,1,2,4,5658000ca9872d0011e1ba26,0,-420,0,-429,42,-18018,-18018
9,12,6,0,-486,1,2,4,5658000ca9872d0011e1ba26,0,-430,0,-486,12,-5832,-5832
11,89,0,0,-442,1,2,4,5658000ca9872d0011e1ba26,0,-415,0,-442,89,-39338,-39338
