n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID,Old1
19,26,6,1,428,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
20,89,1,0,-499,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
21,88,1,0,-473,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
22,64,0,0,-475,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
24,73,0,0,-470,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
25,76,6,1,421,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
27,63,0,0,-424,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
28,51,0,0,-474,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
29,53,6,1,480,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
30,91,2,0,-437,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
32,99,3,0,-466,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
33,65,0,0,-456,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
34,60,0,0,-482,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
35,19,0,0,-480,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
36,77,6,1,444,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
37,41,3,1,417,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
38,53,6,1,472,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
40,93,4,1,459,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
41,86,5,1,420,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
42,71,5,1,462,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
43,65,2,0,-435,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
44,91,3,1,412,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
46,62,4,1,441,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
47,61,0,0,-478,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
48,86,6,1,475,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
1,35,0,0,-408,1,1,2,5ecc5d22a5e08e45bf551927,1
2,14,6,1,489,1,1,2,5ecc5d22a5e08e45bf551927,1
3,18,6,1,435,1,1,2,5ecc5d22a5e08e45bf551927,1
4,98,1,1,449,1,1,2,5ecc5d22a5e08e45bf551927,1
5,89,1,1,454,1,1,2,5ecc5d22a5e08e45bf551927,1
7,57,2,1,429,1,1,2,5ecc5d22a5e08e45bf551927,1
8,86,1,1,424,1,1,2,5ecc5d22a5e08e45bf551927,1
9,47,0,0,-447,1,1,2,5ecc5d22a5e08e45bf551927,1
11,84,0,0,-491,1,1,2,5ecc5d22a5e08e45bf551927,1
12,28,0,0,-433,1,1,2,5ecc5d22a5e08e45bf551927,1
13,67,4,0,-488,1,1,2,5ecc5d22a5e08e45bf551927,1
14,32,6,1,473,1,1,2,5ecc5d22a5e08e45bf551927,1
15,22,6,1,458,1,1,2,5ecc5d22a5e08e45bf551927,1
17,15,0,0,-476,1,1,2,5ecc5d22a5e08e45bf551927,1
18,65,0,0,-458,1,1,2,5ecc5d22a5e08e45bf551927,1
19,36,0,0,-400,1,1,2,5ecc5d22a5e08e45bf551927,1
20,3,0,0,-453,1,1,2,5ecc5d22a5e08e45bf551927,1
21,1,0,0,-488,1,1,2,5ecc5d22a5e08e45bf551927,1
22,71,2,1,467,1,1,2,5ecc5d22a5e08e45bf551927,1
24,71,1,0,-492,1,1,2,5ecc5d22a5e08e45bf551927,1
25,66,2,1,436,1,1,2,5ecc5d22a5e08e45bf551927,1
27,7,6,1,442,1,1,2,5ecc5d22a5e08e45bf551927,1
28,41,0,0,-428,1,1,2,5ecc5d22a5e08e45bf551927,1
29,72,2,1,413,1,1,2,5ecc5d22a5e08e45bf551927,1
30,1,0,0,-404,1,1,2,5ecc5d22a5e08e45bf551927,1
32,80,5,0,-475,1,1,2,5ecc5d22a5e08e45bf551927,1
33,23,5,1,415,1,1,2,5ecc5d22a5e08e45bf551927,1
34,36,5,1,401,1,1,2,5ecc5d22a5e08e45bf551927,1
35,87,1,1,477,1,1,2,5ecc5d22a5e08e45bf551927,1
36,63,1,0,-450,1,1,2,5ecc5d22a5e08e45bf551927,1
37,21,0,0,-445,1,1,2,5ecc5d22a5e08e45bf551927,1
38,75,2,1,430,1,1,2,5ecc5d22a5e08e45bf551927,1
40,55,0,0,-402,1,1,2,5ecc5d22a5e08e45bf551927,1
41,31,0,0,-469,1,1,2,5ecc5d22a5e08e45bf551927,1
42,8,6,1,411,1,1,2,5ecc5d22a5e08e45bf551927,1
43,11,6,1,412,1,1,2,5ecc5d22a5e08e45bf551927,1
44,72,3,0,-479,1,1,2,5ecc5d22a5e08e45bf551927,1
46,69,1,0,-427,1,1,2,5ecc5d22a5e08e45bf551927,1
47,48,4,1,416,1,1,2,5ecc5d22a5e08e45bf551927,1
48,41,5,1,442,1,1,2,5ecc5d22a5e08e45bf551927,1
1,49,6,1,460,0,1,2,5a745be1000dab00018c02e2,1
2,26,6,1,473,0,1,2,5a745be1000dab00018c02e2,1
3,39,6,0,-483,0,1,2,5a745be1000dab00018c02e2,1
4,7,6,1,401,0,1,2,5a745be1000dab00018c02e2,1
5,12,6,0,-426,0,1,2,5a745be1000dab00018c02e2,1
7,57,6,1,451,0,1,2,5a745be1000dab00018c02e2,1
8,27,6,0,-475,0,1,2,5a745be1000dab00018c02e2,1
9,82,6,0,-473,0,1,2,5a745be1000dab00018c02e2,1
11,57,6,1,436,0,1,2,5a745be1000dab00018c02e2,1
12,89,6,1,474,0,1,2,5a745be1000dab00018c02e2,1
13,61,6,1,454,0,1,2,5a745be1000dab00018c02e2,1
14,3,6,0,-412,0,1,2,5a745be1000dab00018c02e2,1
15,42,6,0,-408,0,1,2,5a745be1000dab00018c02e2,1
17,77,6,0,-440,0,1,2,5a745be1000dab00018c02e2,1
18,18,6,0,-451,0,1,2,5a745be1000dab00018c02e2,1
19,62,6,1,443,0,1,2,5a745be1000dab00018c02e2,1
20,24,6,1,472,0,1,2,5a745be1000dab00018c02e2,1
21,92,6,0,-494,0,1,2,5a745be1000dab00018c02e2,1
22,92,6,0,-456,0,1,2,5a745be1000dab00018c02e2,1
24,79,6,1,489,0,1,2,5a745be1000dab00018c02e2,1
25,96,6,0,-469,0,1,2,5a745be1000dab00018c02e2,1
27,21,6,1,432,0,1,2,5a745be1000dab00018c02e2,1
28,97,6,1,424,0,1,2,5a745be1000dab00018c02e2,1
29,89,6,1,445,0,1,2,5a745be1000dab00018c02e2,1
30,6,6,1,410,0,1,2,5a745be1000dab00018c02e2,1
32,54,6,1,414,0,1,2,5a745be1000dab00018c02e2,1
33,89,6,1,420,0,1,2,5a745be1000dab00018c02e2,1
34,55,6,1,481,0,1,2,5a745be1000dab00018c02e2,1
35,92,6,0,-444,0,1,2,5a745be1000dab00018c02e2,1
36,94,6,0,-495,0,1,2,5a745be1000dab00018c02e2,1
37,51,6,1,425,0,1,2,5a745be1000dab00018c02e2,1
38,46,6,0,-475,0,1,2,5a745be1000dab00018c02e2,1
40,79,6,0,-453,0,1,2,5a745be1000dab00018c02e2,1
41,3,6,0,-498,0,1,2,5a745be1000dab00018c02e2,1
42,96,6,0,-483,0,1,2,5a745be1000dab00018c02e2,1
43,85,6,1,477,0,1,2,5a745be1000dab00018c02e2,1
44,27,6,1,406,0,1,2,5a745be1000dab00018c02e2,1
46,97,6,1,427,0,1,2,5a745be1000dab00018c02e2,1
47,12,6,0,-433,0,1,2,5a745be1000dab00018c02e2,1
48,97,6,1,459,0,1,2,5a745be1000dab00018c02e2,1
1,26,6,1,494,0,1,2,5eca84a2a964d75ae6d3e807,1
2,66,6,0,-468,0,1,2,5eca84a2a964d75ae6d3e807,1
3,18,3,0,-473,0,1,2,5eca84a2a964d75ae6d3e807,1
4,91,6,0,-442,0,1,2,5eca84a2a964d75ae6d3e807,1
5,2,1,0,-405,0,1,2,5eca84a2a964d75ae6d3e807,1
7,73,6,1,453,0,1,2,5eca84a2a964d75ae6d3e807,1
8,40,4,1,443,0,1,2,5eca84a2a964d75ae6d3e807,1
9,31,3,0,-448,0,1,2,5eca84a2a964d75ae6d3e807,1
11,57,6,0,-458,0,1,2,5eca84a2a964d75ae6d3e807,1
12,1,0,1,409,0,1,2,5eca84a2a964d75ae6d3e807,1
13,87,6,0,-499,0,1,2,5eca84a2a964d75ae6d3e807,1
14,9,6,0,-459,0,1,2,5eca84a2a964d75ae6d3e807,1
15,17,5,0,-409,0,1,2,5eca84a2a964d75ae6d3e807,1
17,72,6,1,443,0,1,2,5eca84a2a964d75ae6d3e807,1
18,7,6,1,403,0,1,2,5eca84a2a964d75ae6d3e807,1
19,83,6,1,486,0,1,2,5eca84a2a964d75ae6d3e807,1
20,89,6,0,-473,0,1,2,5eca84a2a964d75ae6d3e807,1
21,10,6,1,434,0,1,2,5eca84a2a964d75ae6d3e807,1
22,13,1,0,-444,0,1,2,5eca84a2a964d75ae6d3e807,1
24,10,6,1,432,0,1,2,5eca84a2a964d75ae6d3e807,1
25,87,6,1,401,0,1,2,5eca84a2a964d75ae6d3e807,1
27,98,6,1,481,0,1,2,5eca84a2a964d75ae6d3e807,1
28,29,6,0,-454,0,1,2,5eca84a2a964d75ae6d3e807,1
29,52,6,1,457,0,1,2,5eca84a2a964d75ae6d3e807,1
30,33,6,0,-500,0,1,2,5eca84a2a964d75ae6d3e807,1
32,24,6,0,-499,0,1,2,5eca84a2a964d75ae6d3e807,1
33,74,6,0,-466,0,1,2,5eca84a2a964d75ae6d3e807,1
34,6,5,1,429,0,1,2,5eca84a2a964d75ae6d3e807,1
35,69,5,1,492,0,1,2,5eca84a2a964d75ae6d3e807,1
36,47,3,0,-487,0,1,2,5eca84a2a964d75ae6d3e807,1
37,71,5,0,-499,0,1,2,5eca84a2a964d75ae6d3e807,1
38,66,6,1,497,0,1,2,5eca84a2a964d75ae6d3e807,1
40,8,6,0,-454,0,1,2,5eca84a2a964d75ae6d3e807,1
41,26,6,0,-431,0,1,2,5eca84a2a964d75ae6d3e807,1
42,82,6,1,455,0,1,2,5eca84a2a964d75ae6d3e807,1
43,6,4,0,-403,0,1,2,5eca84a2a964d75ae6d3e807,1
44,36,6,1,498,0,1,2,5eca84a2a964d75ae6d3e807,1
46,90,6,0,-447,0,1,2,5eca84a2a964d75ae6d3e807,1
47,19,5,0,-414,0,1,2,5eca84a2a964d75ae6d3e807,1
48,62,6,0,-429,0,1,2,5eca84a2a964d75ae6d3e807,1
1,75,5,0,-405,0,1,2,5f4cce17fdda0b1e673aff64,1
2,58,4,0,-463,0,1,2,5f4cce17fdda0b1e673aff64,1
3,93,6,0,-444,0,1,2,5f4cce17fdda0b1e673aff64,1
4,70,2,1,456,0,1,2,5f4cce17fdda0b1e673aff64,1
5,45,3,0,-407,0,1,2,5f4cce17fdda0b1e673aff64,1
7,41,3,1,428,0,1,2,5f4cce17fdda0b1e673aff64,1
8,2,0,1,433,0,1,2,5f4cce17fdda0b1e673aff64,1
9,48,3,1,471,0,1,2,5f4cce17fdda0b1e673aff64,1
11,65,3,0,-472,0,1,2,5f4cce17fdda0b1e673aff64,1
12,69,3,1,476,0,1,2,5f4cce17fdda0b1e673aff64,1
13,98,1,1,476,0,1,2,5f4cce17fdda0b1e673aff64,1
14,43,3,1,483,0,1,2,5f4cce17fdda0b1e673aff64,1
