n_trial,uncertainty,share,Predicted_MC_1up,Predicted_MC,Instr,Task1Seek,check,ID,mc_model,,ValInstr,UncIntr,ValUnc,3Qway
22,65,6,0,-484,1,2,4,54b9acd9fdf99b34ce2578f9,-484,0,-484,65,-31460,-31460
24,3,1,0,-415,1,2,4,54b9acd9fdf99b34ce2578f9,-415,0,-415,3,-1245,-1245
25,88,5,0,-440,1,2,4,54b9acd9fdf99b34ce2578f9,-460,0,-460,88,-40480,-40480
27,35,4,0,-481,1,2,4,54b9acd9fdf99b34ce2578f9,-481,0,-481,35,-16835,-16835
28,76,5,1,422,1,2,4,54b9acd9fdf99b34ce2578f9,422,0,422,76,32072,32072
29,68,6,0,-466,1,2,4,54b9acd9fdf99b34ce2578f9,-466,0,-466,68,-31688,-31688
30,17,1,0,-452,1,2,4,54b9acd9fdf99b34ce2578f9,-452,0,-452,17,-7684,-7684
32,97,5,1,431,1,2,4,54b9acd9fdf99b34ce2578f9,-408,0,-408,97,-39576,-39576
33,75,5,0,-479,1,2,4,54b9acd9fdf99b34ce2578f9,-479,0,-479,75,-35925,-35925
34,44,4,1,474,1,2,4,54b9acd9fdf99b34ce2578f9,474,0,474,44,20856,20856
35,94,6,1,425,1,2,4,54b9acd9fdf99b34ce2578f9,473,0,473,94,44462,44462
36,52,4,1,420,1,2,4,54b9acd9fdf99b34ce2578f9,420,0,420,52,21840,21840
37,79,5,1,405,1,2,4,54b9acd9fdf99b34ce2578f9,-476,0,-476,79,-37604,-37604
38,57,5,0,-451,1,2,4,54b9acd9fdf99b34ce2578f9,-421,0,-421,57,-23997,-23997
40,96,6,1,406,1,2,4,54b9acd9fdf99b34ce2578f9,423,0,423,96,40608,40608
41,28,3,0,-407,1,2,4,54b9acd9fdf99b34ce2578f9,-407,0,-407,28,-11396,-11396
42,24,3,1,453,1,2,4,54b9acd9fdf99b34ce2578f9,450,0,450,24,10800,10800
43,74,6,0,-409,1,2,4,54b9acd9fdf99b34ce2578f9,-409,0,-409,74,-30266,-30266
44,59,6,0,-471,1,2,4,54b9acd9fdf99b34ce2578f9,-471,0,-471,59,-27789,-27789
46,96,4,1,483,1,2,4,54b9acd9fdf99b34ce2578f9,400,0,400,96,38400,38400
47,6,1,1,409,1,2,4,54b9acd9fdf99b34ce2578f9,409,0,409,6,2454,2454
48,84,4,0,-424,1,2,4,54b9acd9fdf99b34ce2578f9,-406,0,-406,84,-34104,-34104
1,53,6,1,456,0,2,4,558e734efdf99b3a5619b5d5,-481,0,0,0,-25493,0
2,52,6,0,-475,0,2,4,558e734efdf99b3a5619b5d5,471,0,0,0,24492,0
