cohortName,stageName,g_lp_val,init_val,round_avgs,best_val,worst_val,mean_val
Cohort 07-m896vn,First negotiation game-negotiation1,87.0000,72.0000,"[72.0000, 77.8000, 79.8800, 81.4800, 81.4800, 81.8400, 82.9200, 83.2800, 83.6400, 85.8000]",87.0000,81.0000,85.8000
Cohort 07-m896vn,Second negotiation game-negotiation2_alternate_profile,59.6667,54.0000,"[54.0000, 56.7000, 58.5333, 58.8889, 59.3944, 59.4278, 59.4278, 59.6333, 59.6667, 59.6667]",59.6667,59.6667,59.6667
Cohort 01-m898xg,First negotiation game-negotiation1,93.0000,67.0000,"[67.0000, 80.3000, 83.3000, 86.4500, 88.4500, 88.4500, 90.4500, 90.4500, 91.2500, 91.2500]",93.0000,84.2500,91.2500
Cohort 01-m898xg,Second negotiation game-negotiation2_alternate_profile,97.6667,82.0000,"[82.0000, 91.0000, 94.2667, 96.6000, 97.0000, 97.2000, 97.2000, 97.4000, 97.4000, 97.4000]",97.6667,97.0000,97.4000
Cohort 02-m898xg,First negotiation game-negotiation1,85.0000,58.0000,"[58.0000, 67.2000, 81.4000, 81.4000, 81.4000, 81.4000, 81.4000, 81.4000, 81.4000, 81.4000]",85.0000,79.0000,81.4000
Cohort 02-m898xg,Second negotiation game-negotiation2_alternate_profile,69.0000,58.0000,"[58.0000, 63.0000, 66.5000, 67.1000, 67.7000, 68.5333, 68.7667, 68.7667, 68.7667, 68.7667]",69.0000,68.0000,68.7667
Cohort 03-m898xg,First negotiation game-negotiation1,83.0000,61.0000,"[61.0000, 73.0400, 76.9200, 79.4000, 80.6000, 81.0400, 81.9400, 81.9400, 81.9400, 81.9400]",82.8000,79.0000,81.9400
Cohort 03-m898xg,Second negotiation game-negotiation2_alternate_profile,85.2500,60.0000,"[60.0000, 71.7500, 74.6357, 79.8357, 80.4357, 80.4357, 80.4357, 80.4357, 80.4357, 80.4357]",81.9643,78.5000,80.4357
Cohort 05-m898xg,First negotiation game-negotiation1,73.8333,56.0000,"[56.0000, 64.3333, 65.1333, 67.8667, 67.8667, 67.8667, 67.8667, 67.8667, 67.8667, 67.8667]",71.0000,66.3333,67.8667
Cohort 05-m898xg,Second negotiation game-negotiation2_alternate_profile,84.0000,61.0000,"[61.0000, 68.6000, 74.0000, 81.2000, 83.2000, 83.2000, 83.2000, 84.0000, 84.0000, 84.0000]",84.0000,84.0000,84.0000
Cohort 06-m89b9z,First negotiation game-negotiation1,62.0000,54.0000,"[54.0000, 57.2667, 60.6167, 60.7667, 60.8333, 60.8333, 60.8333, 60.8333, 60.8333, 60.8333]",61.8333,60.1667,60.8333
Cohort 06-m89b9z,Second negotiation game-negotiation2_alternate_profile,93.3750,76.0000,"[76.0000, 83.8000, 86.8000, 89.3333, 90.9333, 90.9333, 91.7333, 91.7333, 92.6667, 92.6667]",92.6667,92.6667,92.6667
Cohort 01-m8aboy,First negotiation game-negotiation1,71.5000,59.0000,"[59.0000, 65.8000, 67.4333, 69.3667, 69.3667, 69.3667, 69.3667, 69.3667, 69.3667, 69.3667]",69.8333,67.8333,69.3667
Cohort 01-m8aboy,Second negotiation game-negotiation2_alternate_profile,94.4444,76.0000,"[76.0000, 80.9333, 87.5333, 87.9778, 89.8653, 91.7528, 91.8861, 94.1736, 94.1736, 94.2403]",94.4375,93.8889,94.2403
Cohort 02-m8aboy,First negotiation game-negotiation1,72.0000,55.0000,"[55.0000, 59.4000, 68.3750, 70.8750, 71.4750, 71.6750, 71.6750, 71.6750, 71.9625, 71.9625]",72.0000,71.8750,71.9625
Cohort 02-m8aboy,Second negotiation game-negotiation2_alternate_profile,73.8000,65.0000,"[65.0000, 67.7200, 72.4800, 72.7200, 73.4400, 73.5200, 73.6400, 73.6400, 73.6400, 73.7200]",73.8000,73.4000,73.7200
Cohort 03-m8aboy,First negotiation game-negotiation1,82.5714,64.0000,"[64.0000, 68.8000, 76.8571, 78.4571, 80.7429, 80.7429, 81.1429, 81.1429, 81.1429, 81.1429]",81.1429,81.1429,81.1429
Cohort 03-m8aboy,Second negotiation game-negotiation2_alternate_profile,96.1667,71.0000,"[71.0000, 83.8000, 92.9286, 93.0286, 93.8286, 93.9429, 93.9429, 93.9429, 93.9429, 93.9429]",95.2500,92.5000,93.9429
Cohort 04-m8aboy,First negotiation game-negotiation1,71.1429,56.0000,"[56.0000, 62.2000, 65.0371, 67.5171, 69.7543, 69.7543, 69.7543, 69.7543, 69.7543, 70.1543]",70.4000,69.6857,70.1543
Cohort 04-m8aboy,Second negotiation game-negotiation2_alternate_profile,84.7500,64.0000,"[64.0000, 75.9000, 79.3500, 79.9500, 79.9500, 81.4300, 81.4300, 81.4300, 81.9100, 82.1100]",84.2500,80.0000,82.1100
Cohort 05-m8aboy,First negotiation game-negotiation1,82.4375,68.0000,"[68.0000, 76.0000, 79.7571, 80.9571, 81.3114, 81.4543, 81.4543, 81.5971, 81.7400, 81.7400]",82.2143,80.2000,81.7400
Cohort 05-m8aboy,Second negotiation game-negotiation2_alternate_profile,78.0000,53.0000,"[53.0000, 63.2000, 66.4000, 70.4000, 74.4000, 74.4000, 74.6000, 74.6000, 74.6000, 74.6000]",75.5000,74.0000,74.6000
Cohort 06-m8acrp,First negotiation game-negotiation1,98.0000,67.0000,"[67.0000, 76.5500, 80.9500, 91.5000, 92.7000, 92.7000, 95.6500, 95.6500, 96.8500, 96.8500]",97.7500,96.2500,96.8500
Cohort 06-m8acrp,Second negotiation game-negotiation2_alternate_profile,90.0000,60.0000,"[60.0000, 73.8000, 80.4500, 81.4500, 81.4500, 83.4500, 83.4500, 83.4500, 83.4500, 83.4500]",83.7500,83.0000,83.4500
Cohort 07-m8ad4g,First negotiation game-negotiation1,81.0000,55.0000,"[55.0000, 62.8000, 73.8000, 77.2000, 77.2000, 81.0000, 81.0000, 81.0000, 81.0000, 81.0000]",81.0000,81.0000,81.0000
Cohort 07-m8ad4g,Second negotiation game-negotiation2_alternate_profile,81.0000,61.0000,"[61.0000, 67.0000, 69.4000, 78.2000, 78.4286, 78.5429, 78.5429, 78.5429, 78.6571, 79.7571]",80.5000,79.5714,79.7571
Cohort 08-m8ad5n,First negotiation game-negotiation1,63.0000,51.0000,"[51.0000, 57.0000, 59.2000, 61.1000, 61.2875, 61.9292, 62.0167, 62.0167, 62.0167, 62.0167]",62.5000,61.4583,62.0167
Cohort 08-m8ad5n,Second negotiation game-negotiation2_alternate_profile,93.0000,61.0000,"[61.0000, 72.4000, 78.5000, 78.5000, 86.9000, 86.9000, 88.1000, 88.4000, 88.4000, 88.4000]",90.0000,88.0000,88.4000
