config,metric,sim_mean,human_mean,human_std
VALIDATION_17_C,reward_rate,0.0,0.0,0.0
VALIDATION_17_T,reward_rate,0.0,0.0,0.0
VALIDATION_18_C,reward_rate,0.0,0.0,0.0
VALIDATION_18_T,reward_rate,0.0,0.0,0.0
VALIDATION_19_C,reward_rate,0.75,0.20617816091954022,0.19168384480741524
VALIDATION_19_T,reward_rate,1.0,0.1192528735632184,0.11735084758754462
VALIDATION_1_C,reward_rate,0.0,0.0,0.0
VALIDATION_1_T,reward_rate,0.0,0.0,0.0
VALIDATION_2_C,reward_rate,1.0,0.2729166666666667,0.22533732429897677
VALIDATION_2_T,reward_rate,1.0,0.19166666666666668,0.116963907063485
VALIDATION_3_C,reward_rate,0.7564102564102564,0.2173076923076923,0.16734207329226594
VALIDATION_3_T,reward_rate,0.9743589743589743,0.10314685314685315,0.09708002061985455
VALIDATION_4_C,reward_rate,1.0,0.33035714285714285,0.19087105648599956
VALIDATION_4_T,reward_rate,1.0,0.13035714285714284,0.10775124886818278
VALIDATION_5_C,reward_rate,1.0,0.3993055555555556,0.2531390504407107
VALIDATION_5_T,reward_rate,0.041666666666666664,0.2326388888888889,0.1819855233524814
VALIDATION_6_C,reward_rate,0.0,0.0,0.0
VALIDATION_6_T,reward_rate,0.0,0.0,0.0
VALIDATION_7_C,reward_rate,0.0,0.0,0.0
VALIDATION_7_T,reward_rate,0.0,0.0,0.0
VALIDATION_8_C,reward_rate,0.5,0.2916666666666667,0.15774745405000762
VALIDATION_8_T,reward_rate,0.6666666666666666,0.22916666666666666,0.16710013077105507
VALIDATION_9_C,reward_rate,1.0,0.39012345679012345,0.1275613960798962
VALIDATION_9_T,reward_rate,0.3111111111111111,0.1537037037037037,0.06722162704222452
VALIDATION_0_C,normalized_efficiency,0.8,0.6472222222222223,0.13295664381971467
VALIDATION_0_T,normalized_efficiency,0.8724358974358974,0.757051282051282,0.15924402445619576
VALIDATION_10_C,normalized_efficiency,0.5277777777777778,0.6462121212121212,0.26444060541541303
VALIDATION_10_T,normalized_efficiency,-0.4817901234567902,0.4926206509539843,0.28628821305543223
VALIDATION_11_C,normalized_efficiency,1.0,0.7173659673659674,0.12467321894630179
VALIDATION_11_T,normalized_efficiency,1.0,0.7299181082075819,0.15043076848295645
VALIDATION_12_C,normalized_efficiency,0.9722222222222222,0.7314814814814815,0.1484372179803833
VALIDATION_12_T,normalized_efficiency,0.8688271604938271,0.7600522976680384,0.1580493985597359
VALIDATION_13_C,normalized_efficiency,-0.016596638655462185,0.7752029220779221,0.10411921159991032
VALIDATION_13_T,normalized_efficiency,0.47531512605042014,0.8123734721161192,0.11153001582676435
VALIDATION_14_C,normalized_efficiency,0.7482456140350878,0.7596125730994152,0.15871401102775576
VALIDATION_14_T,normalized_efficiency,0.950767543859649,0.7124817251461988,0.32648661965585374
VALIDATION_15_C,normalized_efficiency,1.0492788461538463,0.6389222756410257,0.1260843130019357
VALIDATION_15_T,normalized_efficiency,-2.2537774725274726,0.5572864635364635,0.24713145500522682
VALIDATION_16_C,normalized_efficiency,1.0,0.7533333333333333,0.1937734454153823
VALIDATION_16_T,normalized_efficiency,-231.77333333333334,0.566,0.2761338913026178
VALIDATION_17_C,normalized_efficiency,1.0,0.5516959064327486,0.08474560810443667
VALIDATION_17_T,normalized_efficiency,0.9485964912280702,0.5383747831116252,0.1034916056189846
VALIDATION_18_C,normalized_efficiency,0.5108695652173914,0.5969202898550725,0.23757971887523557
VALIDATION_18_T,normalized_efficiency,1.0,0.6209239130434783,0.24506475754195853
VALIDATION_19_C,normalized_efficiency,0.5171336206896553,0.5849317528735632,0.16820640816007845
VALIDATION_19_T,normalized_efficiency,0.630926724137931,0.5563846982758621,0.23231923978277552
VALIDATION_1_C,normalized_efficiency,0.58125,0.5803819444444445,0.2506598761369985
VALIDATION_1_T,normalized_efficiency,-0.45,0.3802083333333333,0.42146456372063146
VALIDATION_2_C,normalized_efficiency,0.8515909090909092,0.5747916666666666,0.13232873496418768
VALIDATION_2_T,normalized_efficiency,0.8475000000000003,0.5640435606060606,0.18505566656965608
VALIDATION_3_C,normalized_efficiency,0.5883928571428573,0.6214468864468865,0.252749740524997
VALIDATION_3_T,normalized_efficiency,0.6074175824175824,0.7581439393939394,0.18645571497127056
VALIDATION_4_C,normalized_efficiency,1.0,0.6473214285714286,0.13911103974002575
VALIDATION_4_T,normalized_efficiency,1.0,0.6088169642857143,0.18025935650241443
VALIDATION_5_C,normalized_efficiency,1.4583333333333333,0.8177083333333334,0.4409369062119587
VALIDATION_5_T,normalized_efficiency,-0.5590277777777778,0.5847800925925926,0.31172247129024233
VALIDATION_6_C,normalized_efficiency,0.40312499999999996,0.6726161858974359,0.10850205754116886
VALIDATION_6_T,normalized_efficiency,0.6980836944745396,0.6140052252618273,0.14490998435593483
VALIDATION_7_C,normalized_efficiency,0.8647368421052631,0.8499122807017544,0.13172616033775678
VALIDATION_7_T,normalized_efficiency,0.8915413533834586,0.7965570175438597,0.14899007250531843
VALIDATION_8_C,normalized_efficiency,0.5645833333333334,0.603125,0.1566736797008618
VALIDATION_8_T,normalized_efficiency,-0.38263888888888886,0.5047453703703704,0.17777909643367046
VALIDATION_9_C,normalized_efficiency,1.1190946502057615,0.6252903520804756,0.12918694893405622
VALIDATION_9_T,normalized_efficiency,-0.19717421124828527,0.5233333333333333,0.1273668239318995
