model_name,score_family,metric,score
gpt-5.1 baseline,rmse_of_config_means,final_round_normalized_efficiency,0.5055262317525993
gpt-5.1 twin,rmse_of_config_means,final_round_normalized_efficiency,0.4367503505286219
gpt-5-mini baseline,rmse_of_config_means,final_total_contribution_rate,0.5826948719986664
gpt-5-mini twin,rmse_of_config_means,final_total_contribution_rate,0.36803123345154143
gpt-5.1 baseline,rmse_of_config_means,final_total_contribution_rate,0.45729932801339557
gpt-5.1 twin,rmse_of_config_means,final_total_contribution_rate,0.3756620874808957
gpt-5-mini baseline,rmse_of_config_means,mean_round_normalized_efficiency,0.377159195924569
gpt-5-mini twin,rmse_of_config_means,mean_round_normalized_efficiency,0.2534344987450353
gpt-5.1 baseline,rmse_of_config_means,mean_round_normalized_efficiency,0.24664756583269518
gpt-5.1 twin,rmse_of_config_means,mean_round_normalized_efficiency,0.19491972518145476
gpt-5-mini baseline,rmse_of_config_means,mean_total_contribution_rate,0.32526955483639985
gpt-5-mini twin,rmse_of_config_means,mean_total_contribution_rate,0.20356163490886742
gpt-5.1 baseline,rmse_of_config_means,mean_total_contribution_rate,0.20415239885668138
gpt-5.1 twin,rmse_of_config_means,mean_total_contribution_rate,0.15403923026933575
gpt-5-mini baseline,rmse_of_config_means,mean_within_round_contribution_rate_var,0.04110275298663652
gpt-5-mini twin,rmse_of_config_means,mean_within_round_contribution_rate_var,0.04243282672222506
gpt-5.1 baseline,rmse_of_config_means,mean_within_round_contribution_rate_var,0.06113699665592489
gpt-5.1 twin,rmse_of_config_means,mean_within_round_contribution_rate_var,0.05803509321815914
gpt-5-mini baseline,rmse_of_config_means,round_normalized_efficiency_decay_slope,0.5450552235977626
gpt-5-mini twin,rmse_of_config_means,round_normalized_efficiency_decay_slope,0.4253688710177014
gpt-5.1 baseline,rmse_of_config_means,round_normalized_efficiency_decay_slope,0.5624404186674201
gpt-5.1 twin,rmse_of_config_means,round_normalized_efficiency_decay_slope,0.4556291752069857
gpt-5-mini baseline,rmse_of_config_means,total_contribution_rate_decay_slope,0.4628864005627951
gpt-5-mini twin,rmse_of_config_means,total_contribution_rate_decay_slope,0.31813430597403547
gpt-5.1 baseline,rmse_of_config_means,total_contribution_rate_decay_slope,0.48015186172908847
gpt-5.1 twin,rmse_of_config_means,total_contribution_rate_decay_slope,0.35721686739009195
