method,metric,point,bootstrap_mean,ci_low,ci_high,n_boot,n_groups,split,factor,direction,best_k_oracle,best_k_synthetic
config_only,r2,-0.17916053964851764,-0.3154436172969279,-1.5063370756776082,0.40727263560706434,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
config_only,r2_oos_train_mean,0.11215528523274287,0.0869963944127555,-0.483993883521813,0.5174327815582701,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
config_only,rmse,0.08693678546583916,0.08616550619348448,0.062009927391367264,0.10987562950850772,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
synthetic,r2,-0.1540420104958835,-0.293856051146653,-1.568879069056445,0.4125931363106874,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
synthetic,r2_oos_train_mean,0.1310681920007567,0.10310152840754747,-0.5069461015270543,0.5016149386289236,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
synthetic,rmse,0.08600583539889416,0.08534796398240667,0.06139172620667363,0.1086768067356053,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
oracle,r2,0.06943217990340922,-0.04658551186808641,-1.0937425281143396,0.539798590069708,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
oracle,r2_oos_train_mean,0.2993322851089316,0.26228519605022727,-0.3382029694324465,0.6511230163796422,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
oracle,rmse,0.07723090506828151,0.0765953657921186,0.056981584229527246,0.09709372675915486,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
noise_ceiling,r2,0.33179961298351945,0.25053663755578004,-0.6025609892485582,0.6978230632169473,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
noise_ceiling,r2_oos_train_mean,0.49688090631420256,0.47700359761545563,0.03197668230047115,0.7675869861731173,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
noise_ceiling,rmse,0.06544409564908064,0.06460669467258096,0.046359194095670554,0.08759620791735627,3000,26,show_other_summaries/false_to_true,show_other_summaries,false_to_true,8,10
config_only,r2,-1.0624758908358372,-1.3482380772093239,-3.284526866982906,-0.21252187333459965,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
config_only,r2_oos_train_mean,-0.6636970165101954,-0.8023508095555268,-2.69778640175063,0.2929981400829959,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
config_only,rmse,0.10383226941354934,0.1025512509455646,0.07255346492652313,0.13626720616301843,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
synthetic,r2,-0.9856113757450289,-1.2940544947458288,-3.3868669821174673,-0.2463974596597472,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
synthetic,r2_oos_train_mean,-0.6016942241380352,-0.7399779472791334,-2.487198406679187,0.2680182299970799,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
synthetic,rmse,0.10187908413662305,0.10094824110541384,0.07353134240823454,0.1276321516686362,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
oracle,r2,-0.8844037506284486,-1.160949270174745,-3.333877393624709,-0.003455554540709992,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
oracle,r2_oos_train_mean,-0.5200550521590113,-0.6903634801152684,-2.832841070850473,0.4850817828349045,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
oracle,rmse,0.09924871349878424,0.09796102121638511,0.06307805633699444,0.1306512153696072,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
noise_ceiling,r2,0.6713373321019059,0.5858662665306715,-0.03252481197645248,0.872633771755126,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
noise_ceiling,r2_oos_train_mean,0.7348841252157636,0.6991362835174298,0.2871613556542201,0.9013169629575651,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
noise_ceiling,rmse,0.0414489080843346,0.04102040649304068,0.029595481109224425,0.05187517608405348,3000,14,show_other_summaries/true_to_false,show_other_summaries,true_to_false,12,12
config_only,r2,-0.010764172309445819,-0.12660401432430002,-1.0962589080574852,0.45590551591248346,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
config_only,r2_oos_train_mean,0.0021268203600509628,-0.05797745106411931,-0.9746723719499312,0.47168816591176643,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
config_only,rmse,0.06987943625199328,0.06912463684415726,0.04498199077698876,0.0922286866478097,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
synthetic,r2,0.0752870321482455,-0.035717709173197436,-0.9193821882387629,0.5634786675602568,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
synthetic,r2_oos_train_mean,0.08708055275031545,0.028429154346569067,-0.800959494971312,0.5823743953473531,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
synthetic,rmse,0.0668386927092576,0.06614751086923971,0.04166915835433505,0.08956116962191511,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
oracle,r2,0.23100041716052122,0.14221374065902528,-0.60718542803951,0.5591672412918367,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
oracle,r2_oos_train_mean,0.24080801447828093,0.1941620053819651,-0.4750293246867679,0.5730177348584152,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
oracle,rmse,0.06095193887778418,0.06038298428077807,0.0420284656727819,0.07819576636925447,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
noise_ceiling,r2,0.5280683995998383,0.4377736450161413,-0.3434802755458813,0.7444156213789404,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
noise_ceiling,r2_oos_train_mean,0.534087278155221,0.4697875311084084,-0.2163406169475599,0.7825442835870975,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
noise_ceiling,rmse,0.04774896938814905,0.04757836721685674,0.03772170316441923,0.056977222139620524,3000,20,show_punishment_id/false_to_true,show_punishment_id,false_to_true,8,10
config_only,r2,-0.09786225706672469,-0.22570389574094324,-1.5424646650845293,0.5126647914950614,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
config_only,r2_oos_train_mean,0.027701665190088764,-0.026348694514203696,-0.9822424773274505,0.5599037667976915,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
config_only,rmse,0.08868035892706212,0.08771841861499899,0.06260153155491828,0.11541141257798715,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
synthetic,r2,-0.13869784648779326,-0.2663305614024619,-1.4147846907826893,0.41123082156982393,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
synthetic,r2_oos_train_mean,-0.008463505203115673,-0.058143004275124206,-0.868641088078448,0.46611025514239435,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
synthetic,rmse,0.09031455874647769,0.08974053516867654,0.06852881052050099,0.11201822562782378,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
oracle,r2,0.1395977356213598,0.058869645447523586,-0.6955123494519295,0.5335428055646597,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
oracle,r2_oos_train_mean,0.23800305226160545,0.20582634705995986,-0.3854148653277287,0.6022587244330847,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
oracle,rmse,0.07850625978802706,0.07787171123577594,0.05681744875695368,0.09648540678640284,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
noise_ceiling,r2,0.3731218795311554,0.32593617529630425,-0.4643410782428807,0.7533212276222742,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
noise_ceiling,r2_oos_train_mean,0.44481873865568156,0.4360543074637315,-0.17312839779361028,0.7822820827343067,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
noise_ceiling,rmse,0.06701084137109427,0.06499380468623076,0.041871367139625325,0.09282896657869795,3000,20,show_punishment_id/true_to_false,show_punishment_id,true_to_false,12,6
