tag,config_column,n_rows,n_values_after_grouping,n_clusters,mi_bits,nmi_by_hc,js_weighted_bits,tv_weighted,cramers_v,chi2_pvalue,chi2_dof
COMMUNICATION,CONFIG_numRounds,1734,30,15,0.3677972501363105,0.09449578779227957,0.09900906486153142,0.2683051102251064,0.19199621889203383,7.624300841448545e-39,406
REWARD,CONFIG_numRounds,1815,27,15,0.365668030654287,0.09469003972216332,0.09893271490860371,0.27690306521260694,0.18765242096127424,1.3788063348405672e-46,364
RESPONSE_TO_PUNISHER,CONFIG_playerCount,847,16,15,0.33940343220763813,0.0872322057539454,0.09394586594843149,0.25801460533670467,0.17774339390276025,2.1425711976408447e-11,210
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_chat,1825,2,15,0.3181296319275275,0.08161019815565144,0.09159876137046752,0.25999444548695816,0.6025634587649816,2.4244332551156377e-132,14
RESPONSE_TO_REWARDER,CONFIG_punishmentMagnitude,858,12,15,0.31734951884521423,0.08219062628818712,0.0868245112480294,0.23666737303100935,0.19900590022183826,2.6569339695000287e-20,154
RESPONSE_TO_END_GAME,CONFIG_numRounds,1886,30,15,0.32208050807764427,0.082790069457565,0.08621327105665239,0.2488271001710432,0.17919262397360633,2.3988829112935418e-33,406
RESPONSE_TO_PUNISHER,CONFIG_punishmentMagnitude,847,13,15,0.2703744042868392,0.06949062215411266,0.07391601601310706,0.22499438953233092,0.17485207556413415,1.3668166103354161e-10,168
RESPONSE_TO_PUNISHER,CONFIG_chat,847,2,15,0.22744291347585616,0.05845653032013206,0.061601384661665065,0.23262323165725546,0.5319613580765458,3.8832441530012424e-43,14
COMMUNICATION,CONFIG_playerCount,1734,19,15,0.22508791881091378,0.05783039487837137,0.060748202693070075,0.20414925587576777,0.14748842903422443,1.0953783696299606e-21,252
CONTRIBUTION,CONFIG_allOrNothing,3691,2,15,0.2156700279607031,0.05552084345535937,0.05995193650026894,0.2188806223607608,0.5091902176097962,2.6375376908073897e-195,14
REWARD,CONFIG_punishmentExists,1815,2,15,0.20846826253100245,0.053983029428497205,0.05711838772185675,0.20712914266633276,0.5051367222351265,5.9779040467860145e-90,14
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_playerCount,1825,19,15,0.20302467189007337,0.052082176699621396,0.054396741250659526,0.19984027021955342,0.1394092619922814,3.6864308345972315e-18,252
PUNISHMENT,CONFIG_chat,1812,2,15,0.2030458925978753,0.05243441248463403,0.05321464700069227,0.246683259506162,0.5139512526488141,3.1173440570233836e-93,14
COMMUNICATION,CONFIG_punishmentMagnitude,1734,15,15,0.18886774855971525,0.048524578914306886,0.04926808974523015,0.1873517505244855,0.13791219954552622,1.7153561238651622e-23,196
REWARD,CONFIG_playerCount,1815,19,15,0.17593206742843281,0.045557754730138074,0.046627035180019274,0.17953964893108393,0.13082289807066225,6.681364599407848e-12,252
RESPONSE_TO_END_GAME,CONFIG_playerCount,1886,19,15,0.16795530665689454,0.043172533435456545,0.04467699848932242,0.18524198509079007,0.12648544930348904,9.309296996740181e-11,252
REWARD,CONFIG_chat,1815,2,15,0.16725517384284186,0.04331086594192631,0.04425661874976064,0.20843810000834795,0.4634949788496351,1.6883318521576984e-74,14
RESPONSE_TO_END_GAME,CONFIG_punishmentExists,1886,2,15,0.1515304243234448,0.038950554411221944,0.04296165314130896,0.1547075116193552,0.4212929771221734,6.4895670739032e-63,14
RESPONSE_TO_END_GAME,CONFIG_punishmentMagnitude,1886,15,15,0.16186698160558355,0.041607543188493946,0.04245606496535037,0.17588549438908563,0.12562637534239696,5.278533216059834e-18,196
PUNISHMENT,CONFIG_playerCount,1812,19,15,0.15268960383533176,0.039430443862625175,0.0411288168582756,0.17040827887665744,0.11870010076324791,1.3677201885975771e-05,252
PUNISHMENT,CONFIG_punishmentMagnitude,1812,16,15,0.13798728253846448,0.03563372791088558,0.03626112553805236,0.15730243312915124,0.1162628437738372,1.8777920623543505e-08,210
CONTRIBUTION,CONFIG_playerCount,3691,19,15,0.100929430576656,0.025982688313584856,0.026211994843691445,0.1424939778607244,0.09882606746309293,4.759124948243894e-19,252
CONTRIBUTION,CONFIG_punishmentMagnitude,3691,16,15,0.09205138022901374,0.023697174428317227,0.02402743159521262,0.11765230927396603,0.09746140216286078,1.5518512548787912e-24,210
COMMUNICATION,CONFIG_rewardMagnitude,1734,6,15,0.04968799203177488,0.01276601700833526,0.013090736320356433,0.09761849647926202,0.11360530799683222,0.0010915064051460496,70
