treatment_name,metric,generated_game_count,human_game_count,generated_treatment_mean,human_treatment_mean,abs_error,squared_error
VALIDATION_15_C,mean_total_contribution_rate,11,11,0.6638361638361638,0.6560780128961947,0.007758150939969122,6.018890600734377e-05
VALIDATION_15_T,mean_total_contribution_rate,9,9,0.7490842490842491,0.8450065983399316,0.09592234925568255,0.009201097086729143
VALIDATION_16_C,mean_total_contribution_rate,10,10,0.3713333333333333,0.8465396825396825,0.4752063492063492,0.2258210743260267
VALIDATION_16_T,mean_total_contribution_rate,8,8,0.8766666666666667,0.8576851851851852,0.018981481481481488,0.00036029663923182467
VALIDATION_17_C,mean_total_contribution_rate,11,11,0.3417464114832536,0.6217183444350627,0.2799719329518091,0.07838428324077229
VALIDATION_17_T,mean_total_contribution_rate,8,8,0.4585526315789473,0.7132947470486171,0.25474211546966974,0.06489354539396255
VALIDATION_18_C,mean_total_contribution_rate,12,12,0.5371376811594203,0.6132246376811595,0.07608695652173925,0.005789224952741039
VALIDATION_18_T,mean_total_contribution_rate,10,10,0.5706521739130436,0.7278985507246376,0.15724637681159404,0.024726423020373818
VALIDATION_19_C,mean_total_contribution_rate,10,10,0.5781896551724138,0.6382902298850575,0.06010057471264363,0.003612079080790059
VALIDATION_19_T,mean_total_contribution_rate,10,10,0.6117672413793105,0.8140660919540229,0.20229885057471242,0.04092482494384982
VALIDATION_1_C,mean_total_contribution_rate,8,8,0.3178385416666667,0.7180989583333334,0.4002604166666667,0.16020840115017362
VALIDATION_1_T,mean_total_contribution_rate,8,8,0.5819010416666667,0.5815104166666667,0.0003906249999999778,1.5258789062498267e-07
VALIDATION_2_C,mean_total_contribution_rate,9,9,0.6816666666666666,0.5927777777777778,0.0888888888888888,0.007901234567901217
VALIDATION_2_T,mean_total_contribution_rate,11,11,0.6829545454545455,0.63625,0.0467045454545455,0.0021813145661157066
VALIDATION_3_C,mean_total_contribution_rate,9,9,0.8447649572649573,0.6416524216524215,0.20311253561253573,0.041254702122953596
VALIDATION_3_T,mean_total_contribution_rate,10,10,0.8833333333333332,0.8729807692307692,0.010352564102564021,0.0001071755834976972
VALIDATION_4_C,mean_total_contribution_rate,12,12,0.5892857142857144,0.6674107142857143,0.07812499999999989,0.006103515624999983
VALIDATION_4_T,mean_total_contribution_rate,9,9,0.6408730158730159,0.7804232804232804,0.13955026455026442,0.019474276336048788
VALIDATION_5_C,mean_total_contribution_rate,9,9,0.4537037037037038,0.6574074074074074,0.20370370370370366,0.04149519890260629
VALIDATION_5_T,mean_total_contribution_rate,12,12,0.46875,0.7395833333333334,0.27083333333333337,0.07335069444444446
VALIDATION_6_C,mean_total_contribution_rate,12,12,0.3099358974358975,0.7100946362665113,0.40015873883061376,0.16012701626250736
VALIDATION_6_T,mean_total_contribution_rate,11,11,0.653277972027972,0.7705997364378047,0.11732176440983266,0.013764396404236278
VALIDATION_7_C,mean_total_contribution_rate,11,11,0.3710287081339713,0.9035639287612972,0.532535220627326,0.2835937612085947
VALIDATION_7_T,mean_total_contribution_rate,12,12,0.8845614035087719,0.8626699561403509,0.02189144736842097,0.00047923546788434536
VALIDATION_8_C,mean_total_contribution_rate,12,12,0.7461805555555555,0.6371527777777778,0.10902777777777772,0.011887056327160483
VALIDATION_8_T,mean_total_contribution_rate,11,11,0.7598484848484849,0.6191666666666668,0.14068181818181813,0.019791373966942135
VALIDATION_9_C,mean_total_contribution_rate,11,11,0.699191919191919,0.6517405742405742,0.04745134495134484,0.0022516301376915198
VALIDATION_9_T,mean_total_contribution_rate,11,11,0.6430303030303031,0.703251676774404,0.06022137374410097,0.0036266138556266935
