treatment_name,player,most_aligned_count,most_aligned_share,treatment_total
VALIDATION_16_T,CHICK,1,0.03125,32
VALIDATION_16_T,GORILLA,1,0.03125,32
VALIDATION_17_C,DOG,18,0.5625,32
VALIDATION_17_C,OWL,8,0.25,32
VALIDATION_17_C,COW,5,0.15625,32
VALIDATION_17_C,MOOSE,1,0.03125,32
VALIDATION_17_T,GORILLA,26,0.8125,32
VALIDATION_17_T,SLOTH,4,0.125,32
VALIDATION_17_T,RABBIT,1,0.03125,32
VALIDATION_17_T,MONKEY,1,0.03125,32
VALIDATION_18_C,DUCK,29,0.90625,32
VALIDATION_18_C,CHICKEN,2,0.0625,32
VALIDATION_18_C,GORILLA,1,0.03125,32
VALIDATION_18_T,SLOTH,17,0.53125,32
VALIDATION_18_T,GORILLA,15,0.46875,32
VALIDATION_19_C,GORILLA,19,0.59375,32
VALIDATION_19_C,SLOTH,10,0.3125,32
VALIDATION_19_C,CHICKEN,3,0.09375,32
VALIDATION_19_T,SLOTH,17,0.53125,32
VALIDATION_19_T,GORILLA,9,0.28125,32
VALIDATION_19_T,DUCK,4,0.125,32
VALIDATION_19_T,CHICKEN,2,0.0625,32
VALIDATION_1_C,SLOTH,29,0.90625,32
VALIDATION_1_C,DUCK,2,0.0625,32
VALIDATION_1_C,GORILLA,1,0.03125,32
VALIDATION_1_T,SLOTH,28,0.875,32
VALIDATION_1_T,GORILLA,4,0.125,32
VALIDATION_2_C,DUCK,16,0.5,32
VALIDATION_2_C,GORILLA,14,0.4375,32
VALIDATION_2_C,SLOTH,2,0.0625,32
VALIDATION_2_T,GORILLA,27,0.84375,32
VALIDATION_2_T,DUCK,5,0.15625,32
VALIDATION_3_C,SLOTH,29,0.90625,32
VALIDATION_3_C,GORILLA,3,0.09375,32
VALIDATION_3_T,GORILLA,20,0.625,32
VALIDATION_3_T,DUCK,7,0.21875,32
VALIDATION_3_T,DOG,4,0.125,32
VALIDATION_3_T,CHICKEN,1,0.03125,32
VALIDATION_4_C,DUCK,18,0.5625,32
VALIDATION_4_C,SLOTH,14,0.4375,32
VALIDATION_4_T,MOOSE,21,0.65625,32
VALIDATION_4_T,DOG,8,0.25,32
VALIDATION_4_T,SLOTH,3,0.09375,32
VALIDATION_5_C,DUCK,27,0.84375,32
VALIDATION_5_C,SLOTH,5,0.15625,32
VALIDATION_5_T,GORILLA,32,1.0,32
VALIDATION_6_C,RABBIT,14,0.4375,32
VALIDATION_6_C,SLOTH,10,0.3125,32
VALIDATION_6_C,DUCK,6,0.1875,32
VALIDATION_6_C,CROCODILE,1,0.03125,32
VALIDATION_6_C,DOG,1,0.03125,32
VALIDATION_6_T,MOOSE,15,0.46875,32
VALIDATION_6_T,SLOTH,6,0.1875,32
VALIDATION_6_T,RABBIT,5,0.15625,32
VALIDATION_6_T,CHICK,2,0.0625,32
VALIDATION_6_T,PARROT,2,0.0625,32
VALIDATION_6_T,GORILLA,1,0.03125,32
VALIDATION_6_T,CHICKEN,1,0.03125,32
VALIDATION_7_C,DOG,16,0.5,32
VALIDATION_7_C,SLOTH,10,0.3125,32
VALIDATION_7_C,RABBIT,5,0.15625,32
VALIDATION_7_C,GORILLA,1,0.03125,32
VALIDATION_7_T,OWL,15,0.46875,32
VALIDATION_7_T,SLOTH,10,0.3125,32
VALIDATION_7_T,DUCK,4,0.125,32
VALIDATION_7_T,PARROT,3,0.09375,32
VALIDATION_8_C,SLOTH,27,0.84375,32
VALIDATION_8_C,GORILLA,4,0.125,32
VALIDATION_8_C,DOG,1,0.03125,32
VALIDATION_8_T,CHICKEN,24,0.75,32
VALIDATION_8_T,GORILLA,8,0.25,32
VALIDATION_9_C,COW,27,0.84375,32
VALIDATION_9_C,PARROT,3,0.09375,32
VALIDATION_9_C,GORILLA,1,0.03125,32
VALIDATION_9_C,SLOTH,1,0.03125,32
VALIDATION_9_T,OWL,24,0.75,32
VALIDATION_9_T,COW,4,0.125,32
VALIDATION_9_T,MOOSE,3,0.09375,32
VALIDATION_9_T,MONKEY,1,0.03125,32
