split_slug,direction,target,model_label,feature_source,k,oracle,env_val_mean_cluster_mae,env_val_avg_l1,mae,rmse,corr
default_contrib_prop,true_to_false,normalized_efficiency,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.20119583964128165,0.8047833585651266,0.13990263367546477,0.163611579267082,0.2457891135829765
default_contrib_prop,true_to_false,normalized_efficiency,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.07660156080770299,0.09056940384613522,0.7982210126575149
default_contrib_prop,true_to_false,normalized_efficiency,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.10081547702609306,0.12085121229156913,0.5786542303387182
default_contrib_prop,true_to_false,normalized_efficiency,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.13680679352262193,0.8208407611357316,0.12443963170857168,0.15409561640692407,0.3481385616009765
default_contrib_prop,true_to_false,normalized_efficiency,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.13680679352262193,0.8208407611357316,0.12503415475174093,0.1495861853854134,0.27733486313792305
mpcr,high_to_low,contribution_rate,ridge_config,config,,False,,,0.06534168598775514,0.07542771078440527,0.6317378422696244
mpcr,high_to_low,contribution_rate,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.07185246642158553,0.0873673570905756,0.6702865459888935
mpcr,high_to_low,contribution_rate,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.05756119376112643,0.0672728584474527,0.7640747536045692
mpcr,high_to_low,contribution_rate,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.21067520189443625,0.8427008075777451,0.07599941557789092,0.08944074069859238,0.37934090661841047
mpcr,high_to_low,contribution_rate,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.21067520189443625,0.8427008075777451,0.06914188603562328,0.0784886787414752,0.609871252752977
mpcr,high_to_low,contribution_rate,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.07447904211797515,0.08828495307105748,0.8050596700462251
mpcr,high_to_low,contribution_rate,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.06095101555352818,0.07717813306282602,0.7927141049050106
mpcr,high_to_low,contribution_rate,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.14296376328392363,0.8577825797035419,0.0740397036273136,0.09064423978522888,0.34487509965790375
mpcr,high_to_low,contribution_rate,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.14296376328392363,0.8577825797035419,0.0720615642066913,0.08387576108600762,0.43435477911018966
mpcr,high_to_low,normalized_efficiency,ridge_config,config,,False,,,0.08115809525364164,0.09273729152620831,0.6513889823571942
mpcr,high_to_low,normalized_efficiency,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.09565668797067002,0.11722252175180851,0.6076670752145278
mpcr,high_to_low,normalized_efficiency,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.07711300962375253,0.0895562524093009,0.6852764300089178
mpcr,high_to_low,normalized_efficiency,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.21067520189443625,0.8427008075777451,0.09519806786098758,0.10855063170319057,0.4227513268008263
mpcr,high_to_low,normalized_efficiency,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.21067520189443625,0.8427008075777451,0.08015326793777222,0.09242508602326364,0.5763730346902594
mpcr,high_to_low,normalized_efficiency,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.09541768723141415,0.11090219251621593,0.7068543004233367
mpcr,high_to_low,normalized_efficiency,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.0746431887637792,0.08731777073136389,0.7141562745925685
mpcr,high_to_low,normalized_efficiency,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.14296376328392363,0.8577825797035419,0.08948945091436138,0.10822088367322838,0.41279691290992043
mpcr,high_to_low,normalized_efficiency,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.14296376328392363,0.8577825797035419,0.0760639266771647,0.09315271252439802,0.5609224019878989
mpcr,low_to_high,contribution_rate,ridge_config,config,,False,,,0.07682872333987267,0.1024599641886944,0.5238230252617322
mpcr,low_to_high,contribution_rate,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.08146135904311277,0.0974843872461324,0.48689836009768045
mpcr,low_to_high,contribution_rate,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.07451802956333434,0.09651269000254391,0.545921986396362
mpcr,low_to_high,contribution_rate,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.20307186956593215,0.8122874782637287,0.08692916440637075,0.10166596846104514,0.3916856709585376
mpcr,low_to_high,contribution_rate,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.20307186956593215,0.8122874782637287,0.07967206393583035,0.09696626288640939,0.4754923998647986
mpcr,low_to_high,contribution_rate,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.05189571544470293,0.06778176215030801,0.8029542696944979
mpcr,low_to_high,contribution_rate,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.04978214518089647,0.06659528770247539,0.7856163766498413
mpcr,low_to_high,contribution_rate,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.14181049212089,0.85086295272534,0.08177031899170964,0.10307793739094659,0.4575670392806871
mpcr,low_to_high,contribution_rate,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.14181049212089,0.85086295272534,0.097234833801731,0.11587105974362806,0.545392271892727
mpcr,low_to_high,normalized_efficiency,ridge_config,config,,False,,,0.18284357506131055,0.21338944509312466,0.6019125126347002
mpcr,low_to_high,normalized_efficiency,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.14188965201197595,0.15728883346415898,0.4083385230911835
mpcr,low_to_high,normalized_efficiency,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.15242699185476885,0.1867102298737747,0.5778212694630183
mpcr,low_to_high,normalized_efficiency,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.20307186956593215,0.8122874782637287,0.13476159916798774,0.15060328268208495,0.28441774008373166
mpcr,low_to_high,normalized_efficiency,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.20307186956593215,0.8122874782637287,0.15187250416012935,0.1836678339624252,0.5528814202652081
mpcr,low_to_high,normalized_efficiency,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.10634188238200948,0.12959197822254834,0.785609439534542
mpcr,low_to_high,normalized_efficiency,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.1262019430441748,0.15486642666002945,0.7436007061653672
mpcr,low_to_high,normalized_efficiency,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.14181049212089,0.85086295272534,0.1101437507904808,0.12862566219262436,0.4924985172931989
mpcr,low_to_high,normalized_efficiency,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.14181049212089,0.85086295272534,0.16236554300516987,0.18902913876339467,0.6201918812532834
num_rounds,high_to_low,contribution_rate,ridge_config,config,,False,,,0.05998793679969576,0.06868733059657203,0.5574794553550938
num_rounds,high_to_low,contribution_rate,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.07383476790174903,0.0944968024169072,0.1801612519529202
num_rounds,high_to_low,contribution_rate,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.058689143710996386,0.07835424496693699,0.49292289565468145
num_rounds,high_to_low,contribution_rate,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.21415606320626102,0.8566242528250441,0.08101858247028408,0.09136264169485367,0.35309909248554056
num_rounds,high_to_low,contribution_rate,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.21415606320626102,0.8566242528250441,0.06784851606856715,0.07874080225607531,0.48477970803160303
