persona_source,run,metric,metric_label,mean_diff,game_id_cluster_ci_low,game_id_cluster_ci_high,candidate_uniform_sd,standardized_diff,standardized_game_ci_low,standardized_game_ci_high,game_ci_excludes_zero
Demographic surveys,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,punish_given_round_rate,Punishment given,0.014882103772398264,-0.0005551713497313582,0.03253059092871608,0.1878891644720589,0.07920682288526218,-0.0029547810875167205,0.1731371312450204,False
Demographic surveys,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,punish_received_round_rate,Punishment received,-0.030436554876903756,-0.04914189206072399,-0.013229024968458312,0.17715862098426044,-0.17180397266474476,-0.27738922208640343,-0.0746733345233797,True
Twin-2K-500,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,mean_contribution_rate,Mean contribution,0.0773826824647136,0.056166556247033546,0.0994998485797979,0.25796060105940666,0.2999786872371757,0.2177330802314992,0.38571723034900096,True
Twin-2K-500,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,full_contribution_rate,Full contribution,0.0889067893804044,0.06135141202755949,0.11849507528062929,0.3553757080435948,0.2501768898888778,0.17263817036147378,0.33343605822965594,True
Twin-2K-500,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,zero_contribution_rate,Zero contribution,-0.0517759408728328,-0.07413576256674337,-0.03240407585860928,0.23177793839252675,-0.22338597552433065,-0.3198568555786832,-0.13980655830897704,True
Twin-2K-500,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,contribution_sd,Contribution variability,-1.142023411962376,-1.535496394912571,-0.7641874478314954,3.5095699802207827,-0.3254026614082597,-0.4375169617834419,-0.21774389800981295,True
Twin-2K-500,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,messages_per_round,Messages per round,0.042008430522534106,0.016687863697187878,0.07286078286807199,0.28955404565454823,0.1450797567948754,0.05763298405817232,0.251631030412189,True
Twin-2K-500,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,reward_given_round_rate,Reward given,0.036288098869467746,0.0057536739472768186,0.07021422220989595,0.269653583324469,0.13457302670368365,0.021337279765919273,0.2603867574991893,True
Twin-2K-500,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,punish_given_round_rate,Punishment given,0.011429793369914005,-0.003403145130997318,0.030480857390715568,0.1878891644720589,0.060832637166864066,-0.018112514048160566,0.1622278617096538,False
Twin-2K-500,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,punish_received_round_rate,Punishment received,-0.022057232811878817,-0.034733904352806565,-0.010419611424007361,0.17715862098426044,-0.12450555716302669,-0.19606104495412888,-0.0588151531442158,True
