game,persona_source,persona_order,run,unit_id,treatment_name,n_players,top1_total,top1_unique_players,top1_effective_n,top1_effective_n_share_of_players,top1_top_player,top1_top_player_count,top1_top_player_share,uniform_null_low,uniform_null_mean,uniform_null_high,excess_modal_share
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,FAuuG8S2iw8wkGRnA,VALIDATION_6_T,13,32,8,5.814749338274727,0.4472884106365175,SLOTH,10,0.3125,0.125,0.16825625,0.25,0.14424375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,Fm7uYc98E2b6kcoDE,VALIDATION_1_T,3,32,2,1.2633812503027273,0.42112708343424243,SLOTH,30,0.9375,0.34375,0.420984375,0.53125,0.516515625
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,FvbM5EM5aB5pcjLpA,VALIDATION_13_T,16,32,5,3.6594853300883483,0.22871783313052177,SNAKE,11,0.34375,0.09375,0.150709375,0.21875,0.193040625
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,HmA52oSS75D5Z2W8a,VALIDATION_9_C,15,32,3,1.8497199775389868,0.12331466516926579,COW,25,0.78125,0.125,0.15623125,0.21875,0.62501875
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,PmcxhmDRj2tN3cECC,VALIDATION_11_C,12,32,2,1.9960950200730567,0.16634125167275474,GORILLA,17,0.53125,0.125,0.175390625,0.25,0.355859375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,PrfKWppTZdvPhe4oN,VALIDATION_19_T,4,32,4,2.479512071141844,0.619878017785461,SLOTH,18,0.5625,0.28125,0.343021875,0.4375,0.21947812500000002
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,SFohXkBYvScM7Y7rC,VALIDATION_7_C,10,32,3,2.4602329762891006,0.24602329762891006,SLOTH,20,0.625,0.15625,0.193640625,0.28125,0.431359375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,fMhhGrfpZH9ign2AK,VALIDATION_15_T,13,32,8,4.899569381999377,0.3768899524614905,GORILLA,13,0.40625,0.125,0.16825625,0.25,0.23799375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,i7C4Y4NiesraiSwwb,VALIDATION_16_C,10,32,4,2.5214999935412212,0.25214999935412213,CHICKEN,16,0.5,0.15625,0.193640625,0.28125,0.306359375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,r7Bk7fEwX3HSRrXMZ,VALIDATION_17_C,19,32,5,3.0373076329030955,0.15985829646858396,DOG,19,0.59375,0.09375,0.138953125,0.1875,0.454796875
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2KKC9nMd8nRXfgH5G,VALIDATION_19_C,4,32,4,2.5214999935412212,0.6303749983853053,SLOTH,16,0.5,0.28125,0.343021875,0.4375,0.15697812500000002
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,4,32,3,2.6008869288389365,0.6502217322097341,GORILLA,19,0.59375,0.28125,0.343021875,0.4375,0.250728125
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2TquMDieEiixty8AN,VALIDATION_0_T,10,32,5,3.552000847086268,0.3552000847086268,RABBIT,14,0.4375,0.15625,0.193640625,0.28125,0.243859375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2khRAszouj8vP8ZfP,VALIDATION_18_C,4,32,4,3.2041576468977384,0.8010394117244346,DUCK,17,0.53125,0.28125,0.343021875,0.4375,0.18822812500000002
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,3,32,2,1.9378192408783848,0.6459397469594615,GORILLA,20,0.625,0.34375,0.420984375,0.53125,0.20401562499999998
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,3EQGxadfbmAKaACgZ,VALIDATION_5_T,4,32,3,2.01963929931604,0.50490982482901,GORILLA,24,0.75,0.28125,0.343021875,0.4375,0.406978125
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,3v9ji6wNY7sXHe8cM,VALIDATION_4_C,7,32,4,2.6829030848013256,0.3832718692573322,SLOTH,20,0.625,0.1875,0.238915625,0.3125,0.38608437500000004
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,5R7YRmti4R5GiJKpi,VALIDATION_7_T,10,32,5,3.406700645111862,0.3406700645111862,SLOTH,15,0.46875,0.15625,0.193640625,0.28125,0.275109375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,5mhtM66ewYHNxSp4q,VALIDATION_0_C,10,32,6,3.912631016434835,0.3912631016434835,CHICKEN,16,0.5,0.15625,0.193640625,0.28125,0.306359375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,65crAkEscRbHNJXbW,VALIDATION_10_C,3,32,3,1.9634585163620428,0.6544861721206809,SLOTH,25,0.78125,0.34375,0.420984375,0.53125,0.360265625
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6BxRfLcBtXYodAS8h,VALIDATION_8_C,6,32,5,3.234016304448171,0.5390027174080285,SLOTH,18,0.5625,0.1875,0.262771875,0.34375,0.299728125
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6Pxb9DsQpyk22cJNr,VALIDATION_1_C,3,32,3,2.578111495150432,0.8593704983834773,SLOTH,18,0.5625,0.34375,0.420984375,0.53125,0.14151562499999998
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6pQRuemJv5faRcZft,VALIDATION_9_T,15,32,6,3.650546786405187,0.2433697857603458,OWL,19,0.59375,0.125,0.15623125,0.21875,0.43751875
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6sSM4xSyZQkaxyHav,VALIDATION_5_C,4,32,3,2.5781114951504325,0.6445278737876081,DUCK,18,0.5625,0.28125,0.343021875,0.4375,0.21947812500000002
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,7FQezekfKk3zctLN8,VALIDATION_17_T,19,32,6,3.094573153169377,0.1628722712194409,GORILLA,21,0.65625,0.09375,0.138953125,0.1875,0.517296875
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,7Y6PBvgZNqtriKzaZ,VALIDATION_8_T,6,31,4,3.0650492084768777,0.5108415347461462,CHICKEN,17,0.5483870967741935,0.1935483870967742,0.26432903225806453,0.3548387096774194,0.28405806451612897
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,7oRFMBwqmesGX7t3H,VALIDATION_15_C,13,32,6,3.078411409951855,0.23680087768860425,SLOTH,20,0.625,0.125,0.16825625,0.25,0.45674375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,7tfDsTHHnxsgrhE3d,VALIDATION_16_T,10,32,5,3.968540423230227,0.3968540423230227,CHICKEN,16,0.5,0.15625,0.193640625,0.28125,0.306359375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,7ywewvEuctuz4Rq8j,VALIDATION_3_C,6,32,5,3.1140955404603243,0.5190159234100541,SLOTH,20,0.625,0.1875,0.262771875,0.34375,0.362228125
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,8GneB6qmtDLSnbcJT,VALIDATION_4_T,7,32,6,4.356567774581431,0.6223668249402045,DOG,14,0.4375,0.1875,0.238915625,0.3125,0.198584375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,925LF9k9CXpz8KjQm,VALIDATION_11_T,12,32,5,3.143984086367393,0.2619986738639494,CHICK,19,0.59375,0.125,0.175390625,0.25,0.418359375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,9oyspxPncwXdAkruR,VALIDATION_2_C,4,32,4,3.286289194098145,0.8215722985245363,DUCK,12,0.375,0.28125,0.343021875,0.4375,0.031978125000000024
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,AJ4ikZuWJeJcEXhgZ,VALIDATION_3_T,6,32,6,5.215682551402701,0.8692804252337836,GORILLA,12,0.375,0.1875,0.262771875,0.34375,0.11222812500000001
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,ASQtYBWx6cGN27KxL,VALIDATION_12_C,6,32,4,2.106440087903801,0.3510733479839669,GORILLA,25,0.78125,0.1875,0.262771875,0.34375,0.518478125
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,Aj2G7CTuhLZ7Z2SPK,VALIDATION_6_C,13,32,7,4.547279241184674,0.3497907108603595,RABBIT,13,0.40625,0.125,0.16825625,0.25,0.23799375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,AyQkFs97hRTki5zWR,VALIDATION_14_T,6,32,5,3.622416084408633,0.6037360140681055,SLOTH,15,0.46875,0.1875,0.262771875,0.34375,0.205978125
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,C5Cd8Yq5dDbdycXKB,VALIDATION_14_C,6,32,6,4.69243837139931,0.7820730618998849,CHICKEN,12,0.375,0.1875,0.262771875,0.34375,0.11222812500000001
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,CbDvrXGkphmfGtH3G,VALIDATION_13_C,16,32,6,3.5144702337967684,0.21965438961229802,GORILLA,16,0.5,0.09375,0.150709375,0.21875,0.34929062499999997
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,CoHyYysb84APn5gDE,VALIDATION_18_T,4,32,3,2.2523665623545313,0.5630916405886328,SLOTH,22,0.6875,0.28125,0.343021875,0.4375,0.344478125
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,DYFJDsdGg8bppBJ7P,VALIDATION_12_T,6,32,4,3.176977687666897,0.5294962812778162,SLOTH,13,0.40625,0.1875,0.262771875,0.34375,0.143478125
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,FAuuG8S2iw8wkGRnA,VALIDATION_6_T,13,32,7,4.691843714212886,0.36091105493945275,SLOTH,13,0.40625,0.125,0.16825625,0.25,0.23799375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,Fm7uYc98E2b6kcoDE,VALIDATION_1_T,3,32,3,2.4602329762891006,0.8200776587630335,SLOTH,20,0.625,0.34375,0.420984375,0.53125,0.20401562499999998
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,FvbM5EM5aB5pcjLpA,VALIDATION_13_T,16,32,6,4.584331883056932,0.28652074269105826,SNAKE,11,0.34375,0.09375,0.150709375,0.21875,0.193040625
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,HmA52oSS75D5Z2W8a,VALIDATION_9_C,15,32,8,5.242734658689969,0.3495156439126646,COW,16,0.5,0.125,0.15623125,0.21875,0.34376875
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,PmcxhmDRj2tN3cECC,VALIDATION_11_C,12,32,7,3.591340231524631,0.2992783526270526,CHICK,19,0.59375,0.125,0.175390625,0.25,0.418359375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,PrfKWppTZdvPhe4oN,VALIDATION_19_T,4,32,4,2.441215422146207,0.6103038555365518,SLOTH,23,0.71875,0.28125,0.343021875,0.4375,0.375728125
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,SFohXkBYvScM7Y7rC,VALIDATION_7_C,10,32,4,2.753471416762728,0.27534714167627283,SLOTH,19,0.59375,0.15625,0.193640625,0.28125,0.400109375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,fMhhGrfpZH9ign2AK,VALIDATION_15_T,13,32,7,4.861650888150125,0.3739731452423173,SLOTH,12,0.375,0.125,0.16825625,0.25,0.20674375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,i7C4Y4NiesraiSwwb,VALIDATION_16_C,10,32,7,4.346989906038168,0.4346989906038168,CHICK,13,0.40625,0.15625,0.193640625,0.28125,0.212609375
Public goods game,Twin-2K-500,1,twin_direct_summary_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,r7Bk7fEwX3HSRrXMZ,VALIDATION_17_C,19,32,9,6.065125014665672,0.3192171060350354,DOG,11,0.34375,0.09375,0.138953125,0.1875,0.204796875
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2KKC9nMd8nRXfgH5G,VALIDATION_19_C,4,32,3,2.4471461657205658,0.6117865414301414,GORILLA,19,0.59375,0.28125,0.343021875,0.4375,0.250728125
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,4,32,2,1.5424913566151934,0.38562283915379836,GORILLA,27,0.84375,0.28125,0.343021875,0.4375,0.500728125
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2TquMDieEiixty8AN,VALIDATION_0_T,10,32,3,1.9981845626935966,0.19981845626935965,MOOSE,23,0.71875,0.15625,0.193640625,0.28125,0.525109375
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2khRAszouj8vP8ZfP,VALIDATION_18_C,4,32,3,1.4488966823777039,0.36222417059442596,DUCK,29,0.90625,0.28125,0.343021875,0.4375,0.563228125
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,3,32,2,1.3649655016647284,0.45498850055490947,GORILLA,29,0.90625,0.34375,0.420984375,0.53125,0.485265625
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,3EQGxadfbmAKaACgZ,VALIDATION_5_T,4,32,1,1.0,0.25,GORILLA,32,1.0,0.28125,0.343021875,0.4375,0.656978125
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,3v9ji6wNY7sXHe8cM,VALIDATION_4_C,7,32,2,1.9843952490181156,0.2834850355740165,DUCK,18,0.5625,0.1875,0.238915625,0.3125,0.32358437500000004
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,5R7YRmti4R5GiJKpi,VALIDATION_7_T,10,32,4,3.3217701955723498,0.332177019557235,OWL,15,0.46875,0.15625,0.193640625,0.28125,0.275109375
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,5mhtM66ewYHNxSp4q,VALIDATION_0_C,10,32,4,2.195547816260668,0.2195547816260668,CHICKEN,23,0.71875,0.15625,0.193640625,0.28125,0.525109375
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,65crAkEscRbHNJXbW,VALIDATION_10_C,3,32,3,1.4488966823777039,0.48296556079256797,SLOTH,29,0.90625,0.34375,0.420984375,0.53125,0.485265625
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6BxRfLcBtXYodAS8h,VALIDATION_8_C,6,32,3,1.6679356965569503,0.2779892827594917,SLOTH,27,0.84375,0.1875,0.262771875,0.34375,0.580978125
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6Pxb9DsQpyk22cJNr,VALIDATION_1_C,3,32,3,1.4488966823777039,0.48296556079256797,SLOTH,29,0.90625,0.34375,0.420984375,0.53125,0.485265625
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6pQRuemJv5faRcZft,VALIDATION_9_T,15,32,4,2.2387413997315937,0.14924942664877291,OWL,24,0.75,0.125,0.15623125,0.21875,0.59376875
Public goods game,Synthetic (Nemotron),2,nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6sSM4xSyZQkaxyHav,VALIDATION_5_C,4,32,2,1.5424913566151934,0.38562283915379836,DUCK,27,0.84375,0.28125,0.343021875,0.4375,0.500728125
