Event.Index;UTC.Timestamp;UTC.Date;Local.Timestamp;Local.Timezone;Local.Date;Experiment.ID;Experiment.Version;Tree.Node.Key;Repeat.Key;Schedule.ID;Participant.Public.ID;Participant.Private.ID;Participant.Starting.Group;Participant.Status;Participant.Completion.Code;Participant.External.Session.ID;Participant.Device.Type;Participant.Device;Participant.OS;Participant.Browser;Participant.Monitor.Size;Participant.Viewport.Size;Checkpoint;Task.Name;Task.Version;randomiser.3zw7;randomiser.tygv;randomiser.eo93;branch.wr7f;branch.9coe;branch.rxc5;branch.fz1e;branch.kqoq;branch.56os;branch.bnrh;branch.l7jq;branch.gk6r;branch.6ucl;Randomise.questionnaire.elements.;Question.Key;Response
7;1,65E+12;07/06/2022 15:57:45;1,65E+12;1;07/06/2022 16:57:45;89054;12;questionnaire-89wj;NA;22341821;60916bcb7a32838a66b8cb82;6585670;NA;complete;NA;629f7519098b9d58b89dbe8c;computer;Desktop or Laptop;Mac OS 10.15;Firefox 100.0;1280x800;1231x662;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;nationality-quantised;141
8;1,65E+12;07/06/2022 15:57:45;1,65E+12;1;07/06/2022 16:57:45;89054;12;questionnaire-89wj;NA;22341821;60916bcb7a32838a66b8cb82;6585670;NA;complete;NA;629f7519098b9d58b89dbe8c;computer;Desktop or Laptop;Mac OS 10.15;Firefox 100.0;1280x800;1231x662;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;education;Master's degree (e.g. MA / MSc / MEd)
9;1,65E+12;07/06/2022 15:57:45;1,65E+12;1;07/06/2022 16:57:45;89054;12;questionnaire-89wj;NA;22341821;60916bcb7a32838a66b8cb82;6585670;NA;complete;NA;629f7519098b9d58b89dbe8c;computer;Desktop or Laptop;Mac OS 10.15;Firefox 100.0;1280x800;1231x662;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;education-quantised;4
10;1,65E+12;07/06/2022 15:57:45;1,65E+12;1;07/06/2022 16:57:45;89054;12;questionnaire-89wj;NA;22341821;60916bcb7a32838a66b8cb82;6585670;NA;complete;NA;629f7519098b9d58b89dbe8c;computer;Desktop or Laptop;Mac OS 10.15;Firefox 100.0;1280x800;1231x662;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;education-text;
11;1,65E+12;07/06/2022 15:57:45;1,65E+12;1;07/06/2022 16:57:45;89054;12;questionnaire-89wj;NA;22341821;60916bcb7a32838a66b8cb82;6585670;NA;complete;NA;629f7519098b9d58b89dbe8c;computer;Desktop or Laptop;Mac OS 10.15;Firefox 100.0;1280x800;1231x662;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;END QUESTIONNAIRE;15233
1;1,65E+12;07/06/2022 15:58:32;1,65E+12;2;07/06/2022 17:58:33;89054;12;questionnaire-89wj;NA;22341851;614dd12e1864621b9d8436ac;6585676;NA;complete;NA;629f7535e1e38f46574fed2c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;1680x1050;1680x939;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;BEGIN QUESTIONNAIRE;
2;1,65E+12;07/06/2022 15:58:53;1,65E+12;2;07/06/2022 17:58:53;89054;12;questionnaire-89wj;NA;22341851;614dd12e1864621b9d8436ac;6585676;NA;complete;NA;629f7535e1e38f46574fed2c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;1680x1050;1680x939;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;age;21
3;1,65E+12;07/06/2022 15:58:53;1,65E+12;2;07/06/2022 17:58:53;89054;12;questionnaire-89wj;NA;22341851;614dd12e1864621b9d8436ac;6585676;NA;complete;NA;629f7535e1e38f46574fed2c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;1680x1050;1680x939;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;age-quantised;5
4;1,65E+12;07/06/2022 15:58:53;1,65E+12;2;07/06/2022 17:58:53;89054;12;questionnaire-89wj;NA;22341851;614dd12e1864621b9d8436ac;6585676;NA;complete;NA;629f7535e1e38f46574fed2c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;1680x1050;1680x939;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;gender;Male
5;1,65E+12;07/06/2022 15:58:53;1,65E+12;2;07/06/2022 17:58:53;89054;12;questionnaire-89wj;NA;22341851;614dd12e1864621b9d8436ac;6585676;NA;complete;NA;629f7535e1e38f46574fed2c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;1680x1050;1680x939;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;gender-quantised;2
6;1,65E+12;07/06/2022 15:58:53;1,65E+12;2;07/06/2022 17:58:53;89054;12;questionnaire-89wj;NA;22341851;614dd12e1864621b9d8436ac;6585676;NA;complete;NA;629f7535e1e38f46574fed2c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;1680x1050;1680x939;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;nationality;Poland
7;1,65E+12;07/06/2022 15:58:53;1,65E+12;2;07/06/2022 17:58:53;89054;12;questionnaire-89wj;NA;22341851;614dd12e1864621b9d8436ac;6585676;NA;complete;NA;629f7535e1e38f46574fed2c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;1680x1050;1680x939;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;nationality-quantised;140
8;1,65E+12;07/06/2022 15:58:53;1,65E+12;2;07/06/2022 17:58:53;89054;12;questionnaire-89wj;NA;22341851;614dd12e1864621b9d8436ac;6585676;NA;complete;NA;629f7535e1e38f46574fed2c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;1680x1050;1680x939;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;education;High school degree or equivalent
9;1,65E+12;07/06/2022 15:58:53;1,65E+12;2;07/06/2022 17:58:53;89054;12;questionnaire-89wj;NA;22341851;614dd12e1864621b9d8436ac;6585676;NA;complete;NA;629f7535e1e38f46574fed2c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;1680x1050;1680x939;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;education-quantised;2
10;1,65E+12;07/06/2022 15:58:53;1,65E+12;2;07/06/2022 17:58:53;89054;12;questionnaire-89wj;NA;22341851;614dd12e1864621b9d8436ac;6585676;NA;complete;NA;629f7535e1e38f46574fed2c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;1680x1050;1680x939;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;education-text;
11;1,65E+12;07/06/2022 15:58:53;1,65E+12;2;07/06/2022 17:58:53;89054;12;questionnaire-89wj;NA;22341851;614dd12e1864621b9d8436ac;6585676;NA;complete;NA;629f7535e1e38f46574fed2c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;1680x1050;1680x939;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;END QUESTIONNAIRE;20559
1;1,65E+12;07/06/2022 15:58:57;1,65E+12;2;07/06/2022 17:58:54;89054;12;questionnaire-89wj;NA;22341869;5e84b9cd3c01b3072fac9470;6585680;NA;complete;NA;629f754a45b7df917bbbe241;computer;Desktop or Laptop;Windows 7;Firefox 101.0;1920x1080;1920x908;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;BEGIN QUESTIONNAIRE;
2;1,65E+12;07/06/2022 15:59:18;1,65E+12;2;07/06/2022 17:59:15;89054;12;questionnaire-89wj;NA;22341869;5e84b9cd3c01b3072fac9470;6585680;NA;complete;NA;629f754a45b7df917bbbe241;computer;Desktop or Laptop;Windows 7;Firefox 101.0;1920x1080;1920x908;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;age;25
3;1,65E+12;07/06/2022 15:59:18;1,65E+12;2;07/06/2022 17:59:15;89054;12;questionnaire-89wj;NA;22341869;5e84b9cd3c01b3072fac9470;6585680;NA;complete;NA;629f754a45b7df917bbbe241;computer;Desktop or Laptop;Windows 7;Firefox 101.0;1920x1080;1920x908;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;age-quantised;9
4;1,65E+12;07/06/2022 15:59:18;1,65E+12;2;07/06/2022 17:59:15;89054;12;questionnaire-89wj;NA;22341869;5e84b9cd3c01b3072fac9470;6585680;NA;complete;NA;629f754a45b7df917bbbe241;computer;Desktop or Laptop;Windows 7;Firefox 101.0;1920x1080;1920x908;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;gender;Female
5;1,65E+12;07/06/2022 15:59:18;1,65E+12;2;07/06/2022 17:59:15;89054;12;questionnaire-89wj;NA;22341869;5e84b9cd3c01b3072fac9470;6585680;NA;complete;NA;629f754a45b7df917bbbe241;computer;Desktop or Laptop;Windows 7;Firefox 101.0;1920x1080;1920x908;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;gender-quantised;1
6;1,65E+12;07/06/2022 15:59:18;1,65E+12;2;07/06/2022 17:59:15;89054;12;questionnaire-89wj;NA;22341869;5e84b9cd3c01b3072fac9470;6585680;NA;complete;NA;629f754a45b7df917bbbe241;computer;Desktop or Laptop;Windows 7;Firefox 101.0;1920x1080;1920x908;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;nationality;Poland
7;1,65E+12;07/06/2022 15:59:18;1,65E+12;2;07/06/2022 17:59:15;89054;12;questionnaire-89wj;NA;22341869;5e84b9cd3c01b3072fac9470;6585680;NA;complete;NA;629f754a45b7df917bbbe241;computer;Desktop or Laptop;Windows 7;Firefox 101.0;1920x1080;1920x908;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;nationality-quantised;140
