factor,direction,split,eval_granularity,n_train_rows,n_test_rows,n_train_unique_configs,n_test_unique_configs,n_overlap_configs,unseen_test_share,train_mean_target,oracle_test_config_mean_r2,oracle_test_config_mean_r2_oos_train_mean,oracle_test_config_mean_rmse,oracle_test_config_mean_mae,train_to_test_config_mean_r2,train_to_test_config_mean_r2_oos_train_mean,train_to_test_config_mean_rmse,train_to_test_config_mean_mae
reward_exists,true_to_false,reward_exists/true_to_false,game,97,112,96,20,0,1.0,0.832609117990996,0.2393874236575919,0.24859758404995647,0.13148564141895955,0.10074622399183289,-0.012257294090170845,0.0,0.1516847903894608,0.121538214704464
reward_exists,true_to_false,reward_exists/true_to_false,config_treatment,96,18,96,18,0,1.0,0.8337631178348737,1.0,1.0,0.0,0.0,-0.12201325287506704,0.0,0.09051822275335786,0.06870698553983656
show_n_rounds,false_to_true,show_n_rounds/false_to_true,game,100,180,98,28,0,1.0,0.8264305910593427,0.23394551382998374,0.23465014415267882,0.12589936969752924,0.0951572345620399,-0.0009206643436485695,0.0,0.14391085502630316,0.11135850603221936
show_n_rounds,false_to_true,show_n_rounds/false_to_true,config_treatment,98,28,98,28,0,1.0,0.8253775357129968,1.0,1.0,0.0,0.0,-0.002244689373190001,0.0,0.0777901258732206,0.06233218872621288
show_n_rounds,true_to_false,show_n_rounds/true_to_false,game,114,69,111,14,0,1.0,0.8184628675880306,0.29910638038426063,0.30028746386851124,0.10730583619230186,0.086483845437786,-0.001687955300587296,0.0,0.12828134825082396,0.11110227043179162
show_n_rounds,true_to_false,show_n_rounds/true_to_false,config_treatment,108,12,108,12,0,1.0,0.8200127143786071,1.0,1.0,0.0,0.0,-0.16921766688140627,0.0,0.08857793675439565,0.0705110549558217
show_other_summaries,false_to_true,show_other_summaries/false_to_true,game,100,173,99,28,0,1.0,0.8390043335578616,0.22106446072034291,0.25310092363265835,0.1306712146030533,0.10324648795522039,-0.04289262622753487,0.0,0.15119901667816468,0.11938870876900688
show_other_summaries,false_to_true,show_other_summaries/false_to_true,config_treatment,98,26,98,26,0,1.0,0.8404245186924191,1.0,1.0,0.0,0.0,-0.32811573920066306,0.0,0.09226459314918244,0.07110217299184035
show_other_summaries,true_to_false,show_other_summaries/true_to_false,game,114,76,110,14,0,1.0,0.8074332689051194,0.3047073238922887,0.37303518380376843,0.09553529859198903,0.06886901500159592,-0.1089819685991662,0.0,0.12065415442616997,0.09923890457820464
show_other_summaries,true_to_false,show_other_summaries/true_to_false,config_treatment,108,14,108,14,0,1.0,0.806358970563946,1.0,1.0,0.0,0.0,-0.23969440972018363,0.0,0.08049987896559674,0.06823983802399877
show_punishment_id,false_to_true,show_punishment_id/false_to_true,game,114,125,111,21,0,1.0,0.8255925396377953,0.24368398871536567,0.2443525166544097,0.10355699146032007,0.08295510478034739,-0.0008847087481640425,0.0,0.11912963322142804,0.10109702781147038
show_punishment_id,false_to_true,show_punishment_id/false_to_true,config_treatment,110,20,110,20,0,1.0,0.8256605308065363,1.0,1.0,0.0,0.0,-0.012918467930111088,0.0,0.06995386550017273,0.05395426286112863
show_punishment_id,true_to_false,show_punishment_id/true_to_false,game,100,124,98,21,0,1.0,0.8183027649226107,0.24769292224132766,0.2497813375652954,0.13640293587168129,0.10263144724863703,-0.002783742165504144,0.0,0.15748158828888792,0.12177027002432632
show_punishment_id,true_to_false,show_punishment_id/true_to_false,config_treatment,96,20,96,20,0,1.0,0.819017846500461,1.0,1.0,0.0,0.0,-0.12914135277354122,0.0,0.08993477888607056,0.07548964803189384
