config_base,arm,mean_target,std_target,n_games,se_target
4,C,0.7218251329787234,0.12729332513713945,2,0.0900099734042553
4,T,0.7461768617021277,,1,
40,T,0.741991991991992,,1,
41,T,0.7265221878224974,,1,
42,T,0.7287151702786379,,1,
43,C,0.9803767660910518,,1,
43,T,0.881083202511774,,1,
44,C,0.6951388888888889,,1,
44,T,0.7524305555555556,,1,
45,C,0.8559368191721133,,1,
46,C,0.9241496598639456,,1,
46,T,0.5933673469387755,,1,
47,C,0.8291446208112875,,1,
47,T,0.5083774250440917,,1,
48,C,0.74375,,1,
48,T,0.8078125,,1,
51,C,0.9408195970695972,,1,
51,T,0.992445054945055,,1,
52,C,0.7267156862745098,,1,
52,T,0.8890931372549019,,1,
54,C,0.6799816345270889,,1,
54,T,0.8693755739210283,,1,
55,C,0.9010416666666666,,1,
57,T,0.947739397371323,,1,
58,C,0.695684523809524,,1,
59,T,0.8233552631578948,,1,
6,T,0.7822516025641025,,1,
61,C,0.8974358974358975,,1,
61,T,0.9848646723646725,,1,
62,C,0.62,,1,
62,T,0.7542592592592593,,1,
63,C,0.9953703703703703,,1,
63,T,0.8425925925925926,,1,
64,C,0.7113095238095238,,1,
64,T,0.503968253968254,,1,
65,T,0.9834343434343434,,1,
66,C,0.9899400684931506,,1,
66,T,0.9864542563600784,,1,
67,C,0.9352941176470588,,1,
68,C,0.8288043478260869,,1,
7,C,0.7605820105820106,,1,
7,T,0.8925925925925926,,1,
70,C,0.8669871794871795,,1,
70,T,0.7628205128205128,,1,
71,C,0.8892005610098177,,1,
71,T,0.9712482468443198,,1,
72,C,0.8425925925925926,,1,
72,T,0.8727513227513227,,1,
73,C,0.6468581923127378,,1,
74,C,0.8526785714285714,,1,
74,T,0.8803571428571428,,1,
75,C,0.873015873015873,0.029490292150325927,2,0.020852785558667875
76,T,0.7271241830065359,,1,
77,C,0.9641920751046644,,1,
78,T,0.8429919137466307,,1,
79,C,0.9260835913312694,,1,
79,T,0.7472910216718266,,1,
8,C,0.875,0.1767766952966369,2,0.125
8,T,0.7347222222222223,0.11588694469446198,2,0.08194444444444446
80,C,0.9305555555555556,,1,
80,T,0.7685185185185185,,1,
81,C,0.9046481092436974,,1,
82,C,0.7285067873303167,,1,
82,T,0.8200100553041729,,1,
83,C,0.5892063492063491,,1,
84,T,0.9192708333333334,,1,
85,T,0.6811136447676569,,1,
87,C,0.9290458937198068,,1,
87,T,0.8934178743961353,,1,
88,C,0.7634920634920634,,1,
88,T,0.9365079365079364,,1,
90,C,0.7183748845798708,,1,
91,C,0.7449392712550608,,1,
91,T,1.0,,1,
92,T,0.7169477028347996,,1,
93,C,0.8989285714285714,,1,
94,C,0.9189857761286332,,1,
94,T,0.7120439084724799,,1,
95,C,0.9984326018808778,,1,
95,T,1.0,,1,
99,C,0.8755151515151515,,1,
