tag,model,pred_true_cosine_mean_mean,retrieved_true_cosine_mean_mean,retrieval_cosine_regret_mean_mean,oracle_hit_at_1_mean,oracle_hit_at_5_mean,embedding_mse_mean_mean
RESPONSE_TO_OTHERS_OUTCOME,ridge,0.9082504987716676,0.865628695487976,0.0426021866500377,0.0197231483240915,0.0673961662261684,0.0001139871703344
RESPONSE_TO_PUNISHER,linear,0.8859847187995911,0.8367581725120544,0.0697569847106933,0.0097946164268331,0.0456000654967155,0.0001401121495291
RESPONSE_TO_PUNISHER,mean,0.8835349678993225,0.8311324000358582,0.0753827065229415,0.0075911335426659,0.0195892970661324,0.0001428214018233
RESPONSE_TO_PUNISHER,ridge,0.8868988990783692,0.837934958934784,0.068580163270235,0.0119449634952129,0.0488786898088394,0.0001389604149153
RESPONSE_TO_REWARDER,linear,0.8920746922492981,0.846276867389679,0.0590301930904388,0.0196307493884115,0.0632998624089144,0.0001331456180196
RESPONSE_TO_REWARDER,mean,0.889376449584961,0.8416871309280396,0.063619914650917,0.0032727488714659,0.0239666961691195,0.0001360790571197
RESPONSE_TO_REWARDER,ridge,0.893978476524353,0.8471403002738953,0.0581667691469192,0.0207177059101506,0.0632760385255039,0.000130825585802
REWARD,linear,0.9040700912475584,0.8585057020187378,0.0592024005949497,0.009361883721502,0.036893518335005,0.0001189206916023
REWARD,mean,0.8964529275894165,0.8489516139030456,0.0687564551830291,0.0077120100726328,0.0198211465413876,0.0001278475421713
REWARD,ridge,0.9044014573097228,0.8588102221488952,0.0588978633284568,0.0088109111715339,0.0357900679598318,0.000118522219418
COMMUNICATION,elastic_net,0.836396594842275,0.7990130186080933,0.083356683452924,0.0416666666666666,0.1416666666666666,0.000200907709465
COMMUNICATION,mlp,0.2368121047814687,0.7890015244483948,0.0933682198325793,0.0416666666666666,0.1,0.0052184471860527
CONTRIBUTION,elastic_net,0.9081648588180542,0.8825565576553345,0.052898005892833,0.025,0.225,0.0001158824888989
CONTRIBUTION,mlp,0.2626535991827647,0.8623368144035339,0.0731177727381388,0.0,0.075,0.004929847549647
PUNISHMENT,elastic_net,0.8822839260101318,0.841955562432607,0.0672236507137616,0.025,0.15,0.0001464208908146
PUNISHMENT,mlp,0.2584200302759806,0.8382747371991476,0.0709045454859733,0.0166666666666666,0.0999999999999999,0.0047963413720329
RESPONSE_TO_END_GAME,elastic_net,0.8929945627848307,0.8593533039093018,0.0456799554328123,0.0583333333333333,0.175,0.0001336257410002
RESPONSE_TO_END_GAME,mlp,0.265054593483607,0.845904012521108,0.059129257996877,0.0166666666666666,0.075,0.0047675900471707
RESPONSE_TO_OTHERS_OUTCOME,elastic_net,0.8809409340222677,0.8419511119524637,0.0452445137004057,0.0333333333333333,0.2416666666666667,0.0001481695411105
RESPONSE_TO_OTHERS_OUTCOME,mlp,0.2476485818624496,0.8136959274609884,0.0734996671477953,0.05,0.1083333333333333,0.005116078381737
RESPONSE_TO_PUNISHER,elastic_net,0.8656380971272787,0.8218661348025004,0.0665521870056788,0.0333333333333333,0.1666666666666666,0.0001663358610433
RESPONSE_TO_PUNISHER,mlp,0.2570594698190689,0.8073171575864156,0.0811011617382367,0.0166666666666666,0.0916666666666666,0.0048516352350513
RESPONSE_TO_REWARDER,elastic_net,0.8669139941533407,0.8334574302037557,0.0514744706451892,0.0416666666666666,0.25,0.0001641286750479
RESPONSE_TO_REWARDER,mlp,0.2702829043070475,0.8132550915082296,0.0716767658789952,0.0083333333333333,0.0583333333333333,0.00438260131826
REWARD,elastic_net,0.882597804069519,0.8450230360031128,0.0545219145715236,0.0666666666666666,0.2583333333333333,0.0001464802771806
REWARD,mlp,0.256363570690155,0.8250747323036194,0.0744702493151028,0.0083333333333333,0.0499999999999999,0.0050597620817522
