metric_family,metric_scope,metric,distance_kind,n_groups,mean_value,median_value,stderr
mean_alignment_abs_error,scenario,C_decision_nonnull_rate,,6,0.07500000000000001,0.0,0.041573228565187643
mean_alignment_abs_error,session,C_delegated,,4,0.29999999999999993,0.22999999999999998,0.10984838035522718
mean_alignment_abs_error,scenario,PD_decision_nonnull_rate,,6,0.14500000000000002,0.0,0.06581539840088083
mean_alignment_abs_error,session,PD_delegated,,4,0.58,0.6,0.05033222956847166
mean_alignment_abs_error,scenario,SH_decision_nonnull_rate,,6,0.14500000000000002,0.0,0.06551081335677848
mean_alignment_abs_error,session,SH_delegated,,4,0.5800000000000001,0.5800000000000001,0.041633319989322654
mean_alignment_abs_error,scenario,TGReceiver_decision_direct_mean,,6,0.42196865371313586,0.4907407407407407,0.05524326125787198
mean_alignment_abs_error,scenario,TGReceiver_decision_nonnull_rate,,6,0.11,0.0,0.05250396810400779
mean_alignment_abs_error,session,TGReceiver_delegated,,4,0.44,0.47,0.08205689083394115
mean_alignment_abs_error,scenario,TGSender_decision_nonnull_rate,,6,0.09375,0.0,0.04530337551809283
mean_alignment_abs_error,session,TGSender_delegated,,4,0.375,0.37999999999999995,0.07675719293112972
mean_alignment_abs_error,scenario,UGProposer_decision_direct_mean,,6,0.4283333333333334,0.2599999999999998,0.11631874528660677
mean_alignment_abs_error,scenario,UGProposer_decision_nonnull_rate,,6,0.16875,0.0,0.07569607541566033
mean_alignment_abs_error,session,UGProposer_delegated,,4,0.675,0.6799999999999999,0.026299556396765827
mean_alignment_abs_error,scenario,UGResponder_decision_direct_mean,,6,0.7934065934065934,0.9199999999999999,0.10997615678767843
mean_alignment_abs_error,scenario,UGResponder_decision_nonnull_rate,,6,0.14750000000000002,0.0,0.06637959023675877
mean_alignment_abs_error,session,UGResponder_delegated,,4,0.59,0.5700000000000001,0.03316624790355397
mean_alignment_abs_error,paper_index_session,delegation_index_mean,,4,0.5057142857142858,0.4971428571428571,0.04437011925827108
mean_alignment_abs_error,paper_index_scenario,equality_index_mean,,6,0.08566666666666671,0.05199999999999999,0.023263749057321335
mean_alignment_abs_error,paper_index_scenario,intentions_index_mean,,6,0.08371651785714285,0.08300000000000002,0.008835383018166212
mean_alignment_abs_error,paper_index_scenario,kindness_index_mean,,6,0.2970149410774411,0.2866666666666666,0.018669653190649112
mean_alignment_abs_error,paper_index_scenario,payoff_index_mean,,6,0.1832061883001092,0.16474524977068594,0.01692726358872886
mean_alignment_abs_error,paper_index_scenario,predictability_index_mean,,6,0.320038821472645,0.30999999999999994,0.022280946080713713
mean_alignment_abs_error,paper_index_scenario,prosociality_index_mean,,6,0.19136430142709263,0.19133333333333347,0.014780831796508265
