game_id,treatment_name,config_id,player,player_key,num_rounds,interaction_mode,max_observed_contribution,mean_contribution,mean_contribution_rate,first_contribution,first_contribution_rate,final_contribution,final_contribution_rate,contribution_sd,zero_contribution_rate,full_contribution_rate,contribution_slope,message_count,messages_per_round,rounds_with_message_rate,reward_given_units,reward_given_events,reward_given_round_rate,reward_received_units,reward_received_events,reward_received_round_rate,punish_given_units,punish_given_events,punish_given_round_rate,punish_received_units,punish_received_events,punish_received_round_rate,top1_count,top1_share,probability_mass,probability_share
6sSM4xSyZQkaxyHav,VALIDATION_5_C,5,CHICKEN,6sSM4xSyZQkaxyHav::CHICKEN,6,reward,20.0,16.666666666666668,0.8333333333333334,20.0,1.0,20.0,1.0,8.16496580927726,0.16666666666666666,0.8333333333333334,0.4285714285714286,1,0.16666666666666666,0.16666666666666666,0.0,0,0.0,8.0,8,1.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.2500000000000002,0.0009765625000000002
3EQGxadfbmAKaACgZ,VALIDATION_5_T,5,SLOTH,3EQGxadfbmAKaACgZ::SLOTH,6,punishment_reward,20.0,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,6,1.0,5.0,2,0.3333333333333333,0.0,0,0.0,9,0.00703125,11.97,0.0093515625
3EQGxadfbmAKaACgZ,VALIDATION_5_T,5,GORILLA,3EQGxadfbmAKaACgZ::GORILLA,6,punishment_reward,20.0,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,8.0,8,1.0,0.0,0,0.0,2.0,2,0.3333333333333333,0.0,0,0.0,23,0.01796875,18.500000000000004,0.014453125000000002
3EQGxadfbmAKaACgZ,VALIDATION_5_T,5,DUCK,3EQGxadfbmAKaACgZ::DUCK,6,punishment_reward,20.0,16.666666666666668,0.8333333333333334,0.0,0.0,20.0,1.0,8.16496580927726,0.16666666666666666,0.8333333333333334,0.7142857142857143,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,4.0,2,0.16666666666666666,0,0.0,0.18,0.000140625
3EQGxadfbmAKaACgZ,VALIDATION_5_T,5,CHICKEN,3EQGxadfbmAKaACgZ::CHICKEN,6,punishment_reward,20.0,16.666666666666668,0.8333333333333334,20.0,1.0,20.0,1.0,8.16496580927726,0.16666666666666666,0.8333333333333334,0.14285714285714282,0,0.0,0.0,0.0,0,0.0,2.0,2,0.3333333333333333,0.0,0,0.0,3.0,2,0.16666666666666666,0,0.0,1.3500000000000005,0.0010546875000000005
2KKC9nMd8nRXfgH5G,VALIDATION_19_C,19,SLOTH,2KKC9nMd8nRXfgH5G::SLOTH,29,reward,20.0,7.172413793103448,0.3586206896551724,10.0,0.5,10.0,0.5,5.800670931127841,0.3103448275862069,0.06896551724137931,-0.13310344827586207,0,0.0,0.0,1.0,1,0.034482758620689655,6.0,5,0.13793103448275862,0.0,0,0.0,0.0,0,0.0,13,0.01015625,9.62,0.007515625
2KKC9nMd8nRXfgH5G,VALIDATION_19_C,19,GORILLA,2KKC9nMd8nRXfgH5G::GORILLA,29,reward,20.0,10.517241379310345,0.5258620689655172,20.0,1.0,0.0,0.0,8.69573249052649,0.3448275862068966,0.3793103448275862,-0.496551724137931,0,0.0,0.0,18.0,16,0.3448275862068966,8.0,8,0.27586206896551724,0.0,0,0.0,0.0,0,0.0,18,0.0140625,14.009999999999998,0.010945312499999998
2KKC9nMd8nRXfgH5G,VALIDATION_19_C,19,DUCK,2KKC9nMd8nRXfgH5G::DUCK,29,reward,20.0,10.448275862068966,0.5224137931034483,0.0,0.0,9.0,0.45,8.777349937263654,0.3103448275862069,0.3793103448275862,0.6289655172413793,0,0.0,0.0,0.0,0,0.0,9.0,8,0.1724137931034483,0.0,0,0.0,0.0,0,0.0,0,0.0,2.3,0.0017968749999999999
2KKC9nMd8nRXfgH5G,VALIDATION_19_C,19,CHICKEN,2KKC9nMd8nRXfgH5G::CHICKEN,29,reward,20.0,8.620689655172415,0.43103448275862066,10.0,0.5,20.0,1.0,9.151166175112985,0.4827586206896552,0.3448275862068966,0.24827586206896549,0,0.0,0.0,13.0,13,0.3793103448275862,9.0,9,0.3103448275862069,0.0,0,0.0,0.0,0,0.0,1,0.00078125,6.069999999999999,0.0047421875
2khRAszouj8vP8ZfP,VALIDATION_18_C,18,SLOTH,2khRAszouj8vP8ZfP::SLOTH,23,none,20.0,17.391304347826086,0.8695652173913043,0.0,0.0,20.0,1.0,6.887004431501819,0.13043478260869565,0.8695652173913043,0.6521739130434783,1,0.043478260869565216,0.043478260869565216,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,8,0.00625,5.8999999999999995,0.004609375
