bootstrap_iter,metric_family,metric,distance_kind,n_treatments,mean_value,median_value,score
2,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.47696256038647344,0.47696256038647344,0.47696256038647344
2,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.2700583735909824,0.2700583735909824,0.2700583735909824
2,distribution_distance,trade_ratio,wasserstein_1d,2,0.053725270301357216,0.053725270301357216,0.053725270301357216
2,distribution_distance,acceptance_rate,wasserstein_1d,2,0.04216988727858298,0.04216988727858298,0.04216988727858298
2,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.2963813337673331,0.2963813337673331,0.2963813337673331
2,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.08812599157410317,0.08812599157410317,0.08812599157410317
2,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.3711420367267142,0.3711420367267142,0.3711420367267142
2,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.11045727671159701,0.11045727671159701,0.11045727671159701
3,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.0712832144450002,0.0712832144450002,0.0712832144450002
3,distribution_distance,final_total_surplus,wasserstein_1d,2,1.5436594202898535,1.5436594202898535,1.5436594202898535
3,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.5145531400966178,0.5145531400966178,0.5145531400966178
3,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.2991747181964574,0.2991747181964574,0.2991747181964574
3,distribution_distance,trade_ratio,wasserstein_1d,2,0.05814875375563779,0.05814875375563779,0.05814875375563779
3,distribution_distance,acceptance_rate,wasserstein_1d,2,0.07165861513687599,0.07165861513687599,0.07165861513687599
3,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.2887832450825941,0.2887832450825941,0.2887832450825941
3,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.09111247870925915,0.09111247870925915,0.09111247870925915
3,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.6481832828825312,0.6481832828825312,0.6481832828825312
3,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.051946118681666986,0.051946118681666986,0.051946118681666986
4,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.06252078484353733,0.06252078484353733,0.06252078484353733
4,distribution_distance,final_total_surplus,wasserstein_1d,2,1.5104166666666663,1.5104166666666663,1.5104166666666663
4,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.5034722222222221,0.5034722222222221,0.5034722222222221
4,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.2785326086956522,0.2785326086956522,0.2785326086956522
4,distribution_distance,trade_ratio,wasserstein_1d,2,0.09304054244422605,0.09304054244422605,0.09304054244422605
4,distribution_distance,acceptance_rate,wasserstein_1d,2,0.08182367149758452,0.08182367149758452,0.08182367149758452
4,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.21524667084425436,0.21524667084425436,0.21524667084425436
4,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.09146937110217616,0.09146937110217616,0.09146937110217616
