factor,direction,split,eval_granularity,model,method,r2,r2_oos_train_mean,rmse,mae
num_rounds,high_to_low,num_rounds/high_to_low,config_treatment,ridge,synthetic,0.4445185899025826,0.6687917128593206,0.0527540122654151,0.0449004614577641
num_rounds,high_to_low,num_rounds/high_to_low,config_treatment,ridge,oracle,0.3860406012036957,0.6339239492936711,0.0554613654207238,0.0470237131567391
num_rounds,low_to_high,num_rounds/low_to_high,config_treatment,ridge,config_only,-0.1528308935089652,-0.008930443503164,0.0879014686862558,0.0690857489922266
num_rounds,low_to_high,num_rounds/low_to_high,config_treatment,ridge,synthetic,-0.2376363476981644,-0.0831501794491376,0.0910772389176177,0.0680449533321322
num_rounds,low_to_high,num_rounds/low_to_high,config_treatment,ridge,oracle,-1.667576365886298,-1.334600001670836,0.1337124230534792,0.1067066069632939
player_count,high_to_low,player_count/high_to_low,config_treatment,ridge,config_only,-0.5153352961930495,-0.4396028943151604,0.0788210988799958,0.0629300415986996
player_count,high_to_low,player_count/high_to_low,config_treatment,ridge,synthetic,-0.3451368077939314,-0.2779104707815762,0.0742628041379951,0.0583325592184196
player_count,high_to_low,player_count/high_to_low,config_treatment,ridge,oracle,-0.3903744745776634,-0.3208872800709368,0.0755012268488984,0.0622587696134834
player_count,low_to_high,player_count/low_to_high,config_treatment,ridge,config_only,0.0679658096980615,0.1780088489919074,0.0903584005272959,0.0746819198872225
player_count,low_to_high,player_count/low_to_high,config_treatment,ridge,synthetic,0.413280253720683,0.4825528456128045,0.0716915491632778,0.056343083437422
player_count,low_to_high,player_count/low_to_high,config_treatment,ridge,oracle,0.2581635666504926,0.3457504133929285,0.0806132985407139,0.0659705945042795
reward_exists,false_to_true,reward_exists/false_to_true,config_treatment,ridge,config_only,-0.1018864346735182,-0.0986003637174068,0.0797460934345245,0.0615752709235879
reward_exists,false_to_true,reward_exists/false_to_true,config_treatment,ridge,synthetic,-0.0751261129432188,-0.0719198472313205,0.0787717881262881,0.0620430889208923
reward_exists,false_to_true,reward_exists/false_to_true,config_treatment,ridge,oracle,-0.1232098492232287,-0.1198601870919908,0.0805140087560484,0.0620812491622826
reward_exists,true_to_false,reward_exists/true_to_false,config_treatment,ridge,config_only,0.2477795864220757,0.3295797427967798,0.0741155921087192,0.0590020067843025
reward_exists,true_to_false,reward_exists/true_to_false,config_treatment,ridge,synthetic,0.0873625902898719,0.186607281712966,0.0816368348797739,0.0647146092985493
reward_exists,true_to_false,reward_exists/true_to_false,config_treatment,ridge,oracle,0.4718167972407452,0.5292540427612342,0.0621053935067432,0.0520784477085313
show_n_rounds,false_to_true,show_n_rounds/false_to_true,config_treatment,ridge,config_only,-0.1500152177388072,-0.147439572324433,0.083327698338866,0.0663266511848622
show_n_rounds,false_to_true,show_n_rounds/false_to_true,config_treatment,ridge,synthetic,-0.1590243234135171,-0.1564285006472601,0.0836534520837158,0.0673523776653781
show_n_rounds,false_to_true,show_n_rounds/false_to_true,config_treatment,ridge,oracle,0.0706533492826098,0.0727347716867331,0.0749076998148681,0.0584012611347483
show_n_rounds,true_to_false,show_n_rounds/true_to_false,config_treatment,ridge,config_only,0.4337164747724266,0.5156731366042457,0.0616445716392935,0.0461036449080838
show_n_rounds,true_to_false,show_n_rounds/true_to_false,config_treatment,ridge,synthetic,0.5363979667187835,0.6034938177783797,0.0557764079142144,0.0440749114340346
show_n_rounds,true_to_false,show_n_rounds/true_to_false,config_treatment,ridge,oracle,0.5463756217487405,0.6120274341550208,0.0551729325986408,0.050017027841052
show_other_summaries,false_to_true,show_other_summaries/false_to_true,config_treatment,ridge,config_only,-0.1791605396485176,0.1121552852327429,0.0869367854658391,0.0697695593043477
show_other_summaries,false_to_true,show_other_summaries/false_to_true,config_treatment,ridge,synthetic,-0.1540420104958835,0.1310681920007568,0.0860058353988941,0.06500921880492
show_other_summaries,false_to_true,show_other_summaries/false_to_true,config_treatment,ridge,oracle,0.0694321799034092,0.2993322851089316,0.0772309050682815,0.063665099789508
show_other_summaries,true_to_false,show_other_summaries/true_to_false,config_treatment,ridge,config_only,-1.0624758908358376,-0.6636970165101954,0.1038322694135493,0.0837074905619733
show_other_summaries,true_to_false,show_other_summaries/true_to_false,config_treatment,ridge,synthetic,-0.9856113757450292,-0.6016942241380352,0.101879084136623,0.0834420501803819
show_other_summaries,true_to_false,show_other_summaries/true_to_false,config_treatment,ridge,oracle,-0.8844037506284483,-0.5200550521590113,0.0992487134987842,0.0771868956439273
show_punishment_id,false_to_true,show_punishment_id/false_to_true,config_treatment,ridge,config_only,-0.0107641723094458,0.0021268203600508,0.0698794362519932,0.0539341550092777
show_punishment_id,false_to_true,show_punishment_id/false_to_true,config_treatment,ridge,synthetic,0.0752870321482453,0.0870805527503153,0.0668386927092576,0.0506982334758338
show_punishment_id,false_to_true,show_punishment_id/false_to_true,config_treatment,ridge,oracle,0.2310004171605211,0.2408080144782809,0.0609519388777841,0.0503678115963554
show_punishment_id,true_to_false,show_punishment_id/true_to_false,config_treatment,ridge,config_only,-0.0978622570667246,0.0277016651900887,0.0886803589270621,0.0737760143002546
show_punishment_id,true_to_false,show_punishment_id/true_to_false,config_treatment,ridge,synthetic,-0.1386978464877932,-0.0084635052031156,0.0903145587464776,0.0755269456921887
show_punishment_id,true_to_false,show_punishment_id/true_to_false,config_treatment,ridge,oracle,0.1395977356213598,0.2380030522616055,0.078506259788027,0.0630112511386184
all_or_nothing,false_to_true,all_or_nothing/false_to_true,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
all_or_nothing,true_to_false,all_or_nothing/true_to_false,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
mpcr,high_to_low,mpcr/high_to_low,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
mpcr,low_to_high,mpcr/low_to_high,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
num_rounds,high_to_low,num_rounds/high_to_low,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
num_rounds,low_to_high,num_rounds/low_to_high,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
player_count,high_to_low,player_count/high_to_low,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
player_count,low_to_high,player_count/low_to_high,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
reward_exists,false_to_true,reward_exists/false_to_true,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
reward_exists,true_to_false,reward_exists/true_to_false,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
show_n_rounds,false_to_true,show_n_rounds/false_to_true,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
show_n_rounds,true_to_false,show_n_rounds/true_to_false,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
show_other_summaries,false_to_true,show_other_summaries/false_to_true,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
show_other_summaries,true_to_false,show_other_summaries/true_to_false,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
show_punishment_id,false_to_true,show_punishment_id/false_to_true,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
show_punishment_id,true_to_false,show_punishment_id/true_to_false,config_treatment,ridge,noise_ceiling,1.0,1.0,0.0,0.0
