factor,direction,split,eval_granularity,model,method,r2,r2_oos_train_mean,rmse,mae,base_r2,base_rmse,base_mae,base_r2_oos_train_mean,delta_r2_vs_config,rmse_drop_vs_config,delta_r2_oos_vs_config
reward_exists,false_to_true,reward_exists/false_to_true,config_treatment,ridge,synthetic,-0.0751261129432188,-0.0719198472313205,0.0787717881262881,0.0620430889208923,-0.1018864346735182,0.0797460934345245,0.0615752709235879,-0.0986003637174068,0.026760321730299394,0.0009743053082364034,0.026680516486086298
reward_exists,false_to_true,reward_exists/false_to_true,config_treatment,ridge,oracle,-0.1232098492232287,-0.1198601870919908,0.0805140087560484,0.0620812491622826,-0.1018864346735182,0.0797460934345245,0.0615752709235879,-0.0986003637174068,-0.021323414549710498,-0.0007679153215238987,-0.021259823374584
reward_exists,true_to_false,reward_exists/true_to_false,config_treatment,ridge,synthetic,0.0873625902898719,0.186607281712966,0.0816368348797739,0.0647146092985493,0.2477795864220757,0.0741155921087192,0.0590020067843025,0.3295797427967798,-0.1604169961322038,-0.007521242771054704,-0.1429724610838138
reward_exists,true_to_false,reward_exists/true_to_false,config_treatment,ridge,oracle,0.4718167972407452,0.5292540427612342,0.0621053935067432,0.0520784477085313,0.2477795864220757,0.0741155921087192,0.0590020067843025,0.3295797427967798,0.2240372108186695,0.012010198601975997,0.1996742999644544
show_n_rounds,false_to_true,show_n_rounds/false_to_true,config_treatment,ridge,synthetic,-0.1590243234135171,-0.1564285006472601,0.0836534520837158,0.0673523776653781,-0.1500152177388072,0.083327698338866,0.0663266511848622,-0.147439572324433,-0.009009105674709916,-0.0003257537448498049,-0.008988928322827106
show_n_rounds,false_to_true,show_n_rounds/false_to_true,config_treatment,ridge,oracle,0.0706533492826098,0.0727347716867331,0.0749076998148681,0.0584012611347483,-0.1500152177388072,0.083327698338866,0.0663266511848622,-0.147439572324433,0.220668567021417,0.008419998523997899,0.2201743440111661
show_n_rounds,true_to_false,show_n_rounds/true_to_false,config_treatment,ridge,synthetic,0.5363979667187835,0.6034938177783797,0.0557764079142144,0.0440749114340346,0.4337164747724266,0.0616445716392935,0.0461036449080838,0.5156731366042457,0.1026814919463569,0.0058681637250791036,0.087820681174134
show_n_rounds,true_to_false,show_n_rounds/true_to_false,config_treatment,ridge,oracle,0.5463756217487405,0.6120274341550208,0.0551729325986408,0.050017027841052,0.4337164747724266,0.0616445716392935,0.0461036449080838,0.5156731366042457,0.11265914697631396,0.006471639040652705,0.09635429755077507
show_other_summaries,false_to_true,show_other_summaries/false_to_true,config_treatment,ridge,synthetic,-0.1540420104958835,0.1310681920007568,0.0860058353988941,0.06500921880492,-0.1791605396485176,0.0869367854658391,0.0697695593043477,0.1121552852327429,0.0251185291526341,0.0009309500669450049,0.01891290676801391
show_other_summaries,false_to_true,show_other_summaries/false_to_true,config_treatment,ridge,oracle,0.0694321799034092,0.2993322851089316,0.0772309050682815,0.063665099789508,-0.1791605396485176,0.0869367854658391,0.0697695593043477,0.1121552852327429,0.2485927195519268,0.009705880397557612,0.18717699987618872
show_other_summaries,true_to_false,show_other_summaries/true_to_false,config_treatment,ridge,synthetic,-0.9856113757450292,-0.6016942241380352,0.101879084136623,0.0834420501803819,-1.0624758908358376,0.1038322694135493,0.0837074905619733,-0.6636970165101954,0.07686451509080838,0.0019531852769262975,0.06200279237216022
show_other_summaries,true_to_false,show_other_summaries/true_to_false,config_treatment,ridge,oracle,-0.8844037506284483,-0.5200550521590113,0.0992487134987842,0.0771868956439273,-1.0624758908358376,0.1038322694135493,0.0837074905619733,-0.6636970165101954,0.17807214020738926,0.0045835559147651,0.14364196435118415
show_punishment_id,false_to_true,show_punishment_id/false_to_true,config_treatment,ridge,synthetic,0.0752870321482453,0.0870805527503153,0.0668386927092576,0.0506982334758338,-0.0107641723094458,0.0698794362519932,0.0539341550092777,0.0021268203600508,0.0860512044576911,0.003040743542735591,0.0849537323902645
show_punishment_id,false_to_true,show_punishment_id/false_to_true,config_treatment,ridge,oracle,0.2310004171605211,0.2408080144782809,0.0609519388777841,0.0503678115963554,-0.0107641723094458,0.0698794362519932,0.0539341550092777,0.0021268203600508,0.2417645894699669,0.008927497374209094,0.2386811941182301
show_punishment_id,true_to_false,show_punishment_id/true_to_false,config_treatment,ridge,synthetic,-0.1386978464877932,-0.0084635052031156,0.0903145587464776,0.0755269456921887,-0.0978622570667246,0.0886803589270621,0.0737760143002546,0.0277016651900887,-0.0408355894210686,-0.0016341998194155105,-0.0361651703932043
show_punishment_id,true_to_false,show_punishment_id/true_to_false,config_treatment,ridge,oracle,0.1395977356213598,0.2380030522616055,0.078506259788027,0.0630112511386184,-0.0978622570667246,0.0886803589270621,0.0737760143002546,0.0277016651900887,0.2374599926880844,0.010174099139035095,0.2103013870715168
