PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcPun;uncalcPun;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;punUncalc;noUncalc;punCalc;noCalc;punHid;noPunHid;gender;age;Condition;RecordedDate
120;461;1;0;0;1;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;2;38;3;22/11/2023 16:25
121;371;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;42;4;22/11/2023 16:26
122;354;1;1;1;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;1;29;4;22/11/2023 16:26
123;200;0;1;1;0;0;0;0;;;1;;0;1;50;;;;;;;;;;;;;;2;47;4;22/11/2023 16:26
124;400;1;1;0;0;0;1;1;0;0;;1;;;10;;;;;;;;;;;;;;2;37;3;22/11/2023 16:27
125;379;;;;;;;;;;;;;;;1;0;1;1;0;1;1;;;;;5;8;2;36;6;22/11/2023 16:27
126;774;1;0;1;1;1;0;1;;;1;;0;1;50;;;;;;;;;;;;;;2;38;4;22/11/2023 16:27
127;276;;;;;;;;;;;;;;;1;1;1;1;0;0;1;;;;;10;10;2;52;6;22/11/2023 16:27
128;471;1;0;1;1;1;1;1;;;1;;1;1;0;;;;;;;;;;;;;;2;39;4;22/11/2023 16:27
129;127;1;0;0;0;0;0;1;;;0;;1;1;50;;;;;;;;;;;;;;2;63;4;22/11/2023 16:28
130;124;;;;;;;;;;;;;;;0;0;0;1;0;0;0;;;;;7;6;1;55;6;22/11/2023 16:28
131;388;;;;;;;;;;;;;;;0;0;1;0;0;0;0;;;;;6;10;2;67;6;22/11/2023 16:28
132;654;;;;;;;;;;;;;;;1;0;0;1;1;0;1;;;;;0;10;1;58;6;22/11/2023 16:28
133;269;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;3;10;1;25;6;22/11/2023 16:28
134;246;1;1;0;1;0;1;1;;;;0;1;0;0;;;;;;;;;;;;;;2;37;4;22/11/2023 16:28
135;664;0;1;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;1;46;3;22/11/2023 16:29
136;541;;;;;;;;;;;;;;;1;1;0;0;1;1;1;10;0;10;0;;;1;53;5;22/11/2023 16:29
137;380;1;1;0;0;1;1;1;;;;0;0;0;50;;;;;;;;;;;;;;1;33;4;22/11/2023 16:29
138;320;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;5;2;30;6;22/11/2023 16:29
139;507;;;;;;;;;;;;;;;1;1;1;0;1;1;1;2;4;1;4;;;2;38;5;22/11/2023 16:29
140;330;1;0;1;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;46;4;22/11/2023 16:29
141;390;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;3;0;2;57;6;22/11/2023 16:30
142;283;0;0;1;0;1;0;1;0;0;;0;;;40;;;;;;;;;;;;;;2;49;3;22/11/2023 16:30
