ID;Duration;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;punFast;noFast;punSlow;noSlow;punHid;noPunHid;gender;age;Condition;RecordedDate
167;355;0;1;1;0;1;0;1;;;;;0;0;1;23;2;17/11/2023 23:59
168;184;0;0;0;1;1;1;0;0;10;2;10;;;1;32;1;18/11/2023 00:00
169;742;0;1;1;1;1;0;1;10;2;6;6;;;2;42;1;18/11/2023 00:00
170;688;1;1;1;1;1;0;1;0;2;6;3;;;1;32;1;18/11/2023 00:01
171;542;1;1;1;1;1;0;1;3;5;3;5;;;2;52;1;18/11/2023 00:02
172;523;1;1;1;0;1;1;1;;;;;5;5;1;67;2;18/11/2023 00:02
173;556;1;0;1;1;1;0;1;;;;;6;5;1;59;2;18/11/2023 00:02
174;326;0;0;1;0;0;1;1;;;;;4;8;1;41;2;18/11/2023 00:02
175;547;1;1;1;1;1;1;0;8;3;9;2;;;2;49;1;18/11/2023 00:03
176;505;1;1;1;1;0;0;1;4;4;4;4;;;2;52;1;18/11/2023 00:03
177;433;1;1;1;1;1;1;1;;;;;10;0;2;39;2;18/11/2023 00:03
178;314;1;1;1;1;1;1;1;5;5;5;5;;;2;49;1;18/11/2023 00:04
179;368;1;1;0;1;1;1;1;1;10;1;10;;;1;45;1;18/11/2023 00:04
180;255;0;0;1;1;1;1;1;;;;;10;10;2;44;2;18/11/2023 00:04
181;954;0;0;1;0;1;1;0;;;;;3;3;1;54;2;18/11/2023 00:05
182;329;0;1;1;1;1;1;1;4;6;5;5;;;2;40;1;18/11/2023 00:06
183;220;1;1;1;1;1;1;1;0;0;1;0;;;1;22;1;18/11/2023 00:07
184;531;1;1;1;0;1;1;1;;;;;3;10;2;26;2;18/11/2023 00:08
185;463;0;1;1;0;1;1;1;0;2;2;0;;;1;58;1;18/11/2023 00:09
186;411;0;0;1;0;1;0;1;;;;;6;8;1;32;2;18/11/2023 00:09
187;495;1;1;1;1;1;1;1;;;;;10;0;1;41;2;18/11/2023 00:09
188;455;0;1;1;1;1;1;0;;;;;10;4;2;26;2;18/11/2023 00:09
189;391;1;1;1;1;1;1;1;10;0;5;0;;;2;53;1;18/11/2023 00:12
190;868;0;1;1;0;1;1;1;2;10;2;10;;;1;63;1;18/11/2023 00:12
191;455;1;1;1;1;1;1;1;;;;;10;5;1;20;2;18/11/2023 00:13
192;266;1;1;1;0;1;0;1;;;;;10;10;1;35;2;18/11/2023 00:14
193;371;1;1;1;1;1;1;1;0;10;0;5;;;1;54;1;18/11/2023 00:15
194;568;1;1;1;1;1;1;1;;;;;6;2;2;49;2;18/11/2023 00:16
195;750;0;0;1;1;1;0;1;0;10;0;5;;;2;43;1;18/11/2023 00:17
196;522;1;1;1;1;1;1;1;8;0;8;0;;;1;66;1;18/11/2023 00:17
197;561;1;1;1;0;1;1;1;0;3;0;3;;;1;63;1;18/11/2023 00:17
198;388;1;1;1;1;1;1;1;;;;;10;0;1;53;2;18/11/2023 00:19
199;381;0;0;0;1;1;0;0;;;;;2;5;2;39;2;18/11/2023 00:20
200;486;0;0;1;1;1;1;0;;;;;4;4;2;51;2;18/11/2023 00:21
201;99;0;0;1;1;0;0;1;;;;;0;2;2;73;2;18/11/2023 00:23
202;323;1;1;1;1;1;1;1;0;0;10;0;;;1;27;1;18/11/2023 00:23
203;760;0;0;1;1;1;0;1;10;10;10;10;;;1;25;1;18/11/2023 00:24
204;591;0;1;1;1;1;1;1;4;10;7;10;;;2;58;1;18/11/2023 00:25
205;314;0;1;1;1;1;0;1;;;;;8;8;2;55;2;18/11/2023 00:26
206;338;1;1;1;1;1;1;1;;;;;10;0;1;40;2;18/11/2023 00:26
207;387;1;1;0;1;1;1;1;10;10;10;10;;;2;42;1;18/11/2023 00:27
208;351;1;1;1;0;1;1;1;;;;;5;10;2;25;2;18/11/2023 00:29
209;953;1;1;1;1;1;1;1;0;10;4;8;;;1;51;1;18/11/2023 00:29
210;350;1;1;1;1;1;1;1;;;;;10;5;2;21;2;18/11/2023 00:31
211;279;1;1;1;1;1;0;1;0;10;2;5;;;2;23;1;18/11/2023 00:32
212;1262;0;0;1;1;1;1;1;10;10;10;10;;;2;35;1;18/11/2023 00:33
213;392;1;1;1;1;0;0;1;;;;;5;5;1;33;2;18/11/2023 00:34
214;316;1;1;1;1;1;1;1;4;0;4;0;;;1;41;1;18/11/2023 00:35
215;267;1;1;1;1;0;1;1;;;;;3;4;1;22;2;18/11/2023 00:37
216;548;0;1;1;1;1;0;1;1;4;3;2;;;1;25;1;18/11/2023 00:38
217;348;1;1;1;1;0;1;1;;;;;10;0;1;26;2;18/11/2023 00:39
218;666;1;0;1;1;1;0;1;0;4;5;0;;;2;75;1;18/11/2023 00:41
219;836;0;1;0;1;0;1;1;10;10;0;10;;;1;38;1;18/11/2023 00:42
220;261;1;1;1;1;1;1;1;;;;;10;5;1;40;2;18/11/2023 00:42
221;497;1;1;1;0;1;1;1;;;;;2;1;1;38;2;18/11/2023 00:43
222;460;0;0;0;0;1;1;1;1;5;1;5;;;2;54;1;18/11/2023 00:43
223;336;1;1;1;1;1;1;1;6;3;7;2;;;1;27;1;18/11/2023 00:44
224;269;1;1;1;1;0;1;1;;;;;5;5;2;27;2;18/11/2023 00:45
225;295;1;1;1;0;1;0;0;10;10;10;10;;;1;30;1;18/11/2023 00:45
226;287;1;1;1;1;1;1;1;;;;;5;10;1;43;2;18/11/2023 00:46
227;646;0;1;1;0;1;1;1;;;;;0;8;1;24;2;18/11/2023 00:46
228;421;1;1;1;1;1;0;1;;;;;3;5;2;40;2;18/11/2023 00:46
229;556;0;0;1;0;0;0;0;2;2;0;0;;;1;44;1;18/11/2023 00:47
230;1547;1;1;1;1;1;1;1;;;;;10;0;1;54;2;18/11/2023 00:48
231;410;1;1;1;1;1;1;1;2;5;2;5;;;2;40;1;18/11/2023 00:49
232;186;0;1;1;0;0;1;1;;;;;0;4;1;29;2;18/11/2023 00:51
233;1104;1;1;1;0;1;1;1;0;5;0;5;;;2;29;1;18/11/2023 00:53
234;477;1;1;1;1;1;1;1;5;4;6;6;;;2;58;1;18/11/2023 00:53
235;362;1;1;1;1;1;1;1;;;;;10;10;2;36;2;18/11/2023 00:55
236;467;1;1;1;1;0;1;1;;;;;10;0;2;37;2;18/11/2023 00:57
237;796;1;1;1;1;0;1;1;0;5;0;5;;;2;38;1;18/11/2023 01:03
238;687;1;1;1;1;1;0;1;;;;;10;4;2;26;2;18/11/2023 01:03
239;404;1;1;1;1;1;1;1;10;0;10;0;;;2;32;1;18/11/2023 01:05
240;690;1;1;1;1;0;1;1;6;10;2;10;;;1;29;1;18/11/2023 01:06
241;532;0;0;1;1;1;0;1;;;;;2;10;1;57;2;18/11/2023 01:07
242;278;1;1;1;1;1;1;1;0;0;3;0;;;1;38;1;18/11/2023 01:07
243;370;1;1;1;1;1;0;1;;;;;5;10;1;52;2;18/11/2023 01:07
244;503;1;1;1;1;1;1;1;;;;;5;5;2;54;2;18/11/2023 01:07
245;337;1;1;1;1;1;1;1;5;0;5;2;;;2;41;1;18/11/2023 01:08
246;166;1;1;1;1;0;1;0;8;0;4;1;;;2;39;1;18/11/2023 01:11
247;347;1;1;1;1;1;1;1;;;;;10;0;1;46;2;18/11/2023 01:12
248;299;1;1;1;1;1;0;1;;;;;10;6;1;39;2;18/11/2023 01:14
249;328;0;0;0;0;0;0;0;4;5;2;5;;;2;55;1;18/11/2023 01:14
250;467;1;1;1;1;1;1;1;4;2;3;1;;;1;51;1;18/11/2023 01:18
251;377;0;1;1;0;0;0;0;4;4;2;2;;;1;27;1;18/11/2023 01:19
252;582;1;1;1;1;1;0;1;;;;;10;0;2;58;2;18/11/2023 01:21
253;264;0;0;0;1;1;0;1;;;;;2;0;2;31;2;18/11/2023 01:22
254;244;1;1;1;1;1;1;0;;;;;3;5;1;23;2;18/11/2023 01:25
255;264;1;1;1;0;1;0;1;2;3;2;3;;;2;34;1;18/11/2023 01:26
256;583;1;1;0;1;0;1;0;;;;;10;0;1;39;2;18/11/2023 01:28
257;281;1;1;1;1;1;1;1;;;;;10;10;1;62;2;18/11/2023 01:29
258;549;1;1;1;0;0;1;0;;;;;5;5;1;67;2;18/11/2023 01:31
259;523;1;1;1;0;0;1;1;8;6;8;10;;;2;41;1;18/11/2023 01:35
260;1620;1;1;1;1;0;1;0;2;0;5;0;;;1;62;1;18/11/2023 01:35
261;329;0;1;1;0;1;1;1;;;;;2;8;2;21;2;18/11/2023 01:37
262;230;1;0;0;0;0;0;0;3;4;2;2;;;1;67;1;18/11/2023 01:43
263;373;1;1;1;1;0;0;1;;;;;10;3;2;49;2;18/11/2023 01:44
264;345;1;1;1;0;0;1;1;1;3;1;2;;;2;27;1;18/11/2023 01:48
265;881;0;1;1;0;1;1;1;;;;;3;2;2;52;2;18/11/2023 01:49
266;660;1;1;1;1;0;1;1;0;0;0;2;;;2;21;1;18/11/2023 01:50
267;304;1;1;1;1;1;1;0;;;;;10;3;1;22;2;18/11/2023 01:51
268;356;0;1;0;1;1;1;0;1;4;2;2;;;1;60;1;18/11/2023 01:52
269;244;0;0;0;1;1;0;1;;;;;3;3;2;34;2;18/11/2023 02:08
270;274;1;1;1;1;1;1;1;;;;;10;10;1;28;2;18/11/2023 02:09
271;516;0;0;1;1;1;1;1;1;4;4;3;;;1;45;1;18/11/2023 02:11
272;557;1;1;1;1;1;0;0;4;5;4;5;;;2;22;1;18/11/2023 02:12
273;390;1;1;1;0;1;0;1;;;;;1;10;1;38;2;18/11/2023 02:16
274;534;0;1;1;1;1;1;0;3;4;2;5;;;1;61;1;18/11/2023 02:17
275;656;1;1;1;1;0;1;1;10;0;10;0;;;1;36;1;18/11/2023 02:21
276;509;0;1;0;0;1;1;1;;;;;1;1;1;49;2;18/11/2023 02:22
277;832;0;0;1;1;0;1;1;;;;;0;0;2;41;2;18/11/2023 02:26
278;298;1;0;0;0;1;0;1;;;;;0;0;2;21;2;18/11/2023 02:27
279;719;0;0;1;0;1;1;1;2;1;2;2;;;1;46;1;18/11/2023 02:39
280;406;1;1;1;1;1;1;1;10;6;8;10;;;2;64;1;18/11/2023 02:42
281;485;0;1;1;1;0;1;1;5;5;10;6;;;1;29;1;18/11/2023 02:44
282;846;1;1;0;1;1;0;0;;;;;4;1;2;53;2;18/11/2023 02:44
283;386;0;0;1;0;1;0;1;;;;;5;5;1;42;2;18/11/2023 02:50
284;455;1;1;1;1;1;0;1;0;10;10;2;;;2;31;1;18/11/2023 02:57
285;365;1;1;1;0;1;1;1;;;;;5;4;2;35;2;18/11/2023 02:57
286;431;0;1;1;1;1;1;1;10;10;10;10;;;1;26;1;18/11/2023 02:58
287;434;1;1;1;1;1;1;1;;;;;5;5;2;91;2;18/11/2023 03:04
288;648;0;0;1;0;1;0;0;7;2;4;5;;;2;23;1;18/11/2023 03:06
289;635;1;1;1;1;0;1;1;2;6;5;5;;;2;35;1;18/11/2023 03:06
290;443;0;1;1;0;0;0;1;0;6;4;4;;;1;56;1;18/11/2023 03:12
291;184;0;0;0;0;1;0;1;;;;;4;6;1;41;2;18/11/2023 03:26
292;976;0;0;1;0;1;0;1;;;;;4;2;2;62;2;18/11/2023 03:27
293;381;0;1;1;1;1;1;0;;;;;4;0;1;52;2;18/11/2023 03:28
294;526;1;1;0;1;1;0;0;10;10;10;10;;;2;37;1;18/11/2023 03:31
295;181;1;0;0;0;0;0;1;7;5;7;7;;;2;42;1;18/11/2023 03:37
296;420;1;1;1;1;1;1;1;;;;;3;5;3;25;2;18/11/2023 03:37
297;346;1;1;1;0;0;1;0;10;10;10;10;;;1;39;1;18/11/2023 03:44
298;628;0;1;0;1;1;0;1;;;;;4;1;2;43;2;18/11/2023 03:50
299;424;1;1;1;1;1;1;1;;;;;5;5;2;46;2;18/11/2023 03:52
300;314;0;1;1;1;1;0;1;;;;;10;10;2;37;2;18/11/2023 03:53
301;313;1;1;1;1;1;1;1;10;2;8;3;;;2;32;1;18/11/2023 04:01
302;362;1;1;1;1;1;1;1;;;;;10;4;2;38;2;18/11/2023 04:01
303;534;1;1;1;1;1;0;1;0;5;0;5;;;1;67;1;18/11/2023 04:02
304;406;0;0;1;1;1;0;1;4;5;5;6;;;2;39;1;18/11/2023 04:08
305;315;1;1;1;0;1;1;1;;;;;6;4;2;26;2;18/11/2023 04:11
306;313;0;0;1;1;1;0;0;;;;;0;5;2;32;2;18/11/2023 04:11
307;813;1;1;1;1;0;1;1;10;10;10;10;;;2;62;1;18/11/2023 04:13
308;499;1;1;1;1;1;1;1;7;3;5;3;;;2;24;1;18/11/2023 04:17
309;384;1;1;1;0;0;1;1;;;;;10;10;1;42;2;18/11/2023 04:17
310;318;1;1;1;0;1;0;0;2;4;8;6;;;1;30;1;18/11/2023 04:24
