PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcHelp;uncalcHelp;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;helpUncalc;noUncalc;helpCalc;noCalc;helpHid;noHelpHid;gender;age;Condition;RecordedDate
66;177;;;;;;;;;;;;;;;0;1;0;0;0;0;1;5;5;5;5;;;2;31;5;18/11/2023 23:53
67;177;;;;;;;;;;;;;;;0;1;0;0;0;0;1;;;;;0;0;1;20;6;18/11/2023 23:53
68;177;;;;;;;;;;;;;;;0;0;1;0;0;1;1;;;;;3;2;1;38;6;18/11/2023 23:56
69;178;;;;;;;;;;;;;;;0;0;1;1;1;0;0;10;2;10;2;;;2;27;5;18/11/2023 23:59
70;178;1;1;0;0;1;0;1;;;1;;0;1;50;;;;;;;;;;;;;;2;41;4;18/11/2023 23:59
71;181;;;;;;;;;;;;;;;0;1;0;0;0;1;0;6;8;6;8;;;2;67;5;19/11/2023 00:02
72;182;0;1;0;1;0;1;0;;;1;;0;1;100;;;;;;;;;;;;;;2;47;4;19/11/2023 00:02
73;182;0;1;1;0;0;1;1;0;1;1;;;;54;;;;;;;;;;;;;;2;26;3;19/11/2023 00:03
74;184;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;10;10;2;33;6;19/11/2023 00:04
75;186;0;0;1;0;0;1;1;1;0;;0;;;0;;;;;;;;;;;;;;1;32;3;19/11/2023 00:04
76;187;0;1;0;0;0;0;0;0;1;1;;;;29;;;;;;;;;;;;;;2;22;3;19/11/2023 00:05
77;188;0;1;0;0;0;1;0;1;1;1;;;;50;;;;;;;;;;;;;;1;32;3;19/11/2023 00:08
78;189;;;;;;;;;;;;;;;0;1;1;1;1;1;0;;;;;6;6;2;31;6;19/11/2023 00:11
79;189;;;;;;;;;;;;;;;0;0;0;0;1;0;0;;;;;5;5;1;52;6;19/11/2023 00:15
80;191;0;0;1;0;1;0;1;1;0;;1;;;9;;;;;;;;;;;;;;2;38;3;19/11/2023 00:23
81;192;;;;;;;;;;;;;;;0;1;0;0;1;0;0;;;;;6;5;2;29;6;19/11/2023 00:25
82;192;;;;;;;;;;;;;;;0;1;1;0;1;1;0;4;4;4;4;;;2;38;5;19/11/2023 00:27
83;192;;;;;;;;;;;;;;;0;1;1;0;1;1;1;;;;;5;1;2;24;6;19/11/2023 00:28
84;193;;;;;;;;;;;;;;;0;1;0;0;1;1;1;;;;;10;10;1;26;6;19/11/2023 00:33
85;193;;;;;;;;;;;;;;;0;1;0;1;0;0;1;10;10;10;10;;;1;23;5;19/11/2023 00:34
86;193;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;5;5;1;25;6;19/11/2023 00:35
87;194;1;1;1;0;0;1;1;0;1;1;;;;50;;;;;;;;;;;;;;2;23;3;19/11/2023 00:37
88;195;0;0;1;0;1;1;1;1;1;1;;;;10;;;;;;;;;;;;;;1;36;3;19/11/2023 00:47
89;195;;;;;;;;;;;;;;;0;1;1;0;1;1;1;10;0;10;0;;;1;30;5;19/11/2023 00:49
90;195;0;0;1;0;0;1;0;;;1;;0;1;50;;;;;;;;;;;;;;1;28;4;19/11/2023 00:52
91;195;;;;;;;;;;;;;;;1;1;1;0;0;1;0;;;;;3;1;1;24;6;19/11/2023 00:53
92;195;1;1;1;1;1;1;1;;;0;;1;1;0;;;;;;;;;;;;;;1;27;4;19/11/2023 00:54
93;196;;;;;;;;;;;;;;;0;0;0;1;1;0;0;;;;;2;4;2;18;6;19/11/2023 00:56
94;196;;;;;;;;;;;;;;;0;1;0;0;0;0;0;;;;;10;10;2;39;6;19/11/2023 00:57
95;196;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;27;4;19/11/2023 00:58
96;198;;;;;;;;;;;;;;;1;1;1;1;1;1;1;3;0;5;0;;;2;25;5;19/11/2023 01:02
97;198;;;;;;;;;;;;;;;0;1;1;0;0;1;0;10;5;10;5;;;2;27;5;19/11/2023 01:03
98;198;;;;;;;;;;;;;;;0;1;1;0;1;1;1;6;2;4;5;;;2;31;5;19/11/2023 01:06
99;198;;;;;;;;;;;;;;;0;1;1;1;1;0;1;10;4;6;4;;;2;27;5;19/11/2023 01:09
100;199;;;;;;;;;;;;;;;0;0;1;1;1;1;1;10;10;10;10;;;1;38;5;19/11/2023 01:09
101;199;0;0;0;0;1;0;0;1;1;0;;;;50;;;;;;;;;;;;;;2;44;3;19/11/2023 01:10
102;200;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;31;4;19/11/2023 01:14
103;200;;;;;;;;;;;;;;;0;1;0;0;1;0;1;8;6;10;10;;;2;43;5;19/11/2023 01:22
104;201;;;;;;;;;;;;;;;0;0;1;1;1;0;0;;;;;5;2;2;44;6;19/11/2023 01:26
105;201;0;1;0;0;1;1;1;1;1;1;;;;20;;;;;;;;;;;;;;2;24;3;19/11/2023 01:31
106;201;;;;;;;;;;;;;;;0;0;1;0;1;0;1;10;10;10;10;;;1;30;5;19/11/2023 01:41
107;202;;;;;;;;;;;;;;;0;0;0;0;1;0;1;3;3;3;3;;;2;20;5;19/11/2023 01:42
108;203;1;1;1;0;1;1;1;;;1;;1;1;0;;;;;;;;;;;;;;1;30;4;19/11/2023 01:44
109;203;;;;;;;;;;;;;;;1;1;1;1;1;1;1;4;4;8;2;;;2;35;5;19/11/2023 01:47
110;203;0;1;1;1;1;0;1;0;0;;1;;;30;;;;;;;;;;;;;;1;45;3;19/11/2023 01:53
111;203;1;1;1;0;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;38;3;19/11/2023 01:56
112;204;;;;;;;;;;;;;;;1;0;0;0;0;0;1;4;10;10;10;;;2;34;5;19/11/2023 02:00
113;204;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;2;28;6;19/11/2023 02:02
114;204;0;0;1;0;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;2;34;3;19/11/2023 02:05
115;204;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;5;0;2;18;6;19/11/2023 02:06
116;204;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;10;10;1;26;6;19/11/2023 02:06
117;204;1;1;1;1;1;1;1;1;1;1;;;;33;;;;;;;;;;;;;;1;29;3;19/11/2023 02:09
118;205;;;;;;;;;;;;;;;0;1;0;0;1;1;1;10;10;10;10;;;2;30;5;19/11/2023 02:16
119;205;;;;;;;;;;;;;;;0;0;0;1;1;0;1;;;;;0;0;1;60;6;19/11/2023 02:16
120;205;0;0;1;0;1;0;1;0;1;1;;;;100;;;;;;;;;;;;;;2;30;3;19/11/2023 02:16
121;205;;;;;;;;;;;;;;;1;1;1;0;1;0;1;0;0;0;0;;;1;37;5;19/11/2023 02:21
122;205;0;0;1;0;0;1;1;;;0;;1;1;29;;;;;;;;;;;;;;2;40;4;19/11/2023 02:30
123;205;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;0;0;1;36;6;19/11/2023 02:39
124;206;;;;;;;;;;;;;;;1;1;1;1;0;1;1;10;0;6;2;;;2;25;5;19/11/2023 02:44
125;207;1;1;1;0;1;0;1;;;1;;1;1;0;;;;;;;;;;;;;;1;27;4;19/11/2023 02:55
126;207;;;;;;;;;;;;;;;1;1;1;0;0;1;0;;;;;0;1;1;26;6;19/11/2023 03:05
127;208;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;1;0;2;30;6;19/11/2023 03:19
128;208;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;3;;;1;26;5;19/11/2023 03:21
129;209;;;;;;;;;;;;;;;1;1;1;1;0;0;0;;;;;1;1;1;25;6;19/11/2023 03:24
130;209;1;1;1;0;1;0;1;;;0;;1;1;0;;;;;;;;;;;;;;1;24;4;19/11/2023 03:26
131;210;;;;;;;;;;;;;;;1;1;1;0;1;1;1;5;5;5;5;;;2;34;5;19/11/2023 03:33
132;210;0;0;0;0;0;1;1;;;0;;1;1;0;;;;;;;;;;;;;;2;28;4;19/11/2023 03:54
133;211;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;8;1;2;25;6;19/11/2023 03:57
134;211;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;46;4;19/11/2023 04:02
135;211;0;0;0;0;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;2;26;4;19/11/2023 04:03
136;212;1;1;1;0;0;1;1;0;1;1;;;;50;;;;;;;;;;;;;;2;31;3;19/11/2023 04:04
137;212;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;10;4;2;32;6;19/11/2023 04:09
138;212;1;0;0;0;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;1;37;4;19/11/2023 04:12
139;212;0;1;0;0;0;0;1;1;0;;1;;;19;;;;;;;;;;;;;;2;27;3;19/11/2023 04:23
140;213;1;1;0;1;1;1;1;;;1;;1;1;49;;;;;;;;;;;;;;1;23;4;19/11/2023 04:28
141;213;;;;;;;;;;;;;;;1;1;1;0;0;0;0;;;;;5;2;2;42;6;19/11/2023 04:48
142;213;0;0;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;32;3;19/11/2023 04:55
143;213;;;;;;;;;;;;;;;1;1;1;0;0;1;1;;;;;10;10;2;38;6;19/11/2023 05:03
144;214;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;2;2;1;26;6;19/11/2023 05:28
145;214;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;35;4;19/11/2023 05:47
146;214;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;10;0;2;33;6;19/11/2023 05:48
147;214;;;;;;;;;;;;;;;0;1;1;1;1;1;1;4;4;6;0;;;2;35;5;19/11/2023 05:54
148;214;0;1;1;0;0;0;1;1;0;;1;;;50;;;;;;;;;;;;;;2;22;3;19/11/2023 05:59
149;214;;;;;;;;;;;;;;;0;1;0;0;1;0;0;;;;;10;5;2;31;6;19/11/2023 06:01
150;214;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;1;33;6;19/11/2023 06:05
151;215;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;5;10;1;44;6;19/11/2023 06:07
152;215;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;7;5;2;31;6;19/11/2023 06:09
153;215;;;;;;;;;;;;;;;0;1;0;1;1;1;1;2;2;4;2;;;2;43;5;19/11/2023 06:10
154;215;;;;;;;;;;;;;;;1;1;1;0;0;1;1;;;;;2;2;1;28;6;19/11/2023 06:11
155;215;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;30;4;19/11/2023 06:11
156;216;1;1;0;0;0;0;0;;;1;;0;1;52;;;;;;;;;;;;;;2;45;4;19/11/2023 06:11
157;216;1;1;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;29;3;19/11/2023 06:15
158;216;;;;;;;;;;;;;;;0;0;1;0;1;0;1;;;;;10;10;1;32;6;19/11/2023 06:16
159;216;1;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;39;4;19/11/2023 06:17
160;217;1;0;0;0;0;0;1;;;;0;1;0;39;;;;;;;;;;;;;;2;43;4;19/11/2023 06:19
161;217;;;;;;;;;;;;;;;1;1;0;0;1;0;1;;;;;8;5;2;26;6;19/11/2023 06:29
162;217;0;0;0;0;1;0;1;;;1;;1;1;10;;;;;;;;;;;;;;2;62;4;19/11/2023 06:34
163;217;0;1;1;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;39;4;19/11/2023 06:35
164;217;;;;;;;;;;;;;;;1;1;0;1;0;0;1;;;;;1;2;1;41;6;19/11/2023 06:37
165;217;;;;;;;;;;;;;;;0;0;1;0;1;0;0;5;4;7;4;;;2;45;5;19/11/2023 06:38
166;217;;;;;;;;;;;;;;;0;1;0;0;1;1;0;;;;;10;10;2;36;6;19/11/2023 06:39
167;217;1;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;39;4;19/11/2023 06:40
168;218;1;1;0;1;0;1;0;;;1;;1;1;41;;;;;;;;;;;;;;2;24;4;19/11/2023 06:50
169;218;0;0;1;0;1;0;0;;;1;;1;1;80;;;;;;;;;;;;;;1;32;4;19/11/2023 06:52
170;219;0;1;0;1;1;1;0;0;1;1;;;;20;;;;;;;;;;;;;;2;35;3;19/11/2023 06:54
171;219;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;5;0;1;40;6;19/11/2023 06:56
172;219;;;;;;;;;;;;;;;1;0;0;0;0;0;0;6;5;5;5;;;2;51;5;19/11/2023 06:56
173;219;1;0;1;0;1;1;1;1;1;0;;;;0;;;;;;;;;;;;;;1;40;3;19/11/2023 06:58
174;220;;;;;;;;;;;;;;;1;0;1;0;0;0;1;;;;;2;0;1;20;6;19/11/2023 07:01
175;220;;;;;;;;;;;;;;;0;1;1;0;1;0;1;;;;;10;0;2;26;6;19/11/2023 07:01
176;220;;;;;;;;;;;;;;;1;0;1;1;1;1;1;5;1;2;5;;;2;34;5;19/11/2023 07:02
177;220;;;;;;;;;;;;;;;1;1;1;0;1;0;1;;;;;10;5;2;34;6;19/11/2023 07:02
178;220;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;1;2;2;23;6;19/11/2023 07:03
179;220;;;;;;;;;;;;;;;0;0;1;1;1;1;1;;;;;10;10;2;33;6;19/11/2023 07:04
180;221;0;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;31;3;19/11/2023 07:04
181;221;0;0;1;1;1;0;1;;;1;;0;1;25;;;;;;;;;;;;;;2;33;4;19/11/2023 07:04
182;221;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;8;0;1;31;6;19/11/2023 07:06
183;221;1;0;0;0;0;1;0;0;1;0;;;;20;;;;;;;;;;;;;;2;30;3;19/11/2023 07:06
184;222;1;1;1;1;1;1;1;1;1;0;;;;0;;;;;;;;;;;;;;2;52;3;19/11/2023 07:07
185;222;;;;;;;;;;;;;;;0;1;1;0;1;0;1;;;;;6;10;2;23;6;19/11/2023 07:07
186;223;;;;;;;;;;;;;;;0;1;1;1;0;1;1;10;10;2;2;;;1;36;5;19/11/2023 07:08
187;223;0;0;0;1;0;1;1;;;1;;0;1;50;;;;;;;;;;;;;;2;30;4;19/11/2023 07:11
188;223;1;1;1;1;1;1;1;1;1;1;;;;35;;;;;;;;;;;;;;1;26;3;19/11/2023 07:11
189;223;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;8;0;2;22;6;19/11/2023 07:12
190;224;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;2;23;6;19/11/2023 07:13
191;224;0;0;0;0;1;0;1;0;1;1;;;;25;;;;;;;;;;;;;;2;28;3;19/11/2023 07:13
192;224;1;0;0;1;0;1;0;;;1;;1;1;60;;;;;;;;;;;;;;1;53;4;19/11/2023 07:14
193;224;0;0;1;0;1;0;0;;;1;;1;1;50;;;;;;;;;;;;;;2;36;4;19/11/2023 07:16
194;224;1;1;1;0;1;1;1;0;1;1;;;;50;;;;;;;;;;;;;;2;40;3;19/11/2023 07:19
195;224;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;10;10;1;34;6;19/11/2023 07:19
196;225;0;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;43;3;19/11/2023 07:20
197;225;0;0;1;1;1;1;1;0;0;;1;;;50;;;;;;;;;;;;;;1;42;3;19/11/2023 07:21
198;226;1;1;1;0;0;1;0;;;0;;0;1;0;;;;;;;;;;;;;;1;33;4;19/11/2023 07:22
199;226;1;0;1;1;0;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;31;3;19/11/2023 07:22
200;226;;;;;;;;;;;;;;;0;0;0;0;1;1;1;;;;;5;5;1;41;6;19/11/2023 07:22
201;227;0;1;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;39;3;19/11/2023 07:22
202;227;1;1;1;0;0;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;46;4;19/11/2023 07:23
203;227;1;1;1;0;0;1;1;1;1;1;;;;0;;;;;;;;;;;;;;1;36;3;19/11/2023 07:23
204;227;;;;;;;;;;;;;;;0;1;1;0;0;1;1;;;;;10;10;1;53;6;19/11/2023 07:24
205;227;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;27;4;19/11/2023 07:24
206;227;0;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;30;3;19/11/2023 07:26
207;227;1;1;1;0;0;0;0;;;;1;0;0;52;;;;;;;;;;;;;;2;21;4;19/11/2023 07:27
208;227;;;;;;;;;;;;;;;0;0;1;0;1;1;0;0;0;0;0;;;2;26;5;19/11/2023 07:28
209;228;0;0;1;0;1;0;1;1;1;1;;;;30;;;;;;;;;;;;;;1;29;3;19/11/2023 07:28
210;228;0;0;1;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;28;4;19/11/2023 07:29
211;228;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;7;5;2;22;6;19/11/2023 07:29
212;228;;;;;;;;;;;;;;;0;1;0;0;0;1;1;6;7;5;6;;;1;25;5;19/11/2023 07:29
213;228;;;;;;;;;;;;;;;1;1;0;1;1;1;1;10;2;8;5;;;2;36;5;19/11/2023 07:30
214;229;1;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;29;4;19/11/2023 07:30
215;229;1;0;0;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;36;3;19/11/2023 07:30
216;229;0;1;1;0;1;1;1;;;1;;1;1;10;;;;;;;;;;;;;;2;26;4;19/11/2023 07:31
217;230;;;;;;;;;;;;;;;0;0;0;0;1;0;1;;;;;4;4;2;48;6;19/11/2023 07:31
218;230;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;27;4;19/11/2023 07:31
219;230;;;;;;;;;;;;;;;0;1;1;0;1;1;0;;;;;4;6;1;28;6;19/11/2023 07:33
220;230;;;;;;;;;;;;;;;1;1;1;0;1;0;1;10;0;10;0;;;1;30;5;19/11/2023 07:33
221;230;1;1;1;0;1;1;1;0;1;1;;;;50;;;;;;;;;;;;;;2;27;3;19/11/2023 07:35
222;230;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;6;5;1;41;6;19/11/2023 07:37
223;230;;;;;;;;;;;;;;;0;1;1;0;0;1;1;5;5;5;5;;;1;27;5;19/11/2023 07:37
224;230;;;;;;;;;;;;;;;1;0;1;1;1;0;1;0;0;2;2;;;2;26;5;19/11/2023 07:37
225;231;1;1;0;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;1;29;3;19/11/2023 07:37
226;231;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;0;0;2;30;6;19/11/2023 07:38
227;231;0;1;1;0;0;1;0;;;1;;1;1;49;;;;;;;;;;;;;;2;26;4;19/11/2023 07:39
228;232;;;;;;;;;;;;;;;1;1;1;1;1;0;1;5;5;5;5;;;2;34;5;19/11/2023 07:41
229;232;1;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;31;3;19/11/2023 07:43
230;232;;;;;;;;;;;;;;;1;1;1;1;1;0;0;;;;;10;0;2;29;6;19/11/2023 07:44
231;232;0;0;1;0;1;0;1;;;1;;1;1;100;;;;;;;;;;;;;;2;43;4;19/11/2023 07:44
232;232;;;;;;;;;;;;;;;0;0;1;0;1;0;0;10;10;10;10;;;2;38;5;19/11/2023 07:45
