ID;Duration;Timer1_First Click;Timer1_Last Click;Timer1_Page Submit;Timer1_Click Count;G1comp1;G1comp2;G1comp3;G1comp4;Timer2_First Click;Timer2_Last Click;Timer2_Page Submit;Timer2_Click Count;G2comp1;G2comp2;G2comp3;Timer3obs_First Click;Timer3obs_Last Click;Timer3obs_Page Submit;Timer3obs_Click Count;A2comp4OB;punTimer_First Click;punTimer_Last Click;decisionT;punTimer_Click Count;punishing;Timer3hid_First Click;Timer3hid_Last Click;Timer3hid_Page Submit;Timer3hid_Click Count;A2comp4HID;return;gender;age;Condition;RecordedDate
11;1242;37.611;114.366;115.291;18;1;1;0;1;34.181;879.831;881.409;6;0;1;0;;;;;;10.627;10.627;11.834;1;0;57.467;57.467;58.49;1;1;50;2;41;2;16/11/2023 14:15
12;1229;5.927;543.709;547.198;64;0;1;1;1;30.544;136.873;137.333;17;1;1;1;3.88;59.406;63.563;10;1;8.162;8.162;10.335;1;0;;;;;;0;1;41;1;16/11/2023 14:15
13;1227;0.925;101.498;102.116;25;0;0;1;1;1.417;69.309;69.795;15;1;1;1;;;;;;6.376;7.006;8.979;2;1;29.058;53.894;54.564;7;1;50;1;35;2;16/11/2023 14:15
14;1118;3.343;42.077;42.671;8;1;1;1;1;12.798;26.273;26.77;5;0;1;1;10.091;12.996;16.348;2;0;0.976;5.899;6.662;7;0;;;;;;30;1;22;1;16/11/2023 14:16
15;1110;1.92;235.667;237.227;18;1;0;1;1;2.386;356.041;358.726;21;0;0;0;35.001;61.825;62.646;3;1;10.815;10.815;14.383;1;1;;;;;;90;2;35;1;16/11/2023 14:18
16;1102;236.826;309.814;363.302;6;0;0;1;1;128.016;146.296;146.982;3;1;1;1;99.116;99.116;100.133;1;1;8.817;8.817;9.873;1;0;;;;;;40;1;36;1;16/11/2023 14:19
17;1099;221.835;391.601;392.932;4;1;1;1;1;244.898;321.809;322.928;3;1;1;1;;;;;;17.16;17.16;18.585;1;0;50.088;50.088;54.866;1;1;50;1;68;2;16/11/2023 14:19
18;1070;356.623;610.214;611.159;16;0;0;1;1;6.095;78.568;79.802;10;1;0;1;15.113;38.659;39.4;5;1;8.325;8.325;9.972;1;0;;;;;;50;2;36;1;16/11/2023 14:21
19;1059;5.062;248.654;251.565;18;0;0;1;1;141.98;169.985;172.574;5;1;0;1;23.715;63.431;66.633;5;1;8.397;8.397;10.325;1;1;;;;;;49;2;66;1;16/11/2023 14:22
20;1058;226.308;346.4;347.73;19;0;1;1;1;127.768;261.33;263.959;10;1;1;1;53.569;63.349;64.96;4;1;6.506;6.506;8.997;1;1;;;;;;50;2;27;1;16/11/2023 14:23
21;1040;107.723;174.714;177.596;4;0;1;0;1;293.249;316.465;319.197;3;0;1;1;72.195;72.195;74.498;1;1;3.942;3.942;5.506;1;1;;;;;;50;1;51;1;16/11/2023 14:23
22;1038;50.518;102.931;104.853;9;1;1;1;1;60.816;109.482;110.769;8;0;1;1;;;;;;3.99;7.225;9.131;2;0;54.294;68.704;69.912;3;1;50;1;45;2;16/11/2023 14:24
23;1035;19.588;202.118;203.063;38;1;1;1;1;39.3;291.724;293.944;47;1;1;1;;;;;;52.824;52.824;54.544;1;0;1.151;177.35;180.377;17;1;50;1;21;2;16/11/2023 14:25
24;1003;482.339;546.04;546.517;5;1;1;1;1;286.119;299.253;307.509;3;1;1;1;21.64;21.64;22.5;1;1;2.87;2.87;4.239;1;0;;;;;;50;1;22;1;16/11/2023 14:26
25;990;51.541;70.118;71.337;4;1;1;1;1;460.422;471.971;472.499;3;1;1;1;115.784;115.784;119.1;1;1;4.821;4.821;6.244;1;0;;;;;;50;2;39;1;16/11/2023 14:27
26;987;218.282;273.483;274.881;5;1;1;1;1;214.554;275.755;277.702;3;0;1;1;47.899;47.899;50.713;1;0;11.293;11.293;16.387;1;1;;;;;;35;2;38;1;16/11/2023 14:28
27;978;6.625;151.756;152.634;20;1;1;1;1;9.842;85.92;86.566;10;1;1;1;;;;;;2.842;2.842;4.118;1;0;14.996;55.837;56.854;5;1;50;1;28;2;16/11/2023 14:29
28;967;44.679;162.484;164.846;6;1;1;1;1;18.842;143.702;146.398;4;1;1;0;412.672;454.394;455.183;9;1;6.291;6.291;7.228;1;0;;;;;;50;1;30;1;16/11/2023 14:30
29;963;27.145;278.493;279.879;10;0;0;1;1;123.779;153.275;154.646;5;1;0;1;;;;;;7.856;7.856;9.203;1;0;12.405;61.889;63.756;2;1;50;2;44;2;16/11/2023 14:30
30;938;13.509;382.696;384.433;93;1;1;1;1;6.458;209.551;210.701;38;1;1;1;;;;;;16.886;29.684;30.137;2;0;4.099;56.229;56.85;9;1;50;1;40;2;16/11/2023 14:30
31;926;27.554;81.512;82.997;11;0;1;1;1;36.997;69.32;70.421;8;1;1;1;;;;;;9.504;9.504;11.51;1;0;13.749;24.371;25.985;3;1;50;2;38;2;16/11/2023 14:31
32;924;5.561;243.5;244.559;44;1;1;1;1;4.184;302.224;303.372;52;0;0;1;18.676;75.578;76.758;14;1;1.943;10.226;11.355;2;1;;;;;;50;2;63;1;16/11/2023 14:31
33;919;23.604;438.4;440.271;14;1;1;1;1;43.25;109.337;111.308;9;1;1;1;;;;;;4.258;13.844;20.333;2;0;21.184;51.764;56.713;4;1;51;1;64;2;16/11/2023 14:31
34;916;9.691;362.557;363.327;16;0;0;1;1;30.405;65.739;67.145;6;1;0;1;;;;;;3.823;7.829;10.361;3;0;29.998;29.998;31.643;1;1;0;2;22;2;16/11/2023 14:31
35;901;176.804;366.154;367.702;34;1;1;1;1;14.961;234.954;236.285;36;0;1;1;5.517;133.335;135.037;17;1;16.193;16.193;17.018;1;1;;;;;;60;1;29;1;16/11/2023 14:32
36;895;25.796;254.072;254.701;24;0;0;1;1;31.101;146.294;147.035;11;1;1;1;;;;;;10.054;10.054;10.873;1;0;74.984;94.551;100.798;3;1;42;2;40;2;16/11/2023 14:32
37;892;88.003;151.45;153.763;7;0;1;1;1;87.622;98.223;99.551;3;1;1;1;;;;;;4.202;4.202;5.334;1;0;44.911;44.911;47.651;1;1;50;2;28;2;16/11/2023 14:33
38;885;99.269;337.127;340.282;11;1;1;1;1;50.119;205.857;217.241;5;1;0;1;;;;;;8.232;8.232;15.7;1;1;57.998;61.276;74;2;1;50;2;64;2;16/11/2023 14:33
39;884;28.545;157.292;158.739;23;1;1;1;1;50.282;85.549;86.445;9;1;1;1;;;;;;4.619;4.619;5.488;1;0;105.019;120.414;165.6;3;1;50;1;61;2;16/11/2023 14:33
40;884;1.139;322.818;324.372;62;0;0;1;1;1.841;156.445;157.078;37;0;1;1;1.685;72.005;73.351;18;1;1.532;28.382;29.288;3;0;;;;;;10;2;18;1;16/11/2023 14:33
41;875;2.006;172.352;173.421;42;0;1;1;1;3.09;489.302;490.478;28;1;1;1;20.457;45.554;46.487;6;1;2.757;2.757;3.5;1;0;;;;;;20;2;35;1;16/11/2023 14:33
42;874;139.728;320.966;336.661;8;1;1;1;1;220.61;247.151;260.539;3;1;1;1;31.51;35.12;44.318;2;1;10.642;10.642;12.951;1;0;;;;;;50;2;30;1;16/11/2023 14:34
43;871;6.789;155.853;157.201;21;1;0;1;0;3.99;133.651;134.772;24;1;1;1;6.867;58.079;59.149;8;1;5.129;8.671;10.302;2;0;;;;;;20;2;21;1;16/11/2023 14:34
44;860;123.43;237.074;428.797;52;0;0;1;1;32.254;130.026;131.49;21;0;0;1;60.415;80.225;81.525;4;1;7.091;7.091;8.428;1;1;;;;;;50;1;73;1;16/11/2023 14:35
45;850;442.261;501.989;502.674;5;1;1;1;1;39.093;84.936;87.441;10;1;1;1;26.724;26.724;27.493;1;1;5.901;5.901;6.584;1;0;;;;;;20;1;25;1;16/11/2023 14:35
46;841;8.978;93.103;94.208;45;1;1;1;1;10.285;36.313;37.058;32;1;0;1;;;;;;6.667;7.559;9.293;3;0;1.99;11.937;14.255;10;1;0;2;24;2;16/11/2023 14:35
47;836;8.294;253.911;254.4;53;0;1;1;1;45.943;143.587;144.598;19;1;1;1;9.028;153.088;153.588;17;0;7.256;7.256;8.085;1;0;;;;;;50;2;34;1;16/11/2023 14:36
48;828;13.859;288.57;289.272;57;1;1;1;1;12.736;142.957;143.555;18;1;1;1;33.864;58.532;60.176;4;1;11.407;11.407;11.801;1;0;;;;;;40;2;33;1;16/11/2023 14:36
49;816;1.134;277.915;279.161;33;0;0;1;1;1.999;119.638;120.649;25;1;1;1;;;;;;13.068;38.819;39.806;2;0;3.375;131.18;137.708;23;1;50;2;40;2;16/11/2023 14:37
50;813;1.301;528.507;530.62;51;1;1;1;1;2.78;91.285;92.346;24;0;1;1;;;;;;12.119;12.119;12.962;1;1;6.116;40.846;45.748;5;1;50;2;41;2;16/11/2023 14:37
51;813;91.846;119.85;120.792;4;1;0;1;1;273.847;309.987;311.183;5;1;0;0;;;;;;8.847;8.847;10.491;1;0;73.47;73.47;76.857;1;1;50;2;27;2;16/11/2023 14:38
52;810;21.854;193.792;195.699;30;1;1;1;1;7.31;205.886;207.806;26;1;1;1;;;;;;17.361;19.182;20.509;2;1;11.436;108.631;110.002;10;1;50;2;49;2;16/11/2023 14:38
53;810;1.816;119.857;120.552;48;0;0;1;1;2.881;132.113;132.988;38;0;1;1;5.191;36.891;37.702;8;1;9.549;38.116;38.719;2;0;;;;;;50;1;26;1;16/11/2023 14:38
54;807;14.108;347.602;348.301;87;1;1;1;1;11.471;73.029;73.601;30;0;1;1;;;;;;9.568;9.568;10.588;1;1;205.173;235.454;237.647;6;1;50;2;39;2;16/11/2023 14:38
55;795;199.796;293.019;295.157;4;1;1;1;1;84.239;188.399;208.006;5;1;1;1;;;;;;12.973;12.973;14.148;1;0;63.025;63.025;66.751;1;1;50;2;56;2;16/11/2023 14:39
56;793;3.213;131.859;132.735;24;0;0;1;1;5.328;177.766;178.745;21;1;0;1;9.191;60.337;60.895;6;1;45.867;45.867;47.179;1;1;;;;;;35;2;28;1;16/11/2023 14:39
57;788;81.349;144.907;145.926;6;1;1;1;1;72.252;93.623;94.526;3;0;1;1;;;;;;17.193;17.193;19.801;1;0;370.198;370.198;379.876;1;1;50;1;34;2;16/11/2023 14:39
58;785;15.692;226.321;227.434;18;0;0;1;1;18.256;117.022;119.654;7;0;0;1;27.289;132.556;133.12;7;1;21.371;21.371;22.662;1;1;;;;;;50;2;54;1;16/11/2023 14:40
59;782;64.863;137.278;158.125;5;0;0;1;1;79.903;200.116;202.213;6;1;1;1;58.627;68.549;70.681;2;1;21.783;21.783;25.095;1;1;;;;;;10;2;32;1;16/11/2023 14:40
60;780;508.922;535.573;536.279;4;0;1;1;1;25.756;73.289;74.127;3;0;0;1;;;;;;8.686;8.686;9.558;1;1;18.626;18.626;20.33;1;1;44;1;28;2;16/11/2023 14:40
61;776;1.845;238.055;239.086;62;1;1;1;1;3.809;168.571;169.902;56;1;1;1;7.492;31.834;33.971;9;1;5.331;5.331;7.846;1;0;;;;;;50;2;44;1;16/11/2023 14:40
62;773;209.333;253.756;254.347;25;0;0;1;1;9.071;109.456;110.672;25;1;0;1;;;;;;10.775;15.394;16.769;4;1;22.492;90.772;93.689;21;1;30;2;56;2;16/11/2023 14:41
63;771;9.769;192.625;193.563;22;1;1;1;1;15.201;163.979;164.961;14;0;1;1;;;;;;31.358;31.358;33.86;1;1;6.683;74.97;75.871;6;1;30;2;62;2;16/11/2023 14:41
64;758;16.117;252.082;253.042;37;0;0;0;1;10.432;246.638;247.305;35;1;1;1;18.54;49.382;49.822;6;1;2.306;2.306;7.621;1;0;;;;;;20;2;53;1;16/11/2023 14:41
65;755;15.978;190.401;191.485;13;0;1;1;1;10.788;160.948;162.366;13;1;0;1;;;;;;18.222;21.675;23.219;2;1;23.354;83.908;84.763;8;1;50;2;62;2;16/11/2023 14:41
66;754;90.022;161.432;163.689;4;1;1;1;1;93.42;289.732;291.304;7;0;1;1;;;;;;10.86;10.86;12.51;1;0;79.787;79.787;82.022;1;1;0;1;45;2;16/11/2023 14:42
67;754;72.731;214.423;215.865;22;1;0;1;1;5.764;132.534;134.419;26;1;1;1;3.15;80.606;82.905;8;1;6.511;8.535;9.87;2;1;;;;;;29;2;33;1;16/11/2023 14:42
68;752;142.779;236.701;237.457;7;0;0;1;1;117.932;147.338;149.408;4;0;1;0;;;;;;12.665;12.665;16.101;1;0;80.659;80.659;81.992;1;1;50;1;26;2;16/11/2023 14:43
69;749;218.78;324.26;326.2;5;0;0;0;1;77.514;103.897;110.649;3;1;1;1;;;;;;7.634;7.634;9.479;1;0;54.249;54.249;57.636;1;1;50;2;52;2;16/11/2023 14:43
70;747;30.971;82.515;84.771;5;1;1;1;1;45.733;97.109;98.678;3;1;0;0;;;;;;14.02;14.02;15.723;1;0;421.35;424.282;425.238;2;1;50;2;33;2;16/11/2023 14:43
71;739;170.017;232.396;233.166;4;1;1;1;1;42.411;53.776;57.518;5;1;1;1;31.559;31.559;32.379;1;1;4.891;4.891;5.645;1;0;;;;;;50;2;26;1;16/11/2023 14:44
72;734;3.36;249.3;250.024;43;0;0;1;1;8.412;165.007;168.24;40;0;0;0;3.046;51.794;54.861;24;1;7.372;7.372;7.854;1;1;;;;;;50;2;52;1;16/11/2023 14:44
73;732;0.99;306.805;307.896;52;0;0;1;1;0.922;125.405;126.569;22;1;1;1;;;;;;9.913;9.913;12.528;1;0;5.689;61.291;67.447;14;1;50;1;42;2;16/11/2023 14:44
74;731;30.452;287.339;287.982;33;0;1;1;1;22.28;100.331;101.633;24;1;1;1;22.593;70.378;71.024;15;1;18.98;18.98;19.891;1;0;;;;;;50;1;43;1;16/11/2023 14:45
75;730;10.016;158.325;159.433;15;0;1;1;1;79.448;158.603;160.179;15;1;1;1;;;;;;8.079;9.931;10.799;2;0;28.267;31.694;32.829;2;1;50;2;60;2;16/11/2023 14:46
76;730;20.354;190.793;191.731;27;0;1;1;0;11.9;216.298;217;24;1;1;0;2.062;23.721;24.659;5;1;9.804;9.804;10.641;1;1;;;;;;10;2;52;1;16/11/2023 14:46
77;727;31.371;316.295;317.27;56;0;1;1;1;12.27;159.795;160.978;34;0;1;1;;;;;;12.888;12.888;14.001;1;0;19.186;40.745;46;5;1;50;2;40;2;16/11/2023 14:46
78;726;5.035;246.545;247.62;43;0;0;1;1;7.421;186.298;187.337;28;1;0;1;;;;;;31.939;31.939;32.64;1;0;10.554;45.312;46.147;3;1;50;2;29;2;16/11/2023 14:46
79;726;88.418;367.136;368.501;5;0;1;1;1;50.553;92.513;95.955;3;1;1;1;38.213;50.541;51.592;3;1;11.182;11.182;13.775;1;1;;;;;;50;2;63;1;16/11/2023 14:46
80;725;105.81;160.012;161.284;10;0;0;1;1;5.465;148.446;149.853;10;1;0;1;7.672;92.558;94.12;3;1;10.677;10.677;12.189;1;1;;;;;;50;2;49;1;16/11/2023 14:46
81;725;10.752;254.575;266.774;15;1;1;1;1;51.842;171.203;172.182;7;0;0;1;;;;;;11.178;12.998;14.067;2;1;33.834;58.991;61.861;6;1;50;2;54;2;16/11/2023 14:47
82;719;2.935;162.661;163.144;28;0;0;1;1;13.142;133.701;134.288;21;1;1;1;6.76;148.055;150.631;8;0;7.561;7.561;8.256;1;0;;;;;;50;1;41;1;16/11/2023 14:47
83;711;4.978;135.589;137.348;28;1;1;1;1;8.44;372.917;374.05;16;1;0;1;7.276;54.868;55.69;8;1;7.249;7.249;8.187;1;1;;;;;;60;1;42;1;16/11/2023 14:47
84;709;6.635;212.971;214.752;42;0;1;1;1;3.22;169.876;171.171;34;1;1;1;;;;;;10.283;10.283;11.201;1;0;5.305;69.338;70.191;19;0;50;2;35;2;16/11/2023 14:47
85;708;20.828;215.757;216.479;21;1;1;1;1;20.048;126.744;127.672;14;1;1;1;;;;;;10.588;10.588;11.597;1;0;28.936;70.763;71.991;6;1;50;2;33;2;16/11/2023 14:47
86;704;3.152;162.268;162.945;43;1;1;1;1;5.519;159.474;159.496;41;1;1;1;;;;;;2.879;2.879;10.996;1;0;3.64;80.826;85.785;16;1;10;2;25;2;16/11/2023 14:47
87;697;16.056;172.946;175.203;18;0;0;1;1;6.651;109.186;114.603;14;1;1;1;;;;;;11.299;11.299;12.3;1;0;54.803;54.803;56.521;1;1;50;2;67;2;16/11/2023 14:47
88;694;16.2;107.092;108.092;10;1;0;1;1;9.87;253.844;254.742;14;1;1;1;;;;;;10.259;10.259;11.69;1;0;24.253;48.436;49.396;4;1;20;1;40;2;16/11/2023 14:47
89;691;1.565;190.61;191.901;25;1;1;1;1;2.936;97.671;97.721;16;1;1;1;;;;;;1.751;2.654;5.523;2;1;4.205;81.936;84.368;5;1;50;2;36;2;16/11/2023 14:48
90;687;41.843;321.282;321.703;27;0;0;0;1;26.838;146.965;147.599;18;1;1;1;63.651;98.231;98.911;8;1;7.824;7.824;39.724;1;1;;;;;;25;1;34;1;16/11/2023 14:48
91;684;70.189;152.351;154.457;4;1;1;1;1;41.741;90.801;92.912;4;1;1;1;;;;;;1.565;1.565;4.592;1;0;24.674;24.674;27.319;1;1;60;2;40;2;16/11/2023 14:49
92;682;1.913;288.507;289.235;67;1;0;1;0;3.571;103.818;104.648;28;1;1;1;9.039;43.403;43.979;10;1;21.036;21.036;21.803;1;0;;;;;;0;2;61;1;16/11/2023 14:50
93;679;2.435;180.123;180.778;15;0;1;1;1;7.683;119.867;120.621;15;1;1;1;;;;;;7.793;7.793;10.564;1;1;2.905;57.771;59.713;7;1;45;2;38;2;16/11/2023 14:50
94;679;86.767;129.426;131.552;5;0;1;1;1;88.826;126.776;127.748;4;1;1;1;;;;;;10.091;10.091;11.3;1;0;56.262;56.262;59.149;1;1;0;1;35;2;16/11/2023 14:50
95;676;72.718;214.726;216;17;0;1;1;1;85.292;205.614;207.001;11;0;1;1;;;;;;21.925;22.12;23.5;2;1;69.446;69.589;71.765;2;1;50;2;52;2;16/11/2023 14:51
96;674;6.775;252.833;254.125;19;1;0;1;1;2.357;152.51;153.606;12;1;1;1;;;;;;18.731;18.731;21.213;1;0;3.759;81.764;83.193;6;1;0;1;37;2;16/11/2023 14:51
97;672;94.034;225.662;226.664;5;1;1;1;1;52.003;69.644;70.483;3;1;1;1;;;;;;5.874;5.874;7.209;1;1;65.569;65.569;67.052;1;1;51;1;54;2;16/11/2023 14:51
98;671;5.708;220.371;222.001;70;1;1;1;1;4.317;75.208;76.274;45;0;1;1;9.111;95.404;96.273;16;1;9.111;9.111;10.046;1;1;;;;;;50;1;36;1;16/11/2023 14:51
99;667;5.63;213.155;214.061;18;0;0;1;1;3.221;194.037;195.193;10;1;1;1;13.241;56.574;58.139;7;1;23.426;23.426;24.887;1;0;;;;;;40;2;36;1;16/11/2023 14:51
100;665;10.46;197.022;197.673;16;0;0;1;1;10.901;225.69;226.518;15;1;0;0;;;;;;5.386;9.962;10.673;2;0;11.739;79.14;79.905;7;1;50;2;53;2;16/11/2023 14:52
101;664;8.049;173.027;174.379;13;1;1;1;1;97.388;217.071;218.342;16;1;1;1;34.752;57.367;58.5;4;1;9.573;9.573;10.796;1;0;;;;;;50;2;43;1;16/11/2023 14:54
102;662;92.979;277.387;278.755;4;1;1;1;1;88.685;120.871;122.801;3;0;1;1;65.301;65.301;66.913;1;1;12.428;12.428;14.156;1;1;;;;;;60;1;55;1;16/11/2023 14:56
103;659;72.632;257.707;258.686;17;1;1;1;1;25.527;84.676;85.655;9;1;1;1;;;;;;10.231;10.231;11.008;1;1;90.617;90.617;93.992;1;1;50;2;51;2;16/11/2023 14:56
104;658;103.244;261.678;263.841;5;0;1;1;1;64.269;116.209;119.28;3;1;1;1;;;;;;4.928;4.928;6.576;1;0;74.383;74.383;77.854;1;1;50;2;76;2;16/11/2023 14:56
105;658;1.621;161.137;161.995;39;0;0;1;1;2.655;170;170.773;21;0;0;1;;;;;;2.318;2.318;2.955;1;0;3.317;103.193;103.7;10;0;100;2;52;2;16/11/2023 14:57
106;657;23.118;157.343;159.825;6;0;0;1;1;13.28;173.744;175.442;8;1;1;1;;;;;;13.751;13.751;16.408;1;0;96.495;96.495;102.058;1;1;30;2;24;2;16/11/2023 14:57
107;656;3.294;127.91;128.45;31;0;1;0;1;2.288;130.975;132.434;27;1;0;1;6.134;111.928;112.476;14;1;2.034;2.034;2.623;1;0;;;;;;50;1;25;1;16/11/2023 14:57
108;656;7.609;150.492;151.514;29;1;0;1;1;8.915;238.639;239.568;13;0;1;1;;;;;;2.091;24.376;25.253;4;1;26.924;56.895;58.1;4;1;35;2;36;2;16/11/2023 14:58
109;656;102.825;229.529;231.074;5;1;1;1;1;57.383;183.062;184.463;3;1;1;1;;;;;;2.565;2.565;5.275;1;0;77.842;79.082;79.666;2;0;50;1;75;2;16/11/2023 14:58
110;655;28.294;194.48;195.293;39;1;1;0;0;1.851;81.122;81.895;28;0;0;1;3.514;28.123;28.831;7;1;7.064;12.355;13.463;2;0;;;;;;50;2;31;1;16/11/2023 14:58
111;651;98.732;185.488;187.559;8;1;0;0;1;96.817;133.477;134.829;3;1;1;1;;;;;;5.178;5.178;6.509;1;0;80.583;80.583;84.405;1;1;20;1;53;2;16/11/2023 14:59
112;651;39.218;113.28;115.182;6;0;1;1;1;25.413;57.634;58.679;5;1;1;0;43.89;47.757;48.35;3;0;8.387;8.387;10.268;1;0;;;;;;50;2;26;1;16/11/2023 14:59
113;648;1.055;221.707;222.374;26;0;1;1;1;3.225;179.278;180.23;30;1;1;1;2.417;48.852;49.867;6;1;12.983;12.983;14.524;1;0;;;;;;51;2;53;1;16/11/2023 15:00
114;645;1.012;265.303;266.12;82;0;0;1;1;5.298;87.935;88.898;24;1;0;1;2.895;58.785;58.812;14;1;21.27;21.27;22.179;1;0;;;;;;3;2;28;1;16/11/2023 15:01
115;644;29.708;265.734;267.753;5;1;0;1;1;85.309;126.66;136.876;4;0;0;1;;;;;;6.256;6.256;9.25;1;1;40.887;42.466;54.885;2;1;50;2;57;2;16/11/2023 15:01
116;642;24.969;115.753;116.889;16;0;1;0;1;44.9;84.45;85.3;17;1;1;0;240.683;244.5;247;2;0;4.598;4.598;6.702;1;1;;;;;;50;1;56;1;16/11/2023 15:01
117;641;128.505;241.543;242.738;7;1;0;1;1;128.712;167.432;168.375;3;1;1;1;47.241;47.241;48.678;1;1;2.702;2.702;6.748;1;0;;;;;;30;2;24;1;16/11/2023 15:01
118;638;9.423;187.767;189.025;20;0;1;1;1;52.003;69.321;70.336;6;0;1;1;;;;;;2.428;2.428;8.924;1;0;23.904;28.611;29.679;3;1;50;2;71;2;16/11/2023 15:03
119;637;1.623;68.65;69.373;21;0;1;1;1;3.189;37.398;38.275;20;1;1;1;;;;;;1.388;9.21;10.3;3;0;4.856;18.384;19.061;5;1;50;2;28;2;16/11/2023 15:03
120;637;1.8;225.731;226.67;36;1;1;1;1;2.99;144.077;144.991;25;1;1;1;3.029;43.253;44.35;12;1;10.712;10.908;11.801;2;0;;;;;;50;2;36;1;16/11/2023 15:04
121;636;87.281;216.211;216.795;8;1;1;1;1;112.687;157.396;158.04;6;1;1;1;49.476;50.916;53.205;2;1;8.858;8.858;11.72;1;0;;;;;;0;1;29;1;16/11/2023 15:05
122;634;1.762;237.818;239.501;91;1;1;1;1;1.613;86.62;87.54;42;0;1;1;;;;;;6.248;6.248;7.003;1;0;1.014;37.305;38.236;17;1;100;1;43;2;16/11/2023 15:06
123;633;4.822;267.261;268.39;69;0;0;1;1;8.282;125.74;128.114;24;1;0;1;;;;;;11.69;11.69;12.879;1;0;2.916;50.837;54.946;12;1;30;2;45;2;16/11/2023 15:07
124;632;10.362;127.638;128.833;22;1;1;1;1;10.412;154.298;155.369;26;1;1;1;9.714;64.141;65.055;13;0;7.48;7.48;8.397;1;0;;;;;;25;1;33;1;16/11/2023 15:08
125;631;13.438;361.818;363.231;28;1;1;1;1;5.326;85.865;86.953;10;1;0;1;5.725;37.448;38.505;5;1;13.283;13.283;14.267;1;0;;;;;;100;2;61;1;16/11/2023 15:08
126;631;136.035;194.318;197.852;4;0;0;1;0;68.746;83.823;85.6;3;0;1;1;67.641;67.796;73.495;2;0;9.622;9.622;12.204;1;0;;;;;;60;2;62;1;16/11/2023 15:10
127;630;68.059;243.027;244.355;14;1;0;1;1;84.557;148.187;149.3;6;1;1;1;33.028;33.186;34.218;2;1;12.553;12.753;13.752;2;0;;;;;;50;2;35;1;16/11/2023 15:12
128;628;142.688;221.6;223.297;6;1;1;1;1;92.56;128.282;130.147;3;1;0;1;38.711;38.711;41.196;1;1;11.322;11.322;12.675;1;1;;;;;;50;2;37;1;16/11/2023 15:12
129;627;19.332;298.004;298.696;14;0;1;1;1;46.403;76.027;76.743;6;1;1;1;;;;;;3.804;3.804;6.871;1;1;38.328;38.328;54.443;1;1;66;1;53;2;16/11/2023 15:12
130;624;105.777;261.542;264.286;5;1;1;1;1;72.834;100.124;101.296;3;1;0;1;75.523;75.523;77.254;1;1;10.265;10.265;11.387;1;1;;;;;;50;1;63;1;16/11/2023 15:12
131;624;86.955;188.605;190.391;9;1;1;1;1;114.164;142.719;143.619;6;1;1;1;26.382;34.533;35.626;4;1;1.595;8.397;9.429;2;1;;;;;;50;1;70;1;16/11/2023 15:15
