PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcHelp;uncalcHelp;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;helpUncalc;noUncalc;helpCalc;noCalc;helpedHidB;noHelpdHidB;gender;age;Condition;RecordedDate
45;322;0;1;0;1;0;1;1;0;1;0;;;;30;;;;;;;;;;;;;;2;34;3;13/11/2023 18:36
46;600;0;1;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;1;73;3;13/11/2023 18:36
47;328;;;;;;;;;;;;;;;1;1;0;1;0;1;0;;;;;10;10;2;49;6;13/11/2023 18:37
48;433;0;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;40;4;13/11/2023 18:37
49;464;0;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;53;3;13/11/2023 18:37
50;467;1;1;1;1;1;1;0;;;1;;1;1;50;;;;;;;;;;;;;;2;22;4;13/11/2023 18:37
51;359;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;24;4;13/11/2023 18:37
52;323;;;;;;;;;;;;;;;1;1;1;1;1;1;1;5;0;2;0;;;2;27;5;13/11/2023 18:37
53;269;1;1;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;26;4;13/11/2023 18:37
54;318;1;1;1;1;1;1;1;0;1;1;;;;50;;;;;;;;;;;;;;1;57;3;13/11/2023 18:37
55;267;1;1;1;0;1;0;1;1;1;1;;;;40;;;;;;;;;;;;;;1;26;3;13/11/2023 18:37
56;514;0;1;1;1;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;2;40;4;13/11/2023 18:37
57;431;0;1;0;1;0;1;0;0;1;1;;;;52;;;;;;;;;;;;;;1;50;3;13/11/2023 18:37
58;435;;;;;;;;;;;;;;;1;1;1;1;1;1;0;;;;;10;0;1;34;6;13/11/2023 18:38
59;306;;;;;;;;;;;;;;;1;1;1;1;1;1;0;;;;;10;0;2;68;6;13/11/2023 18:38
60;256;0;1;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;3;23;3;13/11/2023 18:38
61;198;1;1;1;1;1;1;1;1;1;1;;;;0;;;;;;;;;;;;;;2;30;3;13/11/2023 18:38
62;322;;;;;;;;;;;;;;;0;0;1;0;1;1;1;2;4;2;4;;;1;39;5;13/11/2023 18:38
63;287;1;1;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;2;28;4;13/11/2023 18:38
64;246;0;1;1;1;1;0;1;;;1;;1;1;8;;;;;;;;;;;;;;2;39;4;13/11/2023 18:38
65;384;0;1;1;1;1;1;1;;;1;;1;1;60;;;;;;;;;;;;;;2;27;4;13/11/2023 18:38
66;184;;;;;;;;;;;;;;;0;1;1;0;1;0;1;7;5;5;3;;;2;30;5;13/11/2023 18:39
67;265;0;1;1;0;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;31;3;13/11/2023 18:39
68;554;;;;;;;;;;;;;;;1;1;1;0;0;0;1;10;3;10;10;;;2;41;5;13/11/2023 18:39
69;419;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;27;4;13/11/2023 18:39
70;352;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;5;5;2;45;6;13/11/2023 18:39
71;317;1;1;1;1;1;1;1;0;1;0;;;;0;;;;;;;;;;;;;;1;31;3;13/11/2023 18:39
72;877;0;1;1;1;0;0;1;0;1;1;;;;50;;;;;;;;;;;;;;2;71;3;13/11/2023 18:39
73;653;0;0;0;0;0;1;1;;;1;;1;1;40;;;;;;;;;;;;;;1;27;4;13/11/2023 18:39
74;297;;;;;;;;;;;;;;;1;0;1;0;1;0;1;10;2;10;2;;;2;38;5;13/11/2023 18:40
75;358;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;10;0;1;23;6;13/11/2023 18:40
76;388;;;;;;;;;;;;;;;0;1;1;0;1;1;0;5;10;10;5;;;1;63;5;13/11/2023 18:40
77;256;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;52;3;13/11/2023 18:40
78;369;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;10;10;10;;;1;34;5;13/11/2023 18:40
79;829;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;10;0;1;24;6;13/11/2023 18:40
80;242;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;33;4;13/11/2023 18:40
81;365;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;23;4;13/11/2023 18:40
82;447;0;1;1;1;1;0;1;;;;1;1;0;50;;;;;;;;;;;;;;2;64;4;13/11/2023 18:40
83;468;;;;;;;;;;;;;;;1;1;1;1;1;0;1;8;4;2;4;;;2;62;5;13/11/2023 18:40
84;278;;;;;;;;;;;;;;;1;1;1;1;1;1;0;10;0;10;2;;;2;25;5;13/11/2023 18:41
85;260;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;1;34;6;13/11/2023 18:41
86;164;;;;;;;;;;;;;;;0;1;1;0;1;0;0;10;0;8;0;;;1;25;5;13/11/2023 18:41
87;442;;;;;;;;;;;;;;;1;1;1;0;1;0;1;;;;;10;0;2;21;6;13/11/2023 18:41
88;367;;;;;;;;;;;;;;;0;0;1;0;1;1;1;;;;;10;10;1;35;6;13/11/2023 18:41
89;265;;;;;;;;;;;;;;;1;1;1;1;1;1;1;5;5;5;5;;;2;35;5;13/11/2023 18:41
90;217;;;;;;;;;;;;;;;1;1;1;1;0;1;0;;;;;8;4;2;27;6;13/11/2023 18:41
91;461;1;1;1;1;1;1;1;;;1;;1;1;0;;;;;;;;;;;;;;2;24;4;13/11/2023 18:41
92;440;1;1;1;1;1;0;1;;;;1;1;0;100;;;;;;;;;;;;;;1;34;4;13/11/2023 18:41
93;355;;;;;;;;;;;;;;;1;1;1;0;0;0;1;10;10;10;10;;;1;29;5;13/11/2023 18:41
94;306;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;4;4;2;42;6;13/11/2023 18:41
95;577;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;2;40;6;13/11/2023 18:42
96;409;;;;;;;;;;;;;;;0;1;1;1;1;0;0;4;0;6;2;;;1;52;5;13/11/2023 18:42
97;249;1;1;1;0;0;0;0;;;1;;1;1;50;;;;;;;;;;;;;;2;43;4;13/11/2023 18:42
98;249;;;;;;;;;;;;;;;1;1;0;1;1;0;0;10;6;8;7;;;1;24;5;13/11/2023 18:42
99;336;;;;;;;;;;;;;;;1;1;1;1;0;1;1;0;0;0;0;;;2;50;5;13/11/2023 18:42
100;317;1;1;1;1;1;1;1;1;0;;0;;;0;;;;;;;;;;;;;;2;23;3;13/11/2023 18:42
101;317;1;1;0;1;1;1;0;;;1;;1;1;20;;;;;;;;;;;;;;2;21;4;13/11/2023 18:42
102;396;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;34;3;13/11/2023 18:42
103;321;1;1;1;0;1;1;1;1;1;1;;;;20;;;;;;;;;;;;;;1;52;3;13/11/2023 18:42
104;306;;;;;;;;;;;;;;;1;1;1;1;0;1;1;3;2;5;2;;;1;54;5;13/11/2023 18:42
105;278;1;1;1;0;1;1;1;0;1;1;;;;0;;;;;;;;;;;;;;1;22;3;13/11/2023 18:42
106;330;1;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;30;4;13/11/2023 18:42
107;454;1;1;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;27;3;13/11/2023 18:42
108;387;0;0;1;0;1;1;1;;;1;;1;1;10;;;;;;;;;;;;;;1;30;4;13/11/2023 18:42
109;375;0;1;1;1;1;1;1;;;1;;1;1;62;;;;;;;;;;;;;;1;33;4;13/11/2023 18:42
110;572;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;1;36;6;13/11/2023 18:42
111;248;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;1;41;6;13/11/2023 18:42
112;696;;;;;;;;;;;;;;;0;1;1;1;0;0;1;;;;;5;5;2;33;6;13/11/2023 18:42
113;269;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;0;0;2;38;6;13/11/2023 18:43
114;405;;;;;;;;;;;;;;;1;1;1;0;0;1;1;;;;;10;10;1;50;6;13/11/2023 18:43
115;324;;;;;;;;;;;;;;;1;0;1;1;0;0;1;5;1;5;2;;;1;45;5;13/11/2023 18:43
116;372;;;;;;;;;;;;;;;1;0;1;1;1;1;1;10;5;5;5;;;2;56;5;13/11/2023 18:43
117;429;0;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;32;4;13/11/2023 18:43
118;547;;;;;;;;;;;;;;;1;1;1;1;1;1;0;10;10;10;10;;;1;65;5;13/11/2023 18:43
119;365;;;;;;;;;;;;;;;0;0;1;1;1;0;0;;;;;5;5;2;43;6;13/11/2023 18:43
120;760;1;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;1;37;3;13/11/2023 18:43
121;889;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;1;27;6;13/11/2023 18:43
122;515;1;0;1;1;1;0;1;1;1;1;;;;100;;;;;;;;;;;;;;1;51;3;13/11/2023 18:44
123;516;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;10;0;1;43;6;13/11/2023 18:44
124;396;1;1;1;1;1;1;1;0;1;1;;;;50;;;;;;;;;;;;;;2;37;3;13/11/2023 18:44
125;473;1;0;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;32;4;13/11/2023 18:44
126;287;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;5;0;1;57;6;13/11/2023 18:44
127;492;0;1;1;0;1;0;1;;;;1;0;0;50;;;;;;;;;;;;;;2;66;4;13/11/2023 18:44
128;426;;;;;;;;;;;;;;;1;0;1;1;1;0;1;8;2;6;2;;;2;47;5;13/11/2023 18:44
129;217;;;;;;;;;;;;;;;1;1;1;1;0;0;0;;;;;5;5;2;51;6;13/11/2023 18:44
130;272;0;1;1;0;0;1;0;;;1;;1;1;38;;;;;;;;;;;;;;1;32;4;13/11/2023 18:44
131;343;;;;;;;;;;;;;;;1;1;0;1;1;0;0;;;;;1;0;2;55;6;13/11/2023 18:44
132;846;;;;;;;;;;;;;;;1;1;1;1;1;1;0;7;1;5;2;;;1;24;5;13/11/2023 18:44
133;184;;;;;;;;;;;;;;;1;1;0;0;1;1;0;;;;;5;5;2;21;6;13/11/2023 18:45
134;513;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;10;0;1;64;6;13/11/2023 18:45
135;407;1;0;1;1;1;1;1;;;;0;1;0;0;;;;;;;;;;;;;;2;37;4;13/11/2023 18:45
136;173;0;1;0;0;0;0;1;1;1;1;;;;50;;;;;;;;;;;;;;1;34;3;13/11/2023 18:45
137;461;1;0;1;0;1;1;0;1;1;1;;;;50;;;;;;;;;;;;;;2;42;3;13/11/2023 18:45
138;420;;;;;;;;;;;;;;;1;1;1;1;0;1;1;10;0;10;0;;;1;33;5;13/11/2023 18:45
139;508;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;5;5;2;21;6;13/11/2023 18:45
140;409;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;39;3;13/11/2023 18:45
141;256;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;43;3;13/11/2023 18:45
142;592;;;;;;;;;;;;;;;1;1;1;1;0;1;1;5;4;5;4;;;2;59;5;13/11/2023 18:45
143;273;1;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;31;4;13/11/2023 18:45
144;548;1;1;1;1;1;1;1;1;1;1;;;;52;;;;;;;;;;;;;;1;35;3;13/11/2023 18:45
145;332;1;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;30;3;13/11/2023 18:45
146;418;;;;;;;;;;;;;;;1;1;1;1;0;1;1;10;0;5;0;;;2;35;5;13/11/2023 18:46
147;462;1;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;55;4;13/11/2023 18:46
148;511;0;0;1;0;1;1;1;1;0;;1;;;51;;;;;;;;;;;;;;2;47;3;13/11/2023 18:46
149;308;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;5;2;1;53;6;13/11/2023 18:46
150;448;1;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;54;3;13/11/2023 18:46
151;671;1;1;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;52;4;13/11/2023 18:46
152;399;;;;;;;;;;;;;;;1;0;0;0;1;0;1;4;4;5;6;;;1;41;5;13/11/2023 18:46
153;367;1;0;1;0;1;1;1;0;0;;1;;;50;;;;;;;;;;;;;;1;42;3;13/11/2023 18:46
154;252;;;;;;;;;;;;;;;1;1;0;1;0;1;1;;;;;0;0;1;35;6;13/11/2023 18:46
155;568;;;;;;;;;;;;;;;0;0;1;0;1;0;1;;;;;10;0;1;37;6;13/11/2023 18:46
156;306;1;1;1;0;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;53;4;13/11/2023 18:46
157;944;0;1;0;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;38;4;13/11/2023 18:46
158;380;;;;;;;;;;;;;;;1;1;1;0;1;1;1;10;0;5;0;;;2;42;5;13/11/2023 18:46
159;244;1;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;23;4;13/11/2023 18:46
160;452;0;1;1;0;0;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;30;4;13/11/2023 18:46
161;435;;;;;;;;;;;;;;;1;1;1;1;1;0;0;5;5;5;5;;;2;59;5;13/11/2023 18:47
162;343;;;;;;;;;;;;;;;1;1;1;1;0;1;0;0;0;0;0;;;1;30;5;13/11/2023 18:47
163;360;;;;;;;;;;;;;;;1;0;1;1;0;1;0;;;;;5;0;2;48;6;13/11/2023 18:47
164;242;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;10;10;1;26;6;13/11/2023 18:47
165;714;;;;;;;;;;;;;;;1;1;1;0;1;0;1;10;1;6;0;;;2;58;5;13/11/2023 18:47
166;723;;;;;;;;;;;;;;;1;1;1;0;1;1;0;10;0;10;4;;;2;68;5;13/11/2023 18:47
167;458;1;1;1;1;1;0;1;1;1;0;;;;30;;;;;;;;;;;;;;2;72;3;13/11/2023 18:47
168;251;1;1;0;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;42;4;13/11/2023 18:47
169;400;0;0;1;1;1;1;1;;;;1;1;0;100;;;;;;;;;;;;;;2;46;4;13/11/2023 18:47
170;310;;;;;;;;;;;;;;;0;0;1;0;1;0;1;;;;;10;2;2;41;6;13/11/2023 18:47
171;354;;;;;;;;;;;;;;;1;1;0;1;1;0;1;5;0;5;0;;;2;57;5;13/11/2023 18:47
172;388;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;0;;;2;22;5;13/11/2023 18:47
173;332;0;1;0;0;1;1;0;0;1;0;;;;5;;;;;;;;;;;;;;2;56;3;13/11/2023 18:47
174;210;1;1;1;1;1;1;1;;;0;;1;1;0;;;;;;;;;;;;;;1;30;4;13/11/2023 18:47
175;442;;;;;;;;;;;;;;;1;1;1;0;1;0;1;5;5;5;5;;;2;39;5;13/11/2023 18:47
176;413;;;;;;;;;;;;;;;1;0;1;1;0;1;1;;;;;10;0;2;52;6;13/11/2023 18:47
177;247;1;0;0;0;0;0;1;1;0;;1;;;5;;;;;;;;;;;;;;1;47;3;13/11/2023 18:47
178;310;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;0;2;25;6;13/11/2023 18:47
179;416;0;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;1;66;3;13/11/2023 18:47
180;499;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;0;0;1;62;6;13/11/2023 18:47
181;412;;;;;;;;;;;;;;;1;0;0;1;0;1;1;10;10;10;10;;;2;50;5;13/11/2023 18:48
182;227;;;;;;;;;;;;;;;1;0;1;0;1;0;1;;;;;4;4;2;53;6;13/11/2023 18:48
183;358;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;0;;;4;44;5;13/11/2023 18:48
184;209;1;1;1;0;0;0;1;1;1;1;;;;51;;;;;;;;;;;;;;2;29;3;13/11/2023 18:48
185;908;;;;;;;;;;;;;;;0;0;1;1;1;0;0;;;;;5;0;1;57;6;13/11/2023 18:48
186;392;1;1;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;29;4;13/11/2023 18:48
187;474;;;;;;;;;;;;;;;1;1;0;0;1;0;1;10;0;10;0;;;1;63;5;13/11/2023 18:48
188;406;;;;;;;;;;;;;;;0;1;1;1;0;1;1;8;6;6;0;;;1;58;5;13/11/2023 18:48
189;232;;;;;;;;;;;;;;;1;1;1;1;1;0;1;10;4;10;6;;;2;49;5;13/11/2023 18:48
190;326;;;;;;;;;;;;;;;0;1;1;0;1;0;1;;;;;5;10;1;37;6;13/11/2023 18:48
191;582;1;0;1;1;1;1;1;1;1;1;;;;21;;;;;;;;;;;;;;2;34;3;13/11/2023 18:48
192;1090;;;;;;;;;;;;;;;0;1;1;1;1;1;1;6;4;5;2;;;2;34;5;13/11/2023 18:48
193;403;1;1;1;0;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;27;4;13/11/2023 18:48
194;708;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;27;4;13/11/2023 18:48
195;309;;;;;;;;;;;;;;;1;1;1;1;1;1;1;9;1;8;6;;;1;26;5;13/11/2023 18:48
196;467;1;1;1;1;1;1;1;;;1;;1;1;0;;;;;;;;;;;;;;1;28;4;13/11/2023 18:48
197;405;1;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;31;3;13/11/2023 18:48
198;796;0;0;0;0;0;1;1;;;0;;0;1;12;;;;;;;;;;;;;;2;40;4;13/11/2023 18:48
199;483;0;1;1;1;1;1;1;1;1;1;;;;100;;;;;;;;;;;;;;1;26;3;13/11/2023 18:48
200;256;0;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;1;22;3;13/11/2023 18:49
201;513;1;1;1;1;1;1;1;1;0;;1;;;40;;;;;;;;;;;;;;2;37;3;13/11/2023 18:49
202;193;1;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;26;3;13/11/2023 18:49
203;501;1;1;1;0;1;0;1;;;1;;1;1;20;;;;;;;;;;;;;;2;56;4;13/11/2023 18:49
204;424;1;1;1;0;1;0;1;0;1;1;;;;50;;;;;;;;;;;;;;1;47;3;13/11/2023 18:49
205;311;;;;;;;;;;;;;;;0;0;1;0;0;1;1;;;;;10;0;2;55;6;13/11/2023 18:49
206;290;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;8;4;;;1;33;5;13/11/2023 18:49
207;240;1;1;1;0;0;1;1;;;1;;0;1;50;;;;;;;;;;;;;;1;36;4;13/11/2023 18:49
208;659;0;0;0;1;1;1;1;0;1;1;;;;15;;;;;;;;;;;;;;1;26;3;13/11/2023 18:49
209;186;1;1;1;1;1;1;1;0;0;;1;;;50;;;;;;;;;;;;;;1;23;3;13/11/2023 18:49
210;249;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;0;1;27;6;13/11/2023 18:49
211;462;0;1;0;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;56;4;13/11/2023 18:49
212;415;;;;;;;;;;;;;;;1;1;1;0;1;1;0;0;0;0;0;;;1;60;5;13/11/2023 18:49
213;200;0;0;0;1;1;0;1;;;1;;1;1;80;;;;;;;;;;;;;;2;38;4;13/11/2023 18:49
214;481;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;1;72;6;13/11/2023 18:49
215;450;;;;;;;;;;;;;;;0;1;1;1;1;1;1;10;0;5;0;;;1;37;5;13/11/2023 18:49
216;540;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;10;10;10;;;1;33;5;13/11/2023 18:49
217;626;0;0;1;1;0;1;1;;;0;;0;1;0;;;;;;;;;;;;;;2;48;4;13/11/2023 18:49
218;343;;;;;;;;;;;;;;;1;1;0;0;1;0;1;;;;;5;5;1;31;6;13/11/2023 18:49
219;318;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;5;4;1;28;6;13/11/2023 18:49
220;432;0;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;42;4;13/11/2023 18:50
221;786;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;2;52;6;13/11/2023 18:50
222;589;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;5;0;2;35;6;13/11/2023 18:50
223;278;1;1;1;1;0;1;1;1;0;;0;;;0;;;;;;;;;;;;;;1;39;3;13/11/2023 18:50
224;607;0;1;1;0;1;1;1;1;1;1;;;;100;;;;;;;;;;;;;;2;27;3;13/11/2023 18:50
225;626;0;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;59;4;13/11/2023 18:50
226;264;0;1;0;1;0;0;1;;;;1;0;0;50;;;;;;;;;;;;;;1;57;4;13/11/2023 18:50
227;283;1;1;1;1;1;0;1;1;1;0;;;;9;;;;;;;;;;;;;;2;43;3;13/11/2023 18:50
228;426;;;;;;;;;;;;;;;1;1;1;0;1;1;1;2;0;1;0;;;1;50;5;13/11/2023 18:50
229;301;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;1;33;6;13/11/2023 18:50
230;304;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;37;3;13/11/2023 18:50
231;336;0;0;1;1;1;0;1;0;1;0;;;;2;;;;;;;;;;;;;;2;28;3;13/11/2023 18:50
232;415;1;1;1;0;0;0;1;;;;1;0;0;30;;;;;;;;;;;;;;2;27;4;13/11/2023 18:50
