PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcPun;uncalcPun;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;punUncalc;noUncalc;punCalc;noCalc;punHid;noPunHid;gender;age;Condition;RecordedDate
29;267;0;1;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;2;41;3;15/11/2023 09:55
30;492;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;10;10;2;40;6;15/11/2023 09:55
31;408;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;37;4;15/11/2023 09:55
32;415;;;;;;;;;;;;;;;1;0;1;1;1;0;1;0;5;0;10;;;2;60;5;15/11/2023 09:56
33;484;;;;;;;;;;;;;;;0;0;1;1;1;1;0;4;4;4;4;;;2;36;5;15/11/2023 09:56
34;172;;;;;;;;;;;;;;;1;1;1;1;1;1;0;;;;;0;2;2;25;6;15/11/2023 09:56
35;185;;;;;;;;;;;;;;;1;1;0;0;1;0;1;;;;;10;2;2;31;6;15/11/2023 09:56
36;206;;;;;;;;;;;;;;;0;0;1;0;0;1;0;5;10;10;10;;;1;43;5;15/11/2023 09:56
37;812;;;;;;;;;;;;;;;1;1;1;1;1;0;1;10;10;10;10;;;1;51;5;15/11/2023 09:57
38;471;0;1;1;1;1;1;1;;;;0;1;0;0;;;;;;;;;;;;;;1;57;4;15/11/2023 09:57
39;360;1;1;1;1;0;0;0;0;1;1;;;;71;;;;;;;;;;;;;;2;29;3;15/11/2023 09:57
40;267;1;1;1;1;0;1;1;;;0;;1;1;41;;;;;;;;;;;;;;2;23;4;15/11/2023 09:57
41;463;;;;;;;;;;;;;;;1;0;1;1;0;0;1;;;;;7;5;2;25;6;15/11/2023 09:58
42;303;;;;;;;;;;;;;;;1;0;0;1;0;0;1;5;10;3;2;;;2;21;5;15/11/2023 09:58
43;352;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;4;10;5;;;1;32;5;15/11/2023 09:58
44;250;;;;;;;;;;;;;;;1;1;0;0;1;1;0;;;;;10;0;2;53;6;15/11/2023 09:58
45;245;0;1;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;40;3;15/11/2023 09:58
46;321;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;10;10;2;32;6;15/11/2023 09:58
47;355;1;1;1;0;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;1;54;3;15/11/2023 09:58
48;421;1;0;1;0;1;0;1;;;0;;1;1;50;;;;;;;;;;;;;;2;43;4;15/11/2023 09:58
49;451;1;1;1;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;32;3;15/11/2023 09:58
50;552;0;0;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;29;4;15/11/2023 09:59
51;367;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;47;4;15/11/2023 09:59
52;380;;;;;;;;;;;;;;;1;0;1;1;1;1;0;0;4;6;4;;;2;33;5;15/11/2023 09:59
53;310;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;6;1;1;29;6;15/11/2023 09:59
54;345;;;;;;;;;;;;;;;0;0;1;0;1;0;1;6;10;6;10;;;2;41;5;15/11/2023 09:59
55;292;0;1;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;47;4;15/11/2023 09:59
56;302;0;0;1;1;1;1;1;;;;0;1;0;0;;;;;;;;;;;;;;2;39;4;15/11/2023 09:59
57;338;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;10;10;1;26;6;15/11/2023 09:59
58;384;0;1;1;1;1;1;1;;;0;;1;1;43;;;;;;;;;;;;;;2;44;4;15/11/2023 09:59
59;560;0;0;1;0;0;0;1;1;0;;0;;;51;;;;;;;;;;;;;;2;66;3;15/11/2023 09:59
60;508;0;0;1;1;0;0;1;1;1;1;;;;50;;;;;;;;;;;;;;1;26;3;15/11/2023 10:00
61;354;1;1;1;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;64;4;15/11/2023 10:00
62;409;0;0;1;0;1;0;1;1;1;0;;;;45;;;;;;;;;;;;;;2;63;3;15/11/2023 10:00
63;335;0;1;1;1;1;1;1;;;0;;1;1;0;;;;;;;;;;;;;;2;25;4;15/11/2023 10:00
64;200;0;0;1;1;0;1;1;0;0;;0;;;1;;;;;;;;;;;;;;2;44;3;15/11/2023 10:00
65;386;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;5;2;52;6;15/11/2023 10:00
66;315;1;0;0;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;33;3;15/11/2023 10:00
67;558;;;;;;;;;;;;;;;0;0;1;1;1;1;1;8;8;6;6;;;2;52;5;15/11/2023 10:00
68;325;1;1;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;52;3;15/11/2023 10:00
69;272;0;1;1;1;1;1;1;1;0;;0;;;20;;;;;;;;;;;;;;2;52;3;15/11/2023 10:01
70;500;1;0;1;1;1;1;1;1;0;;0;;;20;;;;;;;;;;;;;;2;32;3;15/11/2023 10:01
71;688;1;1;1;1;1;1;1;1;1;0;;;;30;;;;;;;;;;;;;;1;46;3;15/11/2023 10:01
72;257;0;1;1;0;1;1;1;;;0;;1;1;1;;;;;;;;;;;;;;1;24;4;15/11/2023 10:01
73;416;1;1;1;1;1;1;1;;;1;;1;1;60;;;;;;;;;;;;;;2;39;4;15/11/2023 10:01
74;542;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;0;10;2;56;6;15/11/2023 10:01
75;316;;;;;;;;;;;;;;;1;0;1;1;0;1;1;10;10;10;10;;;2;39;5;15/11/2023 10:01
76;579;;;;;;;;;;;;;;;0;0;1;1;1;0;1;5;5;0;10;;;1;78;5;15/11/2023 10:01
77;690;0;0;1;1;0;1;0;1;1;1;;;;50;;;;;;;;;;;;;;1;35;3;15/11/2023 10:01
78;637;;;;;;;;;;;;;;;0;0;1;0;0;1;1;3;1;2;5;;;2;23;5;15/11/2023 10:02
79;442;0;0;1;1;0;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;38;4;15/11/2023 10:02
80;615;1;0;1;0;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;50;4;15/11/2023 10:02
81;376;1;0;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;2;58;3;15/11/2023 10:02
82;361;1;1;1;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;54;4;15/11/2023 10:02
83;321;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;2;0;2;40;6;15/11/2023 10:02
84;508;;;;;;;;;;;;;;;1;0;1;0;1;0;1;5;0;5;0;;;1;68;5;15/11/2023 10:02
85;179;;;;;;;;;;;;;;;1;1;0;0;0;1;1;;;;;6;4;1;42;6;15/11/2023 10:02
86;497;;;;;;;;;;;;;;;1;0;0;1;0;1;0;;;;;3;2;1;30;6;15/11/2023 10:02
87;353;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;10;0;2;24;6;15/11/2023 10:02
88;732;;;;;;;;;;;;;;;0;0;1;1;1;0;1;10;5;10;2;;;2;39;5;15/11/2023 10:03
89;335;0;1;1;1;1;1;1;1;0;;0;;;0;;;;;;;;;;;;;;2;61;3;15/11/2023 10:03
90;422;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;6;10;1;56;6;15/11/2023 10:03
91;590;0;0;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;50;3;15/11/2023 10:03
92;472;1;1;1;0;0;1;1;;;;0;1;0;0;;;;;;;;;;;;;;2;40;4;15/11/2023 10:03
93;544;;;;;;;;;;;;;;;0;0;1;1;1;0;1;3;5;5;2;;;2;54;5;15/11/2023 10:03
94;342;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;5;0;1;33;6;15/11/2023 10:03
95;363;;;;;;;;;;;;;;;1;1;1;0;1;0;1;1;10;5;7;;;2;35;5;15/11/2023 10:03
96;473;;;;;;;;;;;;;;;0;1;1;1;1;0;1;10;10;10;10;;;2;29;5;15/11/2023 10:03
97;394;;;;;;;;;;;;;;;0;1;1;1;1;1;1;5;4;5;4;;;2;52;5;15/11/2023 10:03
98;209;;;;;;;;;;;;;;;1;0;1;0;0;0;0;2;7;5;7;;;2;35;5;15/11/2023 10:03
99;420;0;0;0;1;1;1;1;1;1;1;;;;19;;;;;;;;;;;;;;2;36;3;15/11/2023 10:04
100;293;1;1;1;1;1;1;1;;;0;;0;1;20;;;;;;;;;;;;;;2;45;4;15/11/2023 10:04
101;92;;;;;;;;;;;;;;;0;0;0;1;0;0;1;;;;;3;5;2;30;6;15/11/2023 10:04
102;213;1;1;1;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;43;3;15/11/2023 10:04
103;730;0;1;1;1;1;1;1;;;0;;1;1;100;;;;;;;;;;;;;;2;54;4;15/11/2023 10:04
104;809;;;;;;;;;;;;;;;0;1;1;1;1;0;1;10;10;5;10;;;1;29;5;15/11/2023 10:04
105;398;0;1;1;1;1;1;1;1;1;0;;;;0;;;;;;;;;;;;;;1;61;3;15/11/2023 10:04
106;324;;;;;;;;;;;;;;;0;0;1;1;1;0;1;1;0;1;0;;;2;55;5;15/11/2023 10:04
107;465;1;0;1;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;1;72;3;15/11/2023 10:05
108;601;;;;;;;;;;;;;;;1;0;1;1;1;1;0;;;;;2;5;2;49;6;15/11/2023 10:05
109;439;1;1;0;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;54;4;15/11/2023 10:05
110;593;;;;;;;;;;;;;;;1;0;0;1;1;1;1;;;;;5;10;2;67;6;15/11/2023 10:05
111;464;;;;;;;;;;;;;;;1;1;0;1;0;1;0;;;;;1;1;2;23;6;15/11/2023 10:05
112;345;;;;;;;;;;;;;;;0;0;1;1;1;0;1;5;0;5;4;;;1;47;5;15/11/2023 10:05
113;386;0;0;1;1;1;0;1;;;1;;1;1;0;;;;;;;;;;;;;;2;57;4;15/11/2023 10:05
114;350;0;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;28;3;15/11/2023 10:05
115;252;0;1;0;1;1;1;1;1;0;;0;;;0;;;;;;;;;;;;;;2;40;3;15/11/2023 10:05
116;701;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;5;1;31;6;15/11/2023 10:06
117;597;0;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;58;4;15/11/2023 10:06
118;510;1;1;1;1;1;1;1;;;0;;1;1;29;;;;;;;;;;;;;;2;31;4;15/11/2023 10:06
119;206;0;1;1;1;1;0;1;;;0;;1;1;100;;;;;;;;;;;;;;2;44;4;15/11/2023 10:06
120;329;1;1;1;1;1;1;1;;;0;;1;1;10;;;;;;;;;;;;;;2;36;4;15/11/2023 10:06
121;333;;;;;;;;;;;;;;;1;1;0;0;0;1;1;;;;;0;0;1;36;6;15/11/2023 10:06
122;323;;;;;;;;;;;;;;;1;1;1;0;1;1;0;6;10;8;8;;;1;50;5;15/11/2023 10:06
123;624;1;1;1;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;37;3;15/11/2023 10:06
124;300;0;1;1;1;0;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;35;4;15/11/2023 10:07
125;220;;;;;;;;;;;;;;;0;0;1;0;1;0;0;;;;;1;5;2;25;6;15/11/2023 10:07
126;233;1;1;1;0;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;1;65;3;15/11/2023 10:07
127;723;;;;;;;;;;;;;;;0;1;1;1;1;0;1;5;5;5;3;;;2;63;5;15/11/2023 10:07
128;363;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;2;4;2;27;6;15/11/2023 10:07
129;289;0;1;1;0;1;1;1;;;1;;1;1;100;;;;;;;;;;;;;;1;50;4;15/11/2023 10:07
130;479;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;10;0;1;39;6;15/11/2023 10:07
131;311;;;;;;;;;;;;;;;1;1;1;1;1;1;1;6;10;6;10;;;2;60;5;15/11/2023 10:07
132;300;1;1;1;1;1;1;1;;;1;;1;1;46;;;;;;;;;;;;;;1;44;4;15/11/2023 10:07
133;263;0;0;0;1;1;1;1;1;1;1;;;;100;;;;;;;;;;;;;;2;39;3;15/11/2023 10:07
134;270;0;1;0;0;1;0;1;0;1;0;;;;50;;;;;;;;;;;;;;2;44;3;15/11/2023 10:07
135;353;0;1;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;2;39;3;15/11/2023 10:07
136;565;1;1;1;1;1;0;1;;;;0;1;0;50;;;;;;;;;;;;;;2;48;4;15/11/2023 10:07
137;330;0;1;1;0;0;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;68;4;15/11/2023 10:07
138;194;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;5;2;35;6;15/11/2023 10:07
139;340;;;;;;;;;;;;;;;0;0;1;1;1;1;1;10;0;10;6;;;1;57;5;15/11/2023 10:07
140;528;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;10;10;2;40;6;15/11/2023 10:07
141;442;;;;;;;;;;;;;;;1;0;1;1;0;1;1;2;10;6;10;;;1;41;5;15/11/2023 10:07
142;393;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;2;0;1;37;6;15/11/2023 10:08
143;447;;;;;;;;;;;;;;;0;1;0;1;1;1;0;4;10;10;10;;;1;31;5;15/11/2023 10:08
144;287;0;0;1;1;1;0;1;;;;0;1;0;50;;;;;;;;;;;;;;2;30;4;15/11/2023 10:08
145;478;0;0;1;0;1;0;1;1;0;;0;;;30;;;;;;;;;;;;;;1;40;3;15/11/2023 10:08
146;311;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;5;7;2;43;6;15/11/2023 10:08
147;200;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;4;4;1;41;6;15/11/2023 10:08
148;488;;;;;;;;;;;;;;;0;1;1;0;0;1;0;2;5;7;10;;;1;24;5;15/11/2023 10:08
149;679;0;0;1;1;1;0;1;1;0;;0;;;50;;;;;;;;;;;;;;2;48;3;15/11/2023 10:08
150;404;0;1;1;1;1;1;1;0;0;;0;;;50;;;;;;;;;;;;;;1;36;3;15/11/2023 10:08
151;303;;;;;;;;;;;;;;;0;1;1;1;1;1;0;;;;;5;10;2;44;6;15/11/2023 10:09
152;446;;;;;;;;;;;;;;;1;1;0;1;1;1;1;;;;;10;0;1;62;6;15/11/2023 10:09
153;462;0;1;0;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;1;44;3;15/11/2023 10:09
154;660;;;;;;;;;;;;;;;1;0;1;1;0;0;1;10;10;5;5;;;1;65;5;15/11/2023 10:09
155;426;1;1;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;53;4;15/11/2023 10:09
156;183;0;0;1;0;1;0;0;1;1;1;;;;30;;;;;;;;;;;;;;2;32;3;15/11/2023 10:09
157;632;;;;;;;;;;;;;;;1;0;1;1;1;1;1;0;10;0;10;;;2;40;5;15/11/2023 10:09
158;343;1;1;1;1;1;1;1;;;1;;1;1;40;;;;;;;;;;;;;;2;38;4;15/11/2023 10:09
159;140;;;;;;;;;;;;;;;0;1;0;1;0;0;1;4;6;2;6;;;1;67;5;15/11/2023 10:09
160;352;1;1;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;51;3;15/11/2023 10:09
161;318;0;0;1;0;1;0;1;;;0;;1;1;50;;;;;;;;;;;;;;2;50;4;15/11/2023 10:09
162;227;1;1;1;1;1;1;0;1;1;0;;;;0;;;;;;;;;;;;;;1;42;3;15/11/2023 10:10
163;346;1;0;1;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;34;4;15/11/2023 10:10
164;398;1;1;1;1;1;1;1;;;0;;1;1;0;;;;;;;;;;;;;;1;35;4;15/11/2023 10:10
165;269;;;;;;;;;;;;;;;1;1;1;0;1;0;1;10;0;10;0;;;1;28;5;15/11/2023 10:10
166;258;1;1;1;1;1;1;1;1;0;;0;;;0;;;;;;;;;;;;;;1;30;3;15/11/2023 10:10
167;454;;;;;;;;;;;;;;;1;1;1;0;1;1;1;4;4;4;4;;;2;30;5;15/11/2023 10:10
168;488;;;;;;;;;;;;;;;1;1;1;0;1;1;0;0;0;5;0;;;2;44;5;15/11/2023 10:10
169;198;0;1;0;0;0;0;0;1;1;0;;;;50;;;;;;;;;;;;;;1;37;3;15/11/2023 10:10
170;494;0;1;1;0;1;0;1;;;1;;1;1;80;;;;;;;;;;;;;;2;34;4;15/11/2023 10:10
171;786;1;1;1;1;1;1;1;1;0;;0;;;0;;;;;;;;;;;;;;2;35;3;15/11/2023 10:10
172;327;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;31;4;15/11/2023 10:10
173;836;;;;;;;;;;;;;;;1;1;1;1;1;0;1;1;3;2;3;;;2;45;5;15/11/2023 10:10
174;751;1;1;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;60;4;15/11/2023 10:11
175;885;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;10;1;37;6;15/11/2023 10:11
176;300;;;;;;;;;;;;;;;1;1;1;0;1;1;1;6;10;5;2;;;2;40;5;15/11/2023 10:11
177;687;0;0;1;1;0;0;0;1;1;0;;;;50;;;;;;;;;;;;;;2;33;3;15/11/2023 10:11
178;461;;;;;;;;;;;;;;;1;1;1;1;1;0;1;10;10;10;10;;;1;41;5;15/11/2023 10:11
179;539;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;10;10;2;31;6;15/11/2023 10:11
180;435;;;;;;;;;;;;;;;1;1;1;0;1;1;0;;;;;0;5;1;42;6;15/11/2023 10:11
181;549;0;1;0;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;1;58;4;15/11/2023 10:11
182;458;;;;;;;;;;;;;;;0;1;1;1;1;0;0;;;;;10;10;2;45;6;15/11/2023 10:11
183;546;1;1;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;35;3;15/11/2023 10:11
184;681;0;1;1;1;1;0;1;1;0;;1;;;75;;;;;;;;;;;;;;1;35;3;15/11/2023 10:12
185;612;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;0;5;2;34;6;15/11/2023 10:12
186;323;0;0;1;0;1;0;0;0;1;1;;;;25;;;;;;;;;;;;;;2;50;3;15/11/2023 10:12
187;353;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;5;10;2;32;6;15/11/2023 10:12
188;362;0;0;1;1;1;0;1;;;;0;1;0;50;;;;;;;;;;;;;;2;27;4;15/11/2023 10:12
189;492;1;0;1;1;1;0;1;1;1;0;;;;10;;;;;;;;;;;;;;1;56;3;15/11/2023 10:12
190;261;0;0;1;0;1;1;1;;;1;;1;1;52;;;;;;;;;;;;;;2;40;4;15/11/2023 10:12
191;644;;;;;;;;;;;;;;;0;0;1;1;1;1;1;;;;;10;6;1;49;6;15/11/2023 10:12
192;562;;;;;;;;;;;;;;;0;1;1;1;1;0;1;8;10;10;10;;;2;25;5;15/11/2023 10:13
193;358;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;6;8;2;21;6;15/11/2023 10:13
194;606;0;1;1;0;1;1;1;1;0;;0;;;0;;;;;;;;;;;;;;2;54;3;15/11/2023 10:13
195;520;1;1;1;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;50;4;15/11/2023 10:13
196;635;0;1;0;1;0;0;0;0;1;1;;;;50;;;;;;;;;;;;;;2;31;3;15/11/2023 10:13
197;459;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;55;4;15/11/2023 10:13
198;374;0;0;1;1;1;0;1;;;;0;1;0;40;;;;;;;;;;;;;;1;31;4;15/11/2023 10:13
199;264;;;;;;;;;;;;;;;1;1;1;0;1;0;0;0;0;5;5;;;1;23;5;15/11/2023 10:13
200;475;;;;;;;;;;;;;;;0;0;0;1;1;1;1;;;;;2;4;2;29;6;15/11/2023 10:13
201;301;;;;;;;;;;;;;;;1;0;0;0;0;1;1;;;;;2;2;2;34;6;15/11/2023 10:13
202;550;;;;;;;;;;;;;;;0;0;1;1;0;1;1;6;6;6;6;;;2;65;5;15/11/2023 10:13
203;515;;;;;;;;;;;;;;;1;0;1;1;1;1;1;5;0;10;5;;;2;57;5;15/11/2023 10:14
204;377;1;1;1;0;0;1;1;;;0;;1;1;50;;;;;;;;;;;;;;1;49;4;15/11/2023 10:14
205;83;1;1;0;1;0;0;0;0;1;1;;;;72;;;;;;;;;;;;;;1;31;3;15/11/2023 10:14
206;317;0;0;1;1;1;0;1;1;1;0;;;;50;;;;;;;;;;;;;;2;46;3;15/11/2023 10:14
207;303;;;;;;;;;;;;;;;1;0;1;1;1;1;0;;;;;5;5;1;61;6;15/11/2023 10:14
208;419;;;;;;;;;;;;;;;0;0;1;0;0;0;0;4;4;1;1;;;1;71;5;15/11/2023 10:14
209;326;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;10;5;2;20;6;15/11/2023 10:14
210;406;1;1;0;1;1;0;1;;;1;;0;1;50;;;;;;;;;;;;;;2;25;4;15/11/2023 10:15
211;465;;;;;;;;;;;;;;;0;0;0;1;1;1;1;5;0;5;0;;;2;37;5;15/11/2023 10:15
212;411;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;52;3;15/11/2023 10:15
213;287;1;1;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;2;38;3;15/11/2023 10:15
214;405;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;1;44;6;15/11/2023 10:15
215;496;;;;;;;;;;;;;;;0;0;0;0;0;1;1;10;10;10;10;;;2;24;5;15/11/2023 10:15
216;364;0;1;1;0;0;1;1;;;1;;1;1;25;;;;;;;;;;;;;;2;38;4;15/11/2023 10:15
217;331;;;;;;;;;;;;;;;1;1;1;1;0;0;1;;;;;3;10;2;28;6;15/11/2023 10:15
218;570;;;;;;;;;;;;;;;0;0;1;0;1;1;1;;;;;10;10;2;39;6;15/11/2023 10:15
219;248;;;;;;;;;;;;;;;1;1;1;0;1;1;0;;;;;0;0;2;22;6;15/11/2023 10:15
220;373;1;1;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;32;4;15/11/2023 10:15
221;341;;;;;;;;;;;;;;;1;1;1;1;0;1;1;0;5;0;5;;;2;35;5;15/11/2023 10:15
222;478;;;;;;;;;;;;;;;1;1;0;1;1;1;1;8;0;5;4;;;1;28;5;15/11/2023 10:15
223;1095;;;;;;;;;;;;;;;1;1;0;1;0;0;1;;;;;5;5;1;31;6;15/11/2023 10:15
224;203;;;;;;;;;;;;;;;1;0;0;0;0;0;1;;;;;4;10;2;35;6;15/11/2023 10:16
225;348;0;0;0;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;55;3;15/11/2023 10:16
226;276;;;;;;;;;;;;;;;0;0;0;0;0;0;1;8;10;10;10;;;1;43;5;15/11/2023 10:16
227;329;;;;;;;;;;;;;;;0;1;1;0;1;1;1;10;2;10;6;;;1;24;5;15/11/2023 10:16
228;361;;;;;;;;;;;;;;;1;0;1;0;1;1;1;;;;;0;0;1;30;6;15/11/2023 10:16
229;313;;;;;;;;;;;;;;;1;1;1;1;1;1;1;0;10;0;10;;;1;21;5;15/11/2023 10:16
230;414;0;0;1;0;1;1;1;;;1;;1;1;20;;;;;;;;;;;;;;2;27;4;15/11/2023 10:16
231;360;0;1;0;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;33;4;15/11/2023 10:16
232;751;;;;;;;;;;;;;;;1;1;1;1;1;1;1;3;5;5;5;;;1;26;5;15/11/2023 10:16
