treatment_name,metric,generated_game_count,human_game_count,generated_sd,human_sd,sd_ratio,abs_log_sd_ratio,generated_iqr,human_iqr,iqr_ratio,abs_log_iqr_ratio
VALIDATION_0_T,first_round_normalized_efficiency,12,12,0.09753956087270423,0.10298333031514459,0.9471393144329125,0.05430908528227694,0.04182692307692315,0.10288461538461535,0.4065420560747672,0.9000678963672657
VALIDATION_10_C,first_round_normalized_efficiency,10,10,0.10665940723519207,0.1700824075604425,0.6271042888270989,0.4666424223127138,0.13108614232209737,0.2808988764044944,0.46666666666666656,0.7621400520468969
VALIDATION_10_T,first_round_normalized_efficiency,10,10,0.1261788803589739,0.22525684723150374,0.5601555819934556,0.579540708850844,0.1264044943820225,0.41198501872659177,0.3068181818181819,1.1814999484738773
VALIDATION_11_C,first_round_normalized_efficiency,10,10,0.30911833147372697,0.18030008481166723,1.7144658129063948,0.5391015527432615,0.4349512411347518,0.23659131205673756,1.8384074941451995,0.6088997045537842
VALIDATION_11_T,first_round_normalized_efficiency,10,11,0.3162848144307118,0.18473049746484188,1.7121418432325042,0.5377451266429182,0.6272163120567376,0.19171099290780136,3.2716763005780356,1.1853024837054043
VALIDATION_12_C,first_round_normalized_efficiency,12,12,0.10197599542717718,0.12724505180176676,0.8014142316987235,0.221377322391825,0.15931372549019607,0.17769607843137258,0.8965517241379308,0.10919929196499222
VALIDATION_12_T,first_round_normalized_efficiency,12,12,0.14619171323480637,0.19323932268512226,0.7565319066710943,0.2790105699463845,0.23131127450980382,0.39598651960784315,0.5841392649903285,0.53761585713356
VALIDATION_13_C,first_round_normalized_efficiency,10,10,0.0803337927464854,0.08791871562391769,0.9137280063339681,0.09022233788337597,0.066900143678161,0.14165768678160912,0.4722662440570531,0.750212376035807
VALIDATION_13_T,first_round_normalized_efficiency,11,11,0.08102370154756892,0.11510064639006347,0.7039378499490653,0.3510652080434704,0.10641163793103436,0.1252693965517241,0.8494623655913972,0.1631516406862352
VALIDATION_14_C,first_round_normalized_efficiency,12,12,0.06755234881369347,0.2065388573020034,0.3270684736815295,1.1175857303682226,0.10416666666666663,0.22916666666666674,0.45454545454545425,0.7884573603642708
VALIDATION_14_T,first_round_normalized_efficiency,10,10,0.08244316223920577,0.09592952599869001,0.8594138392837632,0.15150470434553076,0.10416666666666674,0.1406250000000001,0.7407407407407407,0.30010459245033816
VALIDATION_15_C,first_round_normalized_efficiency,11,11,0.11270420187551604,0.09325739204329805,1.2085283472562593,0.1894033774491954,0.17908653846153844,0.12259615384615385,1.46078431372549,0.37897349266118785
VALIDATION_15_T,first_round_normalized_efficiency,9,9,0.10350573798959711,0.2609950047509165,0.39658129889642507,0.924874217572439,0.10096153846153844,0.31009615384615385,0.3255813953488371,1.122142786078304
VALIDATION_16_C,first_round_normalized_efficiency,10,10,0.09444444444444446,0.17527403588187554,0.5388387616526072,0.6183388963271387,0.08333333333333326,0.1611111111111111,0.5172413793103444,0.6592456288842647
VALIDATION_16_T,first_round_normalized_efficiency,8,8,0.11808006281573491,0.09253586225063845,1.2760464963941072,0.2437666234390421,0.11111111111111105,0.1333333333333333,0.833333333333333,0.18232155679395498
VALIDATION_17_C,first_round_normalized_efficiency,11,11,0.21169542282897216,0.07827186046238155,2.7046172350881537,0.9949603995459335,0.25458476218875803,0.10884150887132837,2.339041095890413,0.8497410573025092
VALIDATION_17_T,first_round_normalized_efficiency,8,8,0.21433951145675464,0.1024140032447794,2.0928730902595656,0.7385378062979779,0.23849460762387553,0.13897172108742117,1.7161376843987473,0.5400762335106675
VALIDATION_18_C,first_round_normalized_efficiency,12,12,0.3787488592401838,0.3012255827724156,1.2573595368436525,0.2290139164296724,0.5194256756756757,0.5067567567567567,1.0250000000000001,0.024692612590371633
VALIDATION_18_T,first_round_normalized_efficiency,10,10,0.1746187834940469,0.22778388960861584,0.7665984797874924,0.26579210909596795,0.308277027027027,0.32305743243243246,0.9542483660130716,0.04683129968409932
VALIDATION_19_C,first_round_normalized_efficiency,10,10,0.07221387505182089,0.11228277639513552,0.6431429411550376,0.44138827594322405,0.1015625,0.18359375,0.5531914893617021,0.5920510636885765
VALIDATION_19_T,first_round_normalized_efficiency,10,10,0.09350227687735738,0.1556629597279006,0.6006713288813196,0.5097073677784792,0.1328125,0.234375,0.5666666666666667,0.5679840376059393
VALIDATION_1_C,first_round_normalized_efficiency,8,8,0.11386063877881666,0.12138461204459154,0.9380154276638386,0.06398888270835641,0.11963696369636967,0.14851485148514854,0.8055555555555557,0.2162231084696358
VALIDATION_1_T,first_round_normalized_efficiency,8,8,0.11825982741934125,0.20953481601520568,0.5643922555130851,0.5720057807257475,0.14438943894389433,0.2227722772277227,0.6481481481481481,0.43363598507486073
VALIDATION_2_C,first_round_normalized_efficiency,9,9,0.062235358192195764,0.1484211733153653,0.4193159021857217,0.8691306999683591,0.09259259259259256,0.1967592592592592,0.47058823529411764,0.7537718023763802
VALIDATION_2_T,first_round_normalized_efficiency,11,11,0.07992478541596355,0.18571053428375595,0.43037292270045746,0.8431031840549179,0.10995370370370372,0.1967592592592592,0.5588235294117649,0.5819215454497205
VALIDATION_3_C,first_round_normalized_efficiency,9,9,0.06600777204202136,0.1192928212606744,0.5533256011925776,0.5918086601456454,0.0809352517985612,0.15887290167865709,0.5094339622641513,0.6744550475477921
VALIDATION_3_T,first_round_normalized_efficiency,10,10,0.09751609555229476,0.17893850654693239,0.5449698750375902,0.6070247610070059,0.18585131894484408,0.23830935251798563,0.7798742138364777,0.24862263661519501
VALIDATION_4_C,first_round_normalized_efficiency,12,12,0.3567698684507807,0.17123604671762455,2.0834974603163388,0.7340479529289868,0.6334231805929921,0.13027852650494165,4.862068965517241,1.5814640603916943
VALIDATION_4_T,first_round_normalized_efficiency,9,9,0.3597265006874971,0.27339923864597954,1.3157553125204617,0.2744108828802801,0.5390835579514826,0.1482479784366577,3.6363636363636362,1.2909841813155658
VALIDATION_5_C,first_round_normalized_efficiency,9,9,0.313723599001804,0.2191629699730486,1.4314626190746729,0.3586967320992378,0.25,0.27083333333333337,0.9230769230769229,0.0800427076735366
VALIDATION_5_T,first_round_normalized_efficiency,12,12,0.3574028347193571,0.4110845700422868,0.8694143754473497,0.13993542565806114,0.47916666666666663,0.6875,0.6969696969696969,0.3610133455373306
VALIDATION_6_C,first_round_normalized_efficiency,12,12,0.05876442299964973,0.07482214102936682,0.785388151036541,0.2415772234855919,0.06510132926563517,0.11168010459795152,0.5829268292682928,0.5396936077668427
VALIDATION_6_T,first_round_normalized_efficiency,11,11,0.08380032521416762,0.05290955737730802,1.5838409801195599,0.4598528970140247,0.13265417302244498,0.0732274343364071,1.8115365398851913,0.5941754022150827
VALIDATION_7_C,first_round_normalized_efficiency,11,11,0.09645507747121493,0.10848948363568639,0.889073062557071,0.11757586174167618,0.08258928571428581,0.09330357142857149,0.885167464114833,0.12197842688648561
VALIDATION_7_T,first_round_normalized_efficiency,12,12,0.07887732997841526,0.09853985877841377,0.8004611631906885,0.22256726341162533,0.06629464285714282,0.13080357142857146,0.5068259385665524,0.6795876507743139
VALIDATION_8_C,first_round_normalized_efficiency,12,12,0.07279523484635775,0.16411122290871405,0.44357255741644,0.8128938887729226,0.13148907103825136,0.1724726775956284,0.7623762376237624,0.2713150949875756
VALIDATION_8_T,first_round_normalized_efficiency,11,11,0.15264849795481727,0.20894299393159396,0.730574857201448,0.31392357911752333,0.18784153005464488,0.2971311475409837,0.6321839080459771,0.45857493342211264
VALIDATION_9_C,first_round_normalized_efficiency,11,11,0.07410597354658126,0.11444246354092034,0.6475391323613349,0.43457605115534886,0.052727272727272734,0.1193939393939395,0.44162436548223316,0.8172956100834056
VALIDATION_9_T,first_round_normalized_efficiency,9,11,0.05389393495024783,0.11313354320247247,0.4763744988857558,0.7415509717209552,0.06787878787878787,0.16909090909090907,0.4014336917562724,0.912712910526271
VALIDATION_0_C,first_round_total_contribution_rate,10,10,0.09433981132056606,0.1661324772583615,0.5678589332888425,0.565882247992505,0.0,0.17500000000000004,0.0,
VALIDATION_0_T,first_round_total_contribution_rate,12,12,0.09242113755341182,0.10167914650516696,0.9089487936320877,0.09546651902936819,0.025000000000000022,0.10555555555555551,0.2368421052631582,1.4403615823901652
VALIDATION_10_C,first_round_total_contribution_rate,10,10,0.10489412651706377,0.15688814132651613,0.668591810892563,0.4025815532126929,0.12916666666666665,0.26250000000000007,0.49206349206349187,0.7091475219063869
VALIDATION_10_T,first_round_total_contribution_rate,10,10,0.09488296884993523,0.17436392338376014,0.5441662874326698,0.6085004034077077,0.11250000000000004,0.21666666666666667,0.5192307692307694,0.655406852577098
VALIDATION_11_C,first_round_total_contribution_rate,10,10,0.3069295182393943,0.15456030825826175,1.9858236677849528,0.686033774060257,0.43229166666666663,0.16666666666666674,2.5937499999999987,0.9531047049968708
VALIDATION_11_T,first_round_total_contribution_rate,10,11,0.3206980234148976,0.1717543037690096,1.867190611108067,0.6244349542106417,0.6458333333333334,0.25,2.5833333333333335,0.949080554697146
VALIDATION_12_C,first_round_total_contribution_rate,12,12,0.10668257983150845,0.12729376930432892,0.8380817098475255,0.1766396774687974,0.16666666666666663,0.16666666666666674,0.9999999999999993,6.661338147750941e-16
VALIDATION_12_T,first_round_total_contribution_rate,12,12,0.13819269959814168,0.13608276348795434,1.015504800579495,0.015385829333376903,0.20833333333333326,0.33333333333333337,0.6249999999999997,0.4700036292457361
VALIDATION_13_C,first_round_total_contribution_rate,10,10,0.07960105605455246,0.08328051711685033,0.9558184652343688,0.045187273884318147,0.06093749999999998,0.11875000000000013,0.5131578947368414,0.6671716941566861
VALIDATION_13_T,first_round_total_contribution_rate,11,11,0.0791630418192899,0.1030635460519062,0.7680993411523099,0.26383620374077726,0.10781250000000009,0.11250000000000004,0.9583333333333337,0.04255961441879554
