unit_id,profile_id,summary,source_row_id,matching_age_bracket,matching_sex,matching_education
0zjur574,minority_game_bret_njzas_demo_profile_00067,"40-year-old, female, White, Technical/community college, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01160,30-49,female,college/postsecondary
10sh2gpu,minority_game_bret_njzas_demo_profile_00068,"37-year-old, male, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01446,30-49,male,college/postsecondary
11ap908k,minority_game_bret_njzas_demo_profile_00069,"18-year-old, male, White, High school diploma/A-levels, student, unemployed (and job seeking), United Kingdom citizen living in United Kingdom.",minority_demo_source_01694,18-29,male,high school
11iudqza,minority_game_bret_njzas_demo_profile_00070,"65-year-old, male, White, Technical/community college, not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_01053,65+,male,college/postsecondary
13knq10i,minority_game_bret_njzas_demo_profile_00071,"40-year-old, female, White, Undergraduate degree (BA/BSc/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00752,30-49,female,college/postsecondary
13sjb2ga,minority_game_bret_njzas_demo_profile_00072,"44-year-old, male, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00622,30-49,male,college/postsecondary
1487v36b,minority_game_bret_njzas_demo_profile_00073,"35-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), student, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00848,30-49,male,postgraduate
14u2q57s,minority_game_bret_njzas_demo_profile_00074,"42-year-old, male, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00974,30-49,male,college/postsecondary
14xode0l,minority_game_bret_njzas_demo_profile_00075,"71-year-old, male, White, Technical/community college, not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_01440,65+,male,college/postsecondary
17f6k3tr,minority_game_bret_njzas_demo_profile_00076,"67-year-old, female, White, Undergraduate degree (BA/BSc/other), not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_01782,65+,female,college/postsecondary
17gdc6e8,minority_game_bret_njzas_demo_profile_00077,"34-year-old, female, White, Technical/community college, not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_00147,30-49,female,college/postsecondary
18rzbjbi,minority_game_bret_njzas_demo_profile_00078,"31-year-old, male, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01871,30-49,male,college/postsecondary
1959vpc4,minority_game_bret_njzas_demo_profile_00079,"23-year-old, male, Other, Graduate degree (MA/MSc/MPhil/other), student, part-time, Jordan citizen living in United Kingdom, born in Jordan.",minority_demo_source_01065,18-29,male,postgraduate
19bqssvb,minority_game_bret_njzas_demo_profile_00080,"33-year-old, male, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00717,30-49,male,college/postsecondary
19jvjk5y,minority_game_bret_njzas_demo_profile_00081,"52-year-old, male, Asian, Undergraduate degree (BA/BSc/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01348,50-64,male,college/postsecondary
19xtwful,minority_game_bret_njzas_demo_profile_00082,"56-year-old, female, White, Technical/community college, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01145,50-64,female,college/postsecondary
1a26yhab,minority_game_bret_njzas_demo_profile_00083,"73-year-old, male, White, Undergraduate degree (BA/BSc/other), not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_00510,65+,male,college/postsecondary
1b9tpbk9,minority_game_bret_njzas_demo_profile_00084,"43-year-old, male, White, Doctorate degree (PhD/other), full-time, Romania citizen living in United Kingdom, born in Romania.",minority_demo_source_00645,30-49,male,postgraduate
1bk4p145,minority_game_bret_njzas_demo_profile_00085,"31-year-old, male, White, Doctorate degree (PhD/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01442,30-49,male,postgraduate
1bnswiop,minority_game_bret_njzas_demo_profile_00086,"54-year-old, male, Mixed, Graduate degree (MA/MSc/MPhil/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01191,50-64,male,postgraduate
1bv3xmsr,minority_game_bret_njzas_demo_profile_00087,"66-year-old, male, White, Undergraduate degree (BA/BSc/other), not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_01011,65+,male,college/postsecondary
1bxag4o9,minority_game_bret_njzas_demo_profile_00088,"54-year-old, male, White, High school diploma/A-levels, not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_00677,50-64,male,high school
1c1v4m3l,minority_game_bret_njzas_demo_profile_00089,"31-year-old, female, White, High school diploma/A-levels, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01524,30-49,female,high school
1c83zx2v,minority_game_bret_njzas_demo_profile_00090,"33-year-old, female, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00785,30-49,female,college/postsecondary
1comz3i1,minority_game_bret_njzas_demo_profile_00091,"64-year-old, female, White, Undergraduate degree (BA/BSc/other), not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_00658,50-64,female,college/postsecondary
1dyjj6re,minority_game_bret_njzas_demo_profile_00092,"30-year-old, male, Asian, Graduate degree (MA/MSc/MPhil/other), full-time, United Kingdom citizen living in United Kingdom, born in Bahrain.",minority_demo_source_01784,30-49,male,postgraduate
1fb8nlr9,minority_game_bret_njzas_demo_profile_00093,"27-year-old, female, White, Graduate degree (MA/MSc/MPhil/other), other, United Kingdom citizen living in United Kingdom.",minority_demo_source_00529,18-29,female,postgraduate
1g5j8aq5,minority_game_bret_njzas_demo_profile_00094,"33-year-old, male, Asian, Undergraduate degree (BA/BSc/other), unemployed (and job seeking), United Kingdom citizen living in United Kingdom.",minority_demo_source_00455,30-49,male,college/postsecondary
1h82x0yo,minority_game_bret_njzas_demo_profile_00095,"40-year-old, male, Asian, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01431,30-49,male,college/postsecondary
1il6d8ib,minority_game_bret_njzas_demo_profile_00096,"24-year-old, male, Other, Undergraduate degree (BA/BSc/other), student, unemployed (and job seeking), Jordan citizen living in United Kingdom, born in Jordan.",minority_demo_source_01249,18-29,male,college/postsecondary
1jsswvnq,minority_game_bret_njzas_demo_profile_00097,"38-year-old, female, White, Technical/community college, part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00098,30-49,female,college/postsecondary
1kke2fei,minority_game_bret_njzas_demo_profile_00098,"32-year-old, female, White, High school diploma/A-levels, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00169,30-49,female,high school
1kn3wycc,minority_game_bret_njzas_demo_profile_00099,"36-year-old, male, White, High school diploma/A-levels, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00756,30-49,male,high school
1lc5i4uy,minority_game_bret_njzas_demo_profile_00100,"31-year-old, male, White, Technical/community college, not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_01668,30-49,male,college/postsecondary
1lwf1w71,minority_game_bret_njzas_demo_profile_00101,"22-year-old, female, White, Technical/community college, student, part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00803,18-29,female,college/postsecondary
1nbjeh68,minority_game_bret_njzas_demo_profile_00102,"23-year-old, female, White, Undergraduate degree (BA/BSc/other), student, part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01577,18-29,female,college/postsecondary
1oh7w126,minority_game_bret_njzas_demo_profile_00103,"43-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00634,30-49,male,postgraduate
1p9rr7u3,minority_game_bret_njzas_demo_profile_00104,"25-year-old, female, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00480,18-29,female,college/postsecondary
1pe997jd,minority_game_bret_njzas_demo_profile_00105,"43-year-old, male, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01586,30-49,male,college/postsecondary
1rfc0pfe,minority_game_bret_njzas_demo_profile_00106,"41-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), student, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01756,30-49,male,postgraduate
1rzsrubs,minority_game_bret_njzas_demo_profile_00107,"48-year-old, female, White, Graduate degree (MA/MSc/MPhil/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00159,30-49,female,postgraduate
1sdb59qh,minority_game_bret_njzas_demo_profile_00108,"22-year-old, female, White, High school diploma/A-levels, student, other, United Kingdom citizen living in United Kingdom, born in Belarus.",minority_demo_source_00118,18-29,female,high school
1t8icpyc,minority_game_bret_njzas_demo_profile_00109,"19-year-old, male, White, High school diploma/A-levels, student, due to start a new job within the next month, United Kingdom citizen living in United Kingdom.",minority_demo_source_01345,18-29,male,high school
1thmoadv,minority_game_bret_njzas_demo_profile_00110,"22-year-old, female, White, High school diploma/A-levels, student, part-time, Czech Republic citizen living in United Kingdom, born in Czech Republic.",minority_demo_source_00674,18-29,female,high school
1tug5ox6,minority_game_bret_njzas_demo_profile_00111,"36-year-old, male, White, Undergraduate degree (BA/BSc/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01150,30-49,male,college/postsecondary
1txpkbp8,minority_game_bret_njzas_demo_profile_00112,"52-year-old, female, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00302,50-64,female,college/postsecondary
1uv16kwh,minority_game_bret_njzas_demo_profile_00113,"47-year-old, male, White, Undergraduate degree (BA/BSc/other), not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_01723,30-49,male,college/postsecondary
1v4i3bxq,minority_game_bret_njzas_demo_profile_00114,"26-year-old, female, White, Graduate degree (MA/MSc/MPhil/other), United Kingdom citizen living in United Kingdom.",minority_demo_source_00903,18-29,female,postgraduate
1vejabcc,minority_game_bret_njzas_demo_profile_00115,"29-year-old, female, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01793,18-29,female,college/postsecondary
1vpcglzr,minority_game_bret_njzas_demo_profile_00116,"54-year-old, male, White, Secondary education (e.g. GED/GCSE), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01596,50-64,male,high school
1w89t6bi,minority_game_bret_njzas_demo_profile_00117,"30-year-old, female, White, Graduate degree (MA/MSc/MPhil/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01413,30-49,female,postgraduate
1wpe6w08,minority_game_bret_njzas_demo_profile_00118,"27-year-old, female, White, Graduate degree (MA/MSc/MPhil/other), student, not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_00462,18-29,female,postgraduate
1wrtrf72,minority_game_bret_njzas_demo_profile_00119,"54-year-old, female, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01537,50-64,female,college/postsecondary
1x9qxjro,minority_game_bret_njzas_demo_profile_00120,"26-year-old, female, White, Undergraduate degree (BA/BSc/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00105,18-29,female,college/postsecondary
1xaldoqp,minority_game_bret_njzas_demo_profile_00121,"64-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), student, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01142,50-64,male,postgraduate
1xamkfqz,minority_game_bret_njzas_demo_profile_00122,"57-year-old, female, White, Undergraduate degree (BA/BSc/other), not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_00811,50-64,female,college/postsecondary
1yvz0kg0,minority_game_bret_njzas_demo_profile_00123,"31-year-old, male, White, Secondary education (e.g. GED/GCSE), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01997,30-49,male,high school
1z2cfppg,minority_game_bret_njzas_demo_profile_00124,"62-year-old, male, White, Undergraduate degree (BA/BSc/other), not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_00398,50-64,male,college/postsecondary
1zlqopmr,minority_game_bret_njzas_demo_profile_00125,"21-year-old, male, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01896,18-29,male,college/postsecondary
210xd8ez,minority_game_bret_njzas_demo_profile_00126,"38-year-old, female, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00182,30-49,female,college/postsecondary
22ouau7w,minority_game_bret_njzas_demo_profile_00127,"24-year-old, male, Other, Undergraduate degree (BA/BSc/other), student, unemployed (and job seeking), Jordan citizen living in United Kingdom, born in Jordan.",minority_demo_source_01249,18-29,male,college/postsecondary
23946y1t,minority_game_bret_njzas_demo_profile_00128,"28-year-old, male, White, Undergraduate degree (BA/BSc/other), student, unemployed (and job seeking), United Kingdom citizen living in United Kingdom.",minority_demo_source_01163,18-29,male,college/postsecondary
23okulnd,minority_game_bret_njzas_demo_profile_00129,"26-year-old, male, Other, Graduate degree (MA/MSc/MPhil/other), student, due to start a new job within the next month, Turkey citizen living in United Kingdom, born in Turkey.",minority_demo_source_01801,18-29,male,postgraduate
244g0nnj,minority_game_bret_njzas_demo_profile_00130,"60-year-old, male, White, High school diploma/A-levels, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00599,50-64,male,high school
