record_id,treatment_name,n_requests,n_players,top1_total,top1_unique_players,top1_effective_n,top1_effective_n_share_of_players,top1_top_player,top1_top_player_count,top1_top_player_share,top1_uniform_expected_share,probability_unique_players,probability_effective_n,top_probability_player,top_probability_share
chip3__g9_m5wp79__game_1,CHIP3__GAME_1,32,3,32.0,3,2.6391521302478145,0.8797173767492715,alligator-orange-6315,18.0,0.5625,0.3333333333333333,3,2.8408330889217397,alligator-orange-6315,0.4875
chip4__cohort_01_m898xg__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,32,3,32.0,3,2.4117158828471004,0.8039052942823668,buffalo-yellow-4552,21.0,0.65625,0.3333333333333333,3,2.8037376944265158,buffalo-yellow-4552,0.5121875
chip4__cohort_02_m7xl5i__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,32,3,32.0,3,2.5457771405860634,0.8485923801953544,peacock-red-7894,16.0,0.5,0.3333333333333333,3,2.9156200069142546,peacock-red-7894,0.42437500000000006
chip4__cohort_02_m89542__game_1,CHIP4__GAME_1,32,3,32.0,3,2.8182213824676525,0.9394071274892175,otter-yellow-9944,15.0,0.46875,0.3333333333333333,3,2.9124188165780533,otter-yellow-9944,0.44625
chip4__cohort_02_m89542__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,32,3,32.0,3,2.6672284496003122,0.8890761498667707,bear-blue-8468,15.0,0.46875,0.3333333333333333,3,2.9274271054667524,bear-blue-8468,0.4146875000000001
chip4__cohort_02_m8aboy__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,32,3,32.0,3,2.414596666096506,0.804865555365502,badger-purple-8825,16.0,0.5,0.3333333333333333,3,2.831244985796056,badger-purple-8825,0.42093749999999996
chip4__cohort_03_m898xg__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,32,3,32.0,3,2.294520046285322,0.7648400154284407,camel-blue-7414,20.0,0.625,0.3333333333333333,3,2.8122215459728106,camel-blue-7414,0.48624999999999996
chip4__cohort_04_m89542__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,32,3,32.0,3,2.070367140598382,0.6901223801994606,butterfly-yellow-2785,24.0,0.75,0.3333333333333333,3,2.69759552939552,butterfly-yellow-2785,0.5559375
chip4__cohort_04_m8aboy__game_1,CHIP4__GAME_1,32,3,32.0,3,2.8387205126507515,0.9462401708835838,butterfly-orange-8262,14.0,0.4375,0.3333333333333333,3,2.9601175954440713,ram-red-1301,0.379375
chip4__cohort_05_m7xlsd__game_1,CHIP4__GAME_1,32,3,32.0,3,2.01963929931604,0.6732130997720134,iguana-red-1430,24.0,0.75,0.3333333333333333,3,2.5927089550196936,iguana-red-1430,0.5812499999999999
chip4__cohort_05_m7xlsd__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,32,3,32.0,3,2.1975387105464486,0.7325129035154828,whale-pink-487,23.0,0.71875,0.3333333333333333,3,2.6617307828420875,whale-pink-487,0.5715625000000001
chip4__cohort_05_m89542__game_1,CHIP4__GAME_1,32,3,32.0,3,2.6008869288389365,0.8669623096129788,ram-purple-8899,19.0,0.59375,0.3333333333333333,3,2.852501204421257,ram-purple-8899,0.486875
chip4__cohort_05_m898xg__game_1,CHIP4__GAME_1,32,3,32.0,3,2.3110335956856245,0.7703445318952081,butterfly-purple-4350,22.0,0.6875,0.3333333333333333,3,2.743249061923532,butterfly-purple-4350,0.5387500000000001
chip4__cohort_05_m898xg__game_2_alt_profile,CHIP4__GAME_2_ALT_PROFILE,32,3,32.0,3,2.392739436740695,0.7975798122468983,butterfly-purple-4350,20.0,0.625,0.3333333333333333,3,2.802413992361201,butterfly-purple-4350,0.506875
chip4__cohort_06_m89b9z__game_1,CHIP4__GAME_1,32,3,32.0,3,2.499924953703035,0.8333083179010116,duck-purple-3491,20.0,0.625,0.3333333333333333,3,2.829651300560831,duck-purple-3491,0.49906249999999996
chip4__cohort_06_m8acrp__game_1,CHIP4__GAME_1,32,3,32.0,3,2.6391521302478145,0.8797173767492715,pig-green-499,18.0,0.5625,0.3333333333333333,3,2.891628393716389,pig-green-499,0.4634375
chip4__cohort_07_m8ad4g__game_1,CHIP4__GAME_1,32,3,32.0,3,2.9791856659961047,0.9930618886653683,frog-orange-8868,12.0,0.375,0.3333333333333333,3,2.981569548725595,kangaroo-red-5113,0.3703125
