custom_id,persona_pid,record_id,metric,matched_value,candidate_uniform_value,diff
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_05_m7xlsd__game_2_alt_profile__p028__g047,concordia_03229008ac79,chip4__cohort_05_m7xlsd__game_2_alt_profile,final_surplus,3.0599999999999987,3.9999999999999987,-0.94
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_05_m89542__game_1__p028__g036,concordia_03229008ac79,chip4__cohort_05_m89542__game_1,final_surplus,3.1950000000000007,3.1333333333333337,0.06166666666666698
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_05_m898xg__game_1__p028__g037,concordia_03229008ac79,chip4__cohort_05_m898xg__game_1,final_surplus,4.4915,3.4699999999999998,1.0215000000000005
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_05_m898xg__game_2_alt_profile__p028__g048,concordia_03229008ac79,chip4__cohort_05_m898xg__game_2_alt_profile,final_surplus,5.476,5.533333333333333,-0.057333333333333236
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_06_m89b9z__game_1__p028__g038,concordia_03229008ac79,chip4__cohort_06_m89b9z__game_1,final_surplus,-0.01999999999999935,1.2000000000000004,-1.2199999999999998
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_06_m8acrp__game_1__p028__g039,concordia_03229008ac79,chip4__cohort_06_m8acrp__game_1,final_surplus,5.4,4.7333333333333325,0.6666666666666679
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_07_m8ad4g__game_1__p028__g040,concordia_03229008ac79,chip4__cohort_07_m8ad4g__game_1,final_surplus,7.195,7.799999999999999,-0.6049999999999986
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_01_m7xia7__game_1__p030__g001,concordia_0ff445a91dc0,chip2__cohort_01_m7xia7__game_1,final_surplus,-0.30000000000000004,-0.13333333333333344,-0.1666666666666666
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_02_m7xiz2__game_1__p030__g002,concordia_0ff445a91dc0,chip2__cohort_02_m7xiz2__game_1,final_surplus,0.9300000000000003,1.0,-0.06999999999999973
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_03_m8aexq__game_1__p030__g003,concordia_0ff445a91dc0,chip2__cohort_03_m8aexq__game_1,final_surplus,1.26,0.8999999999999997,0.3600000000000003
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p030__g009,concordia_0ff445a91dc0,chip2__cohort_04_m8aexq__game_2_alt_profile,final_surplus,0.6500000000000001,0.6666666666666666,-0.016666666666666496
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_05_m7xjzy__game_1__p030__g004,concordia_0ff445a91dc0,chip2__cohort_05_m7xjzy__game_1,final_surplus,2.2100000000000004,2.4333333333333336,-0.22333333333333316
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p030__g010,concordia_0ff445a91dc0,chip2__cohort_05_m7xjzy__game_2_alt_profile,final_surplus,2.0200000000000005,2.1999999999999997,-0.17999999999999927
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p030__g011,concordia_0ff445a91dc0,chip2__cohort_05_m8aexq__game_2_alt_profile,final_surplus,4.9725,3.07,1.9025000000000003
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_07_m8ag8i__game_1__p030__g005,concordia_0ff445a91dc0,chip2__cohort_07_m8ag8i__game_1,final_surplus,4.322000000000001,2.5,1.822000000000001
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_12_m8agmu__game_1__p030__g006,concordia_0ff445a91dc0,chip2__cohort_12_m8agmu__game_1,final_surplus,-1.3020000000000005,-0.19999999999999987,-1.1020000000000005
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p030__g012,concordia_0ff445a91dc0,chip2__cohort_12_m8agmu__game_2_alt_profile,final_surplus,1.8300000000000003,1.7333333333333336,0.09666666666666668
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_14_m8agmu__game_1__p030__g007,concordia_0ff445a91dc0,chip2__cohort_14_m8agmu__game_1,final_surplus,-2.5500000000000007,1.3877787807814457e-16,-2.5500000000000007
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p030__g013,concordia_0ff445a91dc0,chip2__cohort_14_m8agmu__game_2_alt_profile,final_surplus,2.755000000000001,2.533333333333333,0.22166666666666757
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_15_m8agmu__game_1__p030__g008,concordia_0ff445a91dc0,chip2__cohort_15_m8agmu__game_1,final_surplus,1.4200000000000004,1.9333333333333333,-0.513333333333333
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p030__g014,concordia_0ff445a91dc0,chip2__cohort_15_m8agmu__game_2_alt_profile,final_surplus,2.480000000000001,2.2,0.2800000000000007
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p030__g015,concordia_0ff445a91dc0,chip2__cohort_18_m8agzl__game_2_alt_profile,final_surplus,1.25,1.0,0.25
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p030__g016,concordia_0ff445a91dc0,chip2__cohort_20_m8agzl__game_2_alt_profile,final_surplus,0.1000000000000001,1.0,-0.8999999999999999
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__cohort_01_m8aiq8__game_1__p030__g017,concordia_0ff445a91dc0,chip3__cohort_01_m8aiq8__game_1,final_surplus,1.9000000000000004,3.3333333333333335,-1.4333333333333331
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p030__g025,concordia_0ff445a91dc0,chip3__cohort_01_m8aiq8__game_2_alt_profile,final_surplus,2.4000000000000004,1.3333333333333333,1.066666666666667
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p030__g026,concordia_0ff445a91dc0,chip3__cohort_02_m8aiq8__game_2_alt_profile,final_surplus,1.2541999999999995,0.9699999999999993,0.28420000000000023
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p030__g027,concordia_0ff445a91dc0,chip3__cohort_03_m8aiq8__game_2_alt_profile,final_surplus,4.300000000000001,4.333333333333333,-0.03333333333333233
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__cohort_05_m8aiq8__game_1__p030__g018,concordia_0ff445a91dc0,chip3__cohort_05_m8aiq8__game_1,final_surplus,5.2,3.6666666666666665,1.5333333333333337
