player,most_aligned_count,most_aligned_share,top_k_probability_mass,top_k_probability_share
owl-yellow-8687,14,0.009114583333333334,15.909999999999997,0.010358072916666664
butterfly-orange-8262,14,0.009114583333333334,11.589999999999996,0.007545572916666664
unicorn-blue-7096,13,0.008463541666666666,15.049999999999997,0.009798177083333331
otter-orange-7286,13,0.008463541666666666,10.969999999999999,0.007141927083333333
frog-orange-8868,12,0.0078125,11.079999999999998,0.007213541666666666
ram-red-1301,12,0.0078125,12.139999999999997,0.007903645833333332
kangaroo-blue-9562,11,0.007161458333333333,10.559999999999999,0.006874999999999999
dog-orange-384,11,0.007161458333333333,11.429999999999998,0.007441406249999998
squid-yellow-4597,11,0.007161458333333333,15.029999999999998,0.009785156249999998
kangaroo-red-5113,11,0.007161458333333333,11.849999999999998,0.007714843749999999
parrot-pink-5400,11,0.007161458333333333,11.079999999999998,0.007213541666666666
badger-red-5032,10,0.006510416666666667,9.830000000000002,0.0063997395833333345
ram-red-5745,10,0.006510416666666667,9.659999999999995,0.006289062499999997
lion-green-7491,10,0.006510416666666667,10.19,0.006634114583333333
iguana-orange-3232,9,0.005859375,9.389999999999997,0.006113281249999998
cat-orange-2462,9,0.005859375,9.759999999999998,0.006354166666666665
peacock-pink-777,9,0.005859375,8.479999999999999,0.0055208333333333325
peacock-purple-5231,9,0.005859375,14.679999999999998,0.009557291666666665
rabbit-yellow-6681,9,0.005859375,9.219999999999997,0.006002604166666665
unicorn-yellow-3690,9,0.005859375,9.069999999999999,0.005904947916666666
swan-purple-7217,9,0.005859375,8.979999999999999,0.0058463541666666655
gorilla-purple-6898,8,0.005208333333333333,9.399999999999997,0.006119791666666665
ram-green-9746,8,0.005208333333333333,14.629999999999997,0.009524739583333332
ram-purple-2824,8,0.005208333333333333,8.669999999999998,0.0056445312499999985
alligator-orange-9612,8,0.005208333333333333,13.85999999999999,0.009023437499999993
squid-purple-9957,8,0.005208333333333333,8.889999999999999,0.005787760416666666
owl-orange-1045,8,0.005208333333333333,8.22,0.0053515625
elephant-yellow-5788,7,0.004557291666666667,8.239999999999997,0.0053645833333333314
turtle-red-9966,7,0.004557291666666667,7.899999999999998,0.005143229166666665
whale-pink-7682,7,0.004557291666666667,7.7799999999999985,0.005065104166666666
camel-yellow-5577,7,0.004557291666666667,9.339999999999995,0.006080729166666663
peacock-purple-2249,7,0.004557291666666667,8.469999999999997,0.005514322916666665
swan-purple-1670,7,0.004557291666666667,7.8199999999999985,0.005091145833333332
duck-red-8937,7,0.004557291666666667,12.07,0.007858072916666667
owl-yellow-9160,7,0.004557291666666667,7.939999999999998,0.005169270833333332
swan-pink-1424,7,0.004557291666666667,8.74,0.005690104166666667
owl-green-168,6,0.00390625,7.839999999999997,0.005104166666666665
peacock-red-7768,6,0.00390625,9.48,0.006171875
camel-red-6481,6,0.00390625,7.44,0.00484375
goose-orange-349,6,0.00390625,8.27,0.005384114583333333
octopus-green-4361,6,0.00390625,7.570000000000001,0.004928385416666668
lion-yellow-9203,6,0.00390625,8.48,0.005520833333333333
zebra-pink-2457,6,0.00390625,8.02,0.005221354166666667
turtle-yellow-7601,6,0.00390625,7.679999999999998,0.004999999999999998
squid-purple-3630,6,0.00390625,8.159999999999997,0.005312499999999998
bear-red-8738,6,0.00390625,7.7299999999999995,0.005032552083333333
buffalo-purple-4069,5,0.0032552083333333335,7.180000000000001,0.004674479166666667
goose-green-9189,5,0.0032552083333333335,7.88,0.005130208333333333
badger-red-827,5,0.0032552083333333335,7.969999999999999,0.005188802083333333
zebra-red-3364,5,0.0032552083333333335,8.19,0.00533203125
lion-orange-6194,5,0.0032552083333333335,7.349999999999999,0.0047851562499999995
otter-blue-7516,5,0.0032552083333333335,7.599999999999998,0.004947916666666666
swan-green-9081,5,0.0032552083333333335,8.25,0.00537109375
pig-blue-1277,5,0.0032552083333333335,9.299999999999997,0.0060546874999999984
iguana-yellow-3262,5,0.0032552083333333335,7.769999999999998,0.005058593749999999
cat-pink-5829,5,0.0032552083333333335,7.829999999999999,0.00509765625
kangaroo-purple-4743,4,0.0026041666666666665,6.54,0.0042578125
badger-blue-8654,3,0.001953125,6.38,0.004153645833333333
buffalo-red-6989,3,0.001953125,6.159999999999998,0.004010416666666666
dolphin-purple-6605,3,0.001953125,6.079999999999998,0.003958333333333332
squid-pink-8454,3,0.001953125,7.449999999999998,0.004850260416666666
monkey-yellow-524,3,0.001953125,6.87,0.00447265625
bat-purple-4553,2,0.0013020833333333333,6.040000000000001,0.003932291666666667
whale-blue-4588,2,0.0013020833333333333,9.409999999999995,0.00612630208333333
squid-orange-6967,2,0.0013020833333333333,6.25,0.004069010416666667
otter-orange-6095,2,0.0013020833333333333,5.8100000000000005,0.0037825520833333335
