run_id,label,factor,mode,threshold,n_total,n_high,n_low,human_delta,sim_delta,human_sign,sim_sign,sign_match,sign_match_nonzero_human
260310_valraw417_archetype_cluster,archetype_cluster,CONFIG_playerCount,median,6.5,40,20,20,0.058444032010863234,0.07290826519800597,1,1,True,True
260310_valraw417_archetype_cluster,archetype_cluster,CONFIG_numRounds,median,14.5,40,20,20,0.06586654582702178,0.040949085713576694,1,1,True,True
260310_valraw417_archetype_cluster,archetype_cluster,CONFIG_MPCR,median,0.485,40,20,20,-0.018682233388819913,-0.009665439818431487,-1,-1,True,True
260310_valraw417_archetype_cluster_oracle_treatment,archetype_cluster_oracle,CONFIG_chat,binary,,40,26,14,0.10463505361235781,-0.013964498318537633,1,-1,False,False
260310_valraw417_archetype_cluster_oracle_treatment,archetype_cluster_oracle,CONFIG_allOrNothing,binary,,40,18,22,0.02620401018009788,0.0674072097255235,1,1,True,True
260310_valraw417_archetype_cluster_oracle_treatment,archetype_cluster_oracle,CONFIG_defaultContribProp,binary,,40,16,24,-0.017895809725879452,0.005654465735451586,-1,1,False,False
260310_valraw417_archetype_cluster_oracle_treatment,archetype_cluster_oracle,CONFIG_rewardExists,binary,,40,22,18,-0.007912467455160388,-0.03224550424982564,-1,-1,True,True
260310_valraw417_archetype_cluster_oracle_treatment,archetype_cluster_oracle,CONFIG_showNRounds,binary,,40,28,12,-0.02568019855556558,-0.06724870194501031,-1,-1,True,True
260310_valraw417_archetype_cluster_oracle_treatment,archetype_cluster_oracle,CONFIG_showPunishmentId,binary,,40,20,20,0.06908306989364155,0.017369540120331317,1,1,True,True
260310_valraw417_archetype_cluster_oracle_treatment,archetype_cluster_oracle,CONFIG_showOtherSummaries,binary,,40,26,14,-0.07095861062585307,0.027210266671456762,-1,1,False,False
260310_valraw417_archetype_cluster_oracle_treatment,archetype_cluster_oracle,CONFIG_punishmentExists,binary,,40,20,20,-0.050888433005333744,-0.14097301950115815,-1,-1,True,True
260310_valraw417_archetype_cluster_oracle_treatment,archetype_cluster_oracle,CONFIG_playerCount,median,6.5,40,20,20,0.058444032010863234,0.06691616192277816,1,1,True,True
260310_valraw417_archetype_cluster_oracle_treatment,archetype_cluster_oracle,CONFIG_numRounds,median,14.5,40,20,20,0.06586654582702178,-0.00484557359449278,1,-1,False,False
260310_valraw417_archetype_cluster_oracle_treatment,archetype_cluster_oracle,CONFIG_MPCR,median,0.485,40,20,20,-0.018682233388819913,0.03284646443088912,-1,1,False,False
linear_config_baseline,linear_config,CONFIG_chat,binary,,40,26,14,0.10463505361235781,0.1129513897120571,1,1,True,True
linear_config_baseline,linear_config,CONFIG_allOrNothing,binary,,40,18,22,0.02620401018009788,-0.016300906040689234,1,-1,False,False
linear_config_baseline,linear_config,CONFIG_defaultContribProp,binary,,40,16,24,-0.017895809725879452,-0.00888520387565006,-1,-1,True,True
linear_config_baseline,linear_config,CONFIG_rewardExists,binary,,40,22,18,-0.007912467455160388,-0.0728704117768052,-1,-1,True,True
linear_config_baseline,linear_config,CONFIG_showNRounds,binary,,40,28,12,-0.02568019855556558,-0.09570996624551109,-1,-1,True,True
linear_config_baseline,linear_config,CONFIG_showPunishmentId,binary,,40,20,20,0.06908306989364155,0.06297766249460623,1,1,True,True
linear_config_baseline,linear_config,CONFIG_showOtherSummaries,binary,,40,26,14,-0.07095861062585307,-0.04954298088570064,-1,-1,True,True
linear_config_baseline,linear_config,CONFIG_punishmentExists,binary,,40,20,20,-0.050888433005333744,-0.09674352458471425,-1,-1,True,True
linear_config_baseline,linear_config,CONFIG_playerCount,median,6.5,40,20,20,0.058444032010863234,-0.015718347127997245,1,-1,False,False
linear_config_baseline,linear_config,CONFIG_numRounds,median,14.5,40,20,20,0.06586654582702178,0.06867315265607254,1,1,True,True
linear_config_baseline,linear_config,CONFIG_MPCR,median,0.485,40,20,20,-0.018682233388819913,0.13186487623170262,-1,1,False,False
