domain,feature_name,feature_label,feature_value,metric_label,model_name,mean_wd,stderr,num_treatments
macro,opt_out_default,Opt-out default,True,Final-round eff,gpt-5-mini twin,0.5530521991350968,0.12301334083315914,16
macro,opt_out_default,Opt-out default,False,Final-round eff,gpt-5.1 baseline,0.4850279786087182,0.05773405791999791,24
macro,opt_out_default,Opt-out default,True,Final-round eff,gpt-5.1 baseline,0.5872492375805776,0.13187632283408132,16
macro,opt_out_default,Opt-out default,False,Final-round eff,gpt-5.1 twin,0.3949017399651466,0.0404555514370568,24
macro,opt_out_default,Opt-out default,True,Final-round eff,gpt-5.1 twin,0.5602706468896222,0.13160616356979882,16
macro,opt_out_default,Opt-out default,False,First-round contrib,gpt-5-mini baseline,0.14217971313023392,0.010559421653729204,24
macro,opt_out_default,Opt-out default,True,First-round contrib,gpt-5-mini baseline,0.1268974044960887,0.01804389909647279,16
macro,opt_out_default,Opt-out default,False,First-round contrib,gpt-5-mini twin,0.06826847535180863,0.007094140496504066,24
macro,opt_out_default,Opt-out default,True,First-round contrib,gpt-5-mini twin,0.07818182411521223,0.009984582647059297,16
macro,opt_out_default,Opt-out default,False,First-round contrib,gpt-5.1 baseline,0.14334113032029697,0.018404844919269945,24
macro,opt_out_default,Opt-out default,True,First-round contrib,gpt-5.1 baseline,0.19235768754272042,0.015670344303650517,16
macro,opt_out_default,Opt-out default,False,First-round contrib,gpt-5.1 twin,0.09448548317037896,0.011933555805117008,24
macro,opt_out_default,Opt-out default,True,First-round contrib,gpt-5.1 twin,0.12828440656565654,0.01309176995946958,16
macro,opt_out_default,Opt-out default,False,First-round eff,gpt-5-mini baseline,0.1453699207455312,0.013302152479989851,24
macro,opt_out_default,Opt-out default,True,First-round eff,gpt-5-mini baseline,0.13558471666548957,0.020411046086681223,16
macro,opt_out_default,Opt-out default,False,First-round eff,gpt-5-mini twin,0.09291007291519893,0.01049988408667586,24
macro,opt_out_default,Opt-out default,True,First-round eff,gpt-5-mini twin,0.10915062346190584,0.01579515928524391,16
macro,opt_out_default,Opt-out default,False,First-round eff,gpt-5.1 baseline,0.16802315611814242,0.01846915201784765,24
macro,opt_out_default,Opt-out default,True,First-round eff,gpt-5.1 baseline,0.190323018954006,0.013174311667594881,16
macro,opt_out_default,Opt-out default,False,First-round eff,gpt-5.1 twin,0.12131082184000809,0.014248616677956962,24
macro,opt_out_default,Opt-out default,True,First-round eff,gpt-5.1 twin,0.14625712544563965,0.014904219996909704,16
macro,opt_out_default,Opt-out default,False,Mean contrib,gpt-5-mini baseline,0.3258677394999093,0.03308477217889454,24
macro,opt_out_default,Opt-out default,True,Mean contrib,gpt-5-mini baseline,0.24619692619460515,0.030621488999757147,16
macro,opt_out_default,Opt-out default,False,Mean contrib,gpt-5-mini twin,0.1939152585092289,0.02620568427347462,24
macro,opt_out_default,Opt-out default,True,Mean contrib,gpt-5-mini twin,0.1555733923347054,0.020573993504943985,16
macro,opt_out_default,Opt-out default,False,Mean contrib,gpt-5.1 baseline,0.17089815312703024,0.029266768103222998,24
macro,opt_out_default,Opt-out default,True,Mean contrib,gpt-5.1 baseline,0.19791694259711806,0.023366654262102517,16
macro,opt_out_default,Opt-out default,False,Mean contrib,gpt-5.1 twin,0.15005561153939817,0.018304270386635457,24
macro,opt_out_default,Opt-out default,True,Mean contrib,gpt-5.1 twin,0.15868380909553081,0.016043691379024342,16
macro,opt_out_default,Opt-out default,False,Mean eff,gpt-5-mini baseline,0.3797111059052285,0.03729532344993972,24
macro,opt_out_default,Opt-out default,True,Mean eff,gpt-5-mini baseline,0.31524742766102104,0.04191615274205526,16
macro,opt_out_default,Opt-out default,False,Mean eff,gpt-5-mini twin,0.253537275555789,0.02963546710839719,24
macro,opt_out_default,Opt-out default,True,Mean eff,gpt-5-mini twin,0.22872149989745016,0.030492883968357972,16
