config_feature,config_value,n_games,n_player_round_rows,share_any,mean_units,median_units,p95_units,mean_targets,conditional_mean_units_if_any,delta_vs_overall_mean_units,delta_vs_overall_share_any
CONFIG_defaultContribProp,0,95,15149,0.16284903293946795,0.7461878671859529,0.0,3.0,0.484388408475807,4.582083502229429,-0.2734665834473179,-0.014005545412254461
CONFIG_defaultContribProp,1,87,13038,0.1931277803344071,1.3373983739837398,0.0,5.0,0.643887099248351,6.924940428911834,0.3177439233504691,0.0162732019826847
CONFIG_numRounds,10,14,1360,0.13823529411764707,0.6764705882352942,0.0,5.0,0.5080882352941176,4.8936170212765955,-0.3431838623979766,-0.038619284234075346
CONFIG_numRounds,12,12,1740,0.22011494252873562,0.8563218390804598,0.0,5.0,0.593103448275862,3.8903394255874675,-0.16333261155281098,0.043260364177013205
CONFIG_numRounds,13,4,416,0.3629807692307692,3.670673076923077,0.0,20.25,1.4927884615384615,10.112582781456954,2.6510186262898063,0.1861261908790468
CONFIG_numRounds,14,8,1596,0.13533834586466165,1.7644110275689222,0.0,5.25,0.4799498746867168,13.037037037037036,0.7447565769356514,-0.04151623248706077
CONFIG_numRounds,15,4,720,0.1986111111111111,0.8680555555555556,0.0,6.0,0.6069444444444444,4.370629370629371,-0.15159889507771518,0.021756532759388686
CONFIG_numRounds,16,6,1056,0.1240530303030303,0.4952651515151515,0.0,3.0,0.39488636363636365,3.9923664122137406,-0.5243892991181193,-0.05280154804869211
CONFIG_numRounds,17,12,2074,0.2266152362584378,0.8206364513018322,0.0,5.0,0.7386692381870781,3.6212765957446806,-0.1990179993314386,0.04976065790671538
CONFIG_numRounds,18,2,144,0.3819444444444444,0.9097222222222222,0.0,3.0,0.7916666666666666,2.381818181818182,-0.10993222841104855,0.205089866092722
CONFIG_numRounds,19,8,1406,0.162873399715505,1.5106685633001422,0.0,8.75,0.6465149359886202,9.275109170305678,0.49101411266687145,-0.013981178636217423
CONFIG_numRounds,2,9,216,0.09259259259259259,0.24074074074074073,0.0,2.0,0.2175925925925926,2.6,-0.7789137098925301,-0.08426198575912983
CONFIG_numRounds,20,2,120,0.025,0.03333333333333333,0.0,0.0,0.03333333333333333,1.3333333333333333,-0.9863211172999374,-0.15185457835172242
CONFIG_numRounds,21,14,3108,0.20238095238095238,1.172136422136422,0.0,5.0,0.8082368082368082,5.791732909379968,0.15248197150315135,0.02552637402922997
CONFIG_numRounds,22,4,924,0.09632034632034632,0.7088744588744589,0.0,2.0,0.22186147186147187,7.359550561797753,-0.3107799917588119,-0.0805342320313761
CONFIG_numRounds,23,4,506,0.1007905138339921,0.35177865612648224,0.0,3.0,0.2549407114624506,3.4901960784313726,-0.6678757945067886,-0.07606406451773032
CONFIG_numRounds,24,8,2040,0.1627450980392157,0.6240196078431373,0.0,4.0,0.5127450980392156,3.8343373493975905,-0.3956348427901335,-0.014109480312506723
CONFIG_numRounds,25,4,950,0.3063157894736842,0.8273684210526315,0.0,4.0,0.771578947368421,2.7010309278350517,-0.19228602958063923,0.1294612111219618
CONFIG_numRounds,26,6,1196,0.20066889632107024,4.964882943143813,0.0,25.0,0.657190635451505,24.741666666666667,3.9452284925105423,0.023814317969347826
CONFIG_numRounds,27,6,1944,0.18106995884773663,0.5601851851851852,0.0,3.0,0.4675925925925926,3.09375,-0.45946926544808553,0.0042153804960142205
CONFIG_numRounds,28,2,616,0.125,0.6217532467532467,0.0,5.0,0.5,4.974025974025974,-0.39790120388002403,-0.051854578351722413
CONFIG_numRounds,29,10,2726,0.1537050623624358,0.3928833455612619,0.0,2.0,0.3246515040352164,2.556085918854415,-0.6267711050720088,-0.023149515989286606
