cluster_id,cluster_title,n_player_game_rows,mean_contribution,mean_punish_units,mean_reward_units,punish_any_round_rate,reward_any_round_rate,tag
3,Reward / Contributions / High,247,14.38078592912731,0.005615163175860585,1.214603126112169,0.0036226252700099853,0.30857976339122234,RESPONSE_TO_OTHERS_OUTCOME
6,Contributions / Payoffs / Payoff,247,9.404378144183406,0.01809545230597862,0.032411478886505994,0.006501295974980186,0.018637540175919592,RESPONSE_TO_OTHERS_OUTCOME
2,Punished / Punishment / Unknown,134,18.762563330166394,0.46044715580377055,0.07300184098343404,0.12831346258579288,0.030433419270679805,RESPONSE_TO_PUNISHER
0,Punished / Unknown / Response,102,18.651849925677176,0.5548914090607315,0.19561542232543397,0.105343181803526,0.04900930332199286,RESPONSE_TO_PUNISHER
1,Punished / Unknown / Punishment,72,18.06331393015421,0.8377479285873893,0.33989853835646316,0.2526721081357519,0.09814286944597402,RESPONSE_TO_PUNISHER
4,Punishment / Punished / Punishers,192,17.95983932028292,0.89292005939621,0.526878748882581,0.20348425697445338,0.08397756484280595,RESPONSE_TO_PUNISHER
6,Punishment / Punished / Punishers,140,15.838289323933164,0.787194628742252,0.6408987689092731,0.19690029381629484,0.08051435702486123,RESPONSE_TO_PUNISHER
3,Punishment / Punished / Punishers,137,10.677180081201154,0.4000875367796042,0.14903916340205722,0.14269131679433267,0.04741960266707808,RESPONSE_TO_PUNISHER
5,Punishment / Punished / Punishers,88,9.888905653707655,2.160708692824851,0.1640680408352822,0.4054332085744037,0.060563888538026474,RESPONSE_TO_PUNISHER
3,Reward / Rewards / Rewarded,150,17.383669161833964,0.711418685747731,0.295568139169268,0.16284975449986303,0.09188084867904077,RESPONSE_TO_REWARDER
5,Reward / Rewarded / Rewards,115,16.967108005155513,0.31360832799143057,3.7239765618803227,0.08583621067437983,0.5854389857454808,RESPONSE_TO_REWARDER
1,Rewarded / Unknown / Rewards,109,16.63741756482477,0.34114666763749335,0.0646111086003525,0.0957758118537935,0.03354663549097356,RESPONSE_TO_REWARDER
2,Reward / Rewarded / Rewards,133,15.491158458756114,0.11311300281028032,1.8453811859163782,0.05718946499320489,0.4009586560610494,RESPONSE_TO_REWARDER
4,Reward / Rewards / Rewarded,147,14.037481441096721,0.14018589613511795,0.2805753979754433,0.05191212045943412,0.05310107565560019,RESPONSE_TO_REWARDER
0,Rewarded / Unknown / Rewards,60,13.49870382629735,0.3350563865147198,0.15514521872393922,0.08841753154253154,0.09616558034737104,RESPONSE_TO_REWARDER
6,Reward / Rewards / Rewarded,149,12.745716809954429,0.1879321419225717,0.39185810709300645,0.07142448632619752,0.13144030552562075,RESPONSE_TO_REWARDER
