metric_family,metric,distance_kind,n_groups,mean_value,median_value,stderr,run_name,run_label
payoff_distribution_distance,sh_expected_payoff,wasserstein_1d,4,0.0785735544217687,0.0626679421768706,0.0191783025346752,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
payoff_distribution_distance,sh_expected_payoff,wasserstein_1d,4,0.0760026619343389,0.0734849157054126,0.0074933847839837,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
payoff_distribution_distance,c_expected_payoff,wasserstein_1d,4,0.2752899833402749,0.2776530612244898,0.0982150009983366,baseline_gpt_5_mini,Baseline
payoff_distribution_distance,c_expected_payoff,wasserstein_1d,4,0.3084410742318906,0.3462244897959183,0.0937807824442761,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
payoff_distribution_distance,c_expected_payoff,wasserstein_1d,4,0.3396014030612245,0.3805102040816326,0.0908618398787879,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
payoff_distribution_distance,c_expected_payoff,wasserstein_1d,4,0.3345219609582964,0.374234693877551,0.0946521745787474,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
payoff_distribution_distance,proposer_expected_payoff,wasserstein_1d,4,1.283439712619742,1.33591420241566,0.2081588034002828,baseline_gpt_5_mini,Baseline
payoff_distribution_distance,proposer_expected_payoff,wasserstein_1d,4,1.0929776855797266,1.2045223144202737,0.2872552580316151,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
payoff_distribution_distance,proposer_expected_payoff,wasserstein_1d,4,1.0610852465986396,1.0250977891156463,0.0477457766045757,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
payoff_distribution_distance,proposer_expected_payoff,wasserstein_1d,4,0.875710958296362,0.9054569653948537,0.1239944004906794,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
payoff_distribution_distance,responder_expected_payoff,wasserstein_1d,4,1.005079133694294,1.094438775510204,0.2162444308466911,baseline_gpt_5_mini,Baseline
payoff_distribution_distance,responder_expected_payoff,wasserstein_1d,4,1.0161109553711594,1.1020408163265305,0.2140413646422174,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
payoff_distribution_distance,responder_expected_payoff,wasserstein_1d,4,1.1183503401360546,1.1748129251700683,0.1752233617991617,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
payoff_distribution_distance,responder_expected_payoff,wasserstein_1d,4,1.218374001774623,1.153493788819876,0.1275820946999432,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
payoff_distribution_distance,mean_expected_payoff,mean_wasserstein_1d,4,0.5512211429761409,0.3933517284464807,0.0953138811154307,baseline_gpt_5_mini,Baseline
payoff_distribution_distance,mean_expected_payoff,mean_wasserstein_1d,4,0.5197630394386955,0.3462244897959183,0.0929127968116232,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
payoff_distribution_distance,mean_expected_payoff,mean_wasserstein_1d,4,0.4684678692905734,0.3565242346938775,0.0891371701097262,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
payoff_distribution_distance,mean_expected_payoff,mean_wasserstein_1d,4,0.4582550069717328,0.3566370896184561,0.0877150456339347,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
