role_slice,game,n_case_groups,mean_abs_error_relative_payoff_diff_pct,median_abs_error_relative_payoff_diff_pct,summary_scope,run_name,run_label
both,Receiver,3,0.0399836182356394,0.0447941133449814,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
both,PD,3,13.066050728726418,14.145094884293218,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
both,SH,3,4.710788462531827,1.2691771269176866,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
both,C,3,6.499876072810384,8.945442630113057,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
both,Proposer,3,22.48017785944323,23.572170301142258,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
both,Responder,3,8.810127791308856,8.943425166656848,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,Sender,3,3.70299237397627,3.315181396717959,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,Receiver,3,0.0692529998535011,0.0319629230093099,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,PD,3,15.95116665392564,19.3507169561308,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,SH,3,9.166318186865505,1.9625909886667348,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,C,3,6.41390721124215,6.946644093714161,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,Proposer,3,42.79358684672395,40.19209633487841,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,Responder,3,14.902115205274123,14.79668697276167,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,Sender,3,1.711603087716133,1.5490470233276987,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,Receiver,3,0.0870128357203237,0.0887057482701791,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,PD,3,10.218793873140571,9.583076995882834,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,SH,3,0.8301593832231022,0.5630102280191567,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,C,3,6.5858449343785965,8.40478400961171,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,Proposer,3,2.66867039154901,0.7850366604394532,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,Responder,3,3.4905106764489795,4.882532023665931,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
both,ALL,4,10.188669081429754,7.896921378426913,overall,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,ALL,4,15.331248054421136,8.773093769496521,overall,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,ALL,4,5.600824210649977,2.6307235827458695,overall,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
both,Sender,4,0.727687222508408,0.4582444133735597,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,Receiver,4,0.0399888253792501,0.022415168476364,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,PD,4,14.032626827883204,13.972362879182237,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,SH,4,0.8345924376259031,0.5665969316596853,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,C,4,9.013963601114089,10.059527060237029,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,Proposer,4,24.96832914744782,24.02849219573845,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,Responder,4,30.449469549485777,33.17933553575995,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,Sender,4,1.0972033139549142,0.7603423111830598,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,Receiver,4,0.0270103346784428,0.0120693329071663,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,PD,4,17.464171911725266,17.46012966731343,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,SH,4,1.0636779897007482,0.6872139807733713,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,C,4,9.121395609196655,8.527660968816559,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,Proposer,4,36.52787069336264,36.483868527102146,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,Responder,4,47.49015996685462,51.74985852583925,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,Sender,4,0.7310983761375539,0.7526001422719197,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,Receiver,4,0.064543187633817,0.056220298710119,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,PD,4,10.621983105390187,10.484596091051063,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,SH,4,0.915119691804036,0.9070720340308474,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,C,4,8.906531593031518,10.690636775708606,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,Proposer,4,13.157640448523908,15.87165966865215,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,Responder,4,14.305399984682245,13.02487219254407,by_game,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,Sender,3,0.7382145280905417,0.2203835209851123,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,Receiver,3,0.0495825724262729,0.033622752714546,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,PD,3,11.950484806419214,12.043916520751484,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,SH,3,0.8231959295418093,0.2644119014411861,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,C,3,7.4421340542115,9.772814155425712,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,Proposer,3,23.812791636815405,23.914889677767317,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
