case_group,role_slice,game,mean_expected_payoff,benchmark_mean_expected_payoff,data_source,relative_payoff_diff_pct
AIR,no,Responder,1.7515137923301187,3.3659183673469384,generated,-47.963271797625765
AIR,yes,Sender,5.543171114599686,5.546530612244899,generated,-0.060569351907946434
AIR,yes,Receiver,5.1527248261942145,5.210612244897959,generated,-1.110952340781557
AIR,yes,PD,2.877551020408163,4.312448979591837,generated,-33.27338980644551
AIR,yes,SH,6.02668759811617,6.52469387755102,generated,-7.6326382322441155
AIR,yes,C,2.510652612693429,3.7369387755102044,generated,-32.815259667971155
AIR,yes,Proposer,4.409957389549226,4.18,generated,5.501372955723127
AIR,yes,Responder,5.63041040592061,3.552857142857143,generated,58.475564300137805
TD,both,Sender,5.637448979591837,5.546530612244899,generated,1.6391934653028128
TD,both,Receiver,5.187551020408162,5.159285714285715,generated,0.5478530883487043
TD,both,PD,3.916020408163265,4.312448979591837,generated,-9.192655340495016
TD,both,SH,5.971836734693877,6.584693877551021,generated,-9.307298930729912
TD,both,C,3.3224489795918366,3.7369387755102044,generated,-11.091693517557765
TD,both,Proposer,2.974387755102041,4.225408163265306,generated,-29.607090246081757
TD,both,Responder,3.3205102040816326,3.459387755102041,generated,-4.014512418146432
TD,no,Sender,5.566326530612245,5.546530612244899,generated,0.35690632128926314
TD,no,Receiver,5.096326530612245,5.1079591836734695,generated,-0.22773582644132206
TD,no,PD,4.788775510204082,4.312448979591837,generated,11.045383559699019
TD,no,SH,6.051632653061224,6.6446938775510205,generated,-8.925335544703461
TD,no,C,3.2465306122448983,3.7369387755102044,generated,-13.123259243077934
TD,no,Proposer,1.88,4.270816326530612,generated,-55.980312514932876
TD,no,Responder,2.3224489795918366,3.3659183673469384,generated,-31.00103074031407
TD,yes,Sender,5.708571428571429,5.546530612244899,generated,2.9214806093163403
TD,yes,Receiver,5.278775510204082,5.210612244897959,generated,1.3081623061256487
TD,yes,PD,3.0432653061224486,4.312448979591837,generated,-29.43069424068905
TD,yes,SH,5.8920408163265305,6.52469387755102,generated,-9.696287260329672
TD,yes,C,3.3983673469387754,3.7369387755102044,generated,-9.060127792037587
TD,yes,Proposer,4.068775510204082,4.18,generated,-2.6608729616248272
TD,yes,Responder,4.3185714285714285,3.552857142857143,generated,21.55207076799357
OD,both,Sender,5.803877551020409,5.546530612244899,generated,4.6397821767605985
OD,both,Receiver,5.1784693877551025,5.159285714285715,generated,0.37182808884317353
OD,both,PD,3.955816326530612,4.312448979591837,generated,-8.26984051866927
OD,both,SH,6.540306122448979,6.584693877551021,generated,-0.6741050674105242
OD,both,C,3.3423469387755103,3.7369387755102044,generated,-10.559226694336743
OD,both,Proposer,3.7721428571428572,4.225408163265306,generated,-10.727136612813638
OD,both,Responder,3.708979591836735,3.459387755102041,generated,7.21491357442039
OD,no,Sender,5.852857142857143,5.546530612244899,generated,5.5228493634557285
OD,no,Receiver,5.101224489795919,5.1079591836734695,generated,-0.1318470574133923
OD,no,PD,4.480204081632653,4.312448979591837,generated,3.8900194027731816
OD,no,SH,6.8271428571428565,6.6446938775510205,generated,2.745784575693344
OD,no,C,3.3720408163265305,3.7369387755102044,generated,-9.764622358145392
OD,no,Proposer,3.287959183673469,4.270816326530612,generated,-23.013332059062463
OD,no,Responder,2.861020408163265,3.3659183673469384,generated,-15.000303158915907
OD,yes,Sender,5.7548979591836735,5.546530612244899,generated,3.7567149900654684
OD,yes,Receiver,5.255714285714285,5.210612244897959,generated,0.865580448065173
OD,yes,PD,3.4314285714285715,4.312448979591837,generated,-20.429700440111688
OD,yes,SH,6.253469387755103,6.52469387755102,generated,-4.156892183541327
OD,yes,C,3.3126530612244895,3.7369387755102044,generated,-11.353831030528116
OD,yes,Proposer,4.256326530612245,4.18,generated,1.8259935553168738
OD,yes,Responder,4.556938775510204,3.552857142857143,generated,28.261244184042745
Benchmark,both,Sender,5.546530612244899,5.546530612244899,human,0.0
Benchmark,both,Receiver,5.159285714285715,5.159285714285715,human,0.0
Benchmark,both,PD,4.312448979591837,4.312448979591837,human,0.0
Benchmark,both,SH,6.584693877551021,6.584693877551021,human,0.0
Benchmark,both,C,3.7369387755102044,3.7369387755102044,human,0.0
Benchmark,both,Proposer,4.225408163265306,4.225408163265306,human,0.0
Benchmark,both,Responder,3.459387755102041,3.459387755102041,human,0.0
Benchmark,no,Sender,5.546530612244899,5.546530612244899,human,0.0
Benchmark,no,Receiver,5.1079591836734695,5.1079591836734695,human,0.0
Benchmark,no,PD,4.312448979591837,4.312448979591837,human,0.0
Benchmark,no,SH,6.6446938775510205,6.6446938775510205,human,0.0
