,Unnamed: 0,_id,playerId,gameId,createdAt,data.age,data.gender,data.strength,data.fair,data.feedback,data.education
11,11,83mXfzPLaajTN8xJd,mEP5JphwkuLpd9DEF,wakTScBMc3QzxyNpA,2023-04-20T17:22:35Z,72.0,male,consistent mostly while seeing what others contributed,yes,fun game. I wonder how others fared,bachelor
12,12,9cXXk2ec6MiDg8LYH,brBThwzKgiMavuoh3,zzwFiFeNTXYCkijjE,2023-04-20T17:22:45Z,44.0,woman,"I donated the full amount. I wasn't sure how worthwhile it was to punish others, though.","If I receive the payment, then yes.",Everything ran smoothly.,high-school
13,13,6DuMxpRfyZ3Hmeaye,NDS7BsCLwKp7LmHYq,wakTScBMc3QzxyNpA,2023-04-20T17:23:39Z,35.0,Male,Just follow the instructions,yes i will focus complete,"Thanks for giving me this opportunity, for future studies i will show my loyalty, kindly consider the timing, if you scedule just before 30 min like 12.30 et it will nice!!!!!!! just my suggestion dont mistake",other
14,14,p8sYF5fJ3ThAH5K8t,2zj2Qk9kmEu38LcJT,4Z5uDYPcFsmMAnBJf,2023-04-20T17:24:32Z,48.0,Male,,,,bachelor
15,15,CHoQYCL5vDB7bTzre,jvJ3zAdipfTnBfqCi,4Z5uDYPcFsmMAnBJf,2023-04-20T17:24:48Z,36.0,female,I just contributed money.,yes,,bachelor
16,16,N2H74yxsy82stCosF,H36NKQ2ZF8myF5c3a,4Z5uDYPcFsmMAnBJf,2023-04-20T17:24:52Z,44.0,female,giving as much as possible,yes,none,bachelor
17,17,uYQGrqEjqKppuCmq2,bWKDiiKFsMkEyEEYc,4Z5uDYPcFsmMAnBJf,2023-04-20T17:24:53Z,41.0,Male,I punished the non givers,"Average, took a while",no issues,high-school
18,18,dnEcFhA2CewvdikRc,nE4ku9WPBGT2Wbkt8,4Z5uDYPcFsmMAnBJf,2023-04-20T17:25:00Z,49.0,female,always contribute,yes,,high-school
19,19,ekWXTTaKTEvfxYDEH,bvJBu6hpBkzGgwSXN,4Z5uDYPcFsmMAnBJf,2023-04-20T17:25:03Z,34.0,Male ,Contribute as much as possible ,Yes,No answer ,master
20,20,uxYDXmy32gZhWJw5y,9Yg6AsY5zPPfompXq,4Z5uDYPcFsmMAnBJf,2023-04-20T17:25:04Z,36.0,female,contributing benefitting me more than not,yes,,high-school
21,21,edsFzHyDZTkiHp7TZ,wRraedvynMNyJ3x7c,4Z5uDYPcFsmMAnBJf,2023-04-20T17:25:12Z,37.0,Male,I always contributed since it was a 5x multiplier.,Yes.,Post more!,bachelor
22,22,gAqvWopiBZqycuRsn,LJTJvtYkxWvRD5fqP,4Z5uDYPcFsmMAnBJf,2023-04-20T17:25:15Z,34.0,male,I tried to be generous as long as most other people were.,Yes.,None.,high-school
23,23,c3ac4vj7BcR5Rs5rc,wkDv5qjbPAwJTuSuA,4Z5uDYPcFsmMAnBJf,2023-04-20T17:25:20Z,30.0,Male,I donated my entire balance and punished people who did not.,Yes,"It was a fun game, wished the rounds lasted longer.",master
24,24,uJ82pfboi2fcTDM3x,XapD84w5S9DedSpNY,4Z5uDYPcFsmMAnBJf,2023-04-20T17:25:23Z,45.0,male,"I tried to give the full amount each round, but realized halfway through that I had misread the give and take buttons.",Yes.,,master
25,25,Q6HgRiwrnc5ordp5c,gEGGvnybrjtcx726q,4Z5uDYPcFsmMAnBJf,2023-04-20T17:25:36Z,38.0,Male,"Just maximize my contribution since it helps everyone, but I let others punish the people who did not contribute.",Yes.,"I would have made it clearer what you are contributing, since I must admit I had that reversed initially.",bachelor
26,26,34Fntd3X6qcQCEPQ5,QDWtgTdWgBPwpn897,4Z5uDYPcFsmMAnBJf,2023-04-20T17:25:54Z,41.0,male,To share alongside others and punish those who wouldn't.,Yes,It was an interesting experiment to have taken part in.,high-school
27,27,S2mi2F4GvsYBXopDh,SixqSafHmEgkEQi9W,4Z5uDYPcFsmMAnBJf,2023-04-20T17:25:56Z,41.0,male,"I wanted to contribute everything to the pool since the more that was in the pool, the more I would receive ultimately. I gave a bonus to a couple of players that were contributing, and I punished once or twice for people who didn't contribute at all.","Yes, much more so than I normally make via MTurk.",Everything worked fine.,bachelor
28,28,NE8EJDLpCQfeHYiCx,ado5nqWyycfo2E6Yp,4Z5uDYPcFsmMAnBJf,2023-04-20T17:26:07Z,40.0,male,"Give as much as I can even from the outset just to see what happens, and, seeing a mostly cooperative group, keep on going","Yes, I had fun. I love the pitch of a bonus for the lobby wait, that's generous.","I was surprised it took so long to get 20 players in - maybe a message up front would have helped, saying that's okay because other people are reading the rules and it's not a problem - but maybe I'm overthinking this",bachelor
29,29,XFoTWx3u8yePo8vcR,YbKArS3qM2Xpmy32a,4Z5uDYPcFsmMAnBJf,2023-04-20T17:26:20Z,32.0,Male,"I let other players increase the pot. I was content to reap the earnings, and I spent nothing.\n",Yes quite.\n,,high-school
30,30,JtLrWBryxeuP6zdis,5rhN945uHvjCg8w2p,4Z5uDYPcFsmMAnBJf,2023-04-20T17:26:49Z,30.0,Male,"Contributing to the pot always was a good thing because the multiplier was good. Rewarding wasn't a good idea because the incentive was too good. Punishing was only good to nudge participants in the good direction, only with ample cooperation it yielded good results. ","A tad too low of a payment, even with the results being good.",,bachelor
31,31,FadMTNXCaknoCmtJW,TzB5CfRi6HZpFfi4j,4Z5uDYPcFsmMAnBJf,2023-04-20T17:26:52Z,67.0,male,"i was lost. i had no idea what was going on.  i thought i understood the rules but the pace was too fast.  i tried donating as much as i could because in the chat room someone said ""the more you give the more you get, literally.""  but i didn't understand how to do this.  too fast. ","considering i didn't know what i was doing, yes.","this is typical of me. i am slow to learn new concepts. once i understand them, i'm fine but this was too quick for me. again, i got through the instructions. i understood the sharing concept. i understood that to get you have to give. but i didn't know quite HOW to make that work.",bachelor
32,32,goXAcbkny2Fm7NGfL,w9T3tcvXrSpm2sNTt,4Z5uDYPcFsmMAnBJf,2023-04-20T17:27:17Z,38.0,male,I always contributed the maximum since it seemed like most other participants were. I tried using the penalties strategically at first but it ended up being fun.,"No, because if you count the wait time, it was a little less than I would expect. I recommend compensating the wait time in experiments like this.",,master
33,33,mFtW6Amepqip6f7oK,8jSfSZWk5i4EejQBa,4Z5uDYPcFsmMAnBJf,2023-04-20T17:29:20Z,36.0,Male,I gave all of my coins because I didn't want to get punished. I want the group to earn as much as possible. I didn't punish others because I didn't want to waste my coins.,The base pay was too low.,,high-school
34,34,vqRxFCwrstvCnuxok,3LBvg6dixST9N65PQ,5qNajwPqTHZR4hzfB,2023-04-20T17:30:13Z,34.0,woman,To maximize payoff.,No,,bachelor
35,35,7zFEAR3mRhBDrA5xb,xTAnc8ze4xBm5a3kN,5qNajwPqTHZR4hzfB,2023-04-20T17:30:13Z,35.0,Male,I invested the maximum to try and earn the most,Somewhat,,bachelor
36,36,6h6weMRaueM2YBnbq,YfxxL6dJof2XyLYcK,5qNajwPqTHZR4hzfB,2023-04-20T17:30:19Z,50.0,male,Nothing,No idea,,bachelor
37,37,cE5KoS5auKMbEiXCF,H63skTduNqdk2dXov,5qNajwPqTHZR4hzfB,2023-04-20T17:30:30Z,45.0,female,donate all that i can,no,,bachelor
38,38,mhrax57PZsCDDCq4h,L2BDwctk89y52iz2N,5qNajwPqTHZR4hzfB,2023-04-20T17:30:34Z,46.0,Female,I tried to gave all in all times,"Yes, it was.",Everything went well.,bachelor
39,39,6yrzLXftvJ83u26bY,HNphjWmAw4jxJJ2yW,5qNajwPqTHZR4hzfB,2023-04-20T17:30:43Z,22.0,Male,"I was hoping to get a chain of rewards sent, but too many people didn't donate.",No; this game should pay way more than it should. $3.39 for 27 minutes is an insult.,,bachelor
40,40,ew6nwLvvD8S7jx3bo,TfEnttqxP2ohHqu8e,5qNajwPqTHZR4hzfB,2023-04-20T17:30:44Z,29.0,male,given take policy ,very low pay,,bachelor
41,41,nYmb592SR7Tg4wbSg,MSBfuuPgDovF7onnc,5qNajwPqTHZR4hzfB,2023-04-20T17:30:44Z,41.0,female,Did differently at the beginning and at the end.,yes,thank you,bachelor
42,42,DJWk5r8Jotr7NMemv,ZeKgJRer2GQcuAJxR,5qNajwPqTHZR4hzfB,2023-04-20T17:30:45Z,29.0,male,"I try to put 20 coins in the pot, until it didn't make sense.",yes,,bachelor
43,43,nMb56Hwb6vNeDnmJC,vtfv4Y32LkuhvjPeT,5qNajwPqTHZR4hzfB,2023-04-20T17:30:47Z,51.0,female,I occasionally donated but not every time ,yes,It was an interesting game,bachelor
44,44,vqHN4p6LgNrq2Nctm,T7vAX3498EJKXNPvm,5qNajwPqTHZR4hzfB,2023-04-20T17:30:49Z,32.0,Male,I tried to maximize without being a complete ass,Yes,Thanks,bachelor
45,45,4Wu3WTDXYbA352M8A,aTZRdh4xKqF8PimxX,5qNajwPqTHZR4hzfB,2023-04-20T17:30:53Z,26.0,Male,"Donate while everyone else is in order to maximize the pot, then stopped after people stopped donating as this would lead to heavy losses.",Yes.,,bachelor
46,46,w6Ck3KazxQbjdJyLz,ABMMofMB9PRgGmoE3,5qNajwPqTHZR4hzfB,2023-04-20T17:30:54Z,42.0,male,i tried to share most rounds and say i did ,not really ,says i was idle when not idle ,high-school
47,47,NpjzLMHsupZbLEJ9m,8igSF9Y75AAwaEGyW,5qNajwPqTHZR4hzfB,2023-04-20T17:31:13Z,52.0,male,I tried to decide based on the actions of the other players,Pretty much,No problems,bachelor
48,48,vLHBixoEYEdrScDtg,mPeT5RLtg29RyNEo4,5qNajwPqTHZR4hzfB,2023-04-20T17:31:21Z,43.0,male,I contributed to the pool every round except for the last round because everyone else stopped contributing by that point,yes!,"none, very fun",bachelor
49,49,SnGd7mgzSb76RPGop,hjsfEGgk4PbuWrj64,5qNajwPqTHZR4hzfB,2023-04-20T17:31:27Z,49.0,female,"I thought it was smart to just contribute all, but people stopped doing that when others weren't. ","Not really, no. ",I found the chat area toxic. People were rude and someone made a point about those not contributing must be from a certain mturk forum. It was really distasteful. This is why I don't participate in group hits. ,high-school
50,50,gCR37vryp2qcqJRtG,LKtbbLJhQPJ55Zwr4,5qNajwPqTHZR4hzfB,2023-04-20T17:31:49Z,55.0,male,Donate the full amount in hopes that everyone else would too.,"No, lackluster bonus with about 30 minutes games time makes it rather poor.",,bachelor
51,51,PsEb8jLDgEQ3BDLsf,C56Hig8XtSCAXwuvu,kh7arKjP2TXrx7HwY,2023-04-20T17:33:11Z,35.0,Male,Give the most and I get back more.,Yes,,other
52,52,iLHN8y4c6Q6W7sW35,RQeWWHSJ3WNrZfQkG,5qNajwPqTHZR4hzfB,2023-04-20T17:33:19Z,33.0,Male,I always try to donate to all participants to earn a bigger reward,The compensation was fair.,No problems found.,bachelor
53,53,KB7LKcTDdwt9SWWMM,j6rsf7cDonPwufF5y,kh7arKjP2TXrx7HwY,2023-04-20T17:33:23Z,34.0,female,More you contribute more you will get,yes,,bachelor
54,54,mFyPCbzohNh7wxr2H,fweeaXsduoEn3EYdx,kh7arKjP2TXrx7HwY,2023-04-20T17:33:25Z,35.0,Male,Spending the money,Good,Interesting,master
55,55,jghsnQcCSKBacqQHu,kiJZCk5aqrtdzMkGe,kh7arKjP2TXrx7HwY,2023-04-20T17:33:44Z,34.0,Female,Help everyone to get it back,Yes,I did not find any problem,bachelor
56,56,bQ43zk2H8XqtgeEGw,Hx8jbqGFuaNREfy6d,kh7arKjP2TXrx7HwY,2023-04-20T17:33:48Z,40.0,female,i went all in and told the chat that was my plan and then mostly everyone agreed and got on board with the plan,honestly its a little low given that ive spent over 30 minutes on this,,bachelor
57,57,t2CPwWGdkHYFH7MjR,Dfbdz86HrPW2oBrkb,kh7arKjP2TXrx7HwY,2023-04-20T17:33:55Z,41.0,Male,"I wanted to go all in more often than not, so we could maximize the multiplier.","Yes, although the wait at the beginning for everyone else to join got kind of long.","No problems, it worked great and was fun!",master
58,58,fdiesGFd6fL23cWpu,CSFPaWPfdwqxQxHh6,kh7arKjP2TXrx7HwY,2023-04-20T17:33:57Z,33.0,Male,Share max coins and point attention to greedy players to get money flowing,yes,,bachelor
59,59,LDEQszEJ3HtX6iBpy,BtRXXhGvkDGs36fKF,nw9utR2xKSBHTk6zd,2023-04-20T17:34:18Z,42.0,male,contribute the max,yes,it was hard to read the chat feature,other
60,60,xHp8WKa7Dz3AssyGR,4vRbQHYse36t6zRmF,kh7arKjP2TXrx7HwY,2023-04-20T17:34:26Z,40.0,female,fair one,great,was interesting and full of fun,other
61,61,5ht5dDkFMHGMTxHdd,D9NLCu5jrW8CbyLsm,nw9utR2xKSBHTk6zd,2023-04-20T17:34:48Z,52.0,male,I wanted to always contribute because that would lead to the highest payout for every player.,Yes. The pay is completely fair!,I understood everything being asked of me. Thank you!,high-school
62,62,NFiC5xgPfRo6DCkQq,ibiZJGpyr7J22vc3b,nw9utR2xKSBHTk6zd,2023-04-20T17:34:48Z,58.0,female,I contributed toward the end of the game realizing it was better.  I decided to punish once seeing they didn't contribute at all.,I think so.,I had no issues.,high-school
63,63,8JDu7i2FjfSLxpck6,FQKspZi8mb6wycDSw,nw9utR2xKSBHTk6zd,2023-04-20T17:34:51Z,22.0,male,I decided to add to the pot the whole game.,Its okay,,high-school
64,64,megpK7M5saA8wNEwR,wWQh6B53S9x2GJdAF,nw9utR2xKSBHTk6zd,2023-04-20T17:34:52Z,45.0,male,My strategy was to make decision to ensure I receive the highest maximum bonus possible.,no,,bachelor
65,65,k8Y4km54dPidygGzG,PDrNNMtsfem9ykFuK,nw9utR2xKSBHTk6zd,2023-04-20T17:35:06Z,49.0,female,I tried to experiment different contributions to maximize my bonus points.,Yes.,Everything was fine.,master
66,66,k3C8qpqMdC5PSxzoS,5frJoGJG5JWh8kHQt,nw9utR2xKSBHTk6zd,2023-04-20T17:35:10Z,36.0,Female,Wonderful ,Yes,Nice,master
67,67,yRKZT8vpYgwzXWajF,ovTcJ5pyoPpqaGvqX,4stGwnWZ3bN6RwdGX,2023-04-07T17:10:01Z,46.0,female,,,,bachelor
68,68,JZJfFopT7dq7DFNc7,CQaFJMXJruRmma6Sz,4stGwnWZ3bN6RwdGX,2023-04-07T17:10:08Z,34.0,male,"Donate 75%, keep 25%",Yes,,bachelor
69,69,K6t7MorQFdaZZk7B6,2xMFSc5bZ2mmYQApu,4stGwnWZ3bN6RwdGX,2023-04-07T17:10:09Z,33.0,female,Max,Unfair. I thought it would be longer.,,bachelor
70,70,7ZjrAu7YS3FKJRf8s,LRo7pqiD8Si8xz4jH,4stGwnWZ3bN6RwdGX,2023-04-07T17:10:25Z,26.0,male,make money,no,thanks,high-school
71,71,BGLuNXoB2yNEthgwr,iiBkcEMR72RNKADMM,4stGwnWZ3bN6RwdGX,2023-04-07T17:10:26Z,59.0,female,I kind of chose half I think,probably,,master
72,72,G35w8WW6knY4ebsnn,cJH6QuNoS6T6F9gGc,5R4kRpHMWpazH7csB,2023-04-07T17:10:37Z,35.0,Male,I tried to maximize my earnings and then make sure my co-players were doing likewise. ,"Yes, though I wasn't expecting a bonus for the waiting room time. ",,master
73,73,nC4nsfGXAEv493RA4,LpvjT3rPDxPcwoNKm,4stGwnWZ3bN6RwdGX,2023-04-07T17:10:39Z,39.0,Male,I didn't even have a chance to do one.,"NO!!! Waiting time, quiz, all that stuff, 10c base pay and I'm almost 10 minutes in. So 0.58 cents. The bonus better be more than that or that's robbery.",,high-school
74,74,xhJKf6ZsNYZEhHEEN,JTjY3WgRyruztkjCt,4stGwnWZ3bN6RwdGX,2023-04-07T17:10:40Z,33.0,male,I didn't have enough time to come up with a strategy.,not at all. What a joke,,high-school
75,75,tFe3yGRYmfkhHFohw,Nx9zo3Gcuv4J7k3yZ,4stGwnWZ3bN6RwdGX,2023-04-07T17:10:42Z,51.0,male,"I was torn between wanting to keep all my points and wanting to give all my points, so I decided to split the difference and gave 10.",ywa,,high-school
76,76,5vgHjvpFEfc9Ljw6G,bLH3Dd5PjW8FoLRq4,5R4kRpHMWpazH7csB,2023-04-07T17:10:46Z,33.0,Male,"I always paid out 20, hoping for higher profit. If someone gave less than 15, I made sure to reduce their coins.",I do. This was actually very fun.,I did not encounter any problems.,bachelor
77,77,tzMtPyEiWw2wGu8zk,aRMHmGitnnjX8HouH,4stGwnWZ3bN6RwdGX,2023-04-07T17:10:50Z,35.0,Female,I put more in in the hopes I'd receive more in return,"No, not really",,bachelor
78,78,acTAfshRT5t6YLoQx,jXuhHkv6XG5inyXNy,4stGwnWZ3bN6RwdGX,2023-04-07T17:10:51Z,41.0,Male,Generous with some caution to ensure I walk away with something.,Yes,,high-school
79,79,PwiF8jvpPufTRxKJk,CjofogznymYT6G9mW,4stGwnWZ3bN6RwdGX,2023-04-07T17:10:55Z,31.0,Female,tried to get the max but realized people were too dumb to be cooperative ,i guess feels like a waste that it was cut short,it only ended after 2 rounds,high-school
80,80,beLxQwhLuXRDxfDhB,y4KbXRM6uubxgefAp,4stGwnWZ3bN6RwdGX,2023-04-07T17:11:13Z,52.0,male,I tried to be both fair to the other players and keep a reasonable amount for myself.,"No, I expected there would be more rounds based on the information I was given and the complexity of the game.",,bachelor
81,81,fnc3gbdw5vpEfh6fc,R5nAno98ayCkzMPWD,4stGwnWZ3bN6RwdGX,2023-04-07T17:11:20Z,32.0,Male,"Contribute all, influence others to be selfless",Yes.,Everything worked fine-shorter than  expected,master
82,82,337co7R4DmsbBoNh9,yeCAsCQA5hAGDExyZ,5R4kRpHMWpazH7csB,2023-04-07T17:11:35Z,24.0,female,"I tried to maximize my ultimate yield without compromising my ideals and overall stances i.e. I don't like being bullied into things. However, after seeing the deductions and the fact that I would earn more by contributing my full amount and that they others were acting in full faith, I felt it was better to contribute the entirety of my original holdings. ",Yes,Interesting and engaging study,master
83,83,4wD7naC4ba6gDyd2N,FC4yio6a4QPAYa62p,4stGwnWZ3bN6RwdGX,2023-04-07T17:11:41Z,45.0,male,"I wanted to contribute my share, and on one round, took a penalty from one overly selfish player.","Sure, it's fine.  No issues.",No problems,bachelor
84,84,mNWRmtTxxzYxCZun8,4iBh2eDz3Modi6ho7,RSP8cDTpmf2QpCju6,2023-04-07T17:11:46Z,40.0,Nonbinary,I didn't have one,No,,master
85,85,djWniRASdK6sgYuEC,pQfTcnbx4jn47H7Wd,RSP8cDTpmf2QpCju6,2023-04-07T17:11:58Z,34.0,female,I tried to be kind. ,No. ,,high-school
86,86,AWXQH99HEJmYtrsmf,axHLp7jdfTkkkFvrL,4stGwnWZ3bN6RwdGX,2023-04-07T17:12:13Z,43.0,female,I figured everyone would do better if everyone donated so I hchose to donate in hopes everyone else would do the same.,It depends how much the lobby bonus is. If I actually end up with it being a $15/hr rate for the entirety of the hit it will be fair otherwise it will be underpaid.,,high-school
87,87,9qyYufbtB7n4mWFAs,cR8qRwRSRFkJHYaL4,RSP8cDTpmf2QpCju6,2023-04-07T17:12:15Z,39.0,male,"contribute low and see where everyone else is, then adjust it from there",a little light on pay,,bachelor
88,88,XgNsi6vjA8WLADt6e,aG9E9kYqqErtd27aS,RSP8cDTpmf2QpCju6,2023-04-07T17:12:18Z,56.0,male,to contribute 10 of the twenty seemed the way to start. ,yes,none,bachelor
89,89,L8u3iuP5on4PhmHvk,m4zAnSKB4iA2tN72Z,RSP8cDTpmf2QpCju6,2023-04-07T17:12:20Z,28.0,Male,Pretty random,Yes,,high-school
90,90,tnL38inoNkQYqux4F,NWkidMrYuxXHXztfq,RSP8cDTpmf2QpCju6,2023-04-07T17:12:37Z,40.0,female,"tit for tat, I gave all 20, unless and until I felt it was unfair, most others were giving most if not all 20, so I stayed with 20, because I was getting more than 20 back.",I think so.,fun,master
91,91,SgS3MbCG6oeKdyggy,XET48xQn7fFdz3rf6,RSP8cDTpmf2QpCju6,2023-04-07T17:12:43Z,46.0,Female,I contributed half to help with the pot and to assure that I would have some points for myself.,Yes.,,high-school
92,92,pEP7kmMdeRNqzhryC,s8AAu8PHRkQExAJn7,RSP8cDTpmf2QpCju6,2023-04-07T17:12:58Z,61.0,female,I gave 10 coins to see what everyone else was doing. I figured it was fair because it was 1/2 of my coins,No. I thought the game was going to be longer,,other
93,93,D9Yv5zdt46Fi5nMei,FZPmRNaZu2QRLyXRT,RSP8cDTpmf2QpCju6,2023-04-07T17:13:05Z,34.0,Male,"I generally kept my coins since this maximizes my own earnings. Since I didn't know how many rounds there would be, I didn't know if it made sense to contribute more to try to build a norm of high contribution.",Yes,,master
94,94,Z3r4XC58geybsfZu9,iFA7n2uirpqWwkwQD,RSP8cDTpmf2QpCju6,2023-04-07T17:13:07Z,49.0,male,I wanted to help the pot but also maximize my point gain,somewhat,none,high-school
95,95,drvQDFwDJDS3zzzNW,6cHmYeyLKDGTLtT93,4stGwnWZ3bN6RwdGX,2023-04-07T17:13:17Z,38.0,male,"max contribution, didn't bother with reward/deduct system",Depends. total time spent on this was about 10 minutes so a 47 cent bonus isn't much. this of course depends on whatever bonus you give for waiting in lobby,"Not sure why I only got to play 2 or 3 rounds, was expecting at least 15 minutes of this",high-school
96,96,MBG8wwHEhoGb3NWQ7,DGR3Fo6uoTrZYWfxc,RSP8cDTpmf2QpCju6,2023-04-07T17:13:18Z,51.0,female,I decided to keep all the points in hopes it would get more back.,It depends on how much the bonus works out to.,I thought this would be longer than just 2 rounds.,bachelor
97,97,ZbuYooyryEjHMZBLt,weW88YTnnfjLzvDig,RSP8cDTpmf2QpCju6,2023-04-07T17:13:20Z,79.0,male,maximize contribution to pot,no,no feedback,master
98,98,7ybH8LJYPLXMw7ccZ,aZLPPTeYXQCgF5E4k,RSP8cDTpmf2QpCju6,2023-04-07T17:13:39Z,40.0,female,I wanted to put more in the pot to gain more money.,"No, I thought the experiment would last longer. ",The experiment seemed to end abruptly.,bachelor
99,99,p89r83MqvJ2nrf9ts,KFt7AKwW6q9NYB2v6,RSP8cDTpmf2QpCju6,2023-04-07T17:13:59Z,38.0,male,I contributed nothing the first round so I could watch how much everyone else contributed and then decide if it was worth it to contribute in the following rounds.,"No because we all planned this part of our day around making sure we were here for the start time.  The ""$18/hr"" was misleading because we ended up not playing the game very long and barely making any money.",,high-school
100,100,GQd6Mj2eT6Cwhurqk,93edxy5Sy4YBjKNWh,RSP8cDTpmf2QpCju6,2023-04-07T17:14:26Z,40.0,Male,Tried to contribute as much as possible to make the pot as big as it could be and avoid any punishment.,"No; unless bonus for waiting in lobby is large, I regret putting time aside for this (45 cents for 12 minutes). Even with the bonus for lobby wait time (I hope that includes the instructions?) this was not a good use of my time. The e-mail suggested playtime would be 15-30 minutes. I only payed two rounds which took about 2-3 minutes. Had virtually no chance to earn bonus.",None.,bachelor
101,101,Kr56ogqe6SWBiz5hi,CPk34bN9Som3tMSAA,RSP8cDTpmf2QpCju6,2023-04-07T17:14:28Z,41.0,Male,Confusion at the start despite the instruction. A practice round would've been beneficial,Yes,Unsure why I was removed from the game.,bachelor
102,102,qP7KRB5LiD3go9MWZ,GceYixCXMNPpvJkBu,zrxsJ6NsjZqBSyrNS,2023-04-07T17:14:30Z,34.0,Male,Gain my point and give point to team players.,Yes,None.,bachelor
103,103,Q5eR46vtbEM5mmd8m,EyhcSwcgYuAQhwjkq,zrxsJ6NsjZqBSyrNS,2023-04-07T17:14:31Z,37.0,Male,"I wanted to trust my partners for the most part, but I used my gut feelings sometimes. ","Yes, even if I expected the game to took longer to finish.",Everything worked flawlessly. ,bachelor
104,104,ENwFxsGijDDNDhQ8i,4odEqJ8RYLFJR7m98,zrxsJ6NsjZqBSyrNS,2023-04-07T17:15:53Z,26.0,male,Share to everyone.,Yes,no,bachelor
105,105,PHsp34gZExaqDKjNx,b6cz7KhA7GMS3SXDH,m6KXjmpPzvMmmmKFZ,2023-04-07T17:22:11Z,55.0,Male,Gambling and payout,No,,master
106,106,PcXywRyFbDhYrL2HL,vFNvtv8zkjJF8Ye4g,m6KXjmpPzvMmmmKFZ,2023-04-07T17:22:14Z,31.0,male,I was trying to get everyone to put there money in the pot,Yes,na,bachelor
107,107,4CxH4etRdDAmHbCJi,7Q4oj3wNsGFXfhtcm,m6KXjmpPzvMmmmKFZ,2023-04-07T17:22:27Z,35.0,female,I almost always paid to the pool and chose 3 random people who also donated to reward.,yes,,bachelor
108,108,6xf863YYXJXmT96aS,K2mZHzPFrBiZHP88A,m6KXjmpPzvMmmmKFZ,2023-04-07T17:22:29Z,46.0,Male,Cooperate to get a bigger pot. ,"yes, thank you",none,bachelor
109,109,dLaG7oF9H9nzmR8Ng,6h6Cp4d5pThtXJRqY,m6KXjmpPzvMmmmKFZ,2023-04-07T17:22:34Z,58.0,female,I gave all tokens to maximize the overall payout except for the last round where I did not contribute.,yes,none,master
110,110,bbJv97PCdJzDxbQKE,Zr5pWmTtmmmBD5wCd,m6KXjmpPzvMmmmKFZ,2023-04-07T17:22:36Z,48.0,Male,I just contributed everything which was best for both myself and the group.  I didn't feel the need to reward or punish.,Yes,No problems!  Thanks for the HIT!  I did my best and hope the data is useful!,high-school
111,111,85EJ8kcW2ZjWtQQXz,uAp2aWpkwGX24kkqE,m6KXjmpPzvMmmmKFZ,2023-04-07T17:22:42Z,40.0,m,keep giving 20 so others would,yes,n,bachelor
