cohortName,stageName,g_lp_val,init_val,round_avgs,best_val,worst_val,mean_val
g7-m5wp78,Second negotiation game-negotiation2_alternate_profile,33.0000,29.0000,"[29.0000, 30.6000, 31.4000, 32.2000, 32.3333, 32.3333, 32.7333, 32.7333, 32.7333, 32.7333]",33.0000,31.6667,32.7333
g8-m5wp79,First negotiation game-negotiation1,51.0000,43.0000,"[43.0000, 46.5500, 48.9000, 49.2900, 49.9300, 50.5200, 50.5200, 50.5200, 50.5200, 50.5200]",51.0000,49.8000,50.5200
g8-m5wp79,Second negotiation game-negotiation2_alternate_profile,69.0000,54.0000,"[54.0000, 58.4000, 63.1333, 65.1333, 66.2000, 67.6000, 68.6000, 69.0000, 69.0000, 69.0000]",69.0000,69.0000,69.0000
g9-m5wp79,First negotiation game-negotiation1,65.4444,64.0000,"[64.0000, 64.8889, 65.0000, 65.0000, 65.2222, 65.3333, 65.4444, 65.4444, 65.4444, 65.4444]",65.4444,65.4444,65.4444
g9-m5wp79,Second negotiation game-negotiation2_alternate_profile,60.0000,46.0000,"[46.0000, 50.5600, 54.3200, 56.0800, 56.7840, 56.7840, 57.4240, 57.4240, 57.4240, 57.4240]",59.2000,51.6000,57.4240
g11-m5wp7b,First negotiation game-negotiation1,71.8750,55.0000,"[55.0000, 60.5500, 64.1250, 69.1250, 69.3250, 69.3250, 70.9250, 71.0000, 71.3000, 71.3000]",71.7500,70.2500,71.3000
g11-m5wp7b,Second negotiation game-negotiation2_alternate_profile,62.7143,50.0000,"[50.0000, 54.0000, 59.0000, 60.0571, 60.7429, 60.7429, 60.7429, 62.3029, 62.3029, 62.3029]",62.4286,61.8000,62.3029
g12-m5wp8p,First negotiation game-negotiation1,63.0000,59.0000,"[59.0000, 62.4000, 62.6000, 63.0000, 63.0000, 63.0000, 63.0000, 63.0000, 63.0000, 63.0000]",63.0000,63.0000,63.0000
g12-m5wp8p,Second negotiation game-negotiation2_alternate_profile,63.8889,56.0000,"[56.0000, 62.0000, 62.7222, 62.7222, 62.7222, 62.7222, 62.7222, 62.7222, 62.7222, 62.7222]",62.8333,62.5556,62.7222
g13-m5wp8q,First negotiation game-negotiation1,57.0000,45.0000,"[45.0000, 49.9333, 52.5833, 55.4500, 55.6750, 55.6750, 55.8083, 55.8083, 55.8083, 56.3417]",56.6667,55.8750,56.3417
g13-m5wp8q,Second negotiation game-negotiation2_alternate_profile,72.0000,54.0000,"[54.0000, 65.2000, 68.2000, 69.2000, 69.2000, 69.2000, 69.2000, 69.2000, 69.2000, 69.2000]",72.0000,68.5000,69.2000
g15-m5wp8s,First negotiation game-negotiation1,51.0000,41.0000,"[41.0000, 44.3000, 48.5000, 49.9000, 50.0000, 50.4000, 50.5667, 50.5667, 50.5667, 50.8667]",51.0000,50.6667,50.8667
g15-m5wp8s,Second negotiation game-negotiation2_alternate_profile,66.0000,52.0000,"[52.0000, 59.5333, 62.4000, 65.0222, 65.2222, 65.2222, 65.2222, 65.4222, 65.4222, 65.4222]",65.6667,65.3333,65.4222
g16-m5wp8t,First negotiation game-negotiation1,75.0000,48.0000,"[48.0000, 55.2000, 64.0000, 66.6000, 66.6000, 68.7000, 72.3000, 74.4000, 74.4000, 74.4000]",75.0000,73.5000,74.4000
g16-m5wp8t,Second negotiation game-negotiation2_alternate_profile,54.3333,38.0000,"[38.0000, 43.2667, 47.2667, 48.2667, 48.7333, 48.7333, 49.5333, 51.1333, 51.1333, 51.1333]",51.6667,51.0000,51.1333
g17-m5wp8w,First negotiation game-negotiation1,60.0000,41.0000,"[41.0000, 50.2000, 53.2000, 55.2000, 55.2000, 56.0400, 56.0400, 56.5400, 56.5400, 56.5400]",57.5000,55.1000,56.5400
g17-m5wp8w,Second negotiation game-negotiation2_alternate_profile,61.4444,50.0000,"[50.0000, 57.0000, 57.0889, 60.6889, 60.8667, 60.9556, 60.9556, 60.9556, 60.9556, 60.9556]",61.4444,60.4444,60.9556
g18-m5wq8i,First negotiation game-negotiation1,60.0000,50.0000,"[50.0000, 60.0000, 60.0000, 60.0000, 60.0000, 60.0000, 60.0000, 60.0000, 60.0000, 60.0000]",60.0000,60.0000,60.0000
g18-m5wq8i,Second negotiation game-negotiation2_alternate_profile,63.0000,51.0000,"[51.0000, 56.0000, 59.6667, 60.0667, 61.4667, 62.0000, 62.0000, 62.0000, 62.0000, 62.0000]",63.0000,61.0667,62.0000
g19-m5wq90,First negotiation game-negotiation1,63.6000,47.0000,"[47.0000, 53.6800, 54.8800, 59.6800, 60.0300, 61.9800, 61.9800, 62.2800, 62.2800, 62.2800]",62.5500,61.5000,62.2800
g19-m5wq90,Second negotiation game-negotiation2_alternate_profile,74.5556,62.0000,"[62.0000, 67.8000, 69.4000, 70.0000, 72.6667, 73.4667, 73.5333, 74.3333, 74.3556, 74.3556]",74.5556,74.1111,74.3556
g20-m5wq93,First negotiation game-negotiation1,68.1429,56.0000,"[56.0000, 61.5143, 65.2286, 67.3714, 67.3714, 67.3714, 67.3714, 67.3714, 67.3714, 67.3714]",68.1429,66.8571,67.3714
g20-m5wq93,Second negotiation game-negotiation2_alternate_profile,60.0000,42.0000,"[42.0000, 50.8000, 54.1333, 55.8667, 55.8667, 57.6000, 57.6000, 57.6000, 57.6000, 57.6000]",60.0000,52.0000,57.6000
Cohort 01-m8aiq8,First negotiation game-negotiation1,60.8571,41.0000,"[41.0000, 47.2857, 53.2857, 56.7143, 56.7143, 56.7143, 56.7143, 56.7143, 56.7143, 56.9714]",58.2857,51.7143,56.9714
Cohort 01-m8aiq8,Second negotiation game-negotiation2_alternate_profile,57.0000,49.0000,"[49.0000, 53.4250, 54.3500, 55.7500, 55.8750, 55.9250, 55.9250, 55.9250, 55.9250, 55.9250]",56.5000,55.3750,55.9250
Cohort 02-m8aiq8,First negotiation game-negotiation1,66.0000,61.0000,"[61.0000, 62.6000, 64.0000, 64.8000, 65.2000, 65.2000, 65.2000, 65.2000, 65.2000, 65.2000]",66.0000,62.0000,65.2000
Cohort 02-m8aiq8,Second negotiation game-negotiation2_alternate_profile,52.2857,45.0000,"[45.0000, 48.1714, 49.2171, 49.2971, 50.5771, 50.6571, 51.4571, 51.4571, 51.4571, 51.4571]",51.8286,51.1143,51.4571
Cohort 03-m8aiq8,First negotiation game-negotiation1,58.6667,49.0000,"[49.0000, 55.4000, 57.0000, 57.3333, 57.3333, 57.3333, 57.3333, 57.3333, 57.3333, 57.3333]",58.6667,56.6667,57.3333
Cohort 03-m8aiq8,Second negotiation game-negotiation2_alternate_profile,74.5000,58.0000,"[58.0000, 65.3500, 70.1500, 72.6500, 72.6500, 72.8375, 72.8375, 74.0875, 74.0875, 74.0875]",74.5000,73.2500,74.0875
Cohort 04-m8aiq8,First negotiation game-negotiation1,72.0000,47.0000,"[47.0000, 57.4000, 60.4000, 63.5000, 69.7000, 69.7000, 70.6000, 70.6000, 70.6000, 70.6000]",72.0000,65.0000,70.6000
Cohort 04-m8aiq8,Second negotiation game-negotiation2_alternate_profile,60.1429,46.0000,"[46.0000, 52.4000, 56.5000, 56.7286, 56.7286, 58.2286, 58.3429, 58.3429, 58.3429, 58.4571]",59.5714,57.5714,58.4571
Cohort 05-m8aiq8,First negotiation game-negotiation1,69.0000,50.0000,"[50.0000, 57.6000, 60.7333, 62.9667, 63.1667, 63.1667, 63.1667, 63.1667, 63.1667, 63.5000]",66.0000,62.7500,63.5000
Cohort 05-m8aiq8,Second negotiation game-negotiation2_alternate_profile,51.0000,41.0000,"[41.0000, 43.8000, 47.8000, 49.0000, 49.4000, 49.4000, 49.4000, 51.0000, 51.0000, 51.0000]",51.0000,51.0000,51.0000
Cohort 06-m8ak4g,First negotiation game-negotiation1,69.0000,59.0000,"[59.0000, 65.8000, 67.8000, 68.2000, 68.2000, 69.0000, 69.0000, 69.0000, 69.0000, 69.0000]",69.0000,69.0000,69.0000
Cohort 06-m8ak4g,Second negotiation game-negotiation2_alternate_profile,42.6000,36.0000,"[36.0000, 38.6800, 40.4800, 41.2800, 41.3600, 41.3600, 41.3600, 41.4400, 41.4400, 41.4400]",42.2000,41.0000,41.4400
Cohort 07-m8ak4j,First negotiation game-negotiation1,74.3333,62.0000,"[62.0000, 65.8400, 68.8978, 70.7644, 71.4111, 72.7111, 72.7111, 72.7111, 72.7111, 74.0111]",74.3333,73.8333,74.0111
Cohort 07-m8ak4j,Second negotiation game-negotiation2_alternate_profile,60.0000,40.0000,"[40.0000, 48.2000, 50.8000, 54.6000, 54.6000, 55.8000, 55.8000, 55.8000, 57.0000, 57.0000]",57.0000,57.0000,57.0000
