experiment,cohort,stage,round,turn,participant,type,start,end,duration(ms),duration(s),turn duration(ms),turn duration(s),round duration(ms),round duration(s),game duration(ms),game duration(s)
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,1,1,goose-green-2832,proposal,1736873971498.0,1736873989466,17968.0,17.968,33526.0,33.526,80274.0,80.274,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,1,1,ram-blue-9899,response,1736873989466,1736873991414.0,1948.0,1.948,33526.0,33.526,80274.0,80.274,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,1,1,bear-yellow-1294,response,1736873989466,1736874005197.0,15731.0,15.731,33526.0,33.526,80274.0,80.274,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,1,2,ram-blue-9899,proposal,1736874005197.0,1736874019707,14510.0,14.51,23143.0,23.143,80274.0,80.274,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,1,2,bear-yellow-1294,response,1736874019707,1736874024202.0,4495.0,4.495,23143.0,23.143,80274.0,80.274,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,1,2,goose-green-2832,response,1736874019707,1736874028575.0,8868.0,8.868,23143.0,23.143,80274.0,80.274,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,2,0,bear-yellow-1294,proposal,1736874028793,1736874042904,14111,14.111,23442.0,23.442,74410.0,74.41,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,2,0,ram-blue-9899,response,1736874042904,1736874047305.0,4401.0,4.401,23442.0,23.442,74410.0,74.41,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,2,0,goose-green-2832,response,1736874042904,1736874052235.0,9331.0,9.331,23442.0,23.442,74410.0,74.41,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,2,1,goose-green-2832,proposal,1736874052235.0,1736874080880,28645.0,28.645,33547.0,33.547,74410.0,74.41,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,2,1,bear-yellow-1294,response,1736874080880,1736874086007.0,5127.0,5.127,33547.0,33.547,74410.0,74.41,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,2,1,ram-blue-9899,response,1736874080880,1736874084624.0,3744.0,3.744,33547.0,33.547,74410.0,74.41,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,2,2,ram-blue-9899,proposal,1736874086007.0,1736874096251,10244.0,10.244,17421.0,17.421,74410.0,74.41,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,2,2,goose-green-2832,response,1736874096251,1736874103613.0,7362.0,7.362,17421.0,17.421,74410.0,74.41,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,2,2,bear-yellow-1294,response,1736874096251,1736874101793.0,5542.0,5.542,17421.0,17.421,74410.0,74.41,227601.0,227.601
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,0,0,buffalo-purple-5232,proposal,1736873662346,1736873821053,158707,158.707,171847.0,171.847,320589.0,320.589,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,0,0,cat-yellow-2069,response,1736873821053,1736873834193.0,13140.0,13.14,171847.0,171.847,320589.0,320.589,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,0,0,duck-green-2458,response,1736873821053,1736873825445.0,4392.0,4.392,171847.0,171.847,320589.0,320.589,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,0,1,cat-yellow-2069,proposal,1736873834193.0,1736873886437,52244.0,52.244,127164.0,127.164,320589.0,320.589,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,0,1,buffalo-purple-5232,response,1736873886437,1736873961549.0,75112.0,75.112,127164.0,127.164,320589.0,320.589,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,0,1,duck-green-2458,response,1736873886437,1736873890516.0,4079.0,4.079,127164.0,127.164,320589.0,320.589,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,0,2,duck-green-2458,proposal,1736873961549.0,1736873971091,9542.0,9.542,21578.0,21.578,320589.0,320.589,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,0,2,buffalo-purple-5232,response,1736873971091,1736873981336.0,10245.0,10.245,21578.0,21.578,320589.0,320.589,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,0,2,cat-yellow-2069,response,1736873971091,1736873983340.0,12249.0,12.249,21578.0,21.578,320589.0,320.589,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,1,0,buffalo-purple-5232,proposal,1736873983532,1736874012320,28788,28.788,44143.0,44.143,131107.0,131.107,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,1,0,duck-green-2458,response,1736874012320,1736874015298.0,2978.0,2.978,44143.0,44.143,131107.0,131.107,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,1,0,cat-yellow-2069,response,1736874012320,1736874027675.0,15355.0,15.355,44143.0,44.143,131107.0,131.107,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,1,1,cat-yellow-2069,proposal,1736874027675.0,1736874075883,48208.0,48.208,56627.0,56.627,131107.0,131.107,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,1,1,buffalo-purple-5232,response,1736874075883,1736874084693.0,8810.0,8.81,56627.0,56.627,131107.0,131.107,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,1,1,duck-green-2458,response,1736874075883,1736874078414.0,2531.0,2.531,56627.0,56.627,131107.0,131.107,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,1,2,duck-green-2458,proposal,1736874084693.0,1736874097850,13157.0,13.157,30337.0,30.337,131107.0,131.107,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,1,2,cat-yellow-2069,response,1736874097850,1736874115622.0,17772.0,17.772,30337.0,30.337,131107.0,131.107,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,1,2,buffalo-purple-5232,response,1736874097850,1736874107811.0,9961.0,9.961,30337.0,30.337,131107.0,131.107,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,2,0,buffalo-purple-5232,proposal,1736874115791,1736874205955,90164,90.164,127300.0,127.3,221165.0,221.165,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,2,0,duck-green-2458,response,1736874205955,1736874212922.0,6967.0,6.967,127300.0,127.3,221165.0,221.165,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,2,0,cat-yellow-2069,response,1736874205955,1736874243091.0,37136.0,37.136,127300.0,127.3,221165.0,221.165,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,2,1,cat-yellow-2069,proposal,1736874243091.0,1736874297227,54136.0,54.136,75129.0,75.129,221165.0,221.165,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,2,1,buffalo-purple-5232,response,1736874297227,1736874318420.0,21193.0,21.193,75129.0,75.129,221165.0,221.165,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,2,1,duck-green-2458,response,1736874297227,1736874301841.0,4614.0,4.614,75129.0,75.129,221165.0,221.165,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,2,2,duck-green-2458,proposal,1736874318420.0,1736874329157,10737.0,10.737,18736.0,18.736,221165.0,221.165,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,2,2,cat-yellow-2069,response,1736874329157,1736874335035.0,5878.0,5.878,18736.0,18.736,221165.0,221.165,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,First negotiation game-negotiation1,2,2,buffalo-purple-5232,response,1736874329157,1736874337370.0,8213.0,8.213,18736.0,18.736,221165.0,221.165,672861.0,672.861
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,0,0,buffalo-purple-5232,proposal,1736874391492,1736874423318,31826,31.826,37320.0,37.32,153886.0,153.886,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,0,0,duck-green-2458,response,1736874423318,1736874427560.0,4242.0,4.242,37320.0,37.32,153886.0,153.886,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,0,0,cat-yellow-2069,response,1736874423318,1736874428812.0,5494.0,5.494,37320.0,37.32,153886.0,153.886,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,0,1,cat-yellow-2069,proposal,1736874428812.0,1736874508165,79353.0,79.353,87854.0,87.854,153886.0,153.886,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,0,1,buffalo-purple-5232,response,1736874508165,1736874516848.0,8683.0,8.683,87854.0,87.854,153886.0,153.886,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,0,1,duck-green-2458,response,1736874508165,1736874513881.0,5716.0,5.716,87854.0,87.854,153886.0,153.886,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,0,2,duck-green-2458,proposal,1736874516848.0,1736874534674,17826.0,17.826,28712.0,28.712,153886.0,153.886,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,0,2,cat-yellow-2069,response,1736874534674,1736874545729.0,11055.0,11.055,28712.0,28.712,153886.0,153.886,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,0,2,buffalo-purple-5232,response,1736874534674,1736874541659.0,6985.0,6.985,28712.0,28.712,153886.0,153.886,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,1,0,buffalo-purple-5232,proposal,1736874545881,1736874567612,21731,21.731,26240.0,26.24,126923.0,126.923,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,1,0,cat-yellow-2069,response,1736874567612,1736874572121.0,4509.0,4.509,26240.0,26.24,126923.0,126.923,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,1,0,duck-green-2458,response,1736874567612,1736874570340.0,2728.0,2.728,26240.0,26.24,126923.0,126.923,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,1,1,cat-yellow-2069,proposal,1736874572121.0,1736874627098,54977.0,54.977,60122.0,60.122,126923.0,126.923,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,1,1,buffalo-purple-5232,response,1736874627098,1736874632484.0,5386.0,5.386,60122.0,60.122,126923.0,126.923,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,1,1,duck-green-2458,response,1736874627098,1736874630731.0,3633.0,3.633,60122.0,60.122,126923.0,126.923,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,1,2,duck-green-2458,proposal,1736874632484.0,1736874641806,9322.0,9.322,40561.0,40.561,126923.0,126.923,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,1,2,buffalo-purple-5232,response,1736874641806,1736874655139.0,13333.0,13.333,40561.0,40.561,126923.0,126.923,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,1,2,cat-yellow-2069,response,1736874641806,1736874673214.0,31408.0,31.408,40561.0,40.561,126923.0,126.923,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,2,0,buffalo-purple-5232,proposal,1736874673407,1736874722077,48670,48.67,52341.0,52.341,95909.0,95.909,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,2,0,duck-green-2458,response,1736874722077,1736874725748.0,3671.0,3.671,52341.0,52.341,95909.0,95.909,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,2,0,cat-yellow-2069,response,1736874722077,1736874725657.0,3580.0,3.58,52341.0,52.341,95909.0,95.909,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,2,1,cat-yellow-2069,proposal,1736874725748.0,1736874746222,20474.0,20.474,28206.0,28.206,95909.0,95.909,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,2,1,buffalo-purple-5232,response,1736874746222,1736874751110.0,4888.0,4.888,28206.0,28.206,95909.0,95.909,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,2,1,duck-green-2458,response,1736874746222,1736874754129.0,7907.0,7.907,28206.0,28.206,95909.0,95.909,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,2,2,duck-green-2458,proposal,1736874754129.0,1736874762214,8085.0,8.085,15362.0,15.362,95909.0,95.909,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,2,2,buffalo-purple-5232,response,1736874762214,1736874767638.0,5424.0,5.424,15362.0,15.362,95909.0,95.909,376718.0,376.718
🔵 3p1 (N= 54),g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,2,2,cat-yellow-2069,response,1736874762214,1736874769721.0,7507.0,7.507,15362.0,15.362,95909.0,95.909,376718.0,376.718
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,0,0,butterfly-blue-7661,proposal,1736873701590,1736873758301,56711,56.711,71269.0,71.269,220441.0,220.441,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,0,0,squid-purple-3630,response,1736873758301,1736873766641.0,8340.0,8.34,71269.0,71.269,220441.0,220.441,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,0,0,kangaroo-blue-9562,response,1736873758301,1736873772859.0,14558.0,14.558,71269.0,71.269,220441.0,220.441,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,0,1,kangaroo-blue-9562,proposal,1736873772859.0,1736873805744,32885.0,32.885,42235.0,42.235,220441.0,220.441,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,0,1,squid-purple-3630,response,1736873805744,1736873815281.0,9537.0,9.537,42235.0,42.235,220441.0,220.441,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,0,1,butterfly-blue-7661,response,1736873805744,1736873812358.0,6614.0,6.614,42235.0,42.235,220441.0,220.441,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,0,2,squid-purple-3630,proposal,1736873815281.0,1736873858784,43503.0,43.503,106937.0,106.937,220441.0,220.441,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,0,2,kangaroo-blue-9562,response,1736873858784,1736873866043.0,7259.0,7.259,106937.0,106.937,220441.0,220.441,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,0,2,butterfly-blue-7661,response,1736873858784,1736873922408.0,63624.0,63.624,106937.0,106.937,220441.0,220.441,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,1,0,butterfly-blue-7661,proposal,1736873922558,1736874046980,124422,124.422,149484.0,149.484,341433.0,341.433,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,1,0,kangaroo-blue-9562,response,1736874046980,1736874072042.0,25062.0,25.062,149484.0,149.484,341433.0,341.433,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,1,0,squid-purple-3630,response,1736874046980,1736874051541.0,4561.0,4.561,149484.0,149.484,341433.0,341.433,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,1,1,kangaroo-blue-9562,proposal,1736874072042.0,1736874094673,22631.0,22.631,41006.0,41.006,341433.0,341.433,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,1,1,squid-purple-3630,response,1736874094673,1736874098737.0,4064.0,4.064,41006.0,41.006,341433.0,341.433,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,1,1,butterfly-blue-7661,response,1736874094673,1736874113253.0,18580.0,18.58,41006.0,41.006,341433.0,341.433,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,1,2,squid-purple-3630,proposal,1736874113253.0,1736874191077,77824.0,77.824,150943.0,150.943,341433.0,341.433,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,1,2,kangaroo-blue-9562,response,1736874191077,1736874200558.0,9481.0,9.481,150943.0,150.943,341433.0,341.433,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,1,2,butterfly-blue-7661,response,1736874191077,1736874264459.0,73382.0,73.382,150943.0,150.943,341433.0,341.433,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,2,0,butterfly-blue-7661,proposal,1736874264633,1736874314908,50275,50.275,65189.0,65.189,222863.0,222.863,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,2,0,squid-purple-3630,response,1736874314908,1736874323851.0,8943.0,8.943,65189.0,65.189,222863.0,222.863,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,2,0,kangaroo-blue-9562,response,1736874314908,1736874329822.0,14914.0,14.914,65189.0,65.189,222863.0,222.863,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,2,1,kangaroo-blue-9562,proposal,1736874329822.0,1736874373048,43226.0,43.226,69014.0,69.014,222863.0,222.863,784737.0,784.737
🔵 3p1 (N= 54),g3-m5wp6q,First negotiation game-negotiation1,2,1,squid-purple-3630,response,1736874373048,1736874385062.0,12014.0,12.014,69014.0,69.014,222863.0,222.863,784737.0,784.737
