custom_id,record_id,unit_id,treatment_name,variant,model,num_days,num_trials_per_day,num_ratings
longitudinal_trust_game_ht863__61413043c5615de9071af7c6,61413043c5615de9071af7c6,61413043c5615de9071af7c6,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6142013d4dd8ae5ca2b4329b,6142013d4dd8ae5ca2b4329b,6142013d4dd8ae5ca2b4329b,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__61470ea6d44fa390418c61c6,61470ea6d44fa390418c61c6,61470ea6d44fa390418c61c6,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__61475c9f0033bb8c8d5c6940,61475c9f0033bb8c8d5c6940,61475c9f0033bb8c8d5c6940,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6147752c21a4523f1ed70636,6147752c21a4523f1ed70636,6147752c21a4523f1ed70636,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__61477bd4355f82a8edc7dec0,61477bd4355f82a8edc7dec0,61477bd4355f82a8edc7dec0,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6147a2ed5708589b368853a8,6147a2ed5708589b368853a8,6147a2ed5708589b368853a8,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6147ac70b4c3e7df01f2eb72,6147ac70b4c3e7df01f2eb72,6147ac70b4c3e7df01f2eb72,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6147f9a7bad5461dcef424f5,6147f9a7bad5461dcef424f5,6147f9a7bad5461dcef424f5,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6148a7d9b19a2b4c5c9dff87,6148a7d9b19a2b4c5c9dff87,6148a7d9b19a2b4c5c9dff87,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6149a58511a024afe31a7443,6149a58511a024afe31a7443,6149a58511a024afe31a7443,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__614a00b3740430aef0eaf460,614a00b3740430aef0eaf460,614a00b3740430aef0eaf460,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__614af433c9e63d38817c43dd,614af433c9e63d38817c43dd,614af433c9e63d38817c43dd,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__614c7eefc87974fd23521f13,614c7eefc87974fd23521f13,614c7eefc87974fd23521f13,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__614c8dd508d065d05cc8dd11,614c8dd508d065d05cc8dd11,614c8dd508d065d05cc8dd11,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__614d8924b7b54e7c4b9028ff,614d8924b7b54e7c4b9028ff,614d8924b7b54e7c4b9028ff,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__614dd1ef0425aaf131393cc9,614dd1ef0425aaf131393cc9,614dd1ef0425aaf131393cc9,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__614e2a696a57ee6e456545e0,614e2a696a57ee6e456545e0,614e2a696a57ee6e456545e0,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__614e43c148febeb17c93e998,614e43c148febeb17c93e998,614e43c148febeb17c93e998,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__614e455bc58fb82d5a6fe392,614e455bc58fb82d5a6fe392,614e455bc58fb82d5a6fe392,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__614eeea2e824f18762efa4d7,614eeea2e824f18762efa4d7,614eeea2e824f18762efa4d7,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__61500dd5a6c5bbc039ace60e,61500dd5a6c5bbc039ace60e,61500dd5a6c5bbc039ace60e,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615026b9c4d93c2879ae1b28,615026b9c4d93c2879ae1b28,615026b9c4d93c2879ae1b28,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__61504a407a08a977b6ccf929,61504a407a08a977b6ccf929,61504a407a08a977b6ccf929,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6150c4352b1e7a61d20aa403,6150c4352b1e7a61d20aa403,6150c4352b1e7a61d20aa403,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6151b15badc7d7045dbbb210,6151b15badc7d7045dbbb210,6151b15badc7d7045dbbb210,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6151b3079d837c7cd5c80d8c,6151b3079d837c7cd5c80d8c,6151b3079d837c7cd5c80d8c,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615302a0209f909567d8e147,615302a0209f909567d8e147,615302a0209f909567d8e147,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6153509a7df644e1958439f4,6153509a7df644e1958439f4,6153509a7df644e1958439f4,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615473f93a61f4883d5b5af1,615473f93a61f4883d5b5af1,615473f93a61f4883d5b5af1,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6154e0eaaaa79b827af4bca6,6154e0eaaaa79b827af4bca6,6154e0eaaaa79b827af4bca6,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6155dfef61865dc3259eeb2d,6155dfef61865dc3259eeb2d,6155dfef61865dc3259eeb2d,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6156e9714a6862c4a7067cf8,6156e9714a6862c4a7067cf8,6156e9714a6862c4a7067cf8,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6156eacf86fbd863a2411111,6156eacf86fbd863a2411111,6156eacf86fbd863a2411111,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615715bd0896b2b00d1f38de,615715bd0896b2b00d1f38de,615715bd0896b2b00d1f38de,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615730e930e2a471ec558454,615730e930e2a471ec558454,615730e930e2a471ec558454,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615755f63b750e7739b5c132,615755f63b750e7739b5c132,615755f63b750e7739b5c132,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615760128c9cc0dc5cf6febc,615760128c9cc0dc5cf6febc,615760128c9cc0dc5cf6febc,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615761b7a319cfaf9e9047ad,615761b7a319cfaf9e9047ad,615761b7a319cfaf9e9047ad,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__61580d838191a71ae9bfc803,61580d838191a71ae9bfc803,61580d838191a71ae9bfc803,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615822379d204660be9076d9,615822379d204660be9076d9,615822379d204660be9076d9,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615837df9c2386cde5916d3b,615837df9c2386cde5916d3b,615837df9c2386cde5916d3b,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__61587ef7a7a1af1c9d8690d3,61587ef7a7a1af1c9d8690d3,61587ef7a7a1af1c9d8690d3,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__61587f16e25d1946774ea99a,61587f16e25d1946774ea99a,61587f16e25d1946774ea99a,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
