CONFIG_treatmentName,cluster_l1,top_match,embed_mean_dist,heter_err,method
VALIDATION_2_T,0.2680500076595005,0.995,21.5262297757718,4.152447342523502,direct_soft_bank
VALIDATION_3_C,1.2995196898650854,0.0,28.403228087543976,7.409968582479357,direct_soft_bank
VALIDATION_3_T,0.6874027665497606,0.96,19.701519520277955,3.793866565049476,direct_soft_bank
VALIDATION_4_C,0.6467610041149058,0.09,18.389847110831678,5.0826206259188,direct_soft_bank
VALIDATION_4_T,0.720520056839159,0.855,18.671979940887823,4.606694327731017,direct_soft_bank
VALIDATION_5_C,0.6961887071405957,0.205,21.823849530003287,4.912624941634398,direct_soft_bank
VALIDATION_5_T,0.9464751024429229,0.975,21.91268221092015,5.11242591180855,direct_soft_bank
VALIDATION_6_C,0.17051506303520128,1.0,16.418045085378072,9.969341385914035,direct_soft_bank
VALIDATION_6_T,0.24072426443723113,1.0,14.350779478551056,4.9070007956181785,direct_soft_bank
VALIDATION_7_C,0.23230033070605238,1.0,13.943368746971846,6.140565437090151,direct_soft_bank
VALIDATION_7_T,0.571860077437635,0.12,17.819995681326485,2.818429853484611,direct_soft_bank
VALIDATION_8_C,0.6541529422105016,0.06,18.97920624444704,5.4643565805722085,direct_soft_bank
VALIDATION_8_T,1.032248522431569,0.005,20.194141768231876,4.869856195199214,direct_soft_bank
VALIDATION_9_C,0.1849354302076211,1.0,15.530998680617925,8.120128840271265,direct_soft_bank
VALIDATION_9_T,0.24136679123849333,1.0,15.279854937902549,7.157106584356265,direct_soft_bank
