source,factor,factor_type,split,cluster,cluster_label,delta_prob
actual_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_5_prob,unknown_or_sparse_info,-0.0054502198581145925
actual_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,0.04603450316819227
predicted_val_treatment_mix,CONFIG_chat,binary,1 - 0,cluster_1_prob,strong_mildly_conditional_cooperator,-0.2087592480296299
predicted_val_treatment_mix,CONFIG_chat,binary,1 - 0,cluster_2_prob,opportunistic_free_rider,0.006601332190085296
predicted_val_treatment_mix,CONFIG_chat,binary,1 - 0,cluster_3_prob,fragile_high_cooperator,0.17548923346944595
predicted_val_treatment_mix,CONFIG_chat,binary,1 - 0,cluster_4_prob,near_unconditional_full_cooperator,0.26249305327395045
predicted_val_treatment_mix,CONFIG_chat,binary,1 - 0,cluster_5_prob,unknown_or_sparse_info,-0.023495498474120732
predicted_val_treatment_mix,CONFIG_chat,binary,1 - 0,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,-0.21232887242973109
predicted_val_treatment_mix,CONFIG_punishmentExists,binary,1 - 0,cluster_1_prob,strong_mildly_conditional_cooperator,0.17352596777972873
predicted_val_treatment_mix,CONFIG_punishmentExists,binary,1 - 0,cluster_2_prob,opportunistic_free_rider,-0.024968866707137438
predicted_val_treatment_mix,CONFIG_punishmentExists,binary,1 - 0,cluster_3_prob,fragile_high_cooperator,-0.035709209713541995
predicted_val_treatment_mix,CONFIG_punishmentExists,binary,1 - 0,cluster_4_prob,near_unconditional_full_cooperator,0.03978487177341539
predicted_val_treatment_mix,CONFIG_punishmentExists,binary,1 - 0,cluster_5_prob,unknown_or_sparse_info,-0.002173102193459217
predicted_val_treatment_mix,CONFIG_punishmentExists,binary,1 - 0,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,-0.15045966093900548
predicted_val_treatment_mix,CONFIG_rewardExists,binary,1 - 0,cluster_1_prob,strong_mildly_conditional_cooperator,-0.002979898426330424
predicted_val_treatment_mix,CONFIG_rewardExists,binary,1 - 0,cluster_2_prob,opportunistic_free_rider,-0.002155153743877203
predicted_val_treatment_mix,CONFIG_rewardExists,binary,1 - 0,cluster_3_prob,fragile_high_cooperator,-0.010001890113359446
predicted_val_treatment_mix,CONFIG_rewardExists,binary,1 - 0,cluster_4_prob,near_unconditional_full_cooperator,0.02558672571115983
predicted_val_treatment_mix,CONFIG_rewardExists,binary,1 - 0,cluster_5_prob,unknown_or_sparse_info,-0.005491372519461107
predicted_val_treatment_mix,CONFIG_rewardExists,binary,1 - 0,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,-0.00495841090813165
predicted_val_treatment_mix,CONFIG_allOrNothing,binary,1 - 0,cluster_1_prob,strong_mildly_conditional_cooperator,-0.09153794262935551
predicted_val_treatment_mix,CONFIG_allOrNothing,binary,1 - 0,cluster_2_prob,opportunistic_free_rider,0.0468843728824444
predicted_val_treatment_mix,CONFIG_allOrNothing,binary,1 - 0,cluster_3_prob,fragile_high_cooperator,0.04925637811671496
predicted_val_treatment_mix,CONFIG_allOrNothing,binary,1 - 0,cluster_4_prob,near_unconditional_full_cooperator,0.06489195113671553
predicted_val_treatment_mix,CONFIG_allOrNothing,binary,1 - 0,cluster_5_prob,unknown_or_sparse_info,-0.010694450238869765
predicted_val_treatment_mix,CONFIG_allOrNothing,binary,1 - 0,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,-0.0588003092676497
predicted_val_treatment_mix,CONFIG_showOtherSummaries,binary,1 - 0,cluster_1_prob,strong_mildly_conditional_cooperator,-0.006121971233567641
predicted_val_treatment_mix,CONFIG_showOtherSummaries,binary,1 - 0,cluster_2_prob,opportunistic_free_rider,0.03602853364781844
