domain,feature_name,feature_label,metric_label,model_name,wd_diff_true_minus_false,diff_stderr,true_num_treatments,false_num_treatments
macro,punishment_enabled,Punishment enabled,Final-round eff,gpt-5-mini baseline,0.013067798730959423,0.1253528716222422,20,20
macro,punishment_enabled,Punishment enabled,Final-round eff,gpt-5-mini twin,0.03521146687271898,0.11179698289963139,20,20
macro,punishment_enabled,Punishment enabled,Final-round eff,gpt-5.1 baseline,-0.03201643135219179,0.1267397601763651,20,20
macro,punishment_enabled,Punishment enabled,Final-round eff,gpt-5.1 twin,0.03823950865819309,0.11819011067499303,20,20
macro,punishment_enabled,Punishment enabled,First-round contrib,gpt-5-mini baseline,-0.0051249320550307564,0.019308297663605086,20,20
macro,punishment_enabled,Punishment enabled,First-round contrib,gpt-5-mini twin,0.0033853859347280357,0.011758008495553236,20,20
macro,punishment_enabled,Punishment enabled,First-round contrib,gpt-5.1 baseline,-0.0020158264006947813,0.0266034436115811,20,20
macro,punishment_enabled,Punishment enabled,First-round contrib,gpt-5.1 twin,-0.01980359421889026,0.0182662870331905,20,20
macro,punishment_enabled,Punishment enabled,First-round eff,gpt-5-mini baseline,0.021876451353551762,0.022582881924113334,20,20
macro,punishment_enabled,Punishment enabled,First-round eff,gpt-5-mini twin,0.030125490190355236,0.01733494728628476,20,20
macro,punishment_enabled,Punishment enabled,First-round eff,gpt-5.1 baseline,0.013063567572828005,0.024762813827490664,20,20
macro,punishment_enabled,Punishment enabled,First-round eff,gpt-5.1 twin,0.0072329421713115405,0.021202806617328637,20,20
macro,punishment_enabled,Punishment enabled,Mean contrib,gpt-5-mini baseline,-0.1369711400719926,0.042998990365451836,20,20
macro,punishment_enabled,Punishment enabled,Mean contrib,gpt-5-mini twin,-0.05541988376103321,0.03494612533235206,20,20
macro,punishment_enabled,Punishment enabled,Mean contrib,gpt-5.1 baseline,-0.06596697643111227,0.03863949378508591,20,20
macro,punishment_enabled,Punishment enabled,Mean contrib,gpt-5.1 twin,-0.040638763693267216,0.02465131372316619,20,20
macro,punishment_enabled,Punishment enabled,Mean eff,gpt-5-mini baseline,-0.16055271948072541,0.05056503151297218,20,20
macro,punishment_enabled,Punishment enabled,Mean eff,gpt-5-mini twin,-0.061485082544924574,0.04217955355711595,20,20
macro,punishment_enabled,Punishment enabled,Mean eff,gpt-5.1 baseline,-0.06435388733518482,0.04600556810570377,20,20
macro,punishment_enabled,Punishment enabled,Mean eff,gpt-5.1 twin,-0.037352150475719575,0.03411853645501437,20,20
macro,reward_enabled,Reward enabled,Final-round contrib,gpt-5-mini baseline,-0.052051387639401314,0.07231573789325686,22,18
macro,reward_enabled,Reward enabled,Final-round contrib,gpt-5-mini twin,-0.019882679378907198,0.05503787150022083,22,18
macro,reward_enabled,Reward enabled,Final-round contrib,gpt-5.1 baseline,-0.0894805934728653,0.07840302823748219,22,18
macro,reward_enabled,Reward enabled,Final-round contrib,gpt-5.1 twin,-0.046113128365277534,0.060703712286174716,22,18
macro,reward_enabled,Reward enabled,Final-round eff,gpt-5-mini baseline,0.048636920134460526,0.11683009255370905,22,18
macro,reward_enabled,Reward enabled,Final-round eff,gpt-5-mini twin,0.07024172717288879,0.10387263229756415,22,18
macro,reward_enabled,Reward enabled,Final-round eff,gpt-5.1 baseline,0.0063711196074932586,0.12007074093177762,22,18
macro,reward_enabled,Reward enabled,Final-round eff,gpt-5.1 twin,0.05464011460930496,0.10969272073490877,22,18
macro,reward_enabled,Reward enabled,First-round contrib,gpt-5-mini baseline,0.0014348906669315042,0.01919882621208614,22,18
macro,reward_enabled,Reward enabled,First-round contrib,gpt-5-mini twin,-0.0037432420224153273,0.012047299981143332,22,18
macro,reward_enabled,Reward enabled,First-round contrib,gpt-5.1 baseline,0.01672838900078405,0.027727648425902647,22,18
macro,reward_enabled,Reward enabled,First-round contrib,gpt-5.1 twin,-0.007029825825596067,0.019432530085226538,22,18
macro,reward_enabled,Reward enabled,First-round eff,gpt-5-mini baseline,0.013980132280675905,0.022156412135586608,22,18
macro,reward_enabled,Reward enabled,First-round eff,gpt-5-mini twin,0.0018633324060928352,0.01794354100288956,22,18
macro,reward_enabled,Reward enabled,First-round eff,gpt-5.1 baseline,0.021773018836721447,0.025443528836908685,22,18
macro,reward_enabled,Reward enabled,First-round eff,gpt-5.1 twin,0.012255597862983636,0.021869557841272803,22,18
macro,reward_enabled,Reward enabled,Mean contrib,gpt-5-mini baseline,-0.048954329041875966,0.049894364933621066,22,18
macro,reward_enabled,Reward enabled,Mean contrib,gpt-5-mini twin,-0.03179008464415295,0.03631629762692013,22,18
macro,reward_enabled,Reward enabled,Mean contrib,gpt-5.1 baseline,-0.06919991529134542,0.041125894685372574,22,18
macro,reward_enabled,Reward enabled,Mean contrib,gpt-5.1 twin,-0.02521524963511343,0.025969979256926082,22,18
macro,reward_enabled,Reward enabled,Mean eff,gpt-5-mini baseline,-0.06088521204773861,0.0578072842080447,22,18
macro,reward_enabled,Reward enabled,Mean eff,gpt-5-mini twin,-0.04113782733655855,0.04292183260046276,22,18
macro,reward_enabled,Reward enabled,Mean eff,gpt-5.1 baseline,-0.09540479727884887,0.04645484335147693,22,18
macro,reward_enabled,Reward enabled,Mean eff,gpt-5.1 twin,-0.03806971393390676,0.03462192097898752,22,18
macro,show_actor_id,Show actor IDs,Final-round contrib,gpt-5-mini baseline,-0.04644211888138616,0.07385343520676979,20,20
macro,show_actor_id,Show actor IDs,Final-round contrib,gpt-5-mini twin,0.014405672662080704,0.0564684976200012,20,20
macro,show_actor_id,Show actor IDs,Final-round contrib,gpt-5.1 baseline,0.08105796789293634,0.07797757253442589,20,20
macro,show_actor_id,Show actor IDs,Final-round contrib,gpt-5.1 twin,0.07081259294946723,0.06041246870715908,20,20
macro,show_actor_id,Show actor IDs,Final-round eff,gpt-5-mini baseline,-0.05681158209944093,0.12503159849170342,20,20
macro,show_actor_id,Show actor IDs,Final-round eff,gpt-5-mini twin,0.005030187097353422,0.11193983690317902,20,20
macro,show_actor_id,Show actor IDs,Final-round eff,gpt-5.1 baseline,0.07210596031652605,0.12630565694781615,20,20
macro,show_actor_id,Show actor IDs,Final-round eff,gpt-5.1 twin,0.08242537062495625,0.11759504601896653,20,20
macro,show_actor_id,Show actor IDs,First-round contrib,gpt-5-mini baseline,-0.0051055784189008024,0.01930843259120051,20,20
macro,show_actor_id,Show actor IDs,First-round contrib,gpt-5-mini twin,-0.016070688692399235,0.011478495714041385,20,20
macro,show_actor_id,Show actor IDs,First-round contrib,gpt-5.1 baseline,-0.037988071261097545,0.025881924221626877,20,20
macro,show_actor_id,Show actor IDs,First-round contrib,gpt-5.1 twin,-0.031135485463610474,0.01784563862694254,20,20
macro,show_actor_id,Show actor IDs,First-round eff,gpt-5-mini baseline,-0.02033620338124409,0.022620732853665285,20,20
macro,show_actor_id,Show actor IDs,First-round eff,gpt-5-mini twin,-0.04040556663444936,0.01677556999271056,20,20
macro,show_actor_id,Show actor IDs,First-round eff,gpt-5.1 baseline,-0.030383628951207275,0.024359681928165965,20,20
macro,show_actor_id,Show actor IDs,First-round eff,gpt-5.1 twin,-0.03772497798089308,0.020334300688067623,20,20
macro,show_actor_id,Show actor IDs,Mean contrib,gpt-5-mini baseline,0.004799545910847303,0.048394420656208824,20,20
macro,show_actor_id,Show actor IDs,Mean contrib,gpt-5-mini twin,0.04537230886775814,0.03532537509853542,20,20
macro,show_actor_id,Show actor IDs,Mean contrib,gpt-5.1 baseline,0.006790070767221212,0.04007884832532629,20,20
macro,show_actor_id,Show actor IDs,Mean contrib,gpt-5.1 twin,0.043604528418735466,0.02451759325918058,20,20
macro,show_actor_id,Show actor IDs,Mean eff,gpt-5-mini baseline,-0.024451272245022526,0.056740072785966,20,20
macro,show_actor_id,Show actor IDs,Mean eff,gpt-5-mini twin,0.011530875970822835,0.04330242922851804,20,20
macro,show_actor_id,Show actor IDs,Mean eff,gpt-5.1 baseline,-0.00261413010247577,0.04717326863881197,20,20
macro,show_actor_id,Show actor IDs,Mean eff,gpt-5.1 twin,0.009639993416624526,0.03461711084576745,20,20
macro,show_n_rounds,Show # rounds,Final-round contrib,gpt-5-mini baseline,0.27997269192149615,0.07653839901015937,28,12
macro,show_n_rounds,Show # rounds,Final-round contrib,gpt-5-mini twin,0.1262769324060287,0.053891624656093214,28,12
macro,show_n_rounds,Show # rounds,Final-round contrib,gpt-5.1 baseline,0.15186512250015283,0.09019378211697705,28,12
macro,show_n_rounds,Show # rounds,Final-round contrib,gpt-5.1 twin,0.11915701664939027,0.06061350260226815,28,12
macro,show_n_rounds,Show # rounds,Final-round eff,gpt-5-mini baseline,0.3884849922272597,0.10090851719506601,28,12
macro,show_n_rounds,Show # rounds,Final-round eff,gpt-5-mini twin,0.2514580970151749,0.08365260598085182,28,12
macro,show_n_rounds,Show # rounds,Final-round eff,gpt-5.1 baseline,0.28493486632714116,0.11233563893217026,28,12
macro,show_n_rounds,Show # rounds,Final-round eff,gpt-5.1 twin,0.23829266093587304,0.09115533096681089,28,12
macro,show_n_rounds,Show # rounds,First-round contrib,gpt-5-mini baseline,-0.027093124802828716,0.02058317949506721,28,12
macro,show_n_rounds,Show # rounds,First-round contrib,gpt-5-mini twin,0.012439890153705932,0.013385689264914964,28,12
macro,show_n_rounds,Show # rounds,First-round contrib,gpt-5.1 baseline,-0.04957479107150162,0.031488220392988764,28,12
macro,show_n_rounds,Show # rounds,First-round contrib,gpt-5.1 twin,-0.005370668105043164,0.021074599510232234,28,12
macro,show_n_rounds,Show # rounds,First-round eff,gpt-5-mini baseline,0.011885387428612448,0.020889064823923463,28,12
macro,show_n_rounds,Show # rounds,First-round eff,gpt-5-mini twin,0.023991892984380023,0.01705021931769455,28,12
macro,show_n_rounds,Show # rounds,First-round eff,gpt-5.1 baseline,-0.03701143386021882,0.027579020223996983,28,12
macro,show_n_rounds,Show # rounds,First-round eff,gpt-5.1 twin,0.0014095026757830198,0.023293169573399906,28,12
macro,show_n_rounds,Show # rounds,Mean contrib,gpt-5-mini baseline,0.04397869934163684,0.05813509994712498,28,12
macro,show_n_rounds,Show # rounds,Mean contrib,gpt-5-mini twin,-0.013218008133117964,0.03714227994228957,28,12
macro,show_n_rounds,Show # rounds,Mean contrib,gpt-5.1 baseline,-0.03145078853795785,0.05044413873072127,28,12
macro,show_n_rounds,Show # rounds,Mean contrib,gpt-5.1 twin,-0.017384814868644155,0.02767170949273974,28,12
macro,show_n_rounds,Show # rounds,Mean eff,gpt-5-mini baseline,0.09086220248415539,0.06060569678533661,28,12
macro,show_n_rounds,Show # rounds,Mean eff,gpt-5-mini twin,0.04069977458786603,0.041469976666291514,28,12
macro,show_n_rounds,Show # rounds,Mean eff,gpt-5.1 baseline,0.016311915393312115,0.05232111983261879,28,12
macro,show_n_rounds,Show # rounds,Mean eff,gpt-5.1 twin,0.04095703791114619,0.03323272684650315,28,12
macro,show_other_summaries,Show outcome summaries,Final-round contrib,gpt-5-mini baseline,-0.17148403359893288,0.07265334344509133,26,14
macro,show_other_summaries,Show outcome summaries,Final-round contrib,gpt-5-mini twin,-0.19075143587743176,0.054082823126606554,26,14
