bootstrap_iter,metric_family,metric_scope,metric,distance_kind,n_groups,mean_value,median_value,stderr,score
0,scenario_direct_value_distance,distribution,UGProposer_decision_direct,wasserstein_1d,6,0.24336484864445393,0.1943074324324326,0.04175648687152672,0.24336484864445393
0,scenario_direct_value_distance,distribution,UGResponder_decision_direct,wasserstein_1d,6,0.3054910643397903,0.3327450980392157,0.03112156025921404,0.3054910643397903
0,scenario_direct_value_distance,distribution,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,0.3250658784060345,0.3245764123622562,0.018893224586112548,0.3250658784060345
0,scenario_state_distribution_distance,distribution,C_decision_state,total_variation,6,0.10250000000000001,0.09999999999999995,0.012632629707758134,0.10250000000000001
0,scenario_state_distribution_distance,distribution,PD_decision_state,total_variation,6,0.09375,0.09000000000000001,0.012611998255629442,0.09375
0,scenario_state_distribution_distance,distribution,SH_decision_state,total_variation,6,0.09999999999999999,0.08000000000000002,0.01888562063228706,0.09999999999999999
0,scenario_state_distribution_distance,distribution,TGReceiver_decision_state,total_variation,6,0.2,0.16999999999999998,0.019578900207451216,0.2
0,scenario_state_distribution_distance,distribution,TGSender_decision_state,total_variation,6,0.08999999999999998,0.08999999999999997,0.015165750888103098,0.08999999999999998
0,scenario_state_distribution_distance,distribution,UGProposer_decision_state,total_variation,6,0.1175,0.11999999999999997,0.017876893839068726,0.1175
0,scenario_state_distribution_distance,distribution,UGResponder_decision_state,total_variation,6,0.14,0.12,0.017029386365926404,0.14
0,scenario_state_distribution_distance,distribution,mean_role_state_tv,total_variation,6,0.12053571428571429,0.12142857142857144,0.008694429955143577,0.12053571428571429
1,mean_alignment_abs_error,paper_index_scenario,equality_index_mean,,6,0.05515316313634511,0.024818336162988175,0.013046014863683468,0.05515316313634511
1,mean_alignment_abs_error,paper_index_scenario,intentions_index_mean,,6,0.02463284298762242,0.019000000000000017,0.004702839141705897,0.02463284298762242
1,mean_alignment_abs_error,paper_index_scenario,kindness_index_mean,,6,0.05324847068222861,0.040000000000000036,0.012574208749125983,0.05324847068222861
1,mean_alignment_abs_error,paper_index_scenario,payoff_index_mean,,6,0.030151283005608202,0.022142857142857186,0.006647793624832671,0.030151283005608202
1,mean_alignment_abs_error,paper_index_scenario,predictability_index_mean,,6,0.1281400459962166,0.11999999999999994,0.021241988502586767,0.1281400459962166
1,mean_alignment_abs_error,paper_index_scenario,prosociality_index_mean,,6,0.030988228077528365,0.028653457653457615,0.00659231427337422,0.030988228077528365
1,mean_alignment_abs_error,paper_index_session,delegation_index_mean,,4,0.08142857142857146,0.08142857142857146,0.015050933932646756,0.08142857142857146
1,mean_alignment_abs_error,scenario,C_decision_nonnull_rate,,6,0.02624999999999999,0.0,0.015781714102086623,0.02624999999999999
1,mean_alignment_abs_error,scenario,PD_decision_nonnull_rate,,6,0.018750000000000003,0.0,0.008654237882871797,0.018750000000000003
1,mean_alignment_abs_error,scenario,SH_decision_nonnull_rate,,6,0.010000000000000002,0.0,0.006582805886043831,0.010000000000000002
1,mean_alignment_abs_error,scenario,TGReceiver_decision_direct_mean,,6,0.21625468914531423,0.20000000000000018,0.044067185165347904,0.21625468914531423
1,mean_alignment_abs_error,scenario,TGReceiver_decision_nonnull_rate,,6,0.031249999999999997,0.0,0.017026327652589483,0.031249999999999997
1,mean_alignment_abs_error,scenario,TGSender_decision_nonnull_rate,,6,0.03,0.0,0.014719601443879743,0.03
1,mean_alignment_abs_error,scenario,UGProposer_decision_direct_mean,,6,0.2757658156817254,0.12409168081494082,0.06523007431841736,0.2757658156817254
1,mean_alignment_abs_error,scenario,UGProposer_decision_nonnull_rate,,6,0.02375,0.0,0.014630874888399531,0.02375
1,mean_alignment_abs_error,scenario,UGResponder_decision_direct_mean,,6,0.14694311595173673,0.1299999999999999,0.025749161592060827,0.14694311595173673
1,mean_alignment_abs_error,scenario,UGResponder_decision_nonnull_rate,,6,0.022500000000000003,0.0,0.012230426539304888,0.022500000000000003
1,mean_alignment_abs_error,session,C_delegated,,4,0.10500000000000001,0.07,0.04716990566028301,0.10500000000000001
1,mean_alignment_abs_error,session,PD_delegated,,4,0.07500000000000001,0.07,0.00957427107756339,0.07500000000000001
1,mean_alignment_abs_error,session,SH_delegated,,4,0.03999999999999999,0.02999999999999997,0.021602468994692873,0.03999999999999999
1,mean_alignment_abs_error,session,TGReceiver_delegated,,4,0.12499999999999999,0.11000000000000001,0.04349329450233297,0.12499999999999999
1,mean_alignment_abs_error,session,TGSender_delegated,,4,0.11999999999999995,0.13999999999999996,0.027080128015453214,0.11999999999999995
1,mean_alignment_abs_error,session,UGProposer_delegated,,4,0.095,0.08000000000000002,0.04499999999999999,0.095
1,mean_alignment_abs_error,session,UGResponder_delegated,,4,0.09,0.11000000000000001,0.031091263510296046,0.09
1,behavior_distribution_distance,distribution,cooperation_pd_wd,wasserstein_1d,6,0.07,0.05000000000000002,0.01273664878302853,0.07
