participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.in_deception,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.simulated_play_time,session.config.participation_fee,session.prolific_completion_url,introduction.1.player.id_in_group,introduction.1.player.role,introduction.1.player.payoff,introduction.1.player.q1,introduction.1.player.q2,introduction.1.player.q3,introduction.1.player.q4,introduction.1.player.q5,introduction.1.group.id_in_subsession,introduction.1.subsession.round_number,bonus_game.1.player.id_in_group,bonus_game.1.player.role,bonus_game.1.player.payoff,bonus_game.1.player.time_spent,bonus_game.1.player.potential_payoff,bonus_game.1.player.decision,bonus_game.1.player.in_deception,bonus_game.1.group.id_in_subsession,bonus_game.1.subsession.round_number,bonus_game.2.player.id_in_group,bonus_game.2.player.role,bonus_game.2.player.payoff,bonus_game.2.player.time_spent,bonus_game.2.player.potential_payoff,bonus_game.2.player.decision,bonus_game.2.player.in_deception,bonus_game.2.group.id_in_subsession,bonus_game.2.subsession.round_number,bonus_game.3.player.id_in_group,bonus_game.3.player.role,bonus_game.3.player.payoff,bonus_game.3.player.time_spent,bonus_game.3.player.potential_payoff,bonus_game.3.player.decision,bonus_game.3.player.in_deception,bonus_game.3.group.id_in_subsession,bonus_game.3.subsession.round_number,bonus_game.4.player.id_in_group,bonus_game.4.player.role,bonus_game.4.player.payoff,bonus_game.4.player.time_spent,bonus_game.4.player.potential_payoff,bonus_game.4.player.decision,bonus_game.4.player.in_deception,bonus_game.4.group.id_in_subsession,bonus_game.4.subsession.round_number,bonus_game.5.player.id_in_group,bonus_game.5.player.role,bonus_game.5.player.payoff,bonus_game.5.player.time_spent,bonus_game.5.player.potential_payoff,bonus_game.5.player.decision,bonus_game.5.player.in_deception,bonus_game.5.group.id_in_subsession,bonus_game.5.subsession.round_number,bonus_game.6.player.id_in_group,bonus_game.6.player.role,bonus_game.6.player.payoff,bonus_game.6.player.time_spent,bonus_game.6.player.potential_payoff,bonus_game.6.player.decision,bonus_game.6.player.in_deception,bonus_game.6.group.id_in_subsession,bonus_game.6.subsession.round_number,bonus_game.7.player.id_in_group,bonus_game.7.player.role,bonus_game.7.player.payoff,bonus_game.7.player.time_spent,bonus_game.7.player.potential_payoff,bonus_game.7.player.decision,bonus_game.7.player.in_deception,bonus_game.7.group.id_in_subsession,bonus_game.7.subsession.round_number,bonus_game.8.player.id_in_group,bonus_game.8.player.role,bonus_game.8.player.payoff,bonus_game.8.player.time_spent,bonus_game.8.player.potential_payoff,bonus_game.8.player.decision,bonus_game.8.player.in_deception,bonus_game.8.group.id_in_subsession,bonus_game.8.subsession.round_number,bonus_game.9.player.id_in_group,bonus_game.9.player.role,bonus_game.9.player.payoff,bonus_game.9.player.time_spent,bonus_game.9.player.potential_payoff,bonus_game.9.player.decision,bonus_game.9.player.in_deception,bonus_game.9.group.id_in_subsession,bonus_game.9.subsession.round_number,bonus_game.10.player.id_in_group,bonus_game.10.player.role,bonus_game.10.player.payoff,bonus_game.10.player.time_spent,bonus_game.10.player.potential_payoff,bonus_game.10.player.decision,bonus_game.10.player.in_deception,bonus_game.10.group.id_in_subsession,bonus_game.10.subsession.round_number,bonus_game.11.player.id_in_group,bonus_game.11.player.role,bonus_game.11.player.payoff,bonus_game.11.player.time_spent,bonus_game.11.player.potential_payoff,bonus_game.11.player.decision,bonus_game.11.player.in_deception,bonus_game.11.group.id_in_subsession,bonus_game.11.subsession.round_number,bret.1.player.id_in_group,bret.1.player.role,bret.1.player.payoff,bret.1.player.bomb,bret.1.player.bomb_row,bret.1.player.bomb_col,bret.1.player.boxes_collected,bret.1.player.pay_this_round,bret.1.player.round_result,bret.1.group.id_in_subsession,bret.1.subsession.round_number,debrief.1.player.id_in_group,debrief.1.player.role,debrief.1.player.payoff,debrief.1.player.debrief,debrief.1.player.debrief2,debrief.1.group.id_in_subsession,debrief.1.subsession.round_number,thanks.1.player.id_in_group,thanks.1.player.role,thanks.1.player.payoff,thanks.1.group.id_in_subsession,thanks.1.subsession.round_number
11,x96rdj25,5e6ec0b3b0939647aa5cfd10,0,44,44,thanks,Thanks,2022-08-31 10:26:03.010782,1,,,88.0,1,1,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,11,,0.0,1,8,2,1,1,1,1,11,,0.0,228.0,0.0,B,1,1,1,11,,0.0,45.0,20.0,A,1,1,2,11,,88.0,57.0,88.0,A,1,1,3,11,,0.0,108.0,92.0,A,1,1,4,11,,0.0,136.0,96.0,B,1,1,5,11,,0.0,154.0,100.0,B,1,1,6,11,,0.0,86.0,120.0,A,1,1,7,11,,0.0,94.0,108.0,B,1,1,8,11,,0.0,61.0,160.0,A,1,1,9,11,,0.0,80.0,116.0,B,1,1,10,11,,0.0,44.0,180.0,A,1,1,11,11,,0.0,1,5,6,61,1,0.0,1,1,11,,0.0,minority,only_c,1,1,11,,0.0,1,1
12,bhz5dxz9,8j58138EA7N7I9617g6496P4,0,1,44,introduction,Instructions_setting,2022-08-31 10:26:09.666050,1,,,0.0,,0,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,12,,0.0,,,,,,1,1,12,,0.0,,,,,1,1,12,,0.0,,,,,1,2,12,,0.0,,,,,1,3,12,,0.0,,,,,1,4,12,,0.0,,,,,1,5,12,,0.0,,,,,1,6,12,,0.0,,,,,1,7,12,,0.0,,,,,1,8,12,,0.0,,,,,1,9,12,,0.0,,,,,1,10,12,,0.0,,,,,1,11,12,,0.0,,,,,,,1,1,12,,0.0,,,1,1,12,,0.0,1,1
13,57n126uq,62da8bf26fb0a7aea8197c48,0,44,44,thanks,Thanks,2022-08-31 10:26:39.264446,1,,,240.0,1,1,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,13,,0.0,1,8,2,1,1,1,1,13,,0.0,121.0,0.0,A,1,1,1,13,,0.0,424.0,84.0,B,1,1,2,13,,0.0,73.0,40.0,A,1,1,3,13,,0.0,49.0,92.0,A,1,1,4,13,,0.0,187.0,96.0,A,1,1,5,13,,0.0,91.0,100.0,B,1,1,6,13,,0.0,42.0,120.0,B,1,1,7,13,,0.0,53.0,140.0,B,1,1,8,13,,0.0,49.0,160.0,B,1,1,9,13,,180.0,40.0,180.0,B,1,1,10,13,,0.0,20.0,180.0,B,1,1,11,13,,60.0,0,9,2,60,1,60.0,1,1,13,,0.0,minority,only_c,1,1,13,,0.0,1,1
14,hq9clerw,62989e3bc7fcf6671d164ca7,0,6,44,introduction,Start_game,2022-08-31 10:26:40.244485,1,,,0.0,,0,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,14,,0.0,,,,,,1,1,14,,0.0,,,,,1,1,14,,0.0,,,,,1,2,14,,0.0,,,,,1,3,14,,0.0,,,,,1,4,14,,0.0,,,,,1,5,14,,0.0,,,,,1,6,14,,0.0,,,,,1,7,14,,0.0,,,,,1,8,14,,0.0,,,,,1,9,14,,0.0,,,,,1,10,14,,0.0,,,,,1,11,14,,0.0,,,,,,,1,1,14,,0.0,,,1,1,14,,0.0,1,1
15,iif9bxzw,85JA1jC08lN7I9mvL0649c34,0,1,44,introduction,Instructions_setting,2022-08-31 10:26:42.680231,1,,,0.0,,1,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,15,,0.0,,,,,,1,1,15,,0.0,,,,,1,1,15,,0.0,,,,,1,2,15,,0.0,,,,,1,3,15,,0.0,,,,,1,4,15,,0.0,,,,,1,5,15,,0.0,,,,,1,6,15,,0.0,,,,,1,7,15,,0.0,,,,,1,8,15,,0.0,,,,,1,9,15,,0.0,,,,,1,10,15,,0.0,,,,,1,11,15,,0.0,,,,,,,1,1,15,,0.0,,,1,1,15,,0.0,1,1
16,npopq09b,60573ad6a05c46bb3568f16f,0,44,44,thanks,Thanks,2022-08-31 10:26:41.907102,1,,,253.0,1,0,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,16,,0.0,1,8,2,1,1,1,1,16,,0.0,58.0,0.0,A,0,1,1,16,,0.0,44.0,84.0,A,0,1,2,16,,0.0,29.0,88.0,B,0,1,3,16,,0.0,46.0,60.0,A,0,1,4,16,,0.0,25.0,96.0,B,0,1,5,16,,0.0,27.0,100.0,B,0,1,6,16,,0.0,28.0,120.0,B,0,1,7,16,,0.0,27.0,140.0,A,0,1,8,16,,0.0,30.0,112.0,B,0,1,9,16,,180.0,45.0,180.0,B,0,1,10,16,,0.0,40.0,180.0,B,0,1,11,16,,73.0,0,8,4,73,1,73.0,1,1,16,,0.0,random,random,1,1,16,,0.0,1,1
17,b8wtmfy7,571dd9b913b1b70009be2d86,0,44,44,thanks,Thanks,2022-08-31 10:26:46.064016,1,,,105.0,1,1,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,17,,0.0,1,8,2,1,1,1,1,17,,0.0,401.0,0.0,A,1,1,1,17,,84.0,113.0,84.0,A,1,1,2,17,,0.0,59.0,88.0,A,1,1,3,17,,0.0,51.0,92.0,A,1,1,4,17,,0.0,88.0,96.0,A,1,1,5,17,,0.0,253.0,100.0,B,1,1,6,17,,0.0,47.0,120.0,B,1,1,7,17,,0.0,30.0,140.0,B,1,1,8,17,,0.0,44.0,160.0,B,1,1,9,17,,0.0,41.0,180.0,B,1,1,10,17,,0.0,21.0,180.0,B,1,1,11,17,,21.0,0,4,9,21,1,21.0,1,1,17,,0.0,minority,sophisticated,1,1,17,,0.0,1,1
18,3krtn17a,61487f15ed600720f3ad240b,0,44,44,thanks,Thanks,2022-08-31 10:27:12.757452,1,,,108.0,1,0,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,18,,0.0,1,8,2,1,1,1,1,18,,0.0,204.0,0.0,B,0,1,1,18,,0.0,82.0,20.0,A,0,1,2,18,,0.0,81.0,88.0,A,0,1,3,18,,0.0,106.0,92.0,A,0,1,4,18,,0.0,89.0,96.0,A,0,1,5,18,,0.0,61.0,100.0,B,0,1,6,18,,0.0,25.0,120.0,A,0,1,7,18,,108.0,50.0,108.0,A,0,1,8,18,,0.0,26.0,112.0,A,0,1,9,18,,0.0,59.0,116.0,B,0,1,10,18,,0.0,39.0,180.0,A,0,1,11,18,,0.0,1,2,2,20,1,0.0,1,1,18,,0.0,only_c,only_c,1,1,18,,0.0,1,1
19,xh20cgou,604604bf082da501e40808c3,0,44,44,thanks,Thanks,2022-08-31 10:27:13.509185,1,,,151.0,1,1,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,19,,0.0,1,8,2,1,1,1,1,19,,0.0,43.0,0.0,A,1,1,1,19,,0.0,85.0,84.0,A,1,1,2,19,,0.0,26.0,88.0,B,1,1,3,19,,0.0,34.0,60.0,A,1,1,4,19,,0.0,13.0,96.0,A,1,1,5,19,,100.0,11.0,100.0,A,1,1,6,19,,0.0,13.0,104.0,A,1,1,7,19,,0.0,73.0,108.0,B,1,1,8,19,,0.0,45.0,160.0,B,1,1,9,19,,0.0,15.0,180.0,B,1,1,10,19,,0.0,16.0,180.0,B,1,1,11,19,,51.0,0,7,4,51,1,51.0,1,1,19,,0.0,sophisticated,majority,1,1,19,,0.0,1,1
20,0wupqta6,5dc860e9dcc83f5d2d85ec67,0,44,44,thanks,Thanks,2022-08-31 10:27:17.312197,1,,,116.0,1,0,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,20,,0.0,1,8,2,1,1,1,1,20,,0.0,52.0,0.0,A,0,1,1,20,,0.0,107.0,84.0,A,0,1,2,20,,0.0,86.0,88.0,A,0,1,3,20,,0.0,34.0,92.0,A,0,1,4,20,,0.0,33.0,96.0,A,0,1,5,20,,100.0,25.0,100.0,A,0,1,6,20,,0.0,30.0,104.0,A,0,1,7,20,,0.0,44.0,108.0,B,0,1,8,20,,0.0,35.0,160.0,A,0,1,9,20,,0.0,20.0,116.0,B,0,1,10,20,,0.0,22.0,180.0,B,0,1,11,20,,16.0,0,6,5,16,1,16.0,1,1,20,,0.0,only_c,random,1,1,20,,0.0,1,1
21,v3e7rq7i,629f179af36ad0236785986c,0,44,44,thanks,Thanks,2022-08-31 10:27:23.160200,1,,,111.0,1,1,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,21,,0.0,1,8,2,1,1,1,1,21,,0.0,58.0,0.0,A,1,1,1,21,,0.0,81.0,84.0,A,1,1,2,21,,88.0,71.0,88.0,A,1,1,3,21,,0.0,73.0,92.0,A,1,1,4,21,,0.0,68.0,96.0,A,1,1,5,21,,0.0,59.0,100.0,A,1,1,6,21,,0.0,30.0,104.0,A,1,1,7,21,,0.0,47.0,108.0,A,1,1,8,21,,0.0,34.0,112.0,A,1,1,9,21,,0.0,39.0,116.0,A,1,1,10,21,,0.0,22.0,116.0,A,1,1,11,21,,23.0,0,10,5,23,1,23.0,1,1,21,,0.0,only_c,random,1,1,21,,0.0,1,1
22,11ap908k,5ced7e9f3cad8c00179175af,0,44,44,thanks,Thanks,2022-08-31 10:27:39.883161,1,,,84.0,1,0,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,22,,0.0,1,8,2,1,1,1,1,22,,0.0,95.0,0.0,A,0,1,1,22,,84.0,101.0,84.0,A,0,1,2,22,,0.0,28.0,88.0,A,0,1,3,22,,0.0,372.0,92.0,A,0,1,4,22,,0.0,237.0,96.0,A,0,1,5,22,,0.0,84.0,100.0,A,0,1,6,22,,0.0,265.0,104.0,B,0,1,7,22,,0.0,49.0,140.0,B,0,1,8,22,,0.0,32.0,160.0,B,0,1,9,22,,0.0,26.0,180.0,B,0,1,10,22,,0.0,98.0,180.0,B,0,1,11,22,,0.0,1,5,10,51,1,0.0,1,1,22,,0.0,majority,sophisticated,1,1,22,,0.0,1,1
