metric_family,metric,distance_kind,n_treatments,mean_value,median_value,stderr,treatment_mean_check,run_name
distribution_distance,joint_pattern_distribution,total_variation,10,0.316,0.31,0.03780652501002087,0.31599999999999995,twin_sampled_seed_0_gpt_5_1
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,2.3975,2.4425,0.07451789494253488,2.3975,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,mean_process_premium_distance,mean_wasserstein_1d,5,1.702,1.71,0.20886359184884284,1.7020000000000004,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,mean_action_premium_distance,mean_wasserstein_1d,10,2.869,2.9200000000000004,0.15761027885261802,2.8690000000000007,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,return_pct,wasserstein_1d,10,9.696000000000002,9.590000000000003,1.0086197389391987,9.696000000000002,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,process_premium_if_act,wasserstein_1d,5,1.66,1.4,0.28621670111997316,1.6600000000000001,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,process_premium_if_no_act,wasserstein_1d,5,1.7439999999999998,1.7000000000000002,0.18872201779336711,1.7439999999999998,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,action_premium,wasserstein_1d,5,2.9240000000000004,2.72,0.2599538420566236,2.9240000000000004,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,action_premium_without_check,wasserstein_1d,4,3.0650000000000004,3.2700000000000005,0.3493207694941714,3.0650000000000004,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,action_premium_after_check,wasserstein_1d,4,2.415,2.54,0.15305227865013973,2.415,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,action_premium_fast,wasserstein_1d,1,3.74,3.74,,3.74,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,action_premium_slow,wasserstein_1d,1,2.4800000000000004,2.4800000000000004,,2.4800000000000004,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,send_if_act,wasserstein_1d,5,2.8040000000000003,2.8200000000000003,0.11822013364905325,2.8040000000000003,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,send_if_act_after_check,wasserstein_1d,4,2.13,2.17,0.20240223977680355,2.1300000000000003,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,send_if_act_fast,wasserstein_1d,1,2.56,2.56,,2.56,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,send_if_act_slow,wasserstein_1d,1,3.4400000000000004,3.4400000000000004,,3.4400000000000004,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.375,2.3499999999999996,0.28158776015066184,2.375,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,send_if_no_act,wasserstein_1d,5,2.184,1.96,0.153805071437843,2.184,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,send_if_no_act_after_check,wasserstein_1d,4,2.315,2.1900000000000004,0.19362764954072714,2.315,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,send_if_no_act_fast,wasserstein_1d,1,1.82,1.82,,1.82,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,send_if_no_act_slow,wasserstein_1d,1,2.12,2.12,,2.12,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,send_if_no_act_without_check,wasserstein_1d,4,2.2,2.2700000000000005,0.26191601707417583,2.2,twin_sampled_unadjusted_seed_0_gpt_5_1
distribution_distance,joint_pattern_distribution,total_variation,10,0.3319999999999999,0.3299999999999999,0.040133111848779754,0.33199999999999996,twin_sampled_unadjusted_seed_0_gpt_5_1
