metric,target_col,prediction_col,model_kind,prediction_prefix,feature_cols,n_train,n_eval,rmse,mae,corr,run_id,label,feature_source
var_players_contrib_rate,human_var_players_contrib_rate,ridge_cluster_pred_var_players_contrib_rate,ridge,ridge_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.023240095345792976,0.01881444090228207,0.477897118808377,ridge_cluster_pred_baseline,ridge_cluster_pred,cluster_pred
var_players_punishment_rate,human_var_players_punishment_rate,ridge_cluster_pred_var_players_punishment_rate,ridge,ridge_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.017917770498187883,0.013766227353119751,0.7423664678576996,ridge_cluster_pred_baseline,ridge_cluster_pred,cluster_pred
var_players_reward_rate,human_var_players_reward_rate,ridge_cluster_pred_var_players_reward_rate,ridge,ridge_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.033812734926916166,0.028222704668249783,0.1976762976664469,ridge_cluster_pred_baseline,ridge_cluster_pred,cluster_pred
contribution_rate,human_mean_contribution_rate,linear_cluster_pred_plus_config_mean_contribution_rate,linear,linear_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.10036708893296017,0.072844026038448,0.35911680274489094,linear_cluster_pred_plus_config_baseline,linear_cluster_pred_plus_config,cluster_pred_plus_config
punishment_rate,human_punishment_rate,linear_cluster_pred_plus_config_punishment_rate,linear,linear_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.04051706365832067,0.025276694598879414,0.9073278088815172,linear_cluster_pred_plus_config_baseline,linear_cluster_pred_plus_config,cluster_pred_plus_config
reward_rate,human_reward_rate,linear_cluster_pred_plus_config_reward_rate,linear,linear_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.07970940995496324,0.05068809090654312,0.8639186259319498,linear_cluster_pred_plus_config_baseline,linear_cluster_pred_plus_config,cluster_pred_plus_config
normalized_efficiency,human_normalized_efficiency,linear_cluster_pred_plus_config_normalized_efficiency,linear,linear_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.1248490533964891,0.09262197589844934,0.40835008939551304,linear_cluster_pred_plus_config_baseline,linear_cluster_pred_plus_config,cluster_pred_plus_config
var_players_contrib_rate,human_var_players_contrib_rate,linear_cluster_pred_plus_config_var_players_contrib_rate,linear,linear_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.019152070303400232,0.015261177522664385,0.6810903676377184,linear_cluster_pred_plus_config_baseline,linear_cluster_pred_plus_config,cluster_pred_plus_config
var_players_punishment_rate,human_var_players_punishment_rate,linear_cluster_pred_plus_config_var_players_punishment_rate,linear,linear_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.011335579428339996,0.007716286357688877,0.9039921339111352,linear_cluster_pred_plus_config_baseline,linear_cluster_pred_plus_config,cluster_pred_plus_config
var_players_reward_rate,human_var_players_reward_rate,linear_cluster_pred_plus_config_var_players_reward_rate,linear,linear_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.019101197242879044,0.012378199143622457,0.8386783619151806,linear_cluster_pred_plus_config_baseline,linear_cluster_pred_plus_config,cluster_pred_plus_config
contribution_rate,human_mean_contribution_rate,ridge_cluster_pred_plus_config_mean_contribution_rate,ridge,ridge_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.0895832445408302,0.06655420084487648,0.44077481003184316,ridge_cluster_pred_plus_config_baseline,ridge_cluster_pred_plus_config,cluster_pred_plus_config
punishment_rate,human_punishment_rate,ridge_cluster_pred_plus_config_punishment_rate,ridge,ridge_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.04138617789425845,0.026266275812508576,0.9055469432722637,ridge_cluster_pred_plus_config_baseline,ridge_cluster_pred_plus_config,cluster_pred_plus_config
reward_rate,human_reward_rate,ridge_cluster_pred_plus_config_reward_rate,ridge,ridge_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.08159148928751091,0.05121163483898117,0.8648407358034621,ridge_cluster_pred_plus_config_baseline,ridge_cluster_pred_plus_config,cluster_pred_plus_config
normalized_efficiency,human_normalized_efficiency,ridge_cluster_pred_plus_config_normalized_efficiency,ridge,ridge_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.1156216570253197,0.08828772411252443,0.44757809499687123,ridge_cluster_pred_plus_config_baseline,ridge_cluster_pred_plus_config,cluster_pred_plus_config
var_players_contrib_rate,human_var_players_contrib_rate,ridge_cluster_pred_plus_config_var_players_contrib_rate,ridge,ridge_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.017721404317431654,0.013963217851839215,0.7174701361297017,ridge_cluster_pred_plus_config_baseline,ridge_cluster_pred_plus_config,cluster_pred_plus_config
var_players_punishment_rate,human_var_players_punishment_rate,ridge_cluster_pred_plus_config_var_players_punishment_rate,ridge,ridge_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.010889049326917182,0.007577537718612979,0.9127103847502404,ridge_cluster_pred_plus_config_baseline,ridge_cluster_pred_plus_config,cluster_pred_plus_config
var_players_reward_rate,human_var_players_reward_rate,ridge_cluster_pred_plus_config_var_players_reward_rate,ridge,ridge_cluster_pred_plus_config,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.01935939904352075,0.012064741085293165,0.839970404438522,ridge_cluster_pred_plus_config_baseline,ridge_cluster_pred_plus_config,cluster_pred_plus_config
