treatment_name,metric,generated_game_count,human_game_count,wasserstein_distance,run_name,run_label,treatment_label,score,family_name
VALIDATION_17_C,mean_total_contribution_rate,11,11,0.4198044688369765,baseline_gpt_5_mini,Baseline,17-C,0.4198044688369765,gpt-5-mini
VALIDATION_17_T,mean_total_contribution_rate,8,8,0.1736806571481493,baseline_gpt_5_mini,Baseline,17-T,0.1736806571481493,gpt-5-mini
VALIDATION_18_C,mean_total_contribution_rate,12,12,0.2373188405797101,baseline_gpt_5_mini,Baseline,18-C,0.2373188405797101,gpt-5-mini
VALIDATION_18_T,mean_total_contribution_rate,10,10,0.1445652173913043,baseline_gpt_5_mini,Baseline,18-T,0.1445652173913043,gpt-5-mini
VALIDATION_19_C,mean_total_contribution_rate,10,10,0.2732040229885057,baseline_gpt_5_mini,Baseline,19-C,0.2732040229885057,gpt-5-mini
VALIDATION_19_T,mean_total_contribution_rate,10,10,0.3917816091954023,baseline_gpt_5_mini,Baseline,19-T,0.3917816091954023,gpt-5-mini
VALIDATION_1_C,mean_total_contribution_rate,8,8,0.5683593750000001,baseline_gpt_5_mini,Baseline,1-C,0.5683593750000001,gpt-5-mini
VALIDATION_1_T,mean_total_contribution_rate,8,8,0.2177083333333333,baseline_gpt_5_mini,Baseline,1-T,0.2177083333333333,gpt-5-mini
VALIDATION_2_C,mean_total_contribution_rate,9,9,0.1579166666666666,baseline_gpt_5_mini,Baseline,2-C,0.1579166666666666,gpt-5-mini
VALIDATION_2_T,mean_total_contribution_rate,11,11,0.1167045454545454,baseline_gpt_5_mini,Baseline,2-T,0.1167045454545454,gpt-5-mini
VALIDATION_3_C,mean_total_contribution_rate,9,9,0.1406196581196581,baseline_gpt_5_mini,Baseline,3-C,0.1406196581196581,gpt-5-mini
VALIDATION_3_T,mean_total_contribution_rate,10,10,0.3548076923076923,baseline_gpt_5_mini,Baseline,3-T,0.3548076923076923,gpt-5-mini
VALIDATION_4_C,mean_total_contribution_rate,12,12,0.1113591269841269,baseline_gpt_5_mini,Baseline,4-C,0.1113591269841269,gpt-5-mini
VALIDATION_4_T,mean_total_contribution_rate,9,9,0.0357142857142857,baseline_gpt_5_mini,Baseline,4-T,0.0357142857142857,gpt-5-mini
VALIDATION_5_C,mean_total_contribution_rate,9,9,0.25,baseline_gpt_5_mini,Baseline,5-C,0.25,gpt-5-mini
VALIDATION_5_T,mean_total_contribution_rate,12,12,0.1805555555555555,baseline_gpt_5_mini,Baseline,5-T,0.1805555555555555,gpt-5-mini
