config_feature,config_value,n_games,mean_slope_per_unit_progress,median_slope_per_unit_progress,mean_last_minus_first,median_last_minus_first,share_negative_slope,share_last_below_first,delta_vs_overall_mean_slope
CONFIG_chat,True,180,1.6926162077565012,1.798287220026357,2.322510440196199,3.2736068111455108,0.3055555555555556,0.2222222222222222,1.450206558284466
CONFIG_defaultContribProp,0,191,0.4431313087921853,0.6947368421052664,0.9605156158829184,1.102941176470587,0.39790575916230364,0.34554973821989526,0.2007216593201501
CONFIG_defaultContribProp,1,169,0.015558543376480962,0.4000000000000021,0.15348934754585358,0.125,0.4437869822485207,0.40236686390532544,-0.22685110609555426
CONFIG_numRounds,10,16,-1.1473958470257737,-0.0246753246753183,-1.2134886997140284,1.1111111111111107,0.5,0.4375,-1.3898054964978088
CONFIG_numRounds,11,14,0.9377917195586438,2.0346320346320423,2.4403926482873852,2.7738095238095246,0.42857142857142855,0.2857142857142857,0.6953820700866086
CONFIG_numRounds,12,16,-0.5603601845136347,0.7706876456876466,0.624050807025362,1.1619689542483655,0.4375,0.25,-0.8027698339856699
CONFIG_numRounds,13,10,0.9064733800997544,0.1866609580895309,1.1514907314907312,1.8930402930402925,0.4,0.3,0.6640637306277192
CONFIG_numRounds,14,12,1.1416661999728082,0.33571428571428363,1.054164128999655,1.7142857142857135,0.25,0.3333333333333333,0.8992565505007729
CONFIG_numRounds,15,10,-0.718377930119413,-1.5588235294117618,0.09257334512752476,0.526315789473685,0.7,0.4,-0.9607875795914482
CONFIG_numRounds,16,10,1.350450792814159,0.8826559469941933,1.2285829392485739,1.9947606572993566,0.5,0.4,1.1080411433421238
CONFIG_numRounds,17,18,0.6330485290692882,1.1576707606119356,0.7987018428194899,0.621428571428571,0.3333333333333333,0.3888888888888889,0.39063887959725296
CONFIG_numRounds,18,12,0.5507494598051964,-0.33891547049441284,-0.5251888634241573,-1.6280451574569215,0.5,0.6666666666666666,0.30833981033316116
CONFIG_numRounds,19,10,1.7989620905410493,2.2064777327935383,0.7641025641025643,1.0,0.1,0.2,1.5565524410690141
CONFIG_numRounds,2,11,3.4989177489177474,3.555555555555552,3.498917748917749,3.5555555555555554,0.09090909090909091,0.09090909090909091,3.2565080994457123
CONFIG_numRounds,20,14,-0.14959784779713167,-5.351720658441304e-15,-0.10628493821771125,0.0,0.5714285714285714,0.35714285714285715,-0.3920074972691669
CONFIG_numRounds,21,16,0.16690622755247397,-0.2217068645640096,0.9279815160329867,-1.0,0.5,0.5,-0.07550342191956125
CONFIG_numRounds,22,12,0.7362726565958848,0.5350301872041001,2.597754803675857,3.6849415204678353,0.3333333333333333,0.3333333333333333,0.49386300712384956
CONFIG_numRounds,23,12,-2.872080045757535,-1.7880327708366537,-1.601774973678998,-0.7739938080495348,0.6666666666666666,0.5,-3.11448969522957
CONFIG_numRounds,24,12,0.09156463462578641,1.9229166666666742,-1.1149749373433582,0.0,0.4166666666666667,0.4166666666666667,-0.1508450148462488
CONFIG_numRounds,25,10,-2.883635036425023,-3.556923076923065,-0.9337678283189117,-1.2115384615384617,0.7,0.6,-3.126044685897058
CONFIG_numRounds,26,12,1.4229156683609216,2.133876948215174,2.734638931330108,3.4821428571428568,0.25,0.08333333333333333,1.1805060188888865
CONFIG_numRounds,27,14,1.050678627631905,2.0639730639730587,3.2502334267040154,4.2444444444444445,0.2857142857142857,0.21428571428571427,0.8082689781598696
CONFIG_numRounds,28,10,-1.0240153956319422,0.5126084916725296,1.0417710944026735,-0.0789473684210531,0.4,0.5,-1.2664250451039774
CONFIG_numRounds,29,12,0.7675170352148042,0.053349332659676854,-0.9574638324638324,-1.8910256410256414,0.3333333333333333,0.6666666666666666,0.5251073857427689
CONFIG_numRounds,3,10,1.5358543417366963,0.5882352941176493,1.5358543417366948,0.5882352941176467,0.4,0.3,1.2934446922646612
CONFIG_numRounds,30,9,3.4407808697498647,3.8387096774193443,4.422639089305757,4.888888888888889,0.1111111111111111,0.0,3.1983712202778296
CONFIG_numRounds,4,16,-2.1230745132060993,-1.300438596491232,-2.2669012274275433,-1.3961988304093564,0.75,0.5625,-2.3654841626781344
CONFIG_numRounds,5,14,-0.6732719661291056,0.40000000000000535,-0.5596407560693274,0.35714285714285676,0.42857142857142855,0.35714285714285715,-0.9156816156011408
CONFIG_numRounds,6,10,-4.26627469169487,-2.7922077922078006,-5.447701807995926,-3.787878787878788,0.9,0.7,-4.508684341166906
CONFIG_numRounds,7,10,3.100171858216964,1.6741486068111409,3.1130559241240356,1.9342105263157903,0.1,0.1,2.857762208744929
CONFIG_numRounds,8,16,1.0919037126068427,2.238095238095242,0.7210851648351648,2.0854166666666663,0.25,0.3125,0.8494940631348075
CONFIG_numRounds,9,12,0.9326698356110029,1.136363636363623,1.1662316441728209,1.8181818181818183,0.4166666666666667,0.4166666666666667,0.6902601861389677
