experiment,cohort,stage,round,turn,participant,type,start,end,duration(ms),duration(s),turn duration(ms),turn duration(s),round duration(ms),round duration(s),game duration(ms),game duration(s)
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,1,1,cat-blue-2956,proposal,1741279808369.0,1741279836780,28411.0,28.411,35602.0,35.602,87424.0,87.424,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,1,1,dog-green-9823,response,1741279836780,1741279844230.0,7450.0,7.45,35602.0,35.602,87424.0,87.424,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,1,1,badger-pink-6314,response,1741279836780,1741279839628.0,2848.0,2.848,35602.0,35.602,87424.0,87.424,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,1,2,dog-green-9823,proposal,1741279844230.0,1741279859344,15114.0,15.114,20539.0,20.539,87424.0,87.424,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,1,2,cat-blue-2956,response,1741279859344,1741279865010.0,5666.0,5.666,20539.0,20.539,87424.0,87.424,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,1,2,badger-pink-6314,response,1741279859344,1741279862492.0,3148.0,3.148,20539.0,20.539,87424.0,87.424,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,2,0,badger-pink-6314,proposal,1741279865276,1741279879002,13726,13.726,23207.0,23.207,79843.0,79.843,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,2,0,dog-green-9823,response,1741279879002,1741279884862.0,5860.0,5.86,23207.0,23.207,79843.0,79.843,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,2,0,cat-blue-2956,response,1741279879002,1741279888483.0,9481.0,9.481,23207.0,23.207,79843.0,79.843,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,2,1,cat-blue-2956,proposal,1741279888483.0,1741279901494,13011.0,13.011,20642.0,20.642,79843.0,79.843,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,2,1,dog-green-9823,response,1741279901494,1741279907799.0,6305.0,6.305,20642.0,20.642,79843.0,79.843,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,2,1,badger-pink-6314,response,1741279901494,1741279909417.0,7923.0,7.923,20642.0,20.642,79843.0,79.843,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,2,2,dog-green-9823,proposal,1741279909417.0,1741279931491,22074.0,22.074,35994.0,35.994,79843.0,79.843,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,2,2,cat-blue-2956,response,1741279931491,1741279945746.0,14255.0,14.255,35994.0,35.994,79843.0,79.843,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,2,2,badger-pink-6314,response,1741279931491,1741279933979.0,2488.0,2.488,35994.0,35.994,79843.0,79.843,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,0,0,badger-pink-6314,proposal,1741279983768,1741280003897,20129,20.129,26408.0,26.408,83441.0,83.441,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,0,0,cat-blue-2956,response,1741280003897,1741280010176.0,6279.0,6.279,26408.0,26.408,83441.0,83.441,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,0,0,dog-green-9823,response,1741280003897,1741280006800.0,2903.0,2.903,26408.0,26.408,83441.0,83.441,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,0,1,dog-green-9823,proposal,1741280010176.0,1741280036107,25931.0,25.931,30135.0,30.135,83441.0,83.441,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,0,1,cat-blue-2956,response,1741280036107,1741280040576.0,4469.0,4.469,30135.0,30.135,83441.0,83.441,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,0,1,badger-pink-6314,response,1741280036107,1741280038730.0,2623.0,2.623,30135.0,30.135,83441.0,83.441,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,0,2,cat-blue-2956,proposal,1741280040576.0,1741280060213,19637.0,19.637,26898.0,26.898,83441.0,83.441,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,0,2,badger-pink-6314,response,1741280060213,1741280064038.0,3825.0,3.825,26898.0,26.898,83441.0,83.441,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,0,2,dog-green-9823,response,1741280060213,1741280067771.0,7558.0,7.558,26898.0,26.898,83441.0,83.441,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,1,0,badger-pink-6314,proposal,1741280068041,1741280095819,27778,27.778,39952.0,39.952,106749.0,106.749,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,1,0,cat-blue-2956,response,1741280095819,1741280107993.0,12174.0,12.174,39952.0,39.952,106749.0,106.749,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,1,0,dog-green-9823,response,1741280095819,1741280098774.0,2955.0,2.955,39952.0,39.952,106749.0,106.749,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,1,1,dog-green-9823,proposal,1741280107993.0,1741280122221,14228.0,14.228,21811.0,21.811,106749.0,106.749,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,1,1,cat-blue-2956,response,1741280122221,1741280130104.0,7883.0,7.883,21811.0,21.811,106749.0,106.749,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,1,1,badger-pink-6314,response,1741280122221,1741280124807.0,2586.0,2.586,21811.0,21.811,106749.0,106.749,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,1,2,cat-blue-2956,proposal,1741280130104.0,1741280165552,35448.0,35.448,44986.0,44.986,106749.0,106.749,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,1,2,dog-green-9823,response,1741280165552,1741280175367.0,9815.0,9.815,44986.0,44.986,106749.0,106.749,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,1,2,badger-pink-6314,response,1741280165552,1741280169143.0,3591.0,3.591,44986.0,44.986,106749.0,106.749,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,2,0,badger-pink-6314,proposal,1741280175601,1741280198924,23323,23.323,29967.0,29.967,96149.0,96.149,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,2,0,cat-blue-2956,response,1741280198924,1741280205568.0,6644.0,6.644,29967.0,29.967,96149.0,96.149,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,2,0,dog-green-9823,response,1741280198924,1741280201621.0,2697.0,2.697,29967.0,29.967,96149.0,96.149,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,2,1,dog-green-9823,proposal,1741280205568.0,1741280233930,28362.0,28.362,41998.0,41.998,96149.0,96.149,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,2,1,cat-blue-2956,response,1741280233930,1741280241142.0,7212.0,7.212,41998.0,41.998,96149.0,96.149,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,2,1,badger-pink-6314,response,1741280233930,1741280247842.0,13912.0,13.912,41998.0,41.998,96149.0,96.149,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,2,2,cat-blue-2956,proposal,1741280247842.0,1741280268297,20455.0,20.455,24184.0,24.184,96149.0,96.149,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,2,2,dog-green-9823,response,1741280268297,1741280271152.0,2855.0,2.855,24184.0,24.184,96149.0,96.149,286339.0,286.339
🟣 4p1 (n=20),Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,2,2,badger-pink-6314,response,1741280268297,1741280272233.0,3936.0,3.936,24184.0,24.184,96149.0,96.149,286339.0,286.339
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,0,0,peacock-red-7894,proposal,1741280151052,1741280175604,24552,24.552,32913.0,32.913,91753.0,91.753,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,0,0,squid-pink-8454,response,1741280175604,1741280182601.0,6997.0,6.997,32913.0,32.913,91753.0,91.753,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,0,0,otter-orange-7286,response,1741280175604,1741280183965.0,8361.0,8.361,32913.0,32.913,91753.0,91.753,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,0,1,squid-pink-8454,proposal,1741280183965.0,1741280204415,20450.0,20.45,31978.0,31.978,91753.0,91.753,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,0,1,peacock-red-7894,response,1741280204415,1741280210905.0,6490.0,6.49,31978.0,31.978,91753.0,91.753,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,0,1,otter-orange-7286,response,1741280204415,1741280216215.0,11800.0,11.8,31978.0,31.978,91753.0,91.753,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,0,2,otter-orange-7286,proposal,1741280216215.0,1741280233193,16978.0,16.978,26862.0,26.862,91753.0,91.753,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,0,2,squid-pink-8454,response,1741280233193,1741280243310.0,10117.0,10.117,26862.0,26.862,91753.0,91.753,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,0,2,peacock-red-7894,response,1741280233193,1741280239724.0,6531.0,6.531,26862.0,26.862,91753.0,91.753,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,1,0,peacock-red-7894,proposal,1741280243548,1741280261682,18134,18.134,23587.0,23.587,96037.0,96.037,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,1,0,otter-orange-7286,response,1741280261682,1741280267135.0,5453.0,5.453,23587.0,23.587,96037.0,96.037,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,1,0,squid-pink-8454,response,1741280261682,1741280265167.0,3485.0,3.485,23587.0,23.587,96037.0,96.037,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,1,1,squid-pink-8454,proposal,1741280267135.0,1741280307201,40066.0,40.066,49927.0,49.927,96037.0,96.037,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,1,1,otter-orange-7286,response,1741280307201,1741280317285.0,10084.0,10.084,49927.0,49.927,96037.0,96.037,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,1,1,peacock-red-7894,response,1741280307201,1741280312119.0,4918.0,4.918,49927.0,49.927,96037.0,96.037,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,1,2,otter-orange-7286,proposal,1741280317285.0,1741280334778,17493.0,17.493,22523.0,22.523,96037.0,96.037,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,1,2,peacock-red-7894,response,1741280334778,1741280340190.0,5412.0,5.412,22523.0,22.523,96037.0,96.037,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,1,2,squid-pink-8454,response,1741280334778,1741280338898.0,4120.0,4.12,22523.0,22.523,96037.0,96.037,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,2,0,peacock-red-7894,proposal,1741280340441,1741280361857,21416,21.416,29646.0,29.646,90864.0,90.864,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,2,0,squid-pink-8454,response,1741280361857,1741280368674.0,6817.0,6.817,29646.0,29.646,90864.0,90.864,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,2,0,otter-orange-7286,response,1741280361857,1741280370087.0,8230.0,8.23,29646.0,29.646,90864.0,90.864,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,2,1,squid-pink-8454,proposal,1741280370087.0,1741280387623,17536.0,17.536,27957.0,27.957,90864.0,90.864,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,2,1,peacock-red-7894,response,1741280387623,1741280393810.0,6187.0,6.187,27957.0,27.957,90864.0,90.864,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,2,1,otter-orange-7286,response,1741280387623,1741280398288.0,10665.0,10.665,27957.0,27.957,90864.0,90.864,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,2,2,otter-orange-7286,proposal,1741280398288.0,1741280414635,16347.0,16.347,33261.0,33.261,90864.0,90.864,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,2,2,squid-pink-8454,response,1741280414635,1741280431795.0,17160.0,17.16,33261.0,33.261,90864.0,90.864,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,First negotiation game-negotiation1,2,2,peacock-red-7894,response,1741280414635,1741280421900.0,7265.0,7.265,33261.0,33.261,90864.0,90.864,278654.0,278.654
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,0,0,peacock-red-7894,proposal,1741280461118,1741280478411,17293,17.293,25375.0,25.375,207183.0,207.183,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,0,0,squid-pink-8454,response,1741280478411,1741280486493.0,8082.0,8.082,25375.0,25.375,207183.0,207.183,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,0,0,otter-orange-7286,response,1741280478411,1741280484942.0,6531.0,6.531,25375.0,25.375,207183.0,207.183,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,0,1,otter-orange-7286,proposal,1741280486493.0,1741280500714,14221.0,14.221,160527.0,160.527,207183.0,207.183,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,0,1,peacock-red-7894,response,1741280500714,1741280647262.0,146548.0,146.548,160527.0,160.527,207183.0,207.183,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,0,1,squid-pink-8454,response,1741280500714,1741280509803.0,9089.0,9.089,160527.0,160.527,207183.0,207.183,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,0,2,squid-pink-8454,proposal,1741280647262.0,1741280661982,14720.0,14.72,21281.0,21.281,207183.0,207.183,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,0,2,otter-orange-7286,response,1741280661982,1741280668816.0,6834.0,6.834,21281.0,21.281,207183.0,207.183,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,0,2,peacock-red-7894,response,1741280661982,1741280666513.0,4531.0,4.531,21281.0,21.281,207183.0,207.183,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,1,0,peacock-red-7894,proposal,1741280669064,1741280686441,17377,17.377,24323.0,24.323,84965.0,84.965,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,1,0,otter-orange-7286,response,1741280686441,1741280693387.0,6946.0,6.946,24323.0,24.323,84965.0,84.965,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,1,0,squid-pink-8454,response,1741280686441,1741280690609.0,4168.0,4.168,24323.0,24.323,84965.0,84.965,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,1,1,otter-orange-7286,proposal,1741280693387.0,1741280706724,13337.0,13.337,23124.0,23.124,84965.0,84.965,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,1,1,squid-pink-8454,response,1741280706724,1741280710184.0,3460.0,3.46,23124.0,23.124,84965.0,84.965,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,1,1,peacock-red-7894,response,1741280706724,1741280716766.0,10042.0,10.042,23124.0,23.124,84965.0,84.965,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,1,2,squid-pink-8454,proposal,1741280716766.0,1741280742855,26089.0,26.089,37518.0,37.518,84965.0,84.965,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,1,2,peacock-red-7894,response,1741280742855,1741280750341.0,7486.0,7.486,37518.0,37.518,84965.0,84.965,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,1,2,otter-orange-7286,response,1741280742855,1741280754509.0,11654.0,11.654,37518.0,37.518,84965.0,84.965,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,2,0,peacock-red-7894,proposal,1741280754815,1741280791842,37027,37.027,43992.0,43.992,99369.0,99.369,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,2,0,squid-pink-8454,response,1741280791842,1741280795024.0,3182.0,3.182,43992.0,43.992,99369.0,99.369,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,2,0,otter-orange-7286,response,1741280791842,1741280798807.0,6965.0,6.965,43992.0,43.992,99369.0,99.369,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,2,1,otter-orange-7286,proposal,1741280798807.0,1741280814223,15416.0,15.416,20632.0,20.632,99369.0,99.369,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,2,1,squid-pink-8454,response,1741280814223,1741280818033.0,3810.0,3.81,20632.0,20.632,99369.0,99.369,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,2,1,peacock-red-7894,response,1741280814223,1741280819655.0,5432.0,5.432,20632.0,20.632,99369.0,99.369,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,2,2,squid-pink-8454,proposal,1741280819655.0,1741280849412,29757.0,29.757,34745.0,34.745,99369.0,99.369,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,2,2,otter-orange-7286,response,1741280849412,1741280854611.0,5199.0,5.199,34745.0,34.745,99369.0,99.369,391517.0,391.517
🟣 4p1 (n=20),Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,2,2,peacock-red-7894,response,1741280849412,1741280853868.0,4456.0,4.456,34745.0,34.745,99369.0,99.369,391517.0,391.517
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,0,0,lion-blue-5564,proposal,1741280548488,1741280571168,22680,22.68,38453.0,38.453,124246.0,124.246,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,0,0,camel-orange-3210,response,1741280571168,1741280578501.0,7333.0,7.333,38453.0,38.453,124246.0,124.246,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,0,0,butterfly-pink-8539,response,1741280571168,1741280586941.0,15773.0,15.773,38453.0,38.453,124246.0,124.246,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,0,1,butterfly-pink-8539,proposal,1741280586941.0,1741280630835,43894.0,43.894,51951.0,51.951,124246.0,124.246,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,0,1,lion-blue-5564,response,1741280630835,1741280636416.0,5581.0,5.581,51951.0,51.951,124246.0,124.246,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,0,1,camel-orange-3210,response,1741280630835,1741280639168.0,8333.0,8.333,51951.0,51.951,124246.0,124.246,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,0,2,camel-orange-3210,proposal,1741280639168.0,1741280659627,20459.0,20.459,33842.0,33.842,124246.0,124.246,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,0,2,lion-blue-5564,response,1741280659627,1741280669882.0,10255.0,10.255,33842.0,33.842,124246.0,124.246,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,0,2,butterfly-pink-8539,response,1741280659627,1741280673281.0,13654.0,13.654,33842.0,33.842,124246.0,124.246,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,1,0,lion-blue-5564,proposal,1741280673608,1741280714108,40500,40.5,52217.0,52.217,135963.0,135.963,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,1,0,butterfly-pink-8539,response,1741280714108,1741280725825.0,11717.0,11.717,52217.0,52.217,135963.0,135.963,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,1,0,camel-orange-3210,response,1741280714108,1741280717373.0,3265.0,3.265,52217.0,52.217,135963.0,135.963,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,1,1,butterfly-pink-8539,proposal,1741280725825.0,1741280762052,36227.0,36.227,42618.0,42.618,135963.0,135.963,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,1,1,camel-orange-3210,response,1741280762052,1741280768707.0,6655.0,6.655,42618.0,42.618,135963.0,135.963,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,1,1,lion-blue-5564,response,1741280762052,1741280766051.0,3999.0,3.999,42618.0,42.618,135963.0,135.963,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,1,2,camel-orange-3210,proposal,1741280768707.0,1741280787006,18299.0,18.299,41128.0,41.128,135963.0,135.963,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,1,2,butterfly-pink-8539,response,1741280787006,1741280810093.0,23087.0,23.087,41128.0,41.128,135963.0,135.963,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,1,2,lion-blue-5564,response,1741280787006,1741280793584.0,6578.0,6.578,41128.0,41.128,135963.0,135.963,398642.0,398.642
🟣 4p1 (n=20),Cohort 03-m7xld5,First negotiation game-negotiation1,2,0,lion-blue-5564,proposal,1741280810324,1741280854522,44198,44.198,53806.0,53.806,138433.0,138.433,398642.0,398.642
