case_group,role_slice,game,generated_mean_expected_payoff,benchmark_mean_expected_payoff,data_source,generated_relative_payoff_diff_pct,human_mean_expected_payoff,human_relative_payoff_diff_pct,abs_error_relative_payoff_diff_pct
AIR,yes,Proposer,4.354702750665483,4.18,generated,4.1794916427149165,4.377142857142857,4.716336295283674,0.5368446525687576
AIR,yes,Responder,5.658385093167702,3.552857142857143,generated,59.26294994842747,5.6544897959183675,59.1533115055431,0.10963844288436775
TD,both,Sender,5.600714285714286,5.546530612244899,generated,0.9768930752814597,5.51204081632653,-0.6218264772978488,1.5987195525793085
TD,both,Receiver,5.191428571428571,5.159285714285715,generated,0.6230098297106412,5.189081632653061,0.5775202230968501,0.04548960661379109
TD,both,PD,3.8898979591836733,4.312448979591837,generated,-9.798400454308842,4.526020408163265,4.952439543798204,14.750839998107047
TD,both,SH,6.043265306122449,6.584693877551021,generated,-8.22253215558656,5.947755102040816,-9.673020300635383,1.4504881450488227
TD,both,C,3.3861224489795916,3.7369387755102044,generated,-9.38779968325052,2.988163265306122,-20.03713614767082,10.649336464420301
TD,both,Proposer,2.998469387755102,4.225408163265306,generated,-29.037165833514457,3.970408163265306,-6.034919944939499,23.002245888574958
TD,both,Responder,4.628571428571428,3.459387755102041,generated,33.79741608164708,3.6298979591836735,4.928912748510417,28.868503333136662
TD,no,Sender,5.609183673469388,5.546530612244899,generated,1.1295901096474825,5.51204081632653,-0.6218264772978488,1.7514165869453313
TD,no,Receiver,5.104081632653061,5.1079591836734695,generated,-0.07591194214711106,5.1053061224489795,-0.05193974989012862,0.02397219225698244
TD,no,PD,4.3330612244897955,4.312448979591837,generated,0.47797075386870613,5.102448979591837,18.31905730916663,17.841086555297924
TD,no,SH,6.270204081632653,6.6446938775510205,generated,-5.635922479191624,6.115918367346938,-7.957861113670573,2.3219386344789488
TD,no,C,3.240408163265306,3.7369387755102044,generated,-13.287095188684406,2.9869387755102044,-20.069903336792095,6.782808148107689
TD,no,Proposer,2.545918367346939,4.270816326530612,generated,-40.38801548239116,3.5965306122448983,-15.788216180054471,24.59979930233669
TD,no,Responder,4.329591836734694,3.3659183673469384,generated,28.630328017947026,2.7677551020408164,-17.77117565027586,46.40150366822289
TD,yes,Sender,5.5922448979591834,5.546530612244899,generated,0.8241960409154148,5.51204081632653,-0.6218264772978488,1.4460225182132636
TD,yes,Receiver,5.278775510204082,5.210612244897959,generated,1.3081623061256487,5.272857142857143,1.1945793514021696,0.11358295472347901
TD,yes,PD,3.446734693877551,4.312448979591837,generated,-20.07477166248639,3.949591836734694,-8.414178221570213,11.660593440916179
TD,yes,SH,5.816326530612245,6.52469387755102,generated,-10.856713896969127,5.779591836734694,-11.419724124988273,0.5630102280191451
TD,yes,C,3.5318367346938775,3.7369387755102044,generated,-5.488504177816623,2.989387755102041,-20.004368958549502,14.51586478073288
TD,yes,Proposer,3.4510204081632656,4.18,generated,-17.43970315398885,4.344285714285714,3.9302802460697173,21.36998340005857
TD,yes,Responder,4.927551020408163,3.552857142857143,generated,38.69263024872191,4.492040816326531,26.4346027916595,12.258027457062411
OD,both,Sender,5.692551020408164,5.546530612244899,generated,2.6326440503348314,5.6689795918367345,2.2076679667377697,0.42497608359706174
OD,both,Receiver,5.173061224489796,5.159285714285715,generated,0.2670042127331351,5.180816326530612,0.4173176954569646,0.1503134827238295
OD,both,PD,4.077040816326531,4.312448979591837,generated,-5.458804599876954,4.57969387755102,6.197056457337546,11.655861057214501
OD,both,SH,6.448469387755102,6.584693877551021,generated,-2.0688052068805307,6.456734693877552,-1.9432821943282108,0.1255230125523199
OD,both,C,3.3328571428571427,3.7369387755102044,generated,-10.813172410026773,2.993367346938775,-19.897875593905322,9.084703183878549
OD,both,Proposer,3.443571428571429,4.225408163265306,generated,-18.503223936825318,3.9824489795918367,-5.7499577386558425,12.753266198169475
OD,both,Responder,4.348061224489796,3.459387755102041,generated,25.688749926258048,3.3410204081632653,-3.421627042652353,29.1103769689104
OD,no,Sender,5.730612244897959,5.546530612244899,generated,3.31886084332913,5.6689795918367345,2.2076679667377697,1.1111928765913603
OD,no,Receiver,5.101836734693878,5.1079591836734695,generated,-0.11986096128490109,5.102857142857143,-0.09988413440408239,0.0199768268808187
OD,no,PD,4.646326530612245,4.312448979591837,generated,7.742179735932986,5.31469387755102,23.24073635890398,15.498556622970995
OD,no,SH,6.63734693877551,6.6446938775510205,generated,-0.11056850640376314,6.69673469387755,0.7831935870266094,0.8937620934303725
OD,no,C,3.3720408163265305,3.7369387755102044,generated,-9.764622358145392,2.988163265306122,-20.03713614767082,10.27251378952543
OD,no,Proposer,3.173265306122449,4.270816326530612,generated,-25.69885793472547,3.7348979591836735,-12.548382472404073,13.150475462321397
OD,no,Responder,3.8277551020408165,3.3659183673469384,generated,13.720972533802245,2.299591836734694,-31.680106711938393,45.40107924574064
OD,yes,Sender,5.6544897959183675,5.546530612244899,generated,1.9464272573404884,5.6689795918367345,2.2076679667377697,0.2612407093972813
OD,yes,Receiver,5.244285714285715,5.210612244897959,generated,0.6462478458405307,5.258775510204082,0.9243302522324859,0.27808240639195514
OD,yes,PD,3.507755102040816,4.312448979591837,generated,-18.659788935686905,3.8446938775510207,-10.846623444228854,7.813165491458051
OD,yes,SH,6.259591836734694,6.52469387755102,generated,-4.06305714553814,6.216734693877551,-4.719902411560484,0.6568452660223434
OD,yes,C,3.293673469387755,3.7369387755102044,generated,-11.861722461908153,2.998571428571428,-19.758615040139826,7.8968925782316735
OD,yes,Proposer,3.7138775510204085,4.18,generated,-11.151254760277308,4.23,1.1961722488038395,12.347427009081148
OD,yes,Responder,4.868367346938776,3.552857142857143,generated,37.02682520535354,4.382448979591837,23.349991383767033,13.676833821586506
